sumlevel,program,program_label,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,tpct_ownsfd,fedhse,msa,placefips,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
9,3,VO,-1,Aleutians East Borough,2013,-1,-1,0,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,AK,-1,-1,
9,3,VO,-1,Aleutians West Census Area,2016,-1,-1,0,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,AK,-1,-1,
9,3,VO,-1,Anchorage Borough County,2020,-1,-1,2298,-1,5,31,2.3,5379,406,615,15.9,6.8,14,10,36,15,26,27,11,61,24,96,74,13,38,75,44,39,61,19,7,59,20,13,1,54,22,17,7,7,16,38,59,52,33,39,29,16,41,12,24,-1,-1,-1,-1,-1,AK,-1,-1,46.0
9,3,VO,-1,Bethel Census Area,2050,-1,-1,0,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,AK,-1,-1,
9,3,VO,-1,Bristol Bay Borough,2060,-1,-1,0,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,AK,-1,-1,
9,3,VO,-1,Denali Borough,2068,-1,-1,0,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,AK,-1,-1,
9,3,VO,-1,Dillingham Census Area,2070,-1,-1,2,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,AK,-1,-1,
9,3,VO,-1,Fairbanks North Star Borough,2090,-1,-1,372,-1,5,35,2.2,805,414,500,16.1,7.4,11,9,40,14,26,31,9,60,27,95,68,10,42,80,48,38,28,17,12,57,17,15,2,42,15,19,5,4,6,30,71,65,44,37,19,8,36,13,31,-1,-1,-1,-1,-1,AK,-1,-1,58.0
9,3,VO,-1,Haines Borough,2100,-1,-1,0,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,AK,-1,-1,
9,3,VO,-1,Juneau Borough County,2110,-1,-1,344,-1,5,25,2.0,701,438,658,17.6,8.6,11,7,39,14,29,30,5,63,24,96,74,15,26,69,34,45,24,21,7,58,19,16,2,50,3,40,3,3,20,38,63,86,38,38,24,18,29,7,32,-1,-1,-1,-1,-1,AK,-1,-1,50.0
9,3,VO,-1,Kenai Peninsula Borough,2122,-1,-1,428,-1,5,34,1.8,783,411,362,15.5,8.5,6,6,54,18,16,23,7,68,29,96,65,10,24,70,30,55,49,30,6,50,26,17,1,14,1,11,1,2,6,32,79,83,35,47,18,30,13,9,52,-1,-1,-1,-1,-1,AK,-1,-1,86.0
9,3,VO,-1,Ketchikan Gateway Borough,2130,-1,-1,91,-1,5,15,2.2,198,416,661,16.2,7.5,5,8,35,29,23,21,10,69,27,98,66,7,42,81,45,53,80,28,2,54,27,16,0,31,2,25,1,2,21,49,30,45,44,24,32,12,34,8,32,-1,-1,-1,-1,-1,AK,-1,-1,69.0
9,3,VO,-1,Kodiak Island Borough,2150,-1,-1,114,-1,5,43,1.7,193,408,566,16.2,9.6,11,8,33,25,22,39,2,60,28,93,60,9,23,64,25,38,14,19,11,48,17,25,4,32,4,5,20,3,12,28,64,56,52,33,15,21,48,5,39,-1,-1,-1,-1,-1,AK,-1,-1,68.0
9,3,VO,-1,Lake and Peninsula Borough County,2164,-1,-1,0,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,AK,-1,-1,
9,3,VO,-1,Matanuska-Susitna Borough,2170,-1,-1,434,-1,5,30,2.4,1039,447,496,16.4,6.8,5,7,47,17,24,19,13,68,28,97,67,16,27,75,35,51,32,21,5,52,23,20,1,10,2,6,1,1,13,41,76,87,26,46,28,29,13,9,50,-1,-1,-1,-1,-1,AK,-1,-1,90.0
9,3,VO,-1,Nome Census Area,2180,-1,-1,0,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,AK,-1,-1,
9,3,VO,-1,North Slope Borough,2185,-1,-1,9,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,AK,-1,-1,
9,3,VO,-1,Northwest Arctic Borough,2188,-1,-1,0,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,AK,-1,-1,
9,3,VO,-1,Prince of Wales-Hyder Census Area County,2201,-1,-1,0,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,AK,-1,-1,
9,3,VO,-1,Sitka Borough County,2220,-1,-1,45,-1,6,33,1.2,55,430,486,17.5,14.4,2,0,42,27,29,24,2,73,31,96,60,0,13,73,11,48,13,24,0,31,16,53,7,42,0,42,0,0,15,29,44,70,87,7,7,0,34,8,38,-1,-1,-1,-1,-1,AK,-1,-1,58.0
9,3,VO,-1,Hoonah-Angoon Census Area County,2232,-1,-1,0,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,AK,-1,-1,
9,3,VO,-1,Southeast Fairbanks Census Area,2240,-1,-1,1,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,AK,-1,-1,
9,3,VO,-1,Chugach Census Area County,2261,-1,-1,29,-1,6,14,1.8,51,357,556,14.6,8.0,17,7,31,34,10,21,10,62,23,97,76,7,21,66,24,61,0,29,3,52,24,21,0,14,0,10,3,0,4,57,28,57,45,31,24,21,2,1,4,-1,-1,-1,-1,-1,AK,-1,-1,86.0
9,3,VO,-1,Kusilvak Census Area County,2270,-1,-1,0,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,AK,-1,-1,
9,3,VO,-1,Petersburg Census Area County,2280,-1,-1,75,-1,4,73,2.1,154,368,458,16.0,7.6,16,8,27,23,27,49,4,43,27,95,55,9,32,60,32,24,63,14,17,49,23,11,0,39,4,25,7,3,3,10,80,104,29,52,19,21,12,4,24,-1,-1,-1,-1,-1,AK,-1,-1,61.0
