gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
County,AK Alaska,AK Aleutians East Borough 02013,9,Housing Choice Vouchers,3,A,Aleutians East Borough,2013,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,AK,-1,A,
County,AK Alaska,AK Aleutians West Census Area 02016,9,Housing Choice Vouchers,3,A,Aleutians West Census Area,2016,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,AK,-1,A,
County,AK Alaska,AK Anchorage Municipality 02020,9,Housing Choice Vouchers,3,A,Anchorage Borough County,2020,2383.0,100,2433,100,9.31648170982353,10,2.51098217985919,5935.58808234022,456.025893958091,609.000000000038,16934.1352240038,6799.92589536225,12,9,30,21,28,22,8,69,23,97,78,11,39,72,41,38,63,18,3,56,25,17,1,63,26,20,13,6,-1.0,59.2994746301691,60,90.1424638678616,33,40,28,15,14,52,27,A,A,A,-1,-1,AK,-1,A,37.0
County,AK Alaska,AK Bethel Census Area 02050,9,Housing Choice Vouchers,3,A,Bethel Census Area,2050,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,AK,-1,A,
County,AK Alaska,AK Bristol Bay Borough 02060,9,Housing Choice Vouchers,3,A,Bristol Bay Borough,2060,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,AK,-1,A,
County,AK Alaska,AK Denali Borough 02068,9,Housing Choice Vouchers,3,A,Denali Borough,2068,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,AK,-1,A,
County,AK Alaska,AK Dillingham Census Area 02070,9,Housing Choice Vouchers,3,A,Dillingham Census Area,2070,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,AK,-1,A,
County,AK Alaska,AK Fairbanks North Star Borough 02090,9,Housing Choice Vouchers,3,A,Fairbanks North Star Borough,2090,423.0,100,432,100,9.28024691358022,21,2.07407407407407,877.749945828822,440.706018518517,608.999999999991,15432.0648148148,7440.45982142855,13,11,33,19,24,24,6,69,23,98,77,8,40,75,42,38,54,21,6,62,20,13,0,47,14,26,3,5,-1.0,38.6564814814814,68,126.006849315068,43,40,17,12,12,36,39,A,A,A,-1,-1,AK,-1,A,53.0
County,AK Alaska,AK Haines Borough 02100,9,Housing Choice Vouchers,3,A,Haines Borough,2100,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,AK,-1,A,
County,AK Alaska,AK Hoonah-Angoon Census Area 02105,9,Housing Choice Vouchers,3,A,Hoonah-Angoon Census Area,2105,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,AK,-1,A,
County,AK Alaska,AK Juneau City and Borough 02110,9,Housing Choice Vouchers,3,A,Juneau Borough County,2110,384.0,100,392,100,7.73154761904758,15,1.94858611825193,742.560780065007,463.864795918365,608.999999999992,17381.4999999999,8988.84960422161,7,7,38,22,26,24,6,70,23,97,82,9,26,63,29,49,56,27,3,56,23,18,1,51,4,39,4,5,-1.0,54.2144329896906,64,156.439999999999,44,38,18,18,8,36,39,A,A,A,-1,-1,AK,-1,A,49.0
