Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
2015-12-31,County,AK ALASKA,AK NORTH SLOPE BOROUGH 02185,9,Housing Choice Vouchers,3,,North Slope Borough,02185,1,-4,1,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,AK,,,
2015-12-31,County,AK ALASKA,AK MISSING 02XXX,9,Housing Choice Vouchers,3,,Missing County,02XXX,11,-4,10,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,AK,,,
2015-12-31,County,AK ALASKA,AK MATANUSKA-SUSITNA BOROUGH 02170,9,Housing Choice Vouchers,3,,Matanuska-Susitna Borough,02170,465,98,449,99,8,15,2.2,973,486,1018,18916,8729,4,8,19,41,28,17,6,76,28,96,65,10,25,68,25,48,60,26,1,41,22,36,2,18,4,9,2,82,-1,2,0,3,4,-1,76,79,126,29,43,28,33,11,18,71,,,,,,AK,,,82.0
2015-12-31,County,AK ALASKA,AK VALDEZ-CORDOVA CENSUS AREA 02261,9,Housing Choice Vouchers,3,,Chugach Census Area County,02261,53,98,51,99,9,35,1.7,85,454,1018,16750,10050,10,12,16,30,32,24,2,73,26,100,57,10,18,67,16,36,56,27,6,27,31,35,6,18,4,6,6,82,-1,2,-1,2,2,-1,45,39,208,51,31,18,24,9,24,46,,,,,,AK,,,82.0
2015-12-31,County,AK ALASKA,AK KENAI PENINSULA BOROUGH 02122,9,Housing Choice Vouchers,3,,Kenai Peninsula Borough,02122,424,98,409,99,8,24,1.7,675,483,1018,17690,10719,4,5,25,42,25,19,4,77,30,97,56,6,19,63,20,52,51,33,4,37,29,30,1,20,2,13,2,80,-1,2,0,3,5,-1,60,73,134,40,47,13,33,8,17,71,,,,,,AK,,,80.0
2015-12-31,County,AK ALASKA,AK PETERSBURG CENSUS AREA 02195,9,Housing Choice Vouchers,3,,Petersburg Census Area,02195,46,98,44,99,10,14,1.8,80,430,1018,15908,8750,14,14,16,26,30,36,5,57,24,95,68,11,20,57,23,34,78,25,11,41,27,20,-1,32,9,18,5,68,-1,-1,-1,0,7,-1,53,64,202,45,25,30,25,13,31,73,,,,,,AK,,,68.0
2015-12-31,County,AK ALASKA,AK KETCHIKAN GATEWAY BOROUGH 02130,9,Housing Choice Vouchers,3,,Ketchikan Gateway Borough,02130,101,98,98,99,10,16,1.9,183,483,1018,17693,9475,8,8,23,32,29,22,5,71,25,96,76,7,26,78,31,40,60,27,2,44,29,26,2,38,3,29,2,62,-1,4,-1,4,6,-1,72,60,162,62,22,15,9,14,42,37,,,,,,AK,,,62.0
2015-12-31,County,AK ALASKA,AK KODIAK ISLAND BOROUGH 02150,9,Housing Choice Vouchers,3,,Kodiak Island Borough,02150,85,98,82,99,10,18,1.7,143,486,1018,18264,10473,5,7,23,37,28,26,4,71,31,94,54,2,23,68,22,43,48,26,1,41,20,38,4,39,5,7,23,61,-1,2,1,4,2,-1,57,66,92,62,30,7,13,10,52,51,,,,,,AK,,,61.0
2015-12-31,County,AK ALASKA,AK SITKA CITY AND BOROUGH 02220,9,Housing Choice Vouchers,3,,Sitka Borough County,02220,43,98,42,99,9,33,1.7,73,480,1018,17396,10009,2,7,24,43,24,21,7,71,28,100,55,7,14,55,14,35,37,21,-1,31,24,45,2,45,5,36,-1,55,-1,5,-1,5,2,-1,42,67,231,67,24,10,7,9,38,53,,,,,,AK,,,55.0
2015-12-31,County,AK ALASKA,AK JUNEAU CITY AND BOROUGH 02110,9,Housing Choice Vouchers,3,,Juneau Borough County,02110,372,98,359,99,8,20,1.8,663,503,1018,19987,10822,3,6,25,34,31,27,5,68,26,96,75,8,19,60,23,52,52,31,5,44,30,21,1,46,4,35,3,54,-1,4,1,5,7,-1,66,66,143,48,35,18,19,7,35,39,,,,,,AK,,,54.0
