sumlevel,program,program_label,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,tpct_ownsfd,fedhse,msa,placefips,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
9,3,VO,-1,Autauga County,1001,-1,-1,51,-1,3,22,2.3,115,304,359,12.4,5.5,6,41,25,12,16,33,2,65,27,90,67,18,31,78,41,34,31,16,2,59,14,25,0,55,55,0,0,0,264,48,100,130,27,37,35,18,14,7,52,-1,-1,-1,-1,-1,AL,-1,-1,45.0
9,3,VO,-1,Baldwin County,1003,-1,-1,204,-1,7,3,2.5,519,294,410,12.3,4.8,10,39,20,17,14,42,5,51,25,96,67,19,42,93,59,27,32,11,2,65,13,20,3,48,47,0,0,0,18,86,100,128,16,39,45,24,19,11,54,-1,-1,-1,-1,-1,AL,-1,-1,52.0
9,3,VO,-1,Barbour County,1005,-1,-1,240,-1,6,30,2.3,541,212,264,9.5,4.2,19,47,20,10,4,28,17,54,20,74,53,9,47,89,54,30,43,15,11,57,14,18,2,86,82,0,0,4,11,45,100,93,13,50,38,32,43,23,42,-1,-1,-1,-1,-1,AL,-1,-1,14.0
9,3,VO,-1,Bibb County,1007,-1,-1,1,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,AL,-1,-1,
9,3,VO,-1,Blount County,1009,-1,-1,65,-1,4,23,1.6,104,220,296,10.3,6.4,3,54,34,8,2,17,3,78,23,98,72,8,14,92,22,47,3,21,2,25,23,51,8,9,9,0,0,0,4,64,98,110,8,63,29,60,8,13,56,-1,-1,-1,-1,-1,AL,-1,-1,91.0
9,3,VO,-1,Bullock County,1011,-1,-1,103,-1,2,46,2.6,264,196,252,9.3,3.6,27,42,17,6,9,29,7,63,22,87,72,11,63,91,74,23,83,11,29,58,7,6,1,100,100,0,0,0,5,31,100,101,14,29,57,39,65,31,37,-1,-1,-1,-1,-1,AL,-1,-1,0.0
9,3,VO,-1,Butler County,1013,-1,-1,147,-1,3,37,2.2,324,212,270,9.6,4.3,18,44,25,11,3,37,3,58,24,92,64,5,53,93,56,25,15,10,15,51,11,23,6,77,77,0,0,0,9,34,100,121,22,42,35,23,51,29,49,-1,-1,-1,-1,-1,AL,-1,-1,23.0
9,3,VO,-1,Calhoun County,1015,-1,-1,380,-1,4,21,2.2,819,227,322,9.7,4.5,13,52,22,11,3,27,13,58,24,98,76,6,44,89,50,39,17,18,8,56,16,21,2,66,63,0,0,3,5,51,100,113,16,52,32,34,33,21,52,-1,-1,-1,-1,-1,AL,-1,-1,34.0
9,3,VO,-1,Chambers County,1017,-1,-1,12,-1,6,58,2.5,30,264,249,11.5,4.6,17,50,8,8,17,25,8,67,22,58,42,17,25,83,42,40,100,20,8,42,33,17,0,75,75,0,0,0,18,23,100,112,0,67,33,58,22,11,54,-1,-1,-1,-1,-1,AL,-1,-1,25.0
9,3,VO,-1,Cherokee County,1019,-1,-1,10,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,AL,-1,-1,
9,3,VO,-1,Chilton County,1021,-1,-1,1,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,AL,-1,-1,
9,3,VO,-1,Choctaw County,1023,-1,-1,0,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,AL,-1,-1,
