gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
County,AL Alabama,AL Autauga County 01001,9,Housing Choice Vouchers,3,A,Autauga County,1001,71.0,95,85,100,5.34949035701468,3,2.70724755085633,181.664599862305,296.461857863636,525.559362446463,12104.1808070152,4471.02844480792,15,34,18,16,16,32,19,46,23,99,70,1,72,93,72,23,52,13,1,78,11,10,3,85,85,0,0,1,63.3666666666667,69.4759276762406,97,157.025707097891,15,37,47,11,8,24,75,A,A,A,-1,-1,AL,-1,A,15.0
County,AL Alabama,AL Baldwin County 01003,9,Housing Choice Vouchers,3,A,Baldwin County,1003,283.0,87,238,97,4.78306997004893,7,2.73949422354956,673.953988057244,315.139016977212,606.130098931986,12203.0375765022,4454.48560234259,16,31,24,11,18,34,14,50,23,97,72,1,63,95,64,31,43,13,2,64,18,16,1,73,71,0,1,1,37.5098039215686,82.4368485191592,100,192.010372897465,11,32,57,22,18,25,65,A,A,A,-1,-1,AL,-1,A,27.0
County,AL Alabama,AL Barbour County 01005,9,Housing Choice Vouchers,3,A,Barbour County,1005,351.0,81,275,96,4.90932302535854,10,2.21328736205713,631.645008791907,279.77407494759,357.824718497001,12156.1292939618,5492.34116742224,9,40,25,16,10,27,9,59,32,86,57,3,52,92,54,31,29,14,5,61,13,20,1,86,84,0,0,2,7.5896241535223,59.5595204294241,100,160.343618051217,13,46,40,37,25,53,62,A,A,A,-1,-1,AL,-1,A,14.0
County,AL Alabama,AL Bibb County 01007,9,Housing Choice Vouchers,3,A,Bibb County,1007,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,AL,-1,A,
County,AL Alabama,AL Blount County 01009,9,Housing Choice Vouchers,3,A,Blount County,1009,69.0,90,64,99,5.61302061073217,3,1.53874289055053,96.1792243760164,288.632989968469,335.668186117233,12478.3930215392,8109.47241294788,2,44,30,19,6,11,2,87,28,95,66,2,19,89,19,66,36,35,2,35,20,43,8,9,8,0,0,2,13.3,69.0388550235142,100,146.640862186573,14,59,27,57,17,14,74,A,A,A,-1,-1,AL,-1,A,91.0
County,AL Alabama,AL Bullock County 01011,9,Housing Choice Vouchers,3,A,Bullock County,1011,177.0,82,121,83,5.74705882352943,2,2.42148760330579,351.218241042345,224.10743801653,363.701754385966,10594.3223140496,4375.12969283277,24,32,22,13,8,23,20,56,27,93,61,1,66,92,66,31,55,14,6,69,17,9,0,98,98,0,0,0,8.08333333333333,58.086225895317,100,118.917355371901,11,35,55,40,35,82,63,A,A,A,-1,-1,AL,-1,A,2.0
County,AL Alabama,AL Butler County 01013,9,Housing Choice Vouchers,3,A,Butler County,1013,181.0,93,160,95,5.46394209922903,10,1.96253316195821,329.997394136808,258.147018741167,309.098209554508,10984.6864522928,5597.19787936337,12,36,33,14,6,22,3,75,30,89,56,2,43,91,44,36,23,18,12,44,19,25,1,75,75,0,0,0,5.14583333333333,47.164163614814,100,139.868252952007,27,49,24,29,27,59,67,A,A,A,-1,-1,AL,-1,A,25.0
County,AL Alabama,AL Calhoun County 01015,9,Housing Choice Vouchers,3,A,Calhoun County,1015,471.0,73,327,96,4.93915630909874,4,2.2383568815579,765.417453183518,296.685945762415,419.281995116554,11996.9877549232,5359.72965426912,13,36,24,15,13,24,13,61,28,94,63,3,46,92,49,39,44,20,0,58,19,22,1,73,72,0,0,1,26.1325232508933,73.6291894664594,99,182.251288073758,14,45,41,38,24,38,63,A,A,A,-1,-1,AL,-1,A,27.0
County,AL Alabama,AL Chambers County 01017,9,Housing Choice Vouchers,3,A,Chambers County,1017,23.0,97,21,92,5.92172144412861,5,3.03592993898679,69.4398311635681,405.954252417157,443.852698006227,13059.3607636896,4301.60149481185,19,29,23,10,19,24,24,52,32,86,52,0,76,86,76,20,100,8,0,81,14,5,0,81,81,0,0,0,41.5333333333333,48.3259993703812,100,194.042300813823,0,24,76,38,21,43,76,A,A,A,-1,-1,AL,-1,A,19.0
County,AL Alabama,AL Cherokee County 01019,9,Housing Choice Vouchers,3,A,Cherokee County,1019,4.0,81,3,92,3.71111111111111,-4,-4.0,-4.0,-4.0,-4.0,-4.0,7172.0,-4,-4,-4,-4,-4,-4,-4,-4,34,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,67,-4,-4,-4,-4,-1.0,112.5,-4,-4.0,-4,-4,-4,-4,14,9,67,A,A,A,-1,-1,AL,-1,A,33.0
