gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
County,AL Alabama,AL Autauga County 01001,9,Housing Choice Vouchers,3,,Autauga County,01001,73,97,95,100,4,7,3.0,284,350,787,14153,4734,16,22,17,23,21,45,-1,54,27,93,59,2,80,94,80,16,67,9,2,82,9,6,2,89,86,-1,-1,11,2,1,-1,3,2,66,76,100,163,13,32,56,12,9,23,73,,,,,,AL,,,11.0
County,AL Alabama,AL Baldwin County 01003,9,Housing Choice Vouchers,3,,Baldwin County,01003,278,86,239,100,5,13,2.6,633,319,734,12678,4787,12,31,22,17,19,38,2,55,23,96,72,1,63,95,63,31,44,13,3,63,18,16,2,74,72,0,1,26,-1,1,-1,1,0,49,85,100,201,10,31,59,27,20,25,66,,,,,,AL,,,26.0
County,AL Alabama,AL Barbour County 01005,9,Housing Choice Vouchers,3,,Barbour County,01005,348,82,281,99,6,18,2.2,609,282,384,12352,5699,9,41,23,15,11,31,1,69,32,87,59,3,48,90,49,31,29,15,7,54,18,21,1,86,84,0,-1,14,-1,1,-1,1,1,15,65,100,163,15,45,41,37,25,53,66,,,,,,AL,,,14.0
County,AL Alabama,AL Blount County 01009,9,Housing Choice Vouchers,3,,Blount County,01009,65,98,64,100,6,19,1.4,89,301,414,13064,9395,2,33,39,19,8,8,-1,92,29,95,64,-1,14,92,14,81,38,45,3,20,27,50,9,8,8,-1,-1,92,-1,-1,-1,0,0,6,71,100,147,16,61,23,64,19,15,73,,,,,,AL,,,92.0
County,AL Alabama,AL Bullock County 01011,9,Housing Choice Vouchers,3,,Bullock County,01011,195,78,142,93,5,25,2.5,358,236,448,10924,4333,23,32,22,15,8,31,4,65,27,95,63,1,65,93,65,31,44,13,14,64,15,6,-1,92,92,-1,-1,8,-1,-1,-1,0,0,6,55,100,114,11,39,49,33,27,82,58,,,,,,AL,,,8.0
County,AL Alabama,AL Butler County 01013,9,Housing Choice Vouchers,3,,Butler County,01013,182,89,160,99,4,23,1.9,309,281,375,11699,6058,9,38,30,16,7,24,1,74,32,88,54,1,41,92,41,37,24,18,13,37,22,28,2,76,76,-1,-1,24,1,-1,-1,1,0,4,53,100,141,31,49,21,28,28,59,66,,,,,,AL,,,24.0
County,AL Alabama,AL Calhoun County 01015,9,Housing Choice Vouchers,3,,Calhoun County,01015,471,73,339,98,5,13,2.3,764,298,438,12208,5417,10,36,24,17,13,30,3,65,29,93,58,3,48,92,50,35,47,18,4,56,18,22,1,76,75,-1,0,24,-1,1,-1,1,1,33,79,100,182,17,45,38,35,28,38,64,,,,,,AL,,,24.0
County,AL Alabama,AL Chambers County 01017,9,Housing Choice Vouchers,3,,Chambers County,01017,30,106,32,100,5,53,2.8,90,291,522,11667,4148,16,28,31,13,13,38,3,59,28,91,56,-1,69,91,69,19,100,9,9,75,13,3,-1,84,84,-1,-1,16,-1,-1,-1,0,0,20,35,100,160,16,34,50,16,22,39,75,,,,,,AL,,,16.0
County,AL Alabama,AL Cherokee County 01019,9,Housing Choice Vouchers,3,,Cherokee County,01019,4,-4,3,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,AL,,,
County,AL Alabama,AL Chilton County 01021,9,Housing Choice Vouchers,3,,Chilton County,01021,1,-4,1,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,AL,,,
