Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
2020-12-31,County,AL Alabama,AL Autauga County 01001,9,Housing Choice Vouchers,3,,Autauga County,01001,90,98,136,100,5,3,2.9,394,371,968,14141,4881,19,20,24,8,28,36,4,57,24,89,69,1,82,98,82,17,73,9,1,80,10,8,-1,93,91,-1,-1,7,1,-1,-1,1,1,24,98,100,184,8,42,50,13,16,24,71,,,,,,AL,,,7.0
2020-12-31,County,AL Alabama,AL Baldwin County 01003,9,Housing Choice Vouchers,3,,Baldwin County,01003,277,78,281,100,5,2,2.8,774,344,1051,13046,4736,11,25,27,16,21,26,1,62,19,98,83,1,59,94,58,22,53,12,2,60,16,21,1,71,69,0,1,29,-1,1,-1,1,1,4,118,96,207,19,24,57,29,13,22,68,,,,,,AL,,,29.0
2020-12-31,County,AL Alabama,AL Barbour County 01005,9,Housing Choice Vouchers,3,,Barbour County,01005,336,75,243,97,5,14,1.9,451,323,347,13254,7141,3,36,29,18,14,24,-1,76,32,88,53,1,37,90,37,40,21,20,3,44,24,29,3,81,80,-1,-1,19,-1,1,-1,1,1,9,83,100,188,15,53,32,50,32,54,59,,,,,,AL,,,19.0
2020-12-31,County,AL Alabama,AL Blount County 01009,9,Housing Choice Vouchers,3,,Blount County,01009,47,104,47,96,6,17,1.4,66,327,336,14105,10044,2,32,30,19,17,2,2,96,26,100,68,-1,17,81,17,76,30,35,-1,13,23,64,11,15,15,-1,-1,85,-1,-1,-1,0,2,9,97,100,151,13,64,23,68,19,16,69,,,,,,AL,,,85.0
2020-12-31,County,AL Alabama,AL Bullock County 01011,9,Housing Choice Vouchers,3,,Bullock County,01011,470,86,377,94,7,15,2.4,922,292,382,13883,5676,16,33,18,12,21,32,0,66,31,85,60,2,56,89,56,24,51,13,10,59,16,16,1,98,98,-1,0,2,0,-1,-1,0,0,7,44,100,112,16,35,49,29,38,81,58,,,,,,AL,,,2.0
2020-12-31,County,AL Alabama,AL Butler County 01013,9,Housing Choice Vouchers,3,,Butler County,01013,181,78,133,94,6,9,2.1,273,304,343,13111,6387,6,33,35,14,11,25,-1,75,31,92,55,-1,45,90,45,34,43,19,8,46,18,28,1,82,82,-1,-1,18,-1,-1,-1,0,0,7,66,100,156,28,45,27,29,28,58,59,,,,,,AL,,,18.0
2020-12-31,County,AL Alabama,AL Calhoun County 01015,9,Housing Choice Vouchers,3,,Calhoun County,01015,642,67,406,95,8,16,2.3,920,295,463,12130,5353,13,32,27,14,14,25,1,71,25,97,69,1,51,93,52,34,60,19,3,57,18,22,2,83,83,-1,-1,17,-1,-1,-1,0,0,23,81,100,187,22,41,37,32,29,44,65,,,,,,AL,,,17.0
2020-12-31,County,AL Alabama,AL Chambers County 01017,9,Housing Choice Vouchers,3,,Chambers County,01017,144,84,119,99,11,4,2.4,288,316,540,14598,6032,14,30,19,16,21,24,-1,76,33,84,56,-1,49,84,48,35,52,19,2,55,23,21,-1,97,97,-1,-1,3,1,-1,-1,1,0,12,58,100,144,18,29,52,30,14,56,71,,,,,,AL,,,3.0
2020-12-31,County,AL Alabama,AL Cherokee County 01019,9,Housing Choice Vouchers,3,,Cherokee County,01019,3,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,AL,,,
2020-12-31,County,AL Alabama,AL Clarke County 01025,9,Housing Choice Vouchers,3,,Clarke County,01025,3,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,AL,,,
