sumlevel,program,program_label,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,tpct_ownsfd,fedhse,msa,placefips,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
9,3,VO,-1,Arkansas County,5001,-1,-1,380,-1,6,37,2.9,1085,224,361,8.6,3.0,27,44,16,10,3,34,24,41,19,75,57,18,55,90,69,17,43,8,11,70,9,9,2,57,57,0,0,0,6,42,100,200,7,39,54,19,30,19,51,-1,-1,-1,-1,-1,AR,-1,-1,43.0
9,3,VO,-1,Ashley County,5003,-1,-1,206,-1,5,21,2.5,515,226,305,9.0,3.6,14,52,25,9,0,31,7,62,21,86,62,10,54,92,63,32,39,16,5,64,13,17,2,79,79,0,0,0,30,57,100,154,9,47,44,29,27,15,51,-1,-1,-1,-1,-1,AR,-1,-1,21.0
9,3,VO,-1,Baxter County,5005,-1,-1,398,-1,5,43,2.0,790,199,294,9.0,4.6,18,49,25,7,1,22,4,71,24,83,52,10,35,85,42,42,27,22,12,48,15,26,4,1,0,0,0,1,7,26,92,69,29,43,28,27,3,11,60,-1,-1,-1,-1,-1,AR,-1,-1,99.0
9,3,VO,-1,Benton County,5007,-1,-1,517,-1,3,43,2.0,1011,253,306,10.7,5.5,9,44,29,13,5,25,0,74,26,98,67,7,34,86,39,46,35,24,8,43,17,32,6,6,2,1,0,3,21,36,98,93,37,40,23,19,16,12,54,-1,-1,-1,-1,-1,AR,-1,-1,94.0
9,3,VO,-1,Boone County,5009,-1,-1,540,-1,4,49,2.1,1154,183,279,8.6,4.0,24,46,22,6,2,26,4,65,23,91,63,15,33,78,41,37,25,17,11,54,15,20,2,1,0,0,0,1,8,29,84,61,33,43,24,20,4,16,55,-1,-1,-1,-1,-1,AR,-1,-1,99.0
9,3,VO,-1,Bradley County,5011,-1,-1,53,-1,5,8,3.2,172,290,301,13.0,4.0,0,23,49,25,4,49,2,49,31,81,23,26,51,92,72,24,0,9,6,74,15,6,0,79,79,0,0,0,25,67,100,150,2,30,68,9,37,24,61,-1,-1,-1,-1,-1,AR,-1,-1,21.0
9,3,VO,-1,Calhoun County,5013,-1,-1,21,-1,5,43,1.6,34,216,244,9.4,5.8,0,76,14,10,0,10,0,90,28,81,57,5,24,76,29,93,83,59,5,43,24,29,0,43,43,0,0,0,6,26,95,107,24,48,29,48,18,11,37,-1,-1,-1,-1,-1,AR,-1,-1,57.0
9,3,VO,-1,Carroll County,5015,-1,-1,100,-1,4,48,1.9,186,198,288,8.7,4.6,14,54,27,4,1,22,0,76,24,90,64,7,26,72,29,48,40,26,10,46,19,25,0,0,0,0,0,0,5,27,99,78,43,32,25,23,12,14,50,-1,-1,-1,-1,-1,AR,-1,-1,100.0
9,3,VO,-1,Chicot County,5017,-1,-1,101,-1,5,40,2.7,272,247,229,10.6,3.9,5,50,29,13,3,51,9,40,25,74,35,15,63,90,71,17,100,9,10,71,13,6,0,89,89,0,0,0,9,21,100,149,24,43,34,0,68,32,49,-1,-1,-1,-1,-1,AR,-1,-1,11.0
9,3,VO,-1,Clark County,5019,-1,-1,180,-1,7,42,2.5,443,229,310,10.1,4.1,10,50,27,8,4,40,7,51,21,73,52,16,46,87,61,21,20,10,16,60,13,11,2,64,64,0,0,0,20,38,98,65,12,47,42,21,30,20,48,-1,-1,-1,-1,-1,AR,-1,-1,36.0
9,3,VO,-1,Clay County,5021,-1,-1,170,-1,4,46,1.9,323,196,268,8.1,4.3,22,55,21,2,1,23,5,69,23,94,66,9,35,84,40,41,45,24,9,47,16,28,2,1,0,0,0,1,3,32,86,106,36,50,14,15,2,17,64,-1,-1,-1,-1,-1,AR,-1,-1,99.0
9,3,VO,-1,Cleburne County,5023,-1,-1,95,-1,5,25,2.5,238,236,281,9.3,3.7,17,47,22,12,2,20,4,74,21,82,60,21,38,84,54,45,40,21,5,64,15,16,3,0,0,0,0,0,15,33,99,138,14,47,39,25,3,12,58,-1,-1,-1,-1,-1,AR,-1,-1,100.0
9,3,VO,-1,Cleveland County,5025,-1,-1,5,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,AR,-1,-1,
9,3,VO,-1,Columbia County,5027,-1,-1,77,-1,7,18,2.4,184,220,298,9.0,3.8,10,64,18,6,1,23,9,66,20,79,60,21,30,94,51,58,92,30,6,60,17,17,0,87,87,0,0,0,38,67,100,103,14,45,40,31,44,24,49,-1,-1,-1,-1,-1,AR,-1,-1,13.0
9,3,VO,-1,Conway County,5029,-1,-1,191,-1,4,48,2.3,447,229,338,10.1,4.2,19,46,18,13,5,29,7,57,24,86,59,16,39,83,50,53,38,25,13,60,15,13,2,37,35,1,0,1,11,24,95,116,12,52,36,31,21,16,57,-1,-1,-1,-1,-1,AR,-1,-1,63.0
9,3,VO,-1,Craighead County,5031,-1,-1,1286,-1,4,22,2.7,3424,219,396,9.4,3.5,30,41,18,8,4,29,16,40,20,97,80,11,56,88,63,28,44,15,14,63,14,10,1,53,51,0,0,1,12,52,79,85,11,43,46,20,16,20,47,-1,-1,-1,-1,-1,AR,-1,-1,47.0
9,3,VO,-1,Crawford County,5033,-1,-1,350,-1,3,36,2.1,738,243,297,9.6,4.6,6,58,26,8,2,20,9,70,26,99,69,13,32,78,39,53,37,26,8,50,18,23,1,5,4,1,1,0,5,41,96,111,23,47,29,29,10,15,61,-1,-1,-1,-1,-1,AR,-1,-1,95.0
9,3,VO,-1,Crittenden County,5035,-1,-1,538,-1,4,41,2.8,1502,240,406,10.4,3.7,15,41,25,13,6,37,3,60,21,98,83,10,62,97,71,22,24,13,17,61,10,11,1,95,95,0,0,0,15,39,100,100,10,44,46,19,64,31,44,-1,-1,-1,-1,-1,AR,-1,-1,5.0
9,3,VO,-1,Cross County,5037,-1,-1,210,-1,7,27,2.7,563,248,294,10.4,3.8,20,39,26,11,4,39,6,51,19,66,42,15,47,91,59,17,32,9,17,59,10,15,2,65,65,0,0,0,8,36,100,96,14,53,32,21,42,23,43,-1,-1,-1,-1,-1,AR,-1,-1,35.0
9,3,VO,-1,Dallas County,5039,-1,-1,27,-1,8,26,1.8,49,213,255,8.7,4.8,4,70,22,4,0,15,0,85,20,63,52,7,33,89,37,86,100,49,0,52,30,19,0,89,89,0,0,0,16,37,100,99,4,74,22,56,40,17,46,-1,-1,-1,-1,-1,AR,-1,-1,11.0
9,3,VO,-1,Desha County,5041,-1,-1,305,-1,5,28,3.0,903,218,297,9.5,3.2,22,40,23,11,4,39,2,58,23,77,53,19,57,92,74,23,57,11,8,71,14,8,0,86,86,0,0,0,22,49,99,182,3,37,61,21,50,28,48,-1,-1,-1,-1,-1,AR,-1,-1,14.0
9,3,VO,-1,Drew County,5043,-1,-1,258,-1,4,31,2.4,628,204,324,9.1,3.8,12,57,21,8,2,33,12,53,23,92,68,13,50,89,62,23,21,11,19,55,13,13,2,69,69,0,0,0,20,43,100,105,5,49,45,31,31,18,46,-1,-1,-1,-1,-1,AR,-1,-1,31.0
9,3,VO,-1,Faulkner County,5045,-1,-1,295,-1,6,21,1.9,562,287,309,11.6,6.1,3,48,23,19,7,22,1,77,27,98,68,6,32,89,37,56,9,22,7,40,16,37,4,37,36,0,0,1,12,48,99,119,29,51,20,27,20,21,44,-1,-1,-1,-1,-1,AR,-1,-1,63.0
9,3,VO,-1,Franklin County,5047,-1,-1,94,-1,5,23,2.4,221,177,282,8.0,3.4,21,49,24,4,1,12,0,88,19,83,62,13,34,77,43,51,96,29,3,51,19,27,1,1,0,0,0,1,41,64,93,93,11,59,31,21,5,17,62,-1,-1,-1,-1,-1,AR,-1,-1,99.0
9,3,VO,-1,Fulton County,5049,-1,-1,96,-1,5,25,2.4,235,225,268,8.6,3.5,17,59,19,4,1,44,7,49,24,86,64,21,35,76,47,35,57,18,5,58,22,15,0,1,0,1,0,0,13,39,98,157,11,55,33,26,2,15,60,-1,-1,-1,-1,-1,AR,-1,-1,99.0
