sumlevel,program,program_label,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,tpct_ownsfd,fedhse,msa,placefips,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
9,3,VO,-1,Apache County,4001,-1,-1,35,-1,0,3,4.3,150,303,493,13.0,3.0,29,23,14,9,26,37,31,26,30,83,57,54,17,91,69,4,14,1,3,66,11,20,0,94,0,94,0,0,-2,87,100,117,3,6,91,23,-2,-2,-2,-1,-1,-1,-1,-1,AZ,-1,-1,6.0
9,3,VO,-1,Cochise County,4003,-1,-1,549,-1,6,24,2.3,1267,235,387,9.9,4.3,18,49,17,9,7,26,14,56,25,93,73,16,33,80,45,37,52,18,4,53,20,23,2,64,7,1,2,54,16,50,95,117,28,33,39,23,53,23,44,-1,-1,-1,-1,-1,AZ,-1,-1,36.0
9,3,VO,-1,Coconino County,4005,-1,-1,370,-1,5,30,2.4,894,272,665,12.6,5.3,16,34,22,13,14,37,2,54,26,92,68,14,41,82,51,42,66,21,6,60,19,15,0,52,5,22,1,24,16,48,83,120,27,40,34,17,31,16,40,-1,-1,-1,-1,-1,AZ,-1,-1,48.0
9,3,VO,-1,Gila County,4007,-1,-1,46,-1,2,22,2.7,122,254,461,11.2,4.3,11,46,22,13,9,15,7,74,29,87,70,13,39,80,46,49,100,25,4,57,20,20,0,52,0,2,0,50,54,48,91,106,22,33,46,26,26,9,48,-1,-1,-1,-1,-1,AZ,-1,-1,48.0
9,3,VO,-1,Graham County,4009,-1,-1,19,-1,9,21,2.0,38,237,362,8.6,4.4,21,58,16,5,0,5,16,74,26,95,68,5,37,100,42,46,100,32,0,47,21,32,0,26,5,11,0,11,6,49,84,61,37,47,16,11,34,16,59,-1,-1,-1,-1,-1,AZ,-1,-1,74.0
9,3,VO,-1,Greenlee County,4011,-1,-1,0,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,AZ,-1,-1,
9,3,VO,-1,La Paz County,4012,-1,-1,1,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,AZ,-1,-1,
9,3,VO,-1,Maricopa County,4013,-1,-1,11039,-1,5,19,2.8,31165,320,641,12.9,4.6,17,34,21,12,17,27,14,53,23,95,73,18,41,85,55,40,62,19,4,64,16,16,1,65,33,2,1,29,38,67,89,128,28,29,43,10,44,16,44,-1,-1,-1,-1,-1,AZ,-1,-1,35.0
9,3,VO,-1,Mohave County,4015,-1,-1,308,-1,4,15,1.9,599,285,448,11.9,6.2,5,46,27,15,7,21,6,71,25,95,78,11,22,80,31,68,62,36,2,47,24,27,2,15,3,3,0,9,26,49,92,74,32,41,27,30,15,12,45,-1,-1,-1,-1,-1,AZ,-1,-1,85.0
9,3,VO,-1,Navajo County,4017,-1,-1,84,-1,5,24,2.6,221,291,359,13.0,4.9,10,32,26,19,13,24,11,63,36,86,42,18,32,87,46,54,18,18,4,55,21,20,0,49,7,23,0,19,38,35,90,90,24,35,41,21,37,16,44,-1,-1,-1,-1,-1,AZ,-1,-1,51.0
