Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
2018-12-31,County,AZ Arizona,AZ Apache County 04001,9,Housing Choice Vouchers,3,,Apache County,04001,19,87,16,99,10,-1,2.8,45,293,498,10012,3560,19,69,-1,-1,13,25,-1,75,24,88,88,-1,50,100,50,62,100,33,-1,44,38,19,-1,88,-1,81,-1,13,-1,6,-1,6,0,-1,177,100,174,-1,13,88,38,35,83,64,,,,,,AZ,,,12.0
2018-12-31,County,AZ Arizona,AZ Cochise County 04003,9,Housing Choice Vouchers,3,,Cochise County,04003,745,92,686,100,5,14,1.9,1318,307,494,12512,6513,7,37,29,14,13,18,1,78,27,94,66,4,25,70,25,57,51,31,1,31,24,44,3,59,10,1,2,41,0,46,0,46,0,12,81,90,120,28,37,35,39,26,53,58,,,,,,AZ,,,41.0
2018-12-31,County,AZ Arizona,AZ Coconino County 04005,9,Housing Choice Vouchers,3,,Coconino County,04005,486,96,469,100,5,15,2.0,954,338,838,14253,7007,8,27,27,17,22,29,0,64,25,93,69,6,28,67,30,47,74,30,2,44,26,27,1,43,5,20,1,57,0,15,1,17,0,23,72,65,118,43,36,21,17,19,38,51,,,,,,AZ,,,57.0
2018-12-31,County,AZ Arizona,AZ Gila County 04007,9,Housing Choice Vouchers,3,,Gila County,04007,53,106,66,100,5,18,1.7,109,313,599,11959,7241,6,46,29,10,10,20,-1,76,31,94,62,2,21,76,21,58,90,47,3,29,23,45,2,44,2,3,-1,56,-1,39,-1,39,2,30,63,71,175,35,47,18,32,19,34,66,,,,,,AZ,,,56.0
2018-12-31,County,AZ Arizona,AZ Graham County 04009,9,Housing Choice Vouchers,3,,Graham County,04009,28,93,26,100,6,12,2.0,51,305,519,12650,6449,4,42,27,19,8,12,-1,88,28,100,65,4,31,96,31,62,62,33,-1,31,19,50,4,42,4,4,-1,58,-1,35,-1,35,0,17,79,100,102,38,27,35,31,17,34,66,,,,,,AZ,,,58.0
2018-12-31,County,AZ Arizona,AZ Maricopa County 04013,9,Housing Choice Vouchers,3,,Maricopa County,04013,13186,91,12256,100,6,7,2.6,31969,360,763,13720,5260,11,30,22,14,23,28,1,63,23,93,73,5,41,78,42,38,71,21,1,50,25,23,1,67,39,2,1,33,2,22,1,24,1,23,115,83,167,35,28,36,12,26,59,51,,,,,,AZ,,,33.0
2018-12-31,County,AZ Arizona,AZ Mohave County 04015,9,Housing Choice Vouchers,3,,Mohave County,04015,408,86,434,100,5,14,1.6,709,296,618,11775,7208,3,36,38,13,11,11,-1,81,31,91,51,6,14,53,15,68,76,48,-1,25,36,38,2,18,4,1,1,82,0,9,1,11,0,25,87,73,96,34,41,25,39,19,21,61,,,,,,AZ,,,82.0
2018-12-31,County,AZ Arizona,AZ Navajo County 04017,9,Housing Choice Vouchers,3,,Navajo County,04017,109,87,94,99,7,3,2.4,222,362,498,12596,5334,15,37,23,10,16,28,-1,71,31,88,56,4,41,85,44,44,73,28,1,43,33,23,2,48,9,22,-1,52,1,15,1,17,1,-1,88,88,173,16,39,45,36,22,44,68,,,,,,AZ,,,52.0
2018-12-31,County,AZ Arizona,AZ Pima County 04019,9,Housing Choice Vouchers,3,,Pima County,04019,5741,78,5276,100,8,7,2.4,12563,285,611,11228,4715,17,35,22,11,15,26,1,64,22,95,73,5,37,70,37,36,76,22,2,47,26,24,1,64,15,2,1,36,2,42,3,46,0,25,107,73,122,45,28,27,10,28,58,46,,,,,,AZ,,,36.0
2018-12-31,County,AZ Arizona,AZ Pinal County 04021,9,Housing Choice Vouchers,3,,Pinal County,04021,769,78,606,100,7,13,2.8,1699,331,676,12495,4457,12,34,22,14,18,27,1,68,21,98,78,8,46,85,51,32,57,16,3,50,22,25,2,63,28,2,1,37,1,29,1,31,1,52,88,92,192,18,32,50,27,22,53,65,,,,,,AZ,,,37.0
