sumlevel,program,program_label,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,tpct_ownsfd,fedhse,msa,placefips,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
9,3,VO,-1,Alameda County,6001,-1,-1,19832,-1,7,50,2.5,50523,442,1177,16.7,6.5,8,16,32,16,28,29,15,55,23,95,77,12,16,43,24,17,65,11,46,31,12,12,1,41,28,0,8,5,37,84,95,77,25,41,34,7,72,16,34,-1,-1,-1,-1,-1,CA,-1,-1,59.0
9,3,VO,-1,Alpine County,6003,-1,-1,2,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,CA,-1,-1,
9,3,VO,-1,Amador County,6005,-1,-1,56,-1,5,11,2.6,144,391,606,14.7,5.7,11,14,38,9,29,25,5,64,25,98,71,29,25,91,50,33,70,23,2,50,30,18,0,5,0,0,0,5,45,75,96,158,9,52,39,21,13,8,56,-1,-1,-1,-1,-1,CA,-1,-1,95.0
9,3,VO,-1,Butte County,6007,-1,-1,1914,-1,4,28,2.6,4911,364,448,14.1,5.5,5,12,50,17,16,17,12,70,31,93,57,22,26,77,41,58,74,26,4,55,22,19,2,25,5,3,12,6,12,56,99,77,34,37,29,14,23,25,38,-1,-1,-1,-1,-1,CA,-1,-1,75.0
9,3,VO,-1,Calaveras County,6009,-1,-1,52,-1,6,4,2.3,121,425,478,13.5,5.8,0,25,48,15,12,23,6,71,28,98,67,17,23,81,35,45,75,25,0,52,33,15,2,10,0,2,0,8,-2,100,94,159,21,44,35,25,8,9,44,-1,-1,-1,-1,-1,CA,-1,-1,90.0
9,3,VO,-1,Colusa County,6011,-1,-1,35,-1,4,17,3.0,106,429,450,14.6,4.9,6,17,46,9,23,31,23,43,30,89,63,26,34,89,57,37,60,15,0,66,20,14,0,26,3,3,0,20,23,53,100,147,20,37,43,23,48,16,51,-1,-1,-1,-1,-1,CA,-1,-1,74.0
9,3,VO,-1,Contra Costa County,6013,-1,-1,8607,-1,6,8,2.6,22256,512,947,17.4,6.7,7,15,33,15,29,33,12,52,23,94,76,20,34,82,48,33,77,20,2,60,19,19,2,69,53,1,7,9,53,96,97,130,22,38,40,19,56,11,47,-1,-1,-1,-1,-1,CA,-1,-1,31.0
9,3,VO,-1,Del Norte County,6015,-1,-1,538,-1,4,25,2.4,1300,378,344,13.5,5.6,5,15,49,16,14,21,20,59,31,95,58,22,26,77,42,48,90,26,7,52,24,17,1,22,1,9,7,5,8,59,91,115,27,49,24,19,26,25,37,-1,-1,-1,-1,-1,CA,-1,-1,78.0
9,3,VO,-1,El Dorado County,6017,-1,-1,371,-1,4,18,2.0,752,379,619,14.0,6.9,3,12,53,16,16,16,11,72,26,97,77,12,28,79,36,71,72,39,1,55,24,20,2,15,1,3,1,9,57,71,96,109,29,46,25,23,16,9,56,-1,-1,-1,-1,-1,CA,-1,-1,85.0
9,3,VO,-1,Fresno County,6019,-1,-1,12558,-1,4,8,3.1,39289,347,504,13.2,4.2,9,28,32,16,16,31,27,40,28,93,65,25,44,84,62,24,75,12,11,65,14,10,1,84,31,1,7,45,10,67,98,125,17,44,39,11,69,30,39,-1,-1,-1,-1,-1,CA,-1,-1,16.0
9,3,VO,-1,Glenn County,6021,-1,-1,75,-1,5,16,2.7,204,418,293,14.6,5.3,7,15,40,24,15,24,11,63,32,96,53,23,25,80,40,52,88,25,3,69,17,11,0,21,1,0,5,15,22,51,99,117,24,51,25,13,36,20,52,-1,-1,-1,-1,-1,CA,-1,-1,79.0
9,3,VO,-1,Humboldt County,6023,-1,-1,962,-1,5,17,2.1,2061,364,439,14.1,6.6,3,9,56,16,16,21,7,72,33,93,54,17,23,76,33,60,84,32,2,55,23,20,3,21,3,6,5,6,37,86,95,120,40,36,24,16,18,22,41,-1,-1,-1,-1,-1,CA,-1,-1,79.0
9,3,VO,-1,Imperial County,6025,-1,-1,1788,-1,5,14,2.5,4539,314,348,12.5,4.9,5,22,50,13,10,29,18,53,28,95,72,23,28,79,45,23,40,12,4,48,19,29,3,94,3,0,0,90,24,73,98,73,40,38,23,8,81,24,40,-1,-1,-1,-1,-1,CA,-1,-1,6.0
9,3,VO,-1,Inyo County,6027,-1,-1,22,-1,5,18,1.7,37,391,264,13.8,8.2,0,18,50,23,9,18,0,82,32,95,55,9,23,59,23,69,33,38,0,41,18,41,0,9,0,5,0,5,15,50,91,102,41,41,18,18,34,16,34,-1,-1,-1,-1,-1,CA,-1,-1,91.0
9,3,VO,-1,Kern County,6029,-1,-1,2957,-1,5,22,2.7,8004,361,432,13.9,5.1,7,19,42,16,16,25,23,49,30,92,59,19,40,86,54,36,68,16,8,58,17,17,1,72,42,2,1,27,26,59,99,96,24,38,38,19,56,27,43,-1,-1,-1,-1,-1,CA,-1,-1,28.0
9,3,VO,-1,Kings County,6031,-1,-1,645,-1,6,21,2.7,1743,370,450,14.0,5.2,5,17,44,18,17,29,18,52,31,93,56,24,32,81,50,40,69,20,5,59,16,20,2,67,21,0,2,43,25,51,98,126,27,34,39,12,55,19,50,-1,-1,-1,-1,-1,CA,-1,-1,33.0
9,3,VO,-1,Lake County,6033,-1,-1,249,-1,3,22,2.1,527,436,493,11.9,5.6,6,15,60,12,7,15,18,67,29,96,71,11,30,77,37,65,89,35,2,51,29,18,0,29,12,6,1,10,14,64,100,176,33,34,33,19,18,20,37,-1,-1,-1,-1,-1,CA,-1,-1,71.0
9,3,VO,-1,Lassen County,6035,-1,-1,51,-1,7,16,2.5,128,484,413,13.1,5.2,6,18,47,14,16,22,18,57,28,96,65,24,31,90,49,46,90,24,6,53,22,20,2,12,4,2,0,6,36,54,100,213,20,51,29,22,19,14,45,-1,-1,-1,-1,-1,CA,-1,-1,88.0
9,3,VO,-1,Los Angeles County,6037,-1,-1,78819,-1,4,12,2.4,185701,384,786,15.1,6.4,7,13,40,18,21,29,15,55,24,96,72,17,26,80,40,31,69,23,1,47,20,31,4,77,47,0,6,24,42,91,98,69,37,40,23,11,80,25,27,-1,-1,-1,-1,-1,CA,-1,-1,23.0
9,3,VO,-1,Madera County,6039,-1,-1,724,-1,5,20,3.3,2393,401,465,14.5,4.4,4,25,30,20,21,41,24,35,30,92,56,30,44,84,65,19,82,10,7,66,15,12,1,78,15,1,1,61,28,56,99,124,13,31,56,14,70,29,48,-1,-1,-1,-1,-1,CA,-1,-1,22.0
9,3,VO,-1,Marin County,6041,-1,-1,2104,-1,5,7,1.9,3972,420,1018,16.7,8.8,5,12,46,14,23,30,6,63,18,98,87,11,21,72,28,51,8,22,1,44,28,27,3,36,14,1,9,12,30,98,89,68,45,36,19,13,30,9,39,-1,-1,-1,-1,-1,CA,-1,-1,64.0
9,3,VO,-1,Mariposa County,6043,-1,-1,114,-1,4,11,1.8,205,399,397,13.5,7.5,7,8,56,15,14,19,6,73,33,91,55,7,19,74,22,56,69,38,1,41,26,32,2,9,0,4,0,4,7,68,97,165,36,47,17,26,14,13,46,-1,-1,-1,-1,-1,CA,-1,-1,91.0
9,3,VO,-1,Mendocino County,6045,-1,-1,691,-1,6,18,1.9,1341,347,537,12.9,6.7,6,14,55,13,13,22,12,64,31,92,63,14,20,73,31,57,73,33,2,52,28,18,1,14,2,3,1,8,27,74,97,82,39,42,19,19,28,18,38,-1,-1,-1,-1,-1,CA,-1,-1,86.0
9,3,VO,-1,Merced County,6047,-1,-1,2416,-1,4,13,3.2,7696,390,483,13.9,4.4,8,22,36,15,19,26,23,49,29,93,60,28,36,79,54,27,61,13,6,63,14,17,2,73,17,1,12,43,24,57,98,109,23,30,47,11,61,25,42,-1,-1,-1,-1,-1,CA,-1,-1,27.0
