sumlevel,program,program_label,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,pct_ownsfd,fedhse,cbsa,placefips,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
9,3,VO,-1,Alameda County,6001,-1,-1,18544.0,-1.0,7.0,45.0,2.5,46615.0,452.0,1161.0,17.1,6.8,9.0,14.0,33.0,16.0,28.0,32.0,16.0,50.0,23.0,94.0,77.0,12.0,16.0,45.0,25.0,18.0,66.0,12.0,43.0,31.0,12.0,13.0,1.0,43.0,29.0,0.0,8.0,6.0,35.0,96.0,96.0,80.0,25.0,42.0,33.0,8.0,71,16,35,-1,-1,-1,-1,-1,CA,-1,-1,57.0
9,3,VO,-1,Alpine County,6003,-1,-1,3.0,-1.0,-4.0,-4.0,-4.0,0.0,-4.0,0.0,-4.0,0.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,0,0,0,-1,-1,-1,-1,-1,CA,-1,-1,
9,3,VO,-1,Amador County,6005,-1,-1,56.0,-1.0,4.0,5.0,2.6,145.0,407.0,789.0,15.7,6.1,7.0,14.0,38.0,11.0,30.0,27.0,14.0,57.0,27.0,95.0,66.0,27.0,25.0,86.0,46.0,40.0,67.0,25.0,0.0,48.0,36.0,16.0,0.0,7.0,0.0,2.0,0.0,5.0,46.0,88.0,98.0,170.0,13.0,45.0,43.0,20.0,10,8,51,-1,-1,-1,-1,-1,CA,-1,-1,93.0
9,3,VO,-1,Butte County,6007,-1,-1,1933.0,-1.0,4.0,14.0,2.6,5059.0,360.0,485.0,14.1,5.4,4.0,13.0,51.0,15.0,17.0,19.0,10.0,70.0,29.0,93.0,59.0,23.0,26.0,76.0,40.0,58.0,74.0,26.0,4.0,55.0,22.0,19.0,2.0,27.0,5.0,3.0,13.0,7.0,24.0,63.0,100.0,72.0,33.0,36.0,31.0,14.0,23,25,39,-1,-1,-1,-1,-1,CA,-1,-1,73.0
9,3,VO,-1,Calaveras County,6009,-1,-1,55.0,-1.0,4.0,5.0,2.2,120.0,439.0,603.0,14.1,6.7,7.0,11.0,47.0,20.0,15.0,11.0,5.0,80.0,27.0,96.0,67.0,13.0,22.0,84.0,33.0,56.0,75.0,33.0,0.0,44.0,35.0,22.0,2.0,13.0,2.0,2.0,0.0,9.0,31.0,109.0,93.0,154.0,25.0,45.0,29.0,29.0,8,9,46,-1,-1,-1,-1,-1,CA,-1,-1,87.0
9,3,VO,-1,Colusa County,6011,-1,-1,35.0,-1.0,5.0,20.0,2.7,95.0,372.0,685.0,11.7,4.3,6.0,23.0,43.0,20.0,9.0,23.0,14.0,63.0,26.0,97.0,74.0,26.0,34.0,91.0,57.0,40.0,80.0,19.0,6.0,54.0,26.0,14.0,0.0,31.0,6.0,3.0,0.0,23.0,4.0,59.0,100.0,150.0,23.0,37.0,40.0,26.0,45,15,50,-1,-1,-1,-1,-1,CA,-1,-1,69.0
9,3,VO,-1,Contra Costa County,6013,-1,-1,8724.0,-1.0,5.0,5.0,2.6,22466.0,506.0,978.0,17.3,6.7,8.0,14.0,34.0,16.0,29.0,31.0,13.0,54.0,23.0,94.0,76.0,20.0,32.0,82.0,47.0,34.0,73.0,20.0,2.0,58.0,20.0,20.0,2.0,72.0,55.0,1.0,7.0,9.0,17.0,106.0,97.0,125.0,22.0,38.0,40.0,20.0,57,12,48,-1,-1,-1,-1,-1,CA,-1,-1,28.0
9,3,VO,-1,Del Norte County,6015,-1,-1,589.0,-1.0,4.0,29.0,2.5,1445.0,374.0,400.0,13.6,5.5,5.0,15.0,46.0,19.0,15.0,18.0,21.0,61.0,30.0,96.0,60.0,22.0,28.0,77.0,44.0,48.0,87.0,25.0,8.0,53.0,21.0,17.0,1.0,25.0,1.0,10.0,10.0,5.0,6.0,57.0,89.0,102.0,28.0,50.0,23.0,16.0,26,25,37,-1,-1,-1,-1,-1,CA,-1,-1,75.0
9,3,VO,-1,El Dorado County,6017,-1,-1,379.0,-1.0,5.0,7.0,2.0,763.0,419.0,636.0,14.7,7.4,3.0,11.0,55.0,13.0,18.0,16.0,9.0,72.0,25.0,96.0,78.0,11.0,25.0,79.0,34.0,69.0,72.0,39.0,1.0,53.0,25.0,21.0,3.0,14.0,1.0,2.0,1.0,9.0,51.0,83.0,95.0,117.0,30.0,45.0,25.0,22.0,16,9,56,-1,-1,-1,-1,-1,CA,-1,-1,86.0
9,3,VO,-1,Fresno County,6019,-1,-1,12147.0,-1.0,2.0,8.0,3.1,38160.0,337.0,548.0,13.2,4.2,10.0,26.0,33.0,15.0,16.0,29.0,27.0,42.0,25.0,91.0,65.0,25.0,42.0,85.0,61.0,24.0,75.0,12.0,10.0,65.0,15.0,10.0,1.0,85.0,32.0,1.0,7.0,45.0,26.0,77.0,99.0,125.0,17.0,42.0,40.0,12.0,68,30,40,-1,-1,-1,-1,-1,CA,-1,-1,15.0
