Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
2020-12-31,County,CA California,CA Alameda County 06001,9,Housing Choice Vouchers,3,,Alameda County,06001,25226,85,21680,100,8,4,2.2,48295,582,1692,21035,9443,3,9,36,15,37,29,6,62,20,95,83,6,27,73,27,34,69,27,1,37,24,38,3,87,58,0,20,13,1,6,1,8,1,41,163,93,114,31,36,32,20,17,77,41,,,,,,CA,,,13.0
2020-12-31,County,CA California,CA Alpine County 06003,9,Housing Choice Vouchers,3,,Alpine County,06003,1,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,CA,,,
2020-12-31,County,CA California,CA Amador County 06005,9,Housing Choice Vouchers,3,,Amador County,06005,57,97,55,100,7,11,1.9,103,467,683,17389,9286,2,9,35,26,28,16,4,78,28,96,62,4,27,64,29,45,55,31,-1,36,24,40,-1,15,2,-1,-1,85,-1,13,-1,13,0,14,93,96,137,38,29,33,27,9,15,74,,,,,,CA,,,85.0
2020-12-31,County,CA California,CA Butte County 06007,9,Housing Choice Vouchers,3,,Butte County,06007,2130,85,1742,96,5,10,2.1,3594,401,558,15785,7651,2,7,52,16,22,14,7,77,28,95,68,9,22,70,25,57,78,35,1,38,26,34,1,34,9,3,10,66,1,9,2,12,5,16,101,98,98,42,38,20,20,28,30,53,,,,,,CA,,,66.0
2020-12-31,County,CA California,CA Calaveras County 06009,9,Housing Choice Vouchers,3,,Calaveras County,06009,50,97,48,100,8,13,1.8,88,505,683,16476,8987,2,13,42,19,25,15,4,81,26,98,71,8,17,75,17,54,80,38,2,31,25,42,-1,15,2,2,-1,85,-1,10,-1,10,0,22,110,88,168,29,56,15,33,15,16,82,,,,,,CA,,,85.0
2020-12-31,County,CA California,CA Colusa County 06011,9,Housing Choice Vouchers,3,,Colusa County,06011,70,91,66,100,7,17,1.7,113,407,617,15897,9285,5,3,52,22,19,17,6,74,29,94,68,5,15,76,20,48,19,20,-1,24,20,56,2,44,5,3,3,56,-1,33,-1,33,3,35,56,98,113,55,35,11,17,14,65,75,,,,,,CA,,,56.0
2020-12-31,County,CA California,CA Contra Costa County 06013,9,Housing Choice Vouchers,3,,Contra Costa County,06013,10394,84,9307,100,6,2,2.3,21723,577,1785,20571,8813,4,8,34,14,39,25,6,65,19,96,84,4,34,79,35,37,71,26,1,43,22,33,3,79,61,1,8,21,1,8,1,9,1,23,171,97,130,29,34,37,23,15,69,57,,,,,,CA,,,21.0
2020-12-31,County,CA California,CA Del Norte County 06015,9,Housing Choice Vouchers,3,,Del Norte County,06015,610,93,565,99,5,14,2.2,1259,426,480,16110,7230,4,9,48,16,23,20,12,68,28,95,68,11,32,70,33,44,88,28,5,44,25,26,1,22,1,6,8,78,0,6,1,7,1,10,83,94,112,29,45,25,24,29,32,56,,,,,,CA,,,78.0
2020-12-31,County,CA California,CA El Dorado County 06017,9,Housing Choice Vouchers,3,,El Dorado County,06017,415,80,336,100,5,9,1.8,620,420,920,16599,8995,1,3,55,17,23,11,4,84,24,97,77,4,20,70,19,64,89,43,1,34,29,36,4,19,3,2,2,81,-1,11,1,12,2,25,125,93,143,40,43,17,26,11,23,71,,,,,,CA,,,81.0
2020-12-31,County,CA California,CA Fresno County 06019,9,Housing Choice Vouchers,3,,Fresno County,06019,12903,95,12233,100,9,4,2.7,33274,428,613,15188,5584,8,13,41,13,24,25,21,52,25,94,72,11,41,78,46,27,83,17,4,56,20,20,1,85,31,1,6,15,1,44,2,47,1,18,115,98,105,28,43,29,17,35,77,52,,,,,,CA,,,15.0
