sumlevel,program,program_label,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,tpct_ownsfd,fedhse,msa,placefips,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
9,3,VO,-1,Adams County,8001,-1,-1,2163,-1,4,18,2.7,5770,287,662,12.4,4.7,22,33,18,11,15,31,4,56,18,98,83,15,43,85,55,32,54,15,6,64,15,15,1,65,13,1,1,50,20,66,97,95,19,38,43,19,43,11,48,-1,-1,-1,-1,-1,CO,-1,-1,35.0
9,3,VO,-1,Alamosa County,8003,-1,-1,82,-1,5,24,2.2,179,228,382,10.1,4.7,13,45,27,9,6,37,4,56,22,100,82,13,35,74,40,36,77,22,10,54,21,16,0,51,0,0,0,51,15,54,90,54,10,51,39,37,52,23,46,-1,-1,-1,-1,-1,CO,-1,-1,49.0
9,3,VO,-1,Arapahoe County,8005,-1,-1,2858,-1,4,21,2.6,7515,299,703,12.6,4.9,21,36,17,11,16,31,6,55,19,98,82,15,41,81,52,35,50,16,4,65,15,16,2,62,48,1,2,11,31,55,92,99,24,34,42,17,32,8,41,-1,-1,-1,-1,-1,CO,-1,-1,38.0
9,3,VO,-1,Archuleta County,8007,-1,-1,20,-1,5,15,1.7,34,196,503,8.4,5.2,20,60,20,0,0,15,10,65,19,100,95,0,35,85,30,50,25,24,5,35,20,40,0,20,0,0,0,20,9,86,65,57,55,20,25,10,14,10,51,-1,-1,-1,-1,-1,CO,-1,-1,80.0
9,3,VO,-1,Baca County,8009,-1,-1,1,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,CO,-1,-1,
9,3,VO,-1,Bent County,8011,-1,-1,92,-1,4,14,2.3,213,207,415,9.0,3.9,24,54,10,4,8,16,4,75,19,96,87,15,42,77,52,51,88,26,11,59,13,17,0,55,1,0,0,54,32,70,66,117,17,38,45,26,37,19,54,-1,-1,-1,-1,-1,CO,-1,-1,45.0
9,3,VO,-1,Boulder County,8013,-1,-1,2233,-1,4,17,2.0,4441,292,626,12.6,6.5,11,39,23,13,14,26,4,67,17,99,89,11,25,74,33,56,42,28,5,51,22,22,4,27,3,1,1,22,27,73,81,80,33,36,31,28,20,11,48,-1,-1,-1,-1,-1,CO,-1,-1,73.0
9,3,VO,-1,Chaffee County,8015,-1,-1,74,-1,5,16,1.9,143,289,374,11.8,6.1,5,39,34,12,9,34,3,64,27,97,68,7,30,80,31,54,73,31,3,51,31,15,3,15,0,0,0,15,26,65,96,83,19,45,36,38,10,11,42,-1,-1,-1,-1,-1,CO,-1,-1,85.0
9,3,VO,-1,Cheyenne County,8017,-1,-1,0,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,CO,-1,-1,
9,3,VO,-1,Clear Creek County,8019,-1,-1,10,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,CO,-1,-1,
9,3,VO,-1,Conejos County,8021,-1,-1,13,-1,5,38,3.4,44,246,343,10.8,3.2,8,46,31,15,0,38,0,62,21,100,85,54,31,85,69,23,0,14,15,62,23,0,0,69,0,0,0,69,22,41,92,90,0,54,46,15,21,8,22,-1,-1,-1,-1,-1,CO,-1,-1,31.0
9,3,VO,-1,Costilla County,8023,-1,-1,0,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,CO,-1,-1,
9,3,VO,-1,Crowley County,8025,-1,-1,28,-1,4,25,2.8,78,249,369,10.4,3.7,21,43,21,0,14,32,7,57,21,96,82,11,46,82,54,54,100,23,14,54,25,7,0,25,0,0,0,25,21,35,89,119,11,50,39,21,21,12,40,-1,-1,-1,-1,-1,CO,-1,-1,75.0
9,3,VO,-1,Custer County,8027,-1,-1,12,-1,6,58,2.9,35,279,491,12.2,4.1,17,25,33,8,17,33,8,50,23,100,67,17,33,75,50,40,50,14,0,58,25,17,0,17,0,0,0,17,14,20,92,150,25,33,42,17,5,12,60,-1,-1,-1,-1,-1,CO,-1,-1,83.0
9,3,VO,-1,Delta County,8029,-1,-1,239,-1,4,28,1.8,424,288,311,11.3,6.4,8,46,25,13,9,23,4,72,26,95,67,6,28,75,30,57,56,36,5,47,22,26,3,13,1,1,0,11,6,40,91,118,41,46,13,23,15,11,56,-1,-1,-1,-1,-1,CO,-1,-1,87.0
9,3,VO,-1,Denver County,8031,-1,-1,6066,-1,4,18,2.5,15177,289,717,11.3,4.6,24,36,17,10,13,30,7,57,18,98,85,13,40,77,49,36,58,18,6,61,17,16,1,75,44,1,1,28,9,72,91,99,26,34,41,19,59,16,44,-1,-1,-1,-1,-1,CO,-1,-1,25.0
9,3,VO,-1,Dolores County,8033,-1,-1,7,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,CO,-1,-1,
9,3,VO,-1,Douglas County,8035,-1,-1,141,-1,5,20,2.6,362,352,701,13.9,5.5,16,36,16,12,21,33,4,56,21,96,74,11,49,89,57,38,50,16,2,71,17,10,1,25,9,0,0,16,7,47,93,94,22,37,41,15,11,4,66,-1,-1,-1,-1,-1,CO,-1,-1,75.0
9,3,VO,-1,Eagle County,8037,-1,-1,12,-1,3,25,2.6,31,429,666,18.8,7.3,8,33,8,25,25,50,8,42,26,92,67,8,42,67,50,33,67,19,0,67,8,25,0,42,0,0,8,33,-2,57,50,32,25,42,33,25,16,6,28,-1,-1,-1,-1,-1,CO,-1,-1,58.0
9,3,VO,-1,Elbert County,8039,-1,-1,15,-1,7,27,2.4,36,290,514,14.0,5.9,7,20,40,20,13,27,0,67,22,100,73,20,33,87,53,36,0,11,7,47,20,27,13,13,0,0,0,13,9,46,87,128,7,40,53,40,3,3,36,-1,-1,-1,-1,-1,CO,-1,-1,87.0
9,3,VO,-1,El Paso County,8041,-1,-1,3123,-1,6,18,2.5,7835,266,577,11.5,4.6,17,40,19,11,12,30,12,54,20,98,82,14,42,82,52,40,56,18,6,64,17,13,1,45,25,2,2,17,40,59,89,108,23,36,41,20,32,12,47,-1,-1,-1,-1,-1,CO,-1,-1,55.0
9,3,VO,-1,Fremont County,8043,-1,-1,185,-1,5,18,2.1,393,281,394,11.3,5.4,8,51,19,12,10,21,5,72,25,96,74,11,30,71,36,66,68,35,3,59,24,14,1,13,1,2,0,10,24,69,89,82,21,44,36,30,12,12,55,-1,-1,-1,-1,-1,CO,-1,-1,87.0
9,3,VO,-1,Garfield County,8045,-1,-1,376,-1,3,38,2.1,784,346,455,14.9,7.2,10,25,27,16,22,41,8,49,28,91,61,9,35,76,40,38,36,19,7,49,19,25,4,16,1,2,1,13,3,40,77,61,31,42,27,24,16,7,44,-1,-1,-1,-1,-1,CO,-1,-1,84.0
9,3,VO,-1,Gilpin County,8047,-1,-1,13,-1,7,77,2.0,26,272,625,11.1,5.6,23,23,38,8,8,23,8,62,18,100,85,8,38,54,38,62,0,31,8,62,31,0,0,8,0,0,0,8,1,12,92,101,38,54,8,8,1,1,12,-1,-1,-1,-1,-1,CO,-1,-1,92.0
9,3,VO,-1,Grand County,8049,-1,-1,49,-1,5,29,2.2,106,305,501,12.1,5.6,22,29,20,12,16,41,2,53,21,94,80,12,47,78,55,36,80,19,4,65,20,10,0,6,0,0,0,6,21,31,78,82,39,37,24,8,3,3,20,-1,-1,-1,-1,-1,CO,-1,-1,94.0
9,3,VO,-1,Gunnison County,8051,-1,-1,43,-1,5,35,2.5,106,422,480,16.3,6.6,0,28,28,12,33,51,0,49,31,93,58,28,23,63,40,38,33,19,2,60,30,7,0,19,2,0,0,16,23,31,91,103,33,35,33,14,8,18,30,-1,-1,-1,-1,-1,CO,-1,-1,81.0
9,3,VO,-1,Hinsdale County,8053,-1,-1,0,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,CO,-1,-1,
9,3,VO,-1,Huerfano County,8055,-1,-1,38,-1,5,37,2.0,76,251,285,10.2,5.1,11,50,16,24,0,37,5,58,24,100,74,11,32,68,34,38,67,24,13,55,16,16,0,55,0,0,0,55,9,28,100,100,11,63,26,39,55,19,54,-1,-1,-1,-1,-1,CO,-1,-1,45.0
9,3,VO,-1,Jackson County,8057,-1,-1,0,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,CO,-1,-1,
9,3,VO,-1,Jefferson County,8059,-1,-1,3578,-1,5,18,2.2,7907,319,613,13.2,6.1,13,35,21,15,17,30,4,61,22,97,77,11,35,79,42,43,28,20,6,54,17,24,3,38,5,1,2,30,17,57,89,94,26,43,31,23,22,9,42,-1,-1,-1,-1,-1,CO,-1,-1,62.0
9,3,VO,-1,Kiowa County,8061,-1,-1,2,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,CO,-1,-1,
9,3,VO,-1,Kit Carson County,8063,-1,-1,18,-1,7,39,1.6,28,257,271,9.3,6.1,11,44,44,0,0,22,6,67,22,100,78,0,39,94,39,63,0,39,11,72,6,11,11,22,0,6,0,17,10,43,83,80,39,39,22,28,20,12,57,-1,-1,-1,-1,-1,CO,-1,-1,78.0
9,3,VO,-1,Lake County,8065,-1,-1,28,-1,5,14,2.6,73,259,523,12.5,4.7,14,50,14,4,18,36,14,39,22,96,75,11,54,75,54,33,0,12,7,68,21,4,0,39,0,0,0,39,20,30,86,85,21,32,46,14,35,12,48,-1,-1,-1,-1,-1,CO,-1,-1,61.0
9,3,VO,-1,La Plata County,8067,-1,-1,206,-1,5,16,2.0,407,255,533,11.0,5.7,11,50,22,7,10,28,1,66,22,98,83,9,31,72,37,67,78,37,4,60,24,11,0,26,1,4,0,20,16,61,78,60,29,39,32,28,16,13,43,-1,-1,-1,-1,-1,CO,-1,-1,74.0
9,3,VO,-1,Larimer County,8069,-1,-1,1530,-1,4,14,2.1,3272,266,557,11.5,5.4,17,40,20,12,11,26,7,62,20,98,83,12,30,74,38,55,49,28,4,58,23,15,1,24,2,1,1,19,18,64,83,78,19,43,38,36,15,12,48,-1,-1,-1,-1,-1,CO,-1,-1,76.0
9,3,VO,-1,Las Animas County,8071,-1,-1,79,-1,7,37,2.1,164,237,400,9.8,4.7,25,39,14,11,10,35,10,54,22,95,80,13,35,70,42,40,56,21,11,59,18,11,0,71,0,0,0,71,6,31,82,100,42,37,22,8,45,16,60,-1,-1,-1,-1,-1,CO,-1,-1,29.0
9,3,VO,-1,Lincoln County,8073,-1,-1,25,-1,5,56,1.8,46,262,276,11.1,6.2,12,32,44,8,4,40,4,52,26,96,64,8,36,76,36,45,80,30,4,60,16,20,0,8,0,0,0,8,14,50,84,94,16,48,36,44,19,11,57,-1,-1,-1,-1,-1,CO,-1,-1,92.0
9,3,VO,-1,Logan County,8075,-1,-1,96,-1,5,38,2.8,264,267,369,11.6,4.2,23,30,17,22,8,38,3,50,23,99,67,18,50,85,61,27,70,14,20,55,15,10,0,17,0,0,0,17,14,50,96,88,9,48,43,20,15,14,54,-1,-1,-1,-1,-1,CO,-1,-1,83.0
9,3,VO,-1,Mesa County,8077,-1,-1,924,-1,4,23,2.2,2074,280,402,11.7,5.3,13,40,23,15,9,30,10,56,25,96,70,12,37,78,44,49,45,23,7,55,18,20,2,18,1,1,0,16,10,65,93,71,25,43,33,24,16,13,49,-1,-1,-1,-1,-1,CO,-1,-1,82.0
9,3,VO,-1,Mineral County,8079,-1,-1,1,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,CO,-1,-1,
9,3,VO,-1,Moffat County,8081,-1,-1,70,-1,6,37,1.9,136,215,379,9.4,4.8,26,43,20,6,6,20,14,54,19,100,84,4,41,69,43,70,67,38,6,60,21,13,0,6,0,0,0,6,2,25,70,53,39,30,31,16,12,8,48,-1,-1,-1,-1,-1,CO,-1,-1,94.0
9,3,VO,-1,Montezuma County,8083,-1,-1,245,-1,4,30,2.3,556,258,376,11.2,5.0,14,45,20,13,9,39,2,53,24,97,73,14,35,77,44,33,57,18,9,58,14,19,0,18,0,13,0,5,10,45,89,96,24,39,37,22,21,17,43,-1,-1,-1,-1,-1,CO,-1,-1,82.0
9,3,VO,-1,Montrose County,8085,-1,-1,288,-1,5,38,1.9,556,265,393,11.3,5.9,14,42,23,11,11,28,6,63,26,94,70,7,37,78,41,48,42,27,8,52,16,23,1,20,0,0,0,20,4,55,91,81,28,49,23,26,19,15,47,-1,-1,-1,-1,-1,CO,-1,-1,80.0
9,3,VO,-1,Morgan County,8087,-1,-1,120,-1,4,19,2.9,342,315,390,13.8,4.8,12,33,23,13,20,38,8,50,27,90,64,19,44,83,55,46,75,19,7,66,21,7,1,35,0,0,1,34,13,51,93,97,11,38,51,28,34,11,52,-1,-1,-1,-1,-1,CO,-1,-1,65.0
