sumlevel,program,program_label,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,pct_ownsfd,fedhse,cbsa,placefips,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
9,3,VO,-1,Adams County,8001,-1,-1,2057.0,-1.0,4.0,9.0,2.7,5478.0,297.0,676.0,12.6,4.8,20.0,34.0,18.0,12.0,15.0,30.0,4.0,59.0,19.0,98.0,82.0,16.0,41.0,85.0,53.0,33.0,55.0,16.0,5.0,63.0,16.0,16.0,1.0,65.0,13.0,1.0,1.0,50.0,35.0,78.0,97.0,96.0,20.0,38.0,42.0,20.0,43,11,48,-1,-1,-1,-1,-1,CO,-1,-1,35.0
9,3,VO,-1,Alamosa County,8003,-1,-1,87.0,-1.0,5.0,26.0,2.2,193.0,223.0,425.0,10.4,4.6,17.0,39.0,24.0,14.0,6.0,46.0,2.0,47.0,22.0,98.0,80.0,16.0,40.0,78.0,47.0,30.0,77.0,19.0,15.0,49.0,21.0,15.0,0.0,53.0,0.0,0.0,0.0,53.0,6.0,57.0,83.0,49.0,10.0,55.0,34.0,32.0,53,23,48,-1,-1,-1,-1,-1,CO,-1,-1,47.0
9,3,VO,-1,Arapahoe County,8005,-1,-1,2849.0,-1.0,5.0,7.0,2.6,7547.0,307.0,710.0,12.9,5.0,20.0,34.0,18.0,11.0,17.0,30.0,5.0,57.0,19.0,97.0,82.0,16.0,39.0,81.0,50.0,37.0,55.0,17.0,4.0,64.0,17.0,16.0,2.0,62.0,48.0,1.0,2.0,11.0,19.0,66.0,92.0,93.0,23.0,34.0,43.0,18.0,33,8,42,-1,-1,-1,-1,-1,CO,-1,-1,38.0
9,3,VO,-1,Archuleta County,8007,-1,-1,25.0,-1.0,5.0,20.0,1.7,43.0,187.0,555.0,8.2,4.7,24.0,52.0,20.0,4.0,0.0,8.0,4.0,80.0,19.0,100.0,88.0,12.0,28.0,88.0,36.0,53.0,25.0,26.0,8.0,36.0,24.0,32.0,0.0,20.0,0.0,0.0,0.0,20.0,27.0,83.0,68.0,84.0,52.0,24.0,24.0,12.0,13,9,47,-1,-1,-1,-1,-1,CO,-1,-1,80.0
9,3,VO,-1,Baca County,8009,-1,-1,0.0,-1.0,-4.0,-4.0,-4.0,0.0,-4.0,0.0,-4.0,0.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,0,0,0,-1,-1,-1,-1,-1,CO,-1,-1,
9,3,VO,-1,Bent County,8011,-1,-1,111.0,-1.0,4.0,29.0,2.3,257.0,220.0,444.0,9.5,4.1,26.0,45.0,14.0,9.0,5.0,24.0,6.0,68.0,21.0,95.0,85.0,23.0,31.0,79.0,49.0,44.0,90.0,25.0,12.0,56.0,14.0,19.0,1.0,52.0,2.0,0.0,0.0,50.0,5.0,62.0,63.0,111.0,16.0,39.0,45.0,30.0,37,19,53,-1,-1,-1,-1,-1,CO,-1,-1,48.0
9,3,VO,-1,Boulder County,8013,-1,-1,2296.0,-1.0,4.0,13.0,2.0,4655.0,298.0,636.0,12.9,6.5,13.0,37.0,22.0,14.0,14.0,26.0,4.0,65.0,18.0,99.0,88.0,12.0,26.0,75.0,34.0,54.0,43.0,27.0,4.0,52.0,22.0,23.0,4.0,28.0,3.0,1.0,1.0,23.0,17.0,79.0,81.0,75.0,31.0,37.0,32.0,28.0,21,11,48,-1,-1,-1,-1,-1,CO,-1,-1,72.0
9,3,VO,-1,Chaffee County,8015,-1,-1,72.0,-1.0,4.0,11.0,1.8,130.0,318.0,331.0,12.9,7.1,3.0,36.0,33.0,13.0,15.0,26.0,1.0,72.0,30.0,93.0,61.0,4.0,26.0,79.0,29.0,59.0,69.0,35.0,1.0,46.0,35.0,18.0,3.0,15.0,0.0,0.0,0.0,15.0,25.0,77.0,97.0,79.0,22.0,44.0,33.0,42.0,10,10,39,-1,-1,-1,-1,-1,CO,-1,-1,85.0
9,3,VO,-1,Cheyenne County,8017,-1,-1,0.0,-1.0,-4.0,-4.0,-4.0,0.0,-4.0,0.0,-4.0,0.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,0,0,0,-1,-1,-1,-1,-1,CO,-1,-1,
9,3,VO,-1,Clear Creek County,8019,-1,-1,10.0,-1.0,-4.0,-4.0,-4.0,0.0,-4.0,0.0,-4.0,0.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,0,0,0,-1,-1,-1,-1,-1,CO,-1,-1,
