gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
County,CO Colorado,CO Adams County 08001,9,Housing Choice Vouchers,3,,Adams County,08001,2391,92,2265,100,5,8,2.6,5836,324,814,12762,4953,11,35,22,13,19,28,4,62,19,98,83,6,44,80,46,39,76,21,4,55,21,20,1,68,16,2,1,32,1,47,1,49,0,20,94,97,104,30,36,34,16,21,58,51,,,,,,CO,,,32.0
County,CO Colorado,CO Alamosa County 08003,9,Housing Choice Vouchers,3,,Alamosa County,08003,72,85,64,100,6,17,2.0,128,341,641,12709,6355,6,40,18,21,15,38,2,58,27,94,64,3,39,78,38,41,85,33,5,47,28,20,-1,59,2,-1,-1,41,-1,56,2,58,0,12,86,81,102,19,41,41,41,24,57,62,,,,,,CO,,,41.0
County,CO Colorado,CO Arapahoe County 08005,9,Housing Choice Vouchers,3,,Arapahoe County,08005,2812,90,3163,100,5,5,2.5,7954,353,967,12808,5093,10,34,22,15,19,27,4,61,20,97,82,7,40,77,41,40,67,21,3,55,22,20,2,65,50,1,2,35,1,11,0,12,2,21,100,92,104,29,34,38,18,20,49,41,,,,,,CO,,,35.0
County,CO Colorado,CO Archuleta County 08007,9,Housing Choice Vouchers,3,,Archuleta County,08007,22,85,20,100,5,10,1.7,33,306,641,11096,6725,11,42,26,11,11,10,-1,85,21,100,80,5,20,80,15,63,75,55,-1,25,15,60,-1,30,-1,-1,-1,70,-1,30,-1,30,0,2,78,95,125,25,45,30,50,8,20,68,,,,,,CO,,,70.0
County,CO Colorado,CO Bent County 08011,9,Housing Choice Vouchers,3,,Bent County,08011,125,81,101,99,5,19,2.4,240,263,494,10207,4296,18,37,27,10,8,26,13,56,21,98,80,20,33,77,48,35,100,22,7,54,27,12,-1,49,2,-1,-1,51,-1,47,-1,47,0,9,70,80,185,16,48,37,32,21,41,80,,,,,,CO,,,51.0
County,CO Colorado,CO Boulder County 08013,9,Housing Choice Vouchers,3,,Boulder County,08013,2594,86,2313,100,6,12,2.1,4821,362,817,13926,6681,8,32,24,16,20,28,4,65,18,99,88,6,33,72,34,50,56,27,4,47,24,24,3,31,3,2,2,69,0,24,0,24,1,20,102,77,98,33,38,29,24,17,27,54,,,,,,CO,,,69.0
County,CO Colorado,CO Broomfield County 08014,9,Housing Choice Vouchers,3,,Broomfield County,08014,104,87,91,100,5,13,1.8,164,345,762,13943,7737,6,36,27,16,17,15,-1,84,24,96,75,2,24,82,26,58,31,32,-1,49,19,32,3,25,3,-1,1,75,-1,21,-1,21,0,22,102,81,123,36,30,34,32,9,22,55,,,,,,CO,,,75.0
County,CO Colorado,CO Chaffee County 08015,9,Housing Choice Vouchers,3,,Chaffee County,08015,63,85,56,100,5,4,1.9,106,330,641,12045,6363,5,38,33,11,13,21,2,75,26,95,75,2,32,84,34,61,80,37,2,41,30,27,4,11,-1,-1,-1,89,-1,11,-1,11,0,43,117,91,110,13,54,34,46,9,12,72,,,,,,CO,,,89.0
County,CO Colorado,CO Clear Creek County 08019,9,Housing Choice Vouchers,3,,Clear Creek County,08019,8,-4,7,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,CO,,,
County,CO Colorado,CO Conejos County 08021,9,Housing Choice Vouchers,3,,Conejos County,08021,12,85,11,100,4,9,2.7,30,401,641,16133,5915,-1,45,-1,18,36,27,-1,73,31,91,45,18,45,73,45,67,100,30,-1,73,9,18,-1,73,-1,-1,-1,27,-1,64,9,73,0,31,111,91,120,9,36,55,36,14,53,77,,,,,,CO,,,27.0
County,CO Colorado,CO Crowley County 08025,9,Housing Choice Vouchers,3,,Crowley County,08025,19,84,17,100,5,12,2.8,47,296,626,11443,4139,12,41,24,18,6,18,6,76,23,100,76,6,53,82,53,57,100,30,-1,53,29,18,-1,24,-1,-1,-1,76,-1,24,-1,24,0,22,70,94,171,-1,41,59,29,23,42,79,,,,,,CO,,,76.0
County,CO Colorado,CO Custer County 08027,9,Housing Choice Vouchers,3,,Custer County,08027,13,85,12,100,4,33,1.3,15,389,641,12709,10167,-1,36,36,9,18,17,-1,75,30,92,67,-1,17,67,8,57,80,53,-1,33,25,42,-1,17,-1,-1,-1,83,-1,17,-1,17,0,43,56,100,165,33,50,17,58,14,8,86,,,,,,CO,,,83.0
County,CO Colorado,CO Delta County 08029,9,Housing Choice Vouchers,3,,Delta County,08029,236,100,231,98,6,16,1.8,405,330,532,12890,7352,3,37,33,17,10,18,6,76,29,94,63,4,26,73,26,51,55,34,3,35,22,40,3,13,1,1,-1,87,-1,11,-1,11,0,8,55,90,134,26,51,23,42,16,19,77,,,,,,CO,,,87.0
County,CO Colorado,CO Denver County 08031,9,Housing Choice Vouchers,3,,Denver County,08031,7946,92,6975,96,5,11,2.4,16930,325,773,12201,5027,13,35,22,14,17,28,7,59,19,97,84,6,41,72,42,39,76,23,3,53,24,19,2,75,44,1,2,25,1,26,0,27,0,14,95,84,117,34,31,35,16,24,60,46,,,,,,CO,,,25.0
County,CO Colorado,CO Dolores County 08033,9,Housing Choice Vouchers,3,,Dolores County,08033,2,-4,2,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,CO,,,
County,CO Colorado,CO Douglas County 08035,9,Housing Choice Vouchers,3,,Douglas County,08035,142,85,124,100,5,5,2.0,249,389,664,13032,6490,10,32,24,18,17,21,2,73,21,98,79,3,33,84,35,48,78,30,3,40,27,30,2,22,7,2,2,78,1,10,-1,11,1,50,95,91,93,35,39,27,21,10,18,54,,,,,,CO,,,78.0
County,CO Colorado,CO Eagle County 08037,9,Housing Choice Vouchers,3,,Eagle County,08037,12,85,11,100,4,18,2.7,30,395,641,14795,5425,10,20,40,-1,30,36,9,45,19,100,82,-1,45,82,36,33,50,13,-1,73,9,18,-1,36,-1,-1,9,64,-1,27,-1,27,0,10,85,82,72,9,36,55,36,10,40,48,,,,,,CO,,,64.0
County,CO Colorado,CO Elbert County 08039,9,Housing Choice Vouchers,3,,Elbert County,08039,19,85,17,100,4,6,2.3,39,261,641,11500,5013,18,29,18,24,12,29,-1,71,18,100,82,6,47,82,47,27,67,23,-1,47,18,35,-1,12,-1,6,-1,88,-1,6,-1,6,0,34,63,82,140,6,59,35,35,9,8,88,,,,,,CO,,,88.0
County,CO Colorado,CO El Paso County 08041,9,Housing Choice Vouchers,3,,El Paso County,08041,3064,98,3059,100,6,12,2.4,7345,329,676,11750,4894,12,38,23,13,14,22,5,67,20,98,82,5,41,78,42,45,71,24,2,54,26,18,1,50,27,1,2,50,1,19,1,20,2,41,97,89,125,28,39,33,23,21,38,54,,,,,,CO,,,50.0
County,CO Colorado,CO Fremont County 08043,9,Housing Choice Vouchers,3,,Fremont County,08043,224,85,199,100,6,11,2.5,491,322,641,12228,4956,10,39,25,12,13,21,9,68,25,94,73,9,42,78,45,52,80,29,2,55,20,23,2,14,2,1,-1,86,-1,11,-1,11,0,36,96,94,107,13,42,45,37,18,13,69,,,,,,CO,,,86.0
