Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
2016-12-31,County,CO Colorado,"CO Adams County, Colorado 08001",9,Housing Choice Vouchers,3,,Adams County,08001,2504,88,2349,100,5,8,2.5,5965,332,963,13576,5346,11,32,21,13,22,30,5,58,20,97,80,6,44,80,46,39,75,22,4,53,23,20,1,69,19,2,1,31,1,44,1,46,1,13,96,96,92,30,38,32,15,21,57,47,,,,,,CO,,,31.0
2016-12-31,County,CO Colorado,"CO Alamosa County, Colorado 08003",9,Housing Choice Vouchers,3,,Alamosa County,08003,56,83,49,100,6,2,2.2,110,365,733,14179,6316,12,37,14,12,24,37,8,55,28,96,61,10,37,73,37,50,82,31,4,47,27,22,-1,55,2,-1,-1,45,-1,53,-1,53,0,-1,97,82,98,16,45,39,39,32,59,57,,,,,,CO,,,45.0
2016-12-31,County,CO Colorado,"CO Arapahoe County, Colorado 08005",9,Housing Choice Vouchers,3,,Arapahoe County,08005,2900,89,3166,100,5,8,2.5,7839,368,1157,13773,5563,9,32,22,15,21,30,3,61,20,97,81,7,38,75,39,39,65,21,2,51,23,23,2,67,52,1,2,33,1,11,0,11,1,28,105,92,108,30,34,35,17,19,51,41,,,,,,CO,,,33.0
2016-12-31,County,CO Colorado,"CO Archuleta County, Colorado 08007",9,Housing Choice Vouchers,3,,Archuleta County,08007,26,83,23,100,6,17,1.5,35,294,733,11152,7328,-1,47,26,11,16,9,-1,74,23,96,70,-1,22,65,17,62,100,63,-1,26,30,43,-1,26,-1,-1,-1,74,-1,26,-1,26,0,2,87,91,103,39,30,30,43,11,21,70,,,,,,CO,,,74.0
2016-12-31,County,CO Colorado,"CO Baca County, Colorado 08009",9,Housing Choice Vouchers,3,,Baca County,08009,1,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,CO,,,
2016-12-31,County,CO Colorado,"CO Bent County, Colorado 08011",9,Housing Choice Vouchers,3,,Bent County,08011,127,96,123,100,5,33,2.2,276,265,486,10711,4774,18,42,23,8,9,18,11,69,21,97,85,15,28,63,32,52,90,30,2,48,33,16,-1,49,4,-1,2,51,-1,43,-1,43,0,3,58,85,159,24,46,31,33,26,41,82,,,,,,CO,,,51.0
2016-12-31,County,CO Colorado,"CO Boulder County, Colorado 08013",9,Housing Choice Vouchers,3,,Boulder County,08013,2711,95,2602,100,6,10,2.1,5415,393,855,15412,7406,6,30,23,15,26,30,5,62,19,98,84,6,31,69,32,48,55,26,3,45,24,28,2,33,4,2,2,67,0,26,0,26,1,10,93,69,98,36,36,27,22,18,26,50,,,,,,CO,,,67.0
2016-12-31,County,CO Colorado,"CO Broomfield County, Colorado 08014",9,Housing Choice Vouchers,3,,Broomfield County,08014,114,86,99,100,5,17,1.7,172,361,852,15045,8660,7,29,27,15,22,19,2,78,24,97,73,2,24,80,26,59,39,34,1,47,20,31,3,24,4,1,2,76,-1,17,-1,17,1,18,93,80,83,39,22,38,30,10,22,51,,,,,,CO,,,76.0
2016-12-31,County,CO Colorado,"CO Chaffee County, Colorado 08015",9,Housing Choice Vouchers,3,,Chaffee County,08015,49,83,43,100,5,-1,1.8,78,324,733,12557,6922,-1,50,28,10,13,7,-1,86,26,93,74,2,26,81,28,74,75,46,-1,42,30,28,5,19,-1,2,-1,81,-1,16,-1,16,0,-1,141,93,102,12,60,28,49,9,12,75,,,,,,CO,,,81.0
2016-12-31,County,CO Colorado,"CO Clear Creek County, Colorado 08019",9,Housing Choice Vouchers,3,,Clear Creek County,08019,14,83,12,100,4,8,1.3,16,241,733,9885,7414,8,42,50,-1,-1,8,8,83,17,100,100,-1,17,83,17,91,100,69,-1,58,33,8,-1,17,-1,-1,-1,83,-1,17,-1,17,0,-1,78,75,89,42,25,33,42,15,8,65,,,,,,CO,,,83.0
2016-12-31,County,CO Colorado,"CO Conejos County, Colorado 08021",9,Housing Choice Vouchers,3,,Conejos County,08021,16,83,14,100,5,-1,2.5,35,417,733,20151,8060,-1,43,14,14,29,21,7,71,37,79,57,14,36,71,36,60,100,34,-1,57,14,29,-1,79,-1,-1,-1,21,-1,79,-1,79,0,-1,114,100,118,14,43,43,43,17,56,74,,,,,,CO,,,21.0
2016-12-31,County,CO Colorado,"CO Crowley County, Colorado 08025",9,Housing Choice Vouchers,3,,Crowley County,08025,13,84,11,100,4,-1,3.3,36,374,720,14589,4458,9,27,9,18,36,45,-1,55,27,100,55,27,45,64,55,33,100,22,-1,64,18,18,-1,18,-1,-1,-1,82,-1,18,-1,18,0,-1,78,91,185,-1,45,55,9,33,42,77,,,,,,CO,,,82.0
