Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
12/31/2023,County,,9001,9,Housing Choice Vouchers,3,,Missing County,9001,181,72,131,100,7,8,3.0,394,665,2051,26914,8949,4,7,24,13,52,46,2,46,-1,-1,-1,8,53,86,55,28,56,14,1,58,21,21,1,63,30,-1,-1,37,5,27,-1,33,2,32,152,95,283,17,36,47,10,8,29,57,,,,,,CT,,,37.0
12/31/2023,County,,09XXX,9,Housing Choice Vouchers,3,,Missing County,09XXX,290,87,262,100,6,-1,2.4,620,165,1189,22052,9319,10,8,20,11,51,44,2,42,-1,-1,-1,2,38,75,35,28,85,20,3,59,26,13,-1,84,47,1,1,16,2,34,-1,36,0,-1,321,19,211,57,0,1,-1,-1,-1,-1,,,,,,CT,,,16.0
12/31/2023,County,CT Connecticut,CT Capitol Planning Region 09110,9,Housing Choice Vouchers,3,,Capitol Planning Region County,9110,14254,87,12723,100,5,6,2.1,27029,492,1107,19151,9014,7,7,35,12,39,33,2,58,20,96,79,2,35,84,35,29,73,27,1,45,24,30,2,85,31,0,0,15,2,51,0,54,1,34,154,94,198,35,34,31,17,0,0,0,,,,,,CT,,,15.0
12/31/2023,County,CT Connecticut,CT Greater Bridgeport Planning Region 09120,9,Housing Choice Vouchers,3,,Greater Bridgeport Planning Region County,9120,4335,90,3898,100,5,7,2.3,8942,514,1210,19482,8492,6,7,34,12,42,36,2,50,20,94,77,3,39,85,39,26,70,22,1,49,25,26,1,90,41,0,0,10,2,46,0,49,1,41,149,94,204,30,34,37,19,0,0,0,,,,,,CT,,,10.0
12/31/2023,County,CT Connecticut,CT Lower Connecticut River Valley Planning Region 09130,9,Housing Choice Vouchers,3,,Lower Connecticut River Valley Planning Region County,9130,1596,63,998,99,5,8,1.9,1924,504,1015,20466,10616,7,6,31,16,41,30,2,62,22,95,75,1,32,76,30,37,59,27,2,43,24,30,1,56,31,-1,0,44,1,23,-1,24,2,6,117,86,190,41,37,22,17,0,0,0,,,,,,CT,,,44.0
12/31/2023,County,CT Connecticut,CT Naugatuck Valley Planning Region 09140,9,Housing Choice Vouchers,3,,Naugatuck Valley Planning Region County,9140,5838,80,4753,100,5,8,2.3,11040,503,1080,19320,8318,11,8,28,13,39,36,3,56,20,96,78,3,42,85,42,27,71,22,2,52,24,23,1,70,26,0,0,30,2,41,0,43,1,24,116,93,259,26,37,37,20,0,0,0,,,,,,CT,,,30.0
12/31/2023,County,CT Connecticut,CT Northeastern Connecticut Planning Region 09150,9,Housing Choice Vouchers,3,,Northeastern Connecticut Planning Region County,9150,436,90,395,100,5,12,1.9,750,483,936,19181,10102,4,8,34,17,37,28,2,66,21,98,80,3,30,75,29,43,80,33,2,40,27,31,1,18,5,-1,-1,82,1,12,-1,13,1,12,107,94,268,41,36,23,20,0,0,0,,,,,,CT,,,82.0
12/31/2023,County,CT Connecticut,CT Northwest Hills Planning Region 09160,9,Housing Choice Vouchers,3,,Northwest Hills Planning Region County,9160,536,58,341,100,4,4,1.8,599,459,1138,17605,10022,5,5,33,22,34,23,2,72,20,99,85,3,22,68,21,49,80,40,2,32,24,42,5,30,11,1,1,70,5,12,-1,17,4,20,127,88,207,50,30,20,18,0,0,0,,,,,,CT,,,70.0
12/31/2023,County,CT Connecticut,CT South Central Connecticut Planning Region 09170,9,Housing Choice Vouchers,3,,South Central Connecticut Planning Region County,9170,11746,88,10659,100,8,5,2.2,23014,508,1172,19904,9219,8,9,31,13,39,34,3,57,21,94,77,2,36,81,36,30,69,25,1,46,24,29,2,82,47,0,0,18,3,31,0,34,1,33,274,83,208,39,31,30,19,0,0,0,,,,,,CT,,,18.0
12/31/2023,County,CT Connecticut,CT Southeastern Connecticut Planning Region 09180,9,Housing Choice Vouchers,3,,Southeastern Connecticut Planning Region County,9180,1916,91,1827,100,5,8,2.1,3900,511,1117,19513,9141,5,6,34,15,40,33,2,59,21,97,79,2,35,81,35,34,83,30,1,45,25,28,1,61,18,1,0,39,2,39,0,41,1,11,116,89,222,34,35,31,18,0,0,0,,,,,,CT,,,39.0
12/31/2023,County,CT Connecticut,CT Western Connecticut Planning Region 09190,9,Housing Choice Vouchers,3,,Western Connecticut Planning Region County,9190,4916,87,5170,100,6,9,2.2,11224,679,1957,26544,12227,5,7,23,12,54,46,2,46,20,96,78,3,35,83,36,26,42,17,2,45,25,28,2,79,45,0,1,21,4,28,0,32,1,16,127,87,230,36,37,27,11,0,0,0,,,,,,CT,,,21.0
