gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
County,FL Florida,FL Alachua County 12001,9,Housing Choice Vouchers,3,A,Alachua County,12001,1916.0,86,1597,93,5.83666917879413,10,2.61978544100572,4315.12681428825,341.367600711411,627.192439453141,11680.0361404501,4458.39417138154,17,34,22,13,14,32,12,53,23,97,74,3,56,83,56,26,46,13,6,64,20,10,0,85,79,0,1,5,8.72414542613588,67.6176190775241,100,245.735288455884,17,40,43,20,30,50,33,A,A,A,-1,-1,FL,-1,A,15.0
County,FL Florida,FL Baker County 12003,9,Housing Choice Vouchers,3,A,Baker County,12003,147.0,82,129,100,4.30135501355014,26,2.43410852713179,294.527131782946,236.457364341085,476.22480620155,10301.4651162791,4232.1305732484,16,43,23,11,7,18,9,73,22,99,75,8,49,78,48,39,77,23,13,53,16,17,1,18,16,0,0,2,16.0090909090909,41.1049095607235,100,94.6046511627907,8,46,47,36,14,15,47,A,A,A,-1,-1,FL,-1,A,82.0
County,FL Florida,FL Bay County 12005,9,Housing Choice Vouchers,3,A,Bay County,12005,875.0,86,705,93,5.5927389201792,1,2.20865429417108,1665.32533780499,283.671371975756,494.236900877987,12518.8589790971,5668.09346855952,6,37,25,18,13,25,6,68,28,94,62,3,46,88,46,37,35,18,5,52,18,26,1,56,53,0,1,2,19.8851851851852,69.2054423608315,100,82.216139413169,23,42,35,27,19,29,46,A,A,A,-1,-1,FL,-1,A,44.0
County,FL Florida,FL Bradford County 12007,9,Housing Choice Vouchers,3,A,Bradford County,12007,74.0,94,70,100,5.27714285714285,36,2.58571428571428,178.298507462687,234.028571428571,472.757142857142,9882.69999999999,3822.03867403315,7,61,16,10,6,14,13,70,23,97,79,3,63,93,63,35,60,15,16,50,20,14,0,67,66,0,0,1,7.04133333333333,51.6971428571428,100,122.842857142857,3,46,51,37,15,24,52,A,A,A,-1,-1,FL,-1,A,33.0
County,FL Florida,FL Brevard County 12009,9,Housing Choice Vouchers,3,A,Brevard County,12009,2617.0,70,1721,94,4.21416156369677,0,2.84360461415445,5194.9480701542,348.393821410194,582.082033802173,13017.7430320906,4577.90192324662,10,35,22,14,18,29,10,58,24,97,72,3,59,89,61,34,85,16,3,69,15,13,1,76,68,0,1,7,6.0181443994355,72.833155175174,98,149.071433343223,15,35,49,17,16,29,54,A,A,A,-1,-1,FL,-1,A,24.0
County,FL Florida,FL Broward County 12011,9,Housing Choice Vouchers,3,A,Broward County,12011,10332.0,94,9642,98,5.50135639606491,3,3.12623650930051,30311.5111582808,346.985431320089,999.45175383449,13738.3299508614,4394.52674485441,17,29,17,13,23,34,13,50,20,97,78,3,65,92,67,21,66,14,2,71,14,13,1,93,83,0,0,12,19.2757069654717,85.4125018987758,98,96.1711892993129,13,41,46,12,20,67,37,A,A,A,-1,-1,FL,-1,A,7.0
County,FL Florida,FL Calhoun County 12013,9,Housing Choice Vouchers,3,A,Calhoun County,12013,25.0,94,24,100,5.65416666666667,4,2.58333333333333,61.0746268656717,240.708333333333,433.833333333333,10201.8333333333,3949.09677419355,8,58,25,4,4,13,13,75,26,96,79,0,58,92,58,32,60,16,4,67,8,21,4,54,54,0,0,0,9.2,50.7458333333333,100,138.291666666667,4,29,67,46,22,29,51,A,A,A,-1,-1,FL,-1,A,46.0
County,FL Florida,FL Charlotte County 12015,9,Housing Choice Vouchers,3,A,Charlotte County,12015,281.0,98,283,100,5.40165935568577,8,2.20998135258739,611.876377376078,280.570579583978,512.902423134561,12544.210162951,5676.16108989544,14,26,27,19,15,25,8,65,29,92,53,2,45,91,46,27,24,14,4,50,13,33,4,38,25,0,0,14,13.0742424242424,42.8269501360079,95,97.1420274864276,30,40,30,16,10,12,59,A,A,A,-1,-1,FL,-1,A,62.0
County,FL Florida,FL Citrus County 12017,9,Housing Choice Vouchers,3,A,Citrus County,12017,101.0,93,107,100,4.57740740740742,3,1.95327102803739,183.607476635514,285.607476635515,434.896226415095,10490.7943925234,5370.88516746411,8,53,21,9,7,14,4,80,28,93,67,2,30,77,30,54,63,34,0,42,21,37,2,23,14,0,0,9,31.0777777777778,80.2320872274145,96,120.087378640777,28,40,32,28,12,7,60,A,A,A,-1,-1,FL,-1,A,77.0
County,FL Florida,FL Clay County 12019,9,Housing Choice Vouchers,3,A,Clay County,12019,229.0,91,250,100,3.9575157964883,5,2.83667054502221,591.179472543733,289.700885715647,652.360845363164,11714.9437418151,4129.8217596585,18,30,23,17,12,21,6,71,21,98,80,3,58,89,59,29,68,16,3,65,10,21,2,67,52,0,2,13,10.0692391117568,51.1413373276675,100,122.654490586424,25,32,42,9,7,20,63,A,A,A,-1,-1,FL,-1,A,33.0
County,FL Florida,FL Collier County 12021,9,Housing Choice Vouchers,3,A,Collier County,12021,440.0,83,386,100,6.27297063903283,1,2.30829015544042,844.834196891191,290.966321243524,713.242744063326,12496.5259067358,5413.75869809204,12,37,22,12,17,26,3,71,21,97,79,2,45,86,46,33,55,21,0,50,19,31,4,74,37,0,1,37,12.3833333333333,84.2717616580314,98,144.997368421054,36,36,28,9,12,33,40,A,A,A,-1,-1,FL,-1,A,26.0
County,FL Florida,FL Columbia County 12023,9,Housing Choice Vouchers,3,A,Columbia County,12023,103.0,94,98,100,5.5156462585034,10,2.42857142857143,234.44776119403,262.683673469388,477.336734693878,10948.6224489796,4508.25630252101,5,50,30,7,8,28,4,66,28,95,67,4,49,83,52,44,59,21,3,59,20,17,1,66,64,0,0,2,32.5266666666667,50.2272108843538,99,109.319587628866,21,36,43,30,15,26,51,A,A,A,-1,-1,FL,-1,A,34.0
County,FL Florida,FL DeSoto County 12027,9,Housing Choice Vouchers,3,A,DeSoto County,12027,3.0,99,3,100,7.1,-4,-4.0,-4.0,-4.0,-4.0,-4.0,9721.0,-4,-4,-4,-4,-4,-4,-4,-4,38,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,67,-4,-4,-4,-4,-1.0,37.2,-4,-4.0,-4,-4,-4,-4,24,39,45,A,A,A,-1,-1,FL,-1,A,33.0
County,FL Florida,FL Dixie County 12029,9,Housing Choice Vouchers,3,A,Dixie County,12029,18.0,94,17,100,6.83333333333333,12,1.64705882352941,27.5820895522388,212.176470588235,433.882352941177,8594.41176470588,5218.03571428572,12,71,12,0,6,6,6,82,25,94,82,0,35,76,35,67,50,39,6,53,29,12,0,24,24,0,0,0,12.4333333333333,47.6137254901961,100,136.470588235294,12,59,29,47,19,14,38,A,A,A,-1,-1,FL,-1,A,76.0
County,FL Florida,FL Duval County 12031,9,Housing Choice Vouchers,3,A,Duval County,12031,6592.0,95,6534,100,3.82804343530982,5,2.95961064911066,18469.2200669345,267.566846668985,653.970698047645,11102.7796922491,3751.43253913666,26,29,18,13,15,31,11,57,19,97,80,3,70,93,72,18,80,11,8,71,12,9,1,93,89,0,1,3,17.1426229508197,55.3914125513168,99,106.342786984816,13,36,50,11,18,54,52,A,A,A,-1,-1,FL,-1,A,7.0
County,FL Florida,FL Escambia County 12033,9,Housing Choice Vouchers,3,A,Escambia County,12033,2323.0,98,2209,97,5.60066395050535,8,2.66093254866455,6077.5699411499,292.397959183669,510.220457730026,11022.1281122679,4142.20500170123,17,37,22,15,10,30,14,53,23,99,75,2,61,90,62,30,74,18,11,63,16,10,1,85,84,0,1,0,15.4064030131827,38.2192545646592,97,138.581308411212,17,46,37,19,21,42,52,A,A,A,-1,-1,FL,-1,A,15.0
County,FL Florida,FL Flagler County 12035,9,Housing Choice Vouchers,3,A,Flagler County,12035,180.0,99,236,100,4.88266666666667,8,2.31355932203389,414.127118644068,327.791489361701,595.417021276595,14194.6016949152,6135.3956043956,1,32,33,16,17,25,1,74,30,93,62,6,40,81,43,49,25,19,1,56,15,28,3,40,29,0,0,11,20.8052631578947,65.0473163841806,99,142.358974358974,21,40,39,29,9,19,76,A,A,A,-1,-1,FL,-1,A,60.0
County,FL Florida,FL Franklin County 12037,9,Housing Choice Vouchers,3,A,Franklin County,12037,26.0,94,25,100,4.47066666666667,12,2.56,63.044776119403,252.92,456.2,9512.36,3715.765625,16,48,24,8,4,36,12,48,24,100,80,8,56,96,64,19,75,11,12,56,16,16,0,32,24,0,0,8,6.36666666666667,30.5586666666667,100,143.76,25,33,42,21,19,22,53,A,A,A,-1,-1,FL,-1,A,68.0
County,FL Florida,FL Gadsden County 12039,9,Housing Choice Vouchers,3,A,Gadsden County,12039,248.0,94,235,100,5.53938703804904,2,3.20500590279522,743.406912228088,269.37086336748,648.120028154675,12149.2162414603,3790.7001141135,13,36,21,14,16,35,9,55,21,97,77,1,78,97,78,19,85,9,1,81,12,6,0,99,99,0,0,0,48.6666666666667,74.9967593643352,96,137.997729285179,2,16,82,27,20,70,50,A,A,A,-1,-1,FL,-1,A,1.0
County,FL Florida,FL Gilchrist County 12041,9,Housing Choice Vouchers,3,A,Gilchrist County,12041,12.0,94,12,100,7.54722222222222,25,2.58333333333333,29.8768115942029,290.166666666667,392.166666666667,11969.0833333333,4633.1935483871,8,50,8,25,8,8,0,92,24,100,67,8,50,100,58,38,25,13,8,50,8,33,0,25,25,0,0,0,11.4555555555556,31.6444444444444,100,105.166666666667,33,25,42,0,14,11,38,A,A,A,-1,-1,FL,-1,A,75.0
County,FL Florida,FL Glades County 12043,9,Housing Choice Vouchers,3,A,Glades County,12043,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,FL,-1,A,
County,FL Florida,FL Gulf County 12045,9,Housing Choice Vouchers,3,A,Gulf County,12045,25.0,94,24,100,4.54305555555556,4,2.75,65.0149253731343,293.458333333333,443.208333333333,11883.4166666667,4321.24242424242,17,38,8,29,8,42,13,38,29,92,58,4,71,100,75,33,-1,12,4,71,25,0,0,71,71,0,0,0,16.1333333333333,38.9777777777778,100,119.375,13,26,61,17,17,25,62,A,A,A,-1,-1,FL,-1,A,29.0
County,FL Florida,FL Hamilton County 12047,9,Housing Choice Vouchers,3,A,Hamilton County,12047,22.0,94,21,100,6.08571428571429,10,2.0952380952381,43.3432835820896,239.714285714286,407.285714285714,9857.04761904762,4704.5,14,62,10,0,14,14,5,81,27,90,81,0,43,95,43,61,33,27,0,57,29,14,0,90,90,0,0,0,61.4166666666667,82.2730158730159,100,143.666666666667,5,33,62,57,26,48,42,A,A,A,-1,-1,FL,-1,A,10.0
County,FL Florida,FL Hardee County 12049,9,Housing Choice Vouchers,3,A,Hardee County,12049,2.0,83,2,100,5.05030953300439,-4,-4.0,-4.0,-4.0,-4.0,-4.0,3273.35233385169,-4,-4,-4,-4,-4,-4,-4,-4,23,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,-4,-4,-4,-4,110.733333333333,14.9276209889507,-4,-4.0,-4,-4,-4,-4,24,45,47,A,A,A,-1,-1,FL,-1,A,60.0
County,FL Florida,FL Hendry County 12051,9,Housing Choice Vouchers,3,A,Hendry County,12051,43.0,77,29,88,4.34722222222223,0,3.72413793103448,122.896551724138,316.896551724138,669.214285714286,10575.0344827586,2839.59259259259,21,34,17,14,14,35,0,65,24,93,59,3,79,90,79,17,60,9,0,66,17,17,0,93,86,0,0,10,-1.0,83.4241379310345,100,189.896551724138,7,28,66,10,23,54,42,A,A,A,-1,-1,FL,-1,A,7.0
County,FL Florida,FL Hernando County 12053,9,Housing Choice Vouchers,3,A,Hernando County,12053,285.0,100,394,100,5.77445008460231,6,2.52791878172587,740.680203045684,272.13197969543,605.055979643762,11932.5279187817,4720.29718875503,12,34,28,16,10,23,11,62,24,96,74,5,53,85,54,40,59,24,2,60,17,20,2,57,25,0,6,33,54.236231884058,50.3566835871402,99,99.3239795918358,16,43,42,23,11,13,71,A,A,A,-1,-1,FL,-1,A,43.0
County,FL Florida,FL Highlands County 12055,9,Housing Choice Vouchers,3,A,Highlands County,12055,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,FL,-1,A,
County,FL Florida,FL Hillsborough County 12057,9,Housing Choice Vouchers,3,A,Hillsborough County,12057,7526.0,97,7528,100,5.37327791429304,9,2.85590888592572,20856.7692712274,325.528031421127,793.5025457435,12627.9356310578,4421.68715300751,16,33,19,14,18,26,12,60,24,93,71,3,60,90,62,31,82,21,3,68,16,14,1,91,69,0,0,23,24.7214568008888,69.6068650120944,94,169.329016763338,16,33,51,18,22,58,45,A,A,A,-1,-1,FL,-1,A,9.0
County,FL Florida,FL Holmes County 12059,9,Housing Choice Vouchers,3,A,Holmes County,12059,190.0,91,154,89,5.23571428571429,18,2.35064935064935,408.114649681529,241.454545454545,367.065359477124,10066.3961038961,4282.38950276243,14,42,30,12,3,26,1,73,26,98,63,8,48,81,49,30,37,15,8,49,16,27,1,8,4,0,1,4,13.316049382716,39.7590909090909,99,119.901960784314,6,37,57,40,21,16,55,A,A,A,-1,-1,FL,-1,A,92.0
County,FL Florida,FL Indian River County 12061,9,Housing Choice Vouchers,3,A,Indian River County,12061,345.0,94,326,100,4.8027060270603,2,2.13803680981596,692.723926380367,321.282208588959,488.324074074077,13406.8773006136,6270.64849354377,2,33,36,15,14,20,2,77,28,96,63,4,38,84,41,42,39,23,2,44,17,37,7,53,47,0,0,6,34.4416666666667,64.5815950920248,99,111.780185758515,42,28,30,13,13,23,43,A,A,A,-1,-1,FL,-1,A,47.0
County,FL Florida,FL Jackson County 12063,9,Housing Choice Vouchers,3,A,Jackson County,12063,141.0,84,110,92,4.93910832424927,0,2.59363137632797,307.126877925643,244.561735274755,366.944547362363,10466.3165554537,4035.39093912094,5,55,23,12,5,21,5,71,26,97,72,5,55,83,53,40,35,15,5,61,18,16,0,67,63,0,1,4,-1.0,45.9775935783242,90,143.068511281798,13,36,50,29,19,35,48,A,A,A,-1,-1,FL,-1,A,33.0
County,FL Florida,FL Jefferson County 12065,9,Housing Choice Vouchers,3,A,Jefferson County,12065,117.0,78,90,99,6.48908617790196,7,3.09057007290539,281.155638173709,232.768519451194,664.15692189396,10035.6120609764,3247.17182404543,23,34,20,10,12,31,4,65,18,100,87,2,70,96,72,28,56,11,0,77,13,10,0,97,94,0,0,2,66.4888888888889,72.6980990919128,99,177.189758836905,6,27,68,26,17,43,52,A,A,A,-1,-1,FL,-1,A,3.0
County,FL Florida,FL Lafayette County 12067,9,Housing Choice Vouchers,3,A,Lafayette County,12067,5.0,94,5,100,6.69333333333333,-4,-4.0,-4.0,-4.0,-4.0,-4.0,3075.5,-4,-4,-4,-4,-4,-4,-4,-4,22,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,-4,-4,-4,-4,2.16666666666667,34.0933333333333,-4,-4.0,-4,-4,-4,-4,18,18,50,A,A,A,-1,-1,FL,-1,A,60.0
County,FL Florida,FL Lake County 12069,9,Housing Choice Vouchers,3,A,Lake County,12069,483.0,89,456,100,5.0223684210527,1,2.72368421052634,1174.20524017467,358.471491228074,580.740659340666,11953.3969298247,4388.68679549115,9,45,19,15,13,27,4,70,23,98,75,2,55,89,55,40,76,21,1,64,17,19,2,71,54,0,0,17,23.9809523809524,84.1493421052641,98,127.988814317675,20,30,50,18,11,21,54,A,A,A,-1,-1,FL,-1,A,29.0
