Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
2022-12-31,County,FL Florida,FL Alachua County 12001,9,Housing Choice Vouchers,3,,Alachua County,12001,3069,64,2230,100,6,10,2.3,5124,432,798,16273,7082,9,11,35,13,31,29,1,64,24,93,70,2,42,71,42,40,84,29,3,50,21,26,1,78,73,0,0,22,0,4,0,5,0,17,99,98,171,24,45,31,28,27,53,38,,,,,,FL,,,22.0
2022-12-31,County,FL Florida,FL Baker County 12003,9,Housing Choice Vouchers,3,,Baker County,12003,150,63,94,99,7,9,2.4,228,351,577,14146,5832,4,15,45,7,29,30,-1,60,21,98,77,1,52,86,52,34,70,18,3,52,20,24,-1,46,44,-1,-1,54,-1,2,-1,2,2,23,101,100,117,5,33,62,41,12,18,53,,,,,,FL,,,54.0
2022-12-31,County,FL Florida,FL Bay County 12005,9,Housing Choice Vouchers,3,,Bay County,12005,1150,85,982,100,5,13,2.4,2333,432,824,17530,7379,5,11,34,17,33,34,0,62,29,90,62,2,47,83,45,23,50,14,3,54,15,27,2,64,59,0,1,36,0,4,-1,4,1,17,79,100,163,37,34,29,18,21,32,50,,,,,,FL,,,36.0
2022-12-31,County,FL Florida,FL Bradford County 12007,9,Housing Choice Vouchers,3,,Bradford County,12007,105,74,80,100,5,10,2.6,208,424,586,14827,5703,3,8,51,15,24,19,-1,81,29,98,59,-1,58,86,54,44,48,19,1,58,15,26,3,69,68,-1,-1,31,-1,1,-1,1,0,5,93,100,184,10,54,36,29,9,12,18,,,,,,FL,,,31.0
2022-12-31,County,FL Florida,FL Brevard County 12009,9,Housing Choice Vouchers,3,,Brevard County,12009,3109,85,2735,100,6,10,2.4,6583,444,912,16932,7035,5,11,38,13,33,26,1,67,25,93,69,2,41,77,41,42,75,29,2,52,20,25,1,71,58,0,1,29,1,10,1,12,1,17,96,96,153,25,41,34,23,17,31,42,,,,,,FL,,,29.0
2022-12-31,County,FL Florida,FL Broward County 12011,9,Housing Choice Vouchers,3,,Broward County,12011,12138,84,11452,100,6,4,2.8,31590,591,1454,20195,7321,8,10,30,11,41,38,0,57,25,89,69,2,48,86,48,25,68,21,1,55,18,26,2,93,78,0,0,7,2,13,0,15,0,26,153,97,157,24,35,42,16,17,61,35,,,,,,FL,,,7.0
2022-12-31,County,FL Florida,FL Calhoun County 12013,9,Housing Choice Vouchers,3,,Calhoun County,12013,14,74,11,100,5,-1,1.3,14,287,586,11363,8928,-1,18,64,18,-1,-1,-1,100,26,100,82,-1,18,73,18,67,25,36,-1,9,18,73,9,45,45,-1,-1,55,-1,-1,-1,0,0,-1,112,100,162,9,55,36,82,2,2,11,,,,,,FL,,,55.0
2022-12-31,County,FL Florida,FL Charlotte County 12015,9,Housing Choice Vouchers,3,,Charlotte County,12015,330,92,372,100,5,12,1.7,614,394,882,16143,9781,3,6,47,20,24,16,0,83,30,93,60,1,23,71,22,47,39,28,1,26,20,53,5,37,17,0,1,63,0,18,0,19,1,19,96,97,115,40,41,19,32,21,21,39,,,,,,FL,,,63.0
2022-12-31,County,FL Florida,FL Citrus County 12017,9,Housing Choice Vouchers,3,,Citrus County,12017,283,74,205,98,6,14,1.6,328,363,597,13558,8474,2,13,49,23,14,8,-1,88,30,95,54,0,18,57,16,71,86,54,0,24,27,48,0,22,14,-1,-1,78,0,8,0,9,1,8,91,97,164,43,37,20,30,9,5,32,,,,,,FL,,,78.0
2022-12-31,County,FL Florida,FL Clay County 12019,9,Housing Choice Vouchers,3,,Clay County,12019,200,90,254,100,5,6,2.7,695,487,1063,17991,6575,7,9,35,13,35,24,0,75,25,94,66,2,43,88,46,36,55,22,0,50,15,35,2,67,50,0,2,33,1,13,-1,15,1,23,117,99,159,26,33,41,21,4,10,24,,,,,,FL,,,33.0
