sumlevel,program,program_label,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,pct_ownsfd,fedhse,cbsa,placefips,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
9,3,VO,-1,Appling County,13001,-1,-1,11.0,-1.0,5.0,0.0,2.0,22.0,277.0,296.0,11.0,5.5,0.0,45.0,36.0,18.0,0.0,45.0,0.0,55.0,30.0,91.0,64.0,18.0,27.0,100.0,45.0,0.0,60.0,14.0,0.0,36.0,18.0,45.0,0.0,82.0,82.0,0.0,0.0,0.0,-2.0,115.0,100.0,223.0,0.0,82.0,18.0,55.0,35,22,49,-1,-1,-1,-1,-1,GA,-1,-1,18.0
9,3,VO,-1,Atkinson County,13003,-1,-1,0.0,-1.0,-4.0,-4.0,-4.0,0.0,-4.0,0.0,-4.0,0.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,0,0,0,-1,-1,-1,-1,-1,GA,-1,-1,
9,3,VO,-1,Bacon County,13005,-1,-1,8.0,-1.0,-4.0,-4.0,-4.0,0.0,-4.0,0.0,-4.0,0.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,0,0,0,-1,-1,-1,-1,-1,GA,-1,-1,
9,3,VO,-1,Baker County,13007,-1,-1,6.0,-1.0,-4.0,-4.0,-4.0,0.0,-4.0,0.0,-4.0,0.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,0,0,0,-1,-1,-1,-1,-1,GA,-1,-1,
9,3,VO,-1,Baldwin County,13009,-1,-1,154.0,-1.0,6.0,17.0,3.2,490.0,223.0,463.0,9.1,2.9,27.0,40.0,13.0,17.0,3.0,33.0,29.0,36.0,19.0,99.0,79.0,18.0,59.0,97.0,77.0,15.0,73.0,11.0,14.0,66.0,10.0,10.0,2.0,95.0,94.0,1.0,0.0,1.0,11.0,73.0,100.0,232.0,6.0,36.0,58.0,18.0,49,19,43,-1,-1,-1,-1,-1,GA,-1,-1,5.0
9,3,VO,-1,Banks County,13011,-1,-1,5.0,-1.0,-4.0,-4.0,-4.0,0.0,-4.0,0.0,-4.0,0.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,0,0,0,-1,-1,-1,-1,-1,GA,-1,-1,
9,3,VO,-1,Barrow County,13013,-1,-1,151.0,-1.0,6.0,7.0,2.5,382.0,312.0,663.0,12.3,4.9,9.0,40.0,25.0,15.0,12.0,30.0,9.0,58.0,20.0,99.0,85.0,22.0,28.0,90.0,50.0,35.0,60.0,21.0,0.0,51.0,16.0,33.0,4.0,52.0,49.0,0.0,1.0,2.0,34.0,100.0,100.0,213.0,7.0,36.0,58.0,36.0,22,11,54,-1,-1,-1,-1,-1,GA,-1,-1,48.0
9,3,VO,-1,Bartow County,13015,-1,-1,71.0,-1.0,6.0,11.0,2.8,197.0,324.0,635.0,13.4,5.0,18.0,20.0,28.0,15.0,18.0,31.0,14.0,49.0,20.0,99.0,82.0,17.0,49.0,89.0,65.0,30.0,40.0,16.0,3.0,65.0,11.0,21.0,1.0,69.0,66.0,1.0,0.0,1.0,17.0,62.0,100.0,208.0,11.0,30.0,59.0,25.0,18,7,60,-1,-1,-1,-1,-1,GA,-1,-1,31.0
9,3,VO,-1,Ben Hill County,13017,-1,-1,59.0,-1.0,7.0,8.0,2.5,146.0,247.0,344.0,10.3,4.1,29.0,25.0,25.0,14.0,7.0,42.0,19.0,36.0,25.0,95.0,68.0,5.0,71.0,95.0,75.0,16.0,56.0,11.0,5.0,75.0,5.0,15.0,2.0,90.0,88.0,0.0,0.0,2.0,13.0,61.0,100.0,219.0,8.0,47.0,44.0,22.0,45,24,47,-1,-1,-1,-1,-1,GA,-1,-1,10.0
9,3,VO,-1,Berrien County,13019,-1,-1,27.0,-1.0,6.0,11.0,2.9,78.0,282.0,392.0,10.3,3.6,11.0,41.0,37.0,7.0,4.0,56.0,11.0,33.0,26.0,96.0,78.0,26.0,48.0,100.0,74.0,13.0,33.0,8.0,4.0,70.0,15.0,11.0,7.0,85.0,85.0,0.0,0.0,0.0,11.0,65.0,96.0,236.0,7.0,15.0,78.0,30.0,17,20,44,-1,-1,-1,-1,-1,GA,-1,-1,15.0
