gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
County,GA Georgia,GA Appling County 13001,9,Housing Choice Vouchers,3,,Appling County,13001,11,-4,10,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,GA,,,
County,GA Georgia,GA Atkinson County 13003,9,Housing Choice Vouchers,3,,Atkinson County,13003,4,-4,4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,GA,,,
County,GA Georgia,GA Bacon County 13005,9,Housing Choice Vouchers,3,,Bacon County,13005,21,86,20,100,5,-1,2.7,53,281,731,9747,3678,7,53,7,13,20,35,-1,40,24,95,65,5,60,95,65,12,67,11,-1,70,15,15,-1,85,85,-1,-1,15,-1,-1,-1,0,0,-1,75,100,261,5,35,60,40,19,28,65,,,,,,GA,,,15.0
County,GA Georgia,GA Baker County 13007,9,Housing Choice Vouchers,3,,Baker County,13007,4,-4,4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,GA,,,
County,GA Georgia,GA Baldwin County 13009,9,Housing Choice Vouchers,3,,Baldwin County,13009,156,86,146,100,5,8,3.0,435,281,731,10719,3597,17,31,22,18,11,32,3,60,24,100,67,-1,66,92,64,27,87,15,2,66,21,10,1,95,93,-1,1,5,-1,1,-1,1,0,24,87,99,246,5,42,52,21,33,48,58,,,,,,GA,,,5.0
County,GA Georgia,GA Banks County 13011,9,Housing Choice Vouchers,3,,Banks County,13011,1,-4,1,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,GA,,,
County,GA Georgia,GA Barrow County 13013,9,Housing Choice Vouchers,3,,Barrow County,13013,144,86,135,100,5,3,2.7,360,390,731,14483,5431,5,34,20,13,27,24,-1,70,26,92,68,4,46,87,48,42,79,25,1,50,21,28,4,62,58,-1,1,38,1,3,-1,4,1,2,148,100,243,7,38,56,37,15,29,77,,,,,,GA,,,38.0
County,GA Georgia,GA Bartow County 13015,9,Housing Choice Vouchers,3,,Bartow County,13015,80,86,75,100,5,1,2.8,211,311,731,12009,4269,10,30,25,18,16,25,1,63,22,97,76,1,60,91,57,35,54,19,3,72,8,17,1,72,71,-1,-1,28,-1,1,-1,1,0,16,104,100,254,9,32,59,32,17,28,66,,,,,,GA,,,28.0
County,GA Georgia,GA Ben Hill County 13017,9,Housing Choice Vouchers,3,,Ben Hill County,13017,49,86,46,100,6,-1,2.4,110,299,731,11033,4614,15,35,20,26,4,39,-1,61,29,96,59,-1,65,96,63,25,50,15,-1,65,13,22,2,93,93,-1,-1,7,-1,-1,-1,0,0,-1,109,100,246,17,33,50,24,36,54,67,,,,,,GA,,,7.0
County,GA Georgia,GA Berrien County 13019,9,Housing Choice Vouchers,3,,Berrien County,13019,22,86,21,100,6,-1,3.2,68,381,731,12915,3989,15,15,25,30,15,62,-1,33,32,86,43,-1,62,100,62,15,100,12,-1,81,14,5,-1,95,95,-1,-1,5,-1,-1,-1,0,0,-1,104,100,288,-1,19,81,29,21,20,64,,,,,,GA,,,5.0
County,GA Georgia,GA Bibb County 13021,9,Housing Choice Vouchers,3,,Bibb County,13021,3015,86,2611,100,6,9,2.6,6914,285,564,11247,4247,16,34,22,16,12,31,1,63,26,93,66,1,53,91,54,29,82,18,2,62,20,16,1,93,92,0,0,7,0,0,0,1,0,44,95,95,182,14,32,54,27,33,76,67,,,,,,GA,,,7.0
County,GA Georgia,GA Bleckley County 13023,9,Housing Choice Vouchers,3,,Bleckley County,13023,61,86,57,100,5,19,2.9,167,316,731,11139,3802,18,29,25,16,11,32,-1,65,24,98,68,2,70,95,72,31,56,16,2,65,18,16,-1,88,88,-1,-1,12,-1,-1,-1,0,0,19,86,100,253,5,39,56,19,21,43,64,,,,,,GA,,,12.0
