Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
12/31/2023,County,,13XXX,9,Housing Choice Vouchers,3,,Missing County,13XXX,461,70,348,100,7,0,2.8,991,1,1037,18218,6397,14,9,27,9,41,40,-1,49,-1,-1,-1,1,62,93,62,21,85,15,2,66,17,15,1,97,92,1,-1,3,2,2,-1,4,0,-1,66,1,141,96,3,1,1,-1,-1,-1,,,,,,GA,,,3.0
12/31/2023,County,GA Georgia,GA Appling County 13001,9,Housing Choice Vouchers,3,,Appling County,13001,2,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,GA,,,
12/31/2023,County,GA Georgia,GA Bacon County 13005,9,Housing Choice Vouchers,3,,Bacon County,13005,5,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,GA,,,
12/31/2023,County,GA Georgia,GA Baker County 13007,9,Housing Choice Vouchers,3,,Baker County,13007,3,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,GA,,,
12/31/2023,County,GA Georgia,GA Baldwin County 13009,9,Housing Choice Vouchers,3,,Baldwin County,13009,56,63,37,100,6,-1,1.6,61,294,1024,12207,7405,11,5,59,14,11,11,-1,89,25,97,78,-1,27,92,27,42,89,43,-1,32,19,49,3,95,92,-1,-1,5,-1,3,-1,3,0,-1,175,100,116,5,68,27,62,33,53,55,,,,,,GA,,,5.0
12/31/2023,County,GA Georgia,GA Barrow County 13013,9,Housing Choice Vouchers,3,,Barrow County,13013,125,63,82,100,6,2,2.0,168,389,1024,15904,7763,10,6,36,20,28,22,-1,76,20,100,82,1,28,88,28,45,90,39,-1,38,24,38,2,74,67,-1,2,26,1,4,-1,5,0,12,186,100,139,11,46,43,54,14,37,79,,,,,,GA,,,26.0
12/31/2023,County,GA Georgia,GA Bartow County 13015,9,Housing Choice Vouchers,3,,Bartow County,13015,103,63,68,100,5,-1,2.4,161,436,1024,15358,6487,5,12,45,8,30,28,-1,60,19,96,82,-1,32,90,32,38,94,25,-1,51,22,26,3,82,78,-1,-1,18,3,1,-1,4,0,-1,142,100,155,19,34,47,29,13,35,61,,,,,,GA,,,18.0
12/31/2023,County,GA Georgia,GA Ben Hill County 13017,9,Housing Choice Vouchers,3,,Ben Hill County,13017,15,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,GA,,,
12/31/2023,County,GA Georgia,GA Berrien County 13019,9,Housing Choice Vouchers,3,,Berrien County,13019,11,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,GA,,,
12/31/2023,County,GA Georgia,GA Bibb County 13021,9,Housing Choice Vouchers,3,,Bibb County,13021,3645,86,3381,100,6,8,2.4,8112,349,726,13976,5825,10,8,43,14,25,26,0,62,26,91,67,1,46,86,45,27,81,21,1,53,19,27,1,97,96,0,0,3,0,0,0,1,0,16,112,98,192,18,34,48,34,36,80,65,,,,,,GA,,,3.0
