gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
County,IA Iowa,IA Adair County 19001,9,Housing Choice Vouchers,3,A,Adair County,19001,33.0,100,31,94,5.54334322290991,19,1.71036959030768,56.6450420613367,249.940222579799,261.500528307149,11050.2592614914,6460.74352824736,13,29,45,3,10,16,3,81,26,100,61,3,39,87,42,29,14,15,3,39,13,45,19,0,0,0,0,0,17.7222222222222,36.6924484622315,97,116.796873617741,42,52,6,13,8,1,70,A,A,A,-1,-1,IA,-1,A,100.0
County,IA Iowa,IA Adams County 19003,9,Housing Choice Vouchers,3,A,Adams County,19003,17.0,100,16,93,5.57619047619048,19,2.125,36.4435318275154,195.875,343.125,8246.3125,3880.61764705882,25,31,44,0,0,19,0,81,18,100,88,6,44,75,50,43,50,21,6,69,13,13,0,0,0,0,0,0,8.33333333333333,35.00625,100,168.625,25,56,19,25,9,1,68,A,A,A,-1,-1,IA,-1,A,100.0
County,IA Iowa,IA Allamakee County 19005,9,Housing Choice Vouchers,3,A,Allamakee County,19005,55.0,92,58,100,4.42758620689656,33,2.10344827586207,106.358974358974,212.206896551724,320.568965517242,8830.62068965518,4198.16393442623,21,40,31,5,3,17,4,75,20,100,86,5,36,76,40,34,45,20,9,55,17,19,3,17,14,0,0,3,12.1736842105263,38.4022988505748,90,100.653846153846,50,22,28,12,12,8,63,A,A,A,-1,-1,IA,-1,A,83.0
County,IA Iowa,IA Appanoose County 19007,9,Housing Choice Vouchers,3,A,Appanoose County,19007,106.0,92,101,100,5.95295737795221,23,1.45645427018203,141.393250183419,267.853414180702,238.863271547403,10629.7788654833,7298.39520753013,8,44,33,14,2,14,5,79,25,99,72,2,21,69,21,55,42,38,5,34,26,36,3,2,2,0,0,0,8.92463768115942,52.866395691947,93,98.547274168802,38,51,12,36,18,4,55,A,A,A,-1,-1,IA,-1,A,98.0
County,IA Iowa,IA Audubon County 19009,9,Housing Choice Vouchers,3,A,Audubon County,19009,25.0,100,25,98,5.19855072463768,12,1.8,45.7741935483871,236.4,245.36,10189.0,5660.55555555556,8,36,48,8,0,13,0,88,24,100,92,0,28,84,20,67,30,33,4,40,16,40,4,0,0,0,0,0,2.61111111111111,47.0626666666667,100,101.0,28,52,20,40,7,1,77,A,A,A,-1,-1,IA,-1,A,100.0
County,IA Iowa,IA Benton County 19011,9,Housing Choice Vouchers,3,A,Benton County,19011,6.0,84,6,100,5.56111111111111,-4,-4.0,-4.0,-4.0,-4.0,-4.0,5673.66666666667,-4,-4,-4,-4,-4,-4,-4,-4,23,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,29.7333333333333,36.5055555555556,-4,-4.0,-4,-4,-4,-4,7,1,73,A,A,A,-1,-1,IA,-1,A,100.0
County,IA Iowa,IA Black Hawk County 19013,9,Housing Choice Vouchers,3,A,Black Hawk County,19013,1517.0,92,1363,98,5.02600075098099,7,2.33790580527582,3251.56146292082,278.106775814479,398.209888287025,10894.1067048554,4659.77144171991,15,39,23,14,9,26,12,62,22,98,76,2,54,82,54,41,75,22,10,64,15,12,1,52,49,0,0,2,12.7470991740984,65.1167603280231,86,98.2656352921724,25,45,29,18,18,26,56,A,A,A,-1,-1,IA,-1,A,48.0
County,IA Iowa,IA Boone County 19015,9,Housing Choice Vouchers,3,A,Boone County,19015,126.0,97,113,92,4.3843657817109,4,1.64601769911504,201.124108416548,255.696428571428,316.360360360359,10839.2654867256,6585.14516129031,10,37,36,13,4,19,6,74,23,99,75,4,23,78,25,48,11,20,3,45,12,41,10,4,4,0,0,0,46.8,47.2014749262535,96,71.7037037037035,63,20,17,11,8,2,62,A,A,A,-1,-1,IA,-1,A,96.0
County,IA Iowa,IA Bremer County 19017,9,Housing Choice Vouchers,3,A,Bremer County,19017,90.0,95,87,100,5.57586206896552,21,1.36781609195402,116.367256637168,265.252873563218,257.244186046512,11208.5747126437,8194.50420168069,8,39,32,17,3,23,4,74,24,98,75,0,25,71,25,54,38,37,10,45,17,28,11,2,1,0,1,0,3.49259259259259,44.9455938697318,71,90.8870967741935,64,30,6,10,6,3,66,A,A,A,-1,-1,IA,-1,A,98.0
County,IA Iowa,IA Buchanan County 19019,9,Housing Choice Vouchers,3,A,Buchanan County,19019,67.0,95,65,100,5.24410256410256,17,1.43076923076923,90.9424778761062,258.476923076923,271.682539682539,10165.7384615384,7105.08602150538,3,58,32,5,2,8,3,89,24,100,82,0,17,60,14,71,61,48,5,48,12,35,6,2,0,0,0,2,3.91212121212121,43.8482051282051,68,128.409090909091,72,23,5,8,10,3,69,A,A,A,-1,-1,IA,-1,A,98.0
County,IA Iowa,IA Buena Vista County 19021,9,Housing Choice Vouchers,3,A,Buena Vista County,19021,73.0,97,68,95,4.58627450980392,12,2.5,178.79917184265,218.776119402985,358.230769230769,9233.75,3693.5,25,37,15,22,1,42,14,44,19,99,75,4,60,93,62,14,33,8,10,62,10,18,10,40,21,0,3,16,10.5208333333333,27.710294117647,81,79.0727272727272,25,46,29,12,11,23,64,A,A,A,-1,-1,IA,-1,A,60.0
County,IA Iowa,IA Butler County 19023,9,Housing Choice Vouchers,3,A,Butler County,19023,22.0,95,21,100,4.52857142857143,5,1.66666666666667,34.2256637168142,292.095238095238,207.857142857143,11227.0,6736.2,0,52,33,14,0,14,0,86,26,100,76,0,29,86,29,54,25,26,0,43,19,38,14,0,0,0,0,0,3.86666666666667,31.4507936507937,76,152.1875,57,24,19,14,8,1,77,A,A,A,-1,-1,IA,-1,A,100.0
County,IA Iowa,IA Calhoun County 19025,9,Housing Choice Vouchers,3,A,Calhoun County,19025,36.0,99,32,89,3.94447869690303,3,1.56423228598423,56.2905607024593,272.469314123466,245.920038660154,10684.573287728,6830.55412131787,13,31,47,6,3,10,3,87,25,100,78,6,22,69,25,46,58,38,3,31,6,59,9,0,0,0,0,0,4.46666666666667,58.2866009082875,78,138.08,31,50,19,40,10,2,75,A,A,A,-1,-1,IA,-1,A,100.0
County,IA Iowa,IA Carroll County 19027,9,Housing Choice Vouchers,3,A,Carroll County,19027,231.0,100,231,98,5.44072327044023,15,1.77489177489177,417.053763440861,245.900432900432,254.744493392069,10395.8831168831,5857.19268292682,14,35,35,11,4,17,6,77,22,99,80,0,35,74,32,57,35,30,8,49,16,26,4,4,2,0,1,1,4.30098039215687,43.4770562770561,83,67.6249999999997,39,48,13,25,6,1,66,A,A,A,-1,-1,IA,-1,A,96.0
County,IA Iowa,IA Cass County 19029,9,Housing Choice Vouchers,3,A,Cass County,19029,175.0,100,166,93,6.27214611872145,23,1.78313253012048,317.273100616017,267.301204819276,297.8,10841.6686746988,6080.12499999999,12,39,28,16,5,26,4,70,25,96,70,3,31,75,32,53,26,29,11,50,16,23,2,1,0,1,0,0,19.1444444444444,33.5516064257028,82,142.029411764706,45,40,14,20,12,2,66,A,A,A,-1,-1,IA,-1,A,99.0
County,IA Iowa,IA Cedar County 19031,9,Housing Choice Vouchers,3,A,Cedar County,19031,95.0,98,86,92,4.87767357708003,0,1.88561066035519,175.216602823502,256.789844714809,331.87237770601,9905.58364596922,5253.24970537838,9,45,30,13,2,14,13,72,21,100,78,6,30,71,34,39,50,22,6,52,14,28,6,0,0,0,0,0,-1.0,51.580961207697,81,133.413695256972,48,35,17,13,6,1,69,A,A,A,-1,-1,IA,-1,A,100.0
County,IA Iowa,IA Cerro Gordo County 19033,9,Housing Choice Vouchers,3,A,Cerro Gordo County,19033,519.0,98,533,99,4.97705253244381,12,1.99603590435762,1017.16026372059,264.538308667566,330.183681929384,10704.5236844278,5362.8913493281,16,36,29,12,8,27,7,65,22,99,76,7,36,76,39,44,60,25,10,57,17,16,3,11,5,0,0,5,16.5759844057511,55.8033085765309,78,110.067177168999,38,42,20,16,10,6,64,A,A,A,-1,-1,IA,-1,A,89.0
