gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
County,ID Idaho,ID Ada County 16001,9,Housing Choice Vouchers,3,A,Ada County,16001,1928.0,100,1846,95,3.90438589744032,2,2.3179938312285,4512.89131134751,311.560900261598,507.054770878663,11911.4501518634,5138.68932323713,11,40,23,14,12,19,9,68,23,98,76,9,38,77,42,55,92,31,2,61,21,16,1,14,3,3,1,7,22.7379343631228,68.4221142578333,92,103.419427759203,28,40,32,22,11,11,50,A,A,A,-1,-1,ID,-1,A,86.0
County,ID Idaho,ID Adams County 16003,9,Housing Choice Vouchers,3,A,Adams County,16003,4.0,100,4,100,1.1,-4,-4.0,-4.0,-4.0,-4.0,-4.0,6577.57142857143,-4,-4,-4,-4,-4,-4,-4,-4,29,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,25,-4,-4,-4,-4,7.7,43.0833333333333,-4,-4.0,-4,-4,-4,-4,16,4,66,A,A,A,-1,-1,ID,-1,A,75.0
County,ID Idaho,ID Bannock County 16005,9,Housing Choice Vouchers,3,A,Bannock County,16005,646.0,99,619,96,5.1422430028487,12,2.78517873269686,1789.7855254967,252.135775358876,436.895936697806,10566.2083215798,3793.72720232884,21,38,19,12,11,21,15,58,22,96,76,16,52,81,59,35,89,16,7,71,13,9,1,18,2,4,1,12,17.1753881109815,52.023262415482,90,89.002771921917,12,44,44,20,16,10,55,A,A,A,-1,-1,ID,-1,A,82.0
County,ID Idaho,ID Bear Lake County 16007,9,Housing Choice Vouchers,3,A,Bear Lake County,16007,5.0,99,5,95,4.32,-4,-4.0,-4.0,-4.0,-4.0,-4.0,4281.88888888889,-4,-4,-4,-4,-4,-4,-4,-4,19,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-1.0,75.94,-4,-4.0,-4,-4,-4,-4,11,4,74,A,A,A,-1,-1,ID,-1,A,100.0
County,ID Idaho,ID Benewah County 16009,9,Housing Choice Vouchers,3,A,Benewah County,16009,11.0,99,10,95,5.78,-4,-4.0,-4.0,-4.0,-4.0,-4.0,7070.46153846154,-4,-4,-4,-4,-4,-4,-4,-4,25,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-1.0,48.7233333333334,-4,-4.0,-4,-4,-4,-4,12,6,55,A,A,A,-1,-1,ID,-1,A,100.0
County,ID Idaho,ID Bingham County 16011,9,Housing Choice Vouchers,3,A,Bingham County,16011,98.0,99,91,95,4.73553113553112,2,2.5054945054945,241.140362438221,275.725274725274,411.777777777777,11173.3296703297,4459.53070175438,12,43,23,12,10,21,9,69,25,98,70,10,46,77,49,53,76,25,1,65,15,19,0,16,0,1,0,15,17.0666666666667,58.3051282051281,98,100.078651685393,16,40,44,29,13,16,65,A,A,A,-1,-1,ID,-1,A,84.0
County,ID Idaho,ID Blaine County 16013,9,Housing Choice Vouchers,3,A,Blaine County,16013,27.0,99,25,95,3.712,12,2.52,66.6308896210873,331.6,722.8,13873.2,5505.2380952381,12,36,12,12,28,36,0,64,21,100,76,12,56,88,68,29,25,11,0,72,12,16,0,4,0,0,0,4,16.7111111111111,37.6026666666667,100,97.0,4,56,40,28,7,15,61,A,A,A,-1,-1,ID,-1,A,96.0
County,ID Idaho,ID Boise County 16015,9,Housing Choice Vouchers,3,A,Boise County,16015,17.0,100,17,100,4.56888888888889,29,2.47058823529412,41.7116704805492,310.176470588235,499.35294117647,11822.0588235294,4785.11904761905,6,41,29,18,6,53,0,41,22,100,76,18,29,82,47,43,67,24,6,41,35,18,0,6,0,6,0,0,9.16,32.0882352941176,100,168.470588235294,6,41,53,53,13,6,64,A,A,A,-1,-1,ID,-1,A,94.0
County,ID Idaho,ID Bonner County 16017,9,Housing Choice Vouchers,3,A,Bonner County,16017,90.0,99,84,95,5.16785714285713,2,1.54761904761905,137.49231191653,299.365853658536,424.40243902439,11447.8214285714,7397.05384615383,1,54,25,15,5,6,0,92,29,98,61,2,19,73,19,83,52,52,4,36,31,30,2,2,0,2,0,0,2.25,59.5698412698412,93,88.9487179487178,26,55,19,43,16,4,60,A,A,A,-1,-1,ID,-1,A,98.0
County,ID Idaho,ID Bonneville County 16019,9,Housing Choice Vouchers,3,A,Bonneville County,16019,826.0,99,769,95,4.52405721716511,3,2.56827048114432,2088.82550796265,309.345144356953,472.232309746325,11745.9245773731,4573.4764556962,14,36,22,16,12,26,8,64,23,97,74,14,47,80,54,49,60,24,6,67,18,9,1,12,2,3,0,7,15.5439393939394,56.2050281751188,92,122.536067892503,17,41,42,22,13,11,58,A,A,A,-1,-1,ID,-1,A,88.0
County,ID Idaho,ID Boundary County 16021,9,Housing Choice Vouchers,3,A,Boundary County,16021,3.0,99,3,95,4.72222222222222,-4,-4.0,-4.0,-4.0,-4.0,-4.0,4449.6,-4,-4,-4,-4,-4,-4,-4,-4,20,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,31.4666666666667,24.1888888888889,-4,-4.0,-4,-4,-4,-4,16,7,62,A,A,A,-1,-1,ID,-1,A,100.0
County,ID Idaho,ID Butte County 16023,9,Housing Choice Vouchers,3,A,Butte County,16023,1.0,99,1,95,8.13333333333333,-4,-4.0,-4.0,-4.0,-4.0,-4.0,3211.0,-4,-4,-4,-4,-4,-4,-4,-4,25,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-1.0,80.1333333333333,-4,-4.0,-4,-4,-4,-4,18,10,61,A,A,A,-1,-1,ID,-1,A,100.0
County,ID Idaho,ID Camas County 16025,9,Housing Choice Vouchers,3,A,Camas County,16025,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,ID,-1,A,
County,ID Idaho,ID Canyon County 16027,9,Housing Choice Vouchers,3,A,Canyon County,16027,648.0,100,653,100,4.60155595451822,5,3.03062787136295,1965.41418764302,289.270049099837,546.914191419142,12376.2036753446,4083.70944921677,16,32,20,16,16,25,9,62,22,98,74,12,51,85,56,34,67,18,4,67,11,18,1,36,2,2,1,33,11.9981481481482,61.6291475242473,92,116.798668885191,9,34,57,27,12,22,61,A,A,A,-1,-1,ID,-1,A,64.0
County,ID Idaho,ID Caribou County 16029,9,Housing Choice Vouchers,3,A,Caribou County,16029,1.0,99,1,95,12.1333333333333,-4,-4.0,-4.0,-4.0,-4.0,-4.0,2770.5,-4,-4,-4,-4,-4,-4,-4,-4,20,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-1.0,96.8,-4,-4.0,-4,-4,-4,-4,11,4,68,A,A,A,-1,-1,ID,-1,A,100.0
County,ID Idaho,ID Cassia County 16031,9,Housing Choice Vouchers,3,A,Cassia County,16031,109.0,99,102,95,4.55653594771241,6,2.62745098039215,283.445689181768,272.872549019607,461.377551020407,10818.2058823529,4117.37686567164,15,43,22,10,11,20,11,65,25,96,68,15,42,82,53,42,67,19,2,66,15,18,0,31,1,2,0,28,16.2833333333333,56.3052287581698,97,152.939393939394,19,43,38,25,22,36,46,A,A,A,-1,-1,ID,-1,A,69.0
County,ID Idaho,ID Clark County 16033,9,Housing Choice Vouchers,3,A,Clark County,16033,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,ID,-1,A,
County,ID Idaho,ID Clearwater County 16035,9,Housing Choice Vouchers,3,A,Clearwater County,16035,48.0,99,45,95,5.76222222222222,13,2.2,104.70568369028,262.155555555556,387.777777777778,10478.4,4762.90909090909,0,62,31,7,0,9,2,89,26,100,82,9,22,73,24,82,67,42,2,69,16,13,0,4,0,0,2,2,14.6944444444444,60.4037037037037,87,117.769230769231,27,36,38,38,12,8,56,A,A,A,-1,-1,ID,-1,A,96.0
County,ID Idaho,ID Custer County 16037,9,Housing Choice Vouchers,3,A,Custer County,16037,1.0,99,1,95,3.03333333333333,-4,-4.0,-4.0,-4.0,-4.0,-4.0,8724.0,-4,-4,-4,-4,-4,-4,-4,-4,24,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-1.0,24.3666666666667,-4,-4.0,-4,-4,-4,-4,14,6,56,A,A,A,-1,-1,ID,-1,A,100.0
County,ID Idaho,ID Elmore County 16039,9,Housing Choice Vouchers,3,A,Elmore County,16039,50.0,100,50,100,4.75348837209303,4,2.52,125.135011441648,270.38,413.26,10955.76,4347.52380952381,18,38,20,10,14,24,6,70,24,100,72,12,52,90,58,50,67,26,6,56,26,12,0,22,10,2,0,10,16.2,53.488,100,105.82,10,40,50,28,12,22,51,A,A,A,-1,-1,ID,-1,A,78.0
