sumlevel,program,program_label,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,pct_ownsfd,fedhse,cbsa,placefips,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
9,3,VO,-1,Adams County,17001,-1,-1,187.0,-1.0,7.0,24.0,2.4,441.0,335.0,360.0,12.0,5.2,11.0,35.0,33.0,13.0,8.0,41.0,1.0,52.0,25.0,95.0,71.0,8.0,51.0,83.0,54.0,35.0,44.0,16.0,11.0,59.0,16.0,13.0,1.0,50.0,49.0,0.0,0.0,2.0,10.0,25.0,99.0,172.0,16.0,52.0,33.0,21.0,10,17,54,-1,-1,-1,-1,-1,IL,-1,-1,50.0
9,3,VO,-1,Alexander County,17003,-1,-1,6.0,-1.0,-4.0,-4.0,-4.0,0.0,-4.0,0.0,-4.0,0.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,0,0,0,-1,-1,-1,-1,-1,IL,-1,-1,
9,3,VO,-1,Bond County,17005,-1,-1,0.0,-1.0,-4.0,-4.0,-4.0,0.0,-4.0,0.0,-4.0,0.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,0,0,0,-1,-1,-1,-1,-1,IL,-1,-1,
9,3,VO,-1,Boone County,17007,-1,-1,192.0,-1.0,5.0,21.0,2.3,435.0,262.0,541.0,11.3,5.0,22.0,33.0,24.0,13.0,7.0,29.0,1.0,59.0,19.0,99.0,80.0,7.0,49.0,84.0,52.0,32.0,38.0,16.0,10.0,55.0,15.0,20.0,3.0,30.0,17.0,0.0,1.0,12.0,6.0,52.0,95.0,96.0,35.0,42.0,23.0,11.0,25,11,56,-1,-1,-1,-1,-1,IL,-1,-1,70.0
9,3,VO,-1,Brown County,17009,-1,-1,0.0,-1.0,-4.0,-4.0,-4.0,0.0,-4.0,0.0,-4.0,0.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,0,0,0,-1,-1,-1,-1,-1,IL,-1,-1,
9,3,VO,-1,Bureau County,17011,-1,-1,63.0,-1.0,4.0,24.0,2.5,156.0,296.0,361.0,10.9,4.5,11.0,49.0,21.0,6.0,13.0,33.0,2.0,62.0,22.0,97.0,79.0,11.0,46.0,81.0,51.0,41.0,0.0,19.0,3.0,76.0,17.0,3.0,0.0,6.0,0.0,0.0,3.0,3.0,12.0,43.0,81.0,147.0,25.0,29.0,46.0,16.0,4,6,61,-1,-1,-1,-1,-1,IL,-1,-1,94.0
9,3,VO,-1,Calhoun County,17013,-1,-1,0.0,-1.0,-4.0,-4.0,-4.0,0.0,-4.0,0.0,-4.0,0.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,0,0,0,-1,-1,-1,-1,-1,IL,-1,-1,
9,3,VO,-1,Carroll County,17015,-1,-1,0.0,-1.0,-4.0,-4.0,-4.0,0.0,-4.0,0.0,-4.0,0.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,0,0,0,-1,-1,-1,-1,-1,IL,-1,-1,
9,3,VO,-1,Cass County,17017,-1,-1,1.0,-1.0,-4.0,-4.0,-4.0,0.0,-4.0,0.0,-4.0,0.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,0,0,0,-1,-1,-1,-1,-1,IL,-1,-1,
9,3,VO,-1,Champaign County,17019,-1,-1,1226.0,-1.0,5.0,8.0,3.1,3751.0,345.0,562.0,13.0,4.3,25.0,27.0,18.0,13.0,17.0,46.0,12.0,30.0,20.0,96.0,77.0,14.0,58.0,91.0,69.0,17.0,69.0,8.0,5.0,75.0,13.0,7.0,1.0,83.0,81.0,0.0,0.0,2.0,21.0,78.0,99.0,188.0,10.0,32.0,58.0,17.0,40,17,45,-1,-1,-1,-1,-1,IL,-1,-1,17.0
