gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
County,IL Illinois,IL Adams County 17001,9,Housing Choice Vouchers,3,A,Adams County,17001,219.0,62,206,100,4.33980582524272,12,2.43203883495146,329.361111111111,244.718446601942,412.916666666667,9932.38349514566,4083.97405189621,17,39,25,13,6,35,11,52,20,99,82,3,56,88,58,32,69,18,6,64,17,13,0,53,52,0,0,1,22.2,39.3666666666668,98,108.950248756219,24,40,36,15,23,13,62,A,A,A,-1,-1,IL,-1,A,47.0
County,IL Illinois,IL Alexander County 17003,9,Housing Choice Vouchers,3,A,Alexander County,17003,13.0,46,6,98,4.94660835762877,-4,-4.0,-4.0,-4.0,-4.0,-4.0,5411.50802522213,-4,-4,-4,-4,-4,-4,-4,-4,26,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,100,-4,-4,-4,-4,-1.0,50.541778425656,-4,-4.0,-4,-4,-4,-4,26,54,70,A,A,A,-1,-1,IL,-1,A,0.0
County,IL Illinois,IL Bond County 17005,9,Housing Choice Vouchers,3,A,Bond County,17005,3.0,37,1,100,11.1333333333333,-4,-4.0,-4.0,-4.0,-4.0,-4.0,12240.0,-4,-4,-4,-4,-4,-4,-4,-4,28,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-1.0,39.5666666666667,-4,-4.0,-4,-4,-4,-4,12,6,76,A,A,A,-1,-1,IL,-1,A,100.0
County,IL Illinois,IL Boone County 17007,9,Housing Choice Vouchers,3,A,Boone County,17007,236.0,76,154,86,4.47683982683983,3,2.26623376623377,405.290322580645,324.441558441559,464.934210526317,11494.7402597403,5072.1776504298,16,36,19,14,14,29,3,67,22,97,75,3,53,87,53,34,33,18,4,61,18,18,2,36,26,1,1,8,9.63333333333333,68.700865800866,95,120.897260273973,31,38,31,16,16,35,66,A,A,A,-1,-1,IL,-1,A,64.0
County,IL Illinois,IL Brown County 17009,9,Housing Choice Vouchers,3,A,Brown County,17009,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,IL,-1,A,
County,IL Illinois,IL Bureau County 17011,9,Housing Choice Vouchers,3,A,Bureau County,17011,72.0,93,68,100,5.01964874149951,9,2.51421607674999,168.575371614433,367.094977710094,405.449321238043,12467.5811683057,4958.83439915869,12,34,21,19,15,29,9,57,25,97,68,6,53,85,50,33,43,20,3,68,19,10,0,9,3,1,1,4,25.2944444444444,50.9218329542409,95,190.107692307692,26,32,41,9,12,10,81,A,A,A,-1,-1,IL,-1,A,91.0
County,IL Illinois,IL Calhoun County 17013,9,Housing Choice Vouchers,3,A,Calhoun County,17013,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,IL,-1,A,
County,IL Illinois,IL Carroll County 17015,9,Housing Choice Vouchers,3,A,Carroll County,17015,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,IL,-1,A,
County,IL Illinois,IL Cass County 17017,9,Housing Choice Vouchers,3,A,Cass County,17017,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,IL,-1,A,
County,IL Illinois,IL Champaign County 17019,9,Housing Choice Vouchers,3,A,Champaign County,17019,1794.0,100,1485,83,5.14087542087552,4,3.03010033444819,4379.0,310.26801346802,577.000000000024,8727.63501683519,3576.30739514349,40,24,15,11,11,39,24,33,14,98,86,3,67,92,67,17,57,7,2,76,15,6,0,87,85,1,0,2,-1.0,74.8391341991348,96,175.363124560172,10,33,57,34,23,49,56,A,A,A,-1,-1,IL,-1,A,13.0
County,IL Illinois,IL Christian County 17021,9,Housing Choice Vouchers,3,A,Christian County,17021,173.0,69,119,100,5.20192307692308,9,2.28571428571429,272.0,262.235294117647,351.582608695652,10792.6722689076,4721.79411764706,18,35,24,15,8,27,14,55,23,97,73,5,52,87,53,31,42,16,7,58,13,22,2,9,8,0,0,1,8.88484848484848,37.1417366946779,100,155.579831932773,31,35,34,21,21,4,80,A,A,A,-1,-1,IL,-1,A,91.0
County,IL Illinois,IL Clark County 17023,9,Housing Choice Vouchers,3,A,Clark County,17023,30.0,43,10,77,4.76333333333333,-4,-4.0,-4.0,-4.0,-4.0,-4.0,3931.60869565217,-4,-4,-4,-4,-4,-4,-4,-4,18,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,10,-4,-4,-4,-4,-1.0,57.71,-4,-4.0,-4,-4,-4,-4,11,2,77,A,A,A,-1,-1,IL,-1,A,90.0
County,IL Illinois,IL Clay County 17025,9,Housing Choice Vouchers,3,A,Clay County,17025,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,IL,-1,A,
County,IL Illinois,IL Clinton County 17027,9,Housing Choice Vouchers,3,A,Clinton County,17027,63.0,88,55,99,5.32849566556345,13,2.56163599353013,142.165988087537,298.202534515947,386.603958961298,11687.9530856843,4562.69084101112,13,31,20,31,5,35,4,62,19,100,93,11,45,87,51,36,57,23,5,60,9,26,0,12,11,0,2,0,7.64761904761905,43.159487608818,93,183.328792448809,11,46,44,35,15,15,75,A,A,A,-1,-1,IL,-1,A,88.0
County,IL Illinois,IL Coles County 17029,9,Housing Choice Vouchers,3,A,Coles County,17029,85.0,37,32,100,4.36354166666667,16,2.5,78.2978723404255,278.0625,457.4375,10142.03125,4056.8125,16,50,16,13,6,19,16,66,21,100,72,3,47,91,47,43,75,23,0,63,25,13,0,41,38,0,0,3,40.56,40.9520833333333,100,173.5,13,41,47,28,33,11,54,A,A,A,-1,-1,IL,-1,A,59.0
County,IL Illinois,IL Cook County 17031,9,Housing Choice Vouchers,3,A,Cook County,17031,64772.0,99,49057,76,8.33496973930994,4,2.62612117103471,168453.803859859,343.229957086727,812.483327168545,12066.9292617607,4598.23248202215,20,34,16,13,17,28,13,58,19,97,82,2,49,87,48,28,71,19,1,56,24,19,1,95,87,0,0,8,34.349209440343,114.996407764472,93,115.094828960135,16,31,52,31,27,86,32,A,A,A,-1,-1,IL,-1,A,5.0
County,IL Illinois,IL Crawford County 17033,9,Housing Choice Vouchers,3,A,Crawford County,17033,34.0,37,13,100,4.83076923076923,8,1.30769230769231,16.6382978723404,279.846153846154,298.076923076923,8960.15384615384,6851.88235294118,8,46,46,0,0,15,8,77,21,100,85,8,0,69,0,63,40,41,0,38,23,38,8,0,0,0,0,0,43.3333333333333,95.374358974359,85,167.727272727273,54,38,8,38,22,6,79,A,A,A,-1,-1,IL,-1,A,100.0
County,IL Illinois,IL Cumberland County 17035,9,Housing Choice Vouchers,3,A,Cumberland County,17035,15.0,53,9,100,5.06666666666667,-4,-4.0,-4.0,-4.0,-4.0,-4.0,7700.15384615384,-4,-4,-4,-4,-4,-4,-4,-4,26,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,1.14444444444444,24.8111111111111,-4,-4.0,-4,-4,-4,-4,14,2,80,A,A,A,-1,-1,IL,-1,A,100.0
County,IL Illinois,IL De Witt County 17039,9,Housing Choice Vouchers,3,A,De Witt County,17039,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,IL,-1,A,
