Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
2016-12-31,County,IL Illinois,"IL Adams County, Illinois 17001",9,Housing Choice Vouchers,3,,Adams County,17001,220,71,217,100,6,26,2.4,516,268,687,10691,4496,7,34,29,22,8,36,1,49,22,99,74,1,55,87,53,27,65,16,9,54,23,14,-1,58,56,0,0,42,-1,1,-1,1,1,6,50,96,130,29,36,35,15,25,13,62,,,,,,IL,,,42.0
2016-12-31,County,IL Illinois,"IL Alexander County, Illinois 17003",9,Housing Choice Vouchers,3,,Alexander County,17003,15,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,IL,,,
2016-12-31,County,IL Illinois,"IL Bond County, Illinois 17005",9,Housing Choice Vouchers,3,,Bond County,17005,23,60,14,100,6,86,2.4,33,265,530,11446,4856,14,29,36,14,7,36,-1,64,22,100,86,-1,71,93,71,46,100,24,7,50,36,7,-1,14,7,-1,-1,86,-1,7,-1,7,0,2,16,100,145,-1,57,43,21,21,22,70,,,,,,IL,,,86.0
2016-12-31,County,IL Illinois,"IL Boone County, Illinois 17007",9,Housing Choice Vouchers,3,,Boone County,17007,238,62,141,96,4,23,2.5,353,331,536,13221,5281,7,27,27,20,19,42,1,50,26,94,64,3,56,91,56,28,46,15,2,62,18,17,3,45,40,-1,-1,55,-1,6,-1,6,0,37,83,96,112,21,45,34,17,18,34,73,,,,,,IL,,,55.0
2016-12-31,County,IL Illinois,"IL Bureau County, Illinois 17011",9,Housing Choice Vouchers,3,,Bureau County,17011,71,100,73,100,6,10,2.0,147,334,423,13046,6479,6,28,27,31,8,29,1,67,27,99,60,4,37,86,37,40,16,19,1,49,15,34,3,8,3,-1,-1,92,-1,4,1,5,0,20,59,90,182,41,30,29,18,13,11,80,,,,,,IL,,,92.0
2016-12-31,County,IL Illinois,"IL Champaign County, Illinois 17019",9,Housing Choice Vouchers,3,,Champaign County,17019,1830,84,1496,98,9,27,2.7,4099,240,510,15660,5715,6,24,26,18,26,59,7,32,25,95,70,2,67,90,66,20,62,11,8,67,17,9,0,89,86,0,0,11,1,1,0,2,11,5,98,2,164,19,36,45,10,25,47,55,,,,,,IL,,,11.0
2016-12-31,County,IL Illinois,"IL Christian County, Illinois 17021",9,Housing Choice Vouchers,3,,Christian County,17021,170,-5,68,-5,-5,-5,-5.0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,,,,,,IL,,,
2016-12-31,County,IL Illinois,"IL Clark County, Illinois 17023",9,Housing Choice Vouchers,3,,Clark County,17023,6,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,IL,,,
2016-12-31,County,IL Illinois,"IL Clinton County, Illinois 17027",9,Housing Choice Vouchers,3,,Clinton County,17027,53,96,50,98,5,22,2.1,107,290,472,11083,5179,8,40,31,13,8,26,-1,70,19,98,86,4,40,76,36,48,50,26,4,54,22,20,-1,24,18,-1,-1,76,-1,6,-1,6,0,7,49,98,167,14,58,28,38,13,13,77,,,,,,IL,,,76.0
2016-12-31,County,IL Illinois,"IL Coles County, Illinois 17029",9,Housing Choice Vouchers,3,,Coles County,17029,108,62,67,99,5,36,2.2,148,269,527,10700,4844,12,28,35,15,10,28,-1,61,23,97,70,3,40,90,39,34,50,24,3,58,28,10,1,72,30,-1,-1,28,9,33,-1,42,0,10,48,99,142,19,45,36,30,30,11,54,,,,,,IL,,,28.0
