gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
County,IN Indiana,IN Adams County 18001,9,Housing Choice Vouchers,3,A,Adams County,18001,198.0,93,189,100,6.2031413885525,13,1.96245134960821,361.780104358779,257.658388375841,361.703054960645,11234.6065157715,5724.78218021273,12,30,35,18,4,25,5,69,25,99,66,5,36,74,36,42,36,23,6,46,16,32,6,7,2,0,0,6,8.52927009555139,65.7237417002621,88,160.173479194222,28,50,22,29,6,7,64,A,A,A,-1,-1,IN,-1,A,93.0
County,IN Indiana,IN Allen County 18003,9,Housing Choice Vouchers,3,A,Allen County,18003,3012.0,84,2549,100,5.89069498876528,10,2.71628461699673,6831.86821075294,250.138179768279,489.066992984684,9627.63127088792,3544.41180818995,28,31,20,12,8,23,23,48,18,99,83,3,63,89,64,25,76,14,8,69,14,8,0,79,75,1,1,3,30.9818501923181,66.2192693542301,96,137.253994283863,13,36,51,22,16,40,56,A,A,A,-1,-1,IN,-1,A,21.0
County,IN Indiana,IN Bartholomew County 18005,9,Housing Choice Vouchers,3,A,Bartholomew County,18005,674.0,93,678,100,4.69704839942639,16,1.9160056025064,1204.01350087934,295.664018105529,428.58565434336,11276.3769675434,5885.35699101943,12,38,29,13,8,21,0,78,22,99,79,6,32,73,34,52,74,33,6,52,23,19,1,10,7,0,1,2,37.0083405372962,56.877658645004,94,134.022139242465,42,35,23,19,10,10,55,A,A,A,-1,-1,IN,-1,A,90.0
County,IN Indiana,IN Benton County 18007,9,Housing Choice Vouchers,3,A,Benton County,18007,28.0,88,24,98,4.93194444444444,21,2.16666666666667,52.9303675048356,277.75,440.583333333333,12366.0416666667,5707.40384615385,0,46,38,8,8,13,4,79,25,96,75,13,29,75,33,60,67,29,0,54,8,38,4,4,4,0,0,0,12.96,40.6916666666667,92,183.454545454545,25,46,29,38,5,4,72,A,A,A,-1,-1,IN,-1,A,96.0
County,IN Indiana,IN Blackford County 18009,9,Housing Choice Vouchers,3,A,Blackford County,18009,19.0,88,16,98,6.01875,38,1.5,24.4294003868472,252.25,290.25,9770.0625,6513.375,6,56,31,6,0,0,6,94,24,100,81,6,0,56,6,88,63,58,0,19,31,50,0,0,0,0,0,0,10.2888888888889,48.9625,100,134.5625,56,31,13,13,8,2,73,A,A,A,-1,-1,IN,-1,A,100.0
County,IN Indiana,IN Boone County 18011,9,Housing Choice Vouchers,3,A,Boone County,18011,113.0,88,97,98,4.96735395189003,8,1.71134020618556,168.97001934236,287.340206185567,451.855670103092,11176.618556701,6530.91566265061,8,37,36,12,6,9,7,84,21,100,84,5,19,77,19,63,50,37,0,41,26,33,3,1,0,0,0,1,8.87916666666667,62.773883161512,95,139.760869565217,53,33,14,15,9,4,58,A,A,A,-1,-1,IN,-1,A,99.0
County,IN Indiana,IN Brown County 18013,9,Housing Choice Vouchers,3,A,Brown County,18013,63.0,88,54,98,5.61111111111112,22,2.5,137.415377176015,312.259259259259,515.870370370371,11691.8333333333,4676.73333333334,7,33,37,13,9,20,9,65,21,100,85,17,37,87,50,42,89,24,4,57,22,17,0,11,2,4,0,6,6.94615384615385,43.7777777777778,93,181.2,17,50,33,26,8,3,75,A,A,A,-1,-1,IN,-1,A,89.0
County,IN Indiana,IN Carroll County 18015,9,Housing Choice Vouchers,3,A,Carroll County,18015,13.0,88,11,98,6.16666666666667,9,1.36363636363636,15.2683752417795,252.181818181818,279.0,10390.1818181818,7619.46666666667,0,55,36,9,0,0,0,100,23,100,91,0,9,55,9,80,67,53,0,18,27,55,0,0,0,0,0,0,5.63333333333333,61.1454545454546,82,146.0,45,45,9,36,7,6,67,A,A,A,-1,-1,IN,-1,A,100.0
County,IN Indiana,IN Cass County 18017,9,Housing Choice Vouchers,3,A,Cass County,18017,286.0,81,257,100,5.36895981966708,16,2.07381452862271,479.162468206949,245.793647192717,366.288128603455,10233.4126270889,4934.58430628572,15,42,26,10,7,17,14,67,23,98,72,7,32,66,35,56,68,33,5,54,27,14,2,14,10,1,0,3,25.8509736116962,59.3328522981109,64,139.813811580575,47,28,25,11,9,15,61,A,A,A,-1,-1,IN,-1,A,86.0
County,IN Indiana,IN Clark County 18019,9,Housing Choice Vouchers,3,A,Clark County,18019,662.0,87,592,99,6.31432138407648,15,2.09284811096381,1199.25795497996,268.701404339104,442.312630310894,11021.0535231836,5266.05512624041,14,38,28,11,10,24,13,61,22,98,78,3,45,82,43,46,72,26,8,56,21,15,1,26,24,1,0,2,9.964808632265,59.0381679356016,98,113.463155396345,27,46,27,22,9,14,57,A,A,A,-1,-1,IN,-1,A,74.0
