Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
2020-12-31,County,IN Indiana,IN Adams County 18001,9,Housing Choice Vouchers,3,,Adams County,18001,194,82,160,100,6,6,1.6,250,309,341,12310,7879,2,32,38,17,11,17,-1,76,25,98,67,3,21,77,21,52,48,36,2,33,21,44,3,10,5,1,-1,90,-1,4,1,4,1,9,77,90,166,38,48,15,35,19,9,67,,,,,,IN,,,90.0
2020-12-31,County,IN Indiana,IN Allen County 18003,9,Housing Choice Vouchers,3,,Allen County,18003,3290,89,3031,100,6,12,2.5,7600,312,585,11627,4637,15,29,24,14,19,28,1,58,20,97,79,1,55,85,54,30,83,18,6,62,17,14,0,83,79,0,0,17,1,2,0,3,3,15,92,91,183,17,34,49,30,27,51,67,,,,,,IN,,,17.0
2020-12-31,County,IN Indiana,IN Bartholomew County 18005,9,Housing Choice Vouchers,3,,Bartholomew County,18005,665,81,594,100,6,6,1.8,1062,342,496,13141,7350,7,30,30,18,15,18,-1,76,22,98,77,3,28,76,29,55,69,36,2,41,26,30,1,14,9,1,1,86,1,3,0,4,2,21,85,94,127,38,37,25,29,17,15,64,,,,,,IN,,,86.0
2020-12-31,County,IN Indiana,IN Benton County 18007,9,Housing Choice Vouchers,3,,Benton County,18007,33,89,29,99,6,10,1.3,37,299,506,12641,9908,3,34,41,17,3,3,-1,97,23,100,79,-1,7,66,7,71,87,65,-1,24,24,52,7,10,7,-1,-1,90,-1,3,-1,3,0,18,80,76,190,38,52,10,52,16,5,84,,,,,,IN,,,90.0
2020-12-31,County,IN Indiana,IN Blackford County 18009,9,Housing Choice Vouchers,3,,Blackford County,18009,47,89,41,99,6,10,1.3,55,301,506,11654,8687,5,30,45,20,-1,5,-1,93,25,100,71,-1,10,80,10,50,39,36,2,12,29,56,5,2,2,-1,-1,98,-1,-1,-1,0,2,21,45,98,193,59,29,12,27,13,3,79,,,,,,IN,,,98.0
2020-12-31,County,IN Indiana,IN Boone County 18011,9,Housing Choice Vouchers,3,,Boone County,18011,65,89,57,99,6,2,1.3,76,329,506,13417,10063,4,25,47,14,11,5,2,93,22,98,86,4,12,77,11,77,52,53,2,18,26,54,4,5,2,4,-1,95,-1,-1,-1,0,4,14,127,95,146,51,40,9,32,8,6,66,,,,,,IN,,,95.0
2020-12-31,County,IN Indiana,IN Brown County 18013,9,Housing Choice Vouchers,3,,Brown County,18013,95,89,84,99,6,2,1.8,154,336,506,13174,7186,5,31,28,21,15,17,-1,77,21,99,85,5,29,79,27,47,46,29,2,32,24,42,7,2,-1,1,-1,98,-1,1,-1,1,1,11,83,92,194,43,31,26,24,9,3,83,,,,,,IN,,,98.0
2020-12-31,County,IN Indiana,IN Carroll County 18015,9,Housing Choice Vouchers,3,,Carroll County,18015,23,89,20,99,6,5,1.5,29,311,506,12584,8679,-1,25,65,5,5,-1,-1,100,25,100,90,5,10,75,10,91,33,45,-1,5,50,45,5,0,-1,-1,-1,100,-1,-1,-1,0,0,13,71,80,140,75,15,10,10,13,7,79,,,,,,IN,,,100.0
2020-12-31,County,IN Indiana,IN Cass County 18017,9,Housing Choice Vouchers,3,,Cass County,18017,289,98,286,100,6,14,1.6,445,354,321,12291,7900,1,41,37,14,8,17,-1,81,25,99,73,3,17,66,16,63,70,46,2,28,28,42,1,9,5,-1,-1,91,-1,5,-1,5,0,35,70,66,155,45,37,18,30,17,21,80,,,,,,IN,,,91.0
2020-12-31,County,IN Indiana,IN Clark County 18019,9,Housing Choice Vouchers,3,,Clark County,18019,600,76,472,100,7,5,1.9,899,358,519,13140,6899,6,32,31,16,15,18,-1,77,22,98,82,3,32,79,31,51,89,37,1,43,24,32,0,43,41,0,-1,57,0,1,-1,2,1,26,103,99,122,30,43,27,33,15,24,56,,,,,,IN,,,57.0
2020-12-31,County,IN Indiana,IN Clay County 18021,9,Housing Choice Vouchers,3,,Clay County,18021,123,66,79,97,5,14,2.4,191,293,438,12567,5198,7,38,22,23,11,33,-1,61,23,96,76,8,47,87,49,33,61,21,1,58,18,23,1,5,4,-1,-1,95,-1,1,-1,1,0,19,75,100,159,34,38,28,5,20,3,77,,,,,,IN,,,95.0
2020-12-31,County,IN Indiana,IN Clinton County 18023,9,Housing Choice Vouchers,3,,Clinton County,18023,112,89,99,99,6,7,1.7,169,333,506,13026,7631,6,36,24,20,13,9,3,87,26,98,69,1,25,85,26,65,50,41,2,26,23,48,1,11,3,-1,1,89,-1,7,-1,7,0,15,91,87,142,52,39,9,14,13,18,76,,,,,,IN,,,89.0
2020-12-31,County,IN Indiana,IN Crawford County 18025,9,Housing Choice Vouchers,3,,Crawford County,18025,32,89,28,99,6,7,1.9,54,307,506,12733,6602,4,48,19,26,4,4,4,89,25,96,75,11,14,61,11,84,78,50,-1,36,32,32,4,0,-1,-1,-1,100,-1,-1,-1,0,0,13,74,100,143,14,43,43,57,16,3,75,,,,,,IN,,,100.0
2020-12-31,County,IN Indiana,IN Daviess County 18027,9,Housing Choice Vouchers,3,,Daviess County,18027,217,63,137,100,6,12,2.0,273,305,486,13096,6572,9,31,31,18,12,20,1,80,25,98,71,3,36,82,34,49,49,27,4,42,20,35,2,2,-1,-1,-1,98,-1,2,-1,2,0,12,82,95,208,23,50,27,35,15,10,74,,,,,,IN,,,98.0
2020-12-31,County,IN Indiana,IN Dearborn County 18029,9,Housing Choice Vouchers,3,,Dearborn County,18029,170,89,150,99,6,7,1.8,275,350,506,12665,6908,3,36,31,17,14,11,-1,81,19,100,87,4,25,79,25,51,55,31,1,33,27,39,5,5,3,1,1,95,-1,1,-1,1,1,14,89,82,164,49,33,18,16,14,4,75,,,,,,IN,,,95.0
2020-12-31,County,IN Indiana,IN Decatur County 18031,9,Housing Choice Vouchers,3,,Decatur County,18031,187,73,134,99,5,17,2.1,280,317,468,10844,5190,10,38,26,19,7,11,-1,78,21,99,78,2,31,81,32,45,81,32,1,44,24,31,2,6,4,1,1,94,1,-1,-1,1,1,17,76,98,181,25,46,29,26,12,5,67,,,,,,IN,,,94.0
2020-12-31,County,IN Indiana,IN DeKalb County 18033,9,Housing Choice Vouchers,3,,De Kalb County,18033,24,89,21,99,5,19,1.2,26,283,506,10842,8757,10,43,33,14,-1,10,-1,90,23,100,86,-1,10,90,10,75,77,69,-1,10,29,62,10,0,-1,-1,-1,100,-1,-1,-1,0,0,61,122,100,161,48,48,5,33,9,4,75,,,,,,IN,,,100.0
2020-12-31,County,IN Indiana,IN Delaware County 18035,9,Housing Choice Vouchers,3,,Delaware County,18035,1124,87,903,92,7,11,2.2,1970,297,473,10884,4989,16,34,23,15,13,23,0,67,21,97,79,2,47,82,46,32,63,20,6,53,23,17,1,53,52,-1,-1,47,0,1,0,1,1,20,96,87,210,20,42,38,34,29,24,71,,,,,,IN,,,47.0
2020-12-31,County,IN Indiana,IN Dubois County 18037,9,Housing Choice Vouchers,3,,Dubois County,18037,39,89,34,99,5,6,1.6,56,351,506,14124,8575,3,29,26,26,15,21,-1,79,24,100,71,-1,32,88,32,52,62,41,-1,35,26,38,-1,3,3,-1,-1,97,-1,-1,-1,0,0,9,73,100,150,41,41,18,29,16,14,72,,,,,,IN,,,97.0
2020-12-31,County,IN Indiana,IN Elkhart County 18039,9,Housing Choice Vouchers,3,,Elkhart County,18039,997,89,900,100,5,14,2.5,2269,336,577,13091,5193,13,28,25,16,18,24,0,70,22,96,75,2,55,86,55,29,78,20,5,60,15,20,1,62,55,0,0,38,0,6,0,7,7,24,70,87,161,25,39,36,15,22,39,64,,,,,,IN,,,38.0
2020-12-31,County,IN Indiana,IN Fayette County 18041,9,Housing Choice Vouchers,3,,Fayette County,18041,377,77,289,99,7,8,1.5,444,305,355,11005,7163,4,41,33,15,7,13,-1,76,23,98,78,2,24,70,22,55,69,42,4,34,26,36,2,4,1,0,0,96,0,1,0,2,0,7,70,65,176,44,44,13,29,24,5,71,,,,,,IN,,,96.0
2020-12-31,County,IN Indiana,IN Floyd County 18043,9,Housing Choice Vouchers,3,,Floyd County,18043,642,87,644,100,4,19,2.1,1347,312,651,12757,6099,12,33,26,13,15,14,1,85,21,98,82,1,39,77,37,61,68,35,2,46,25,27,1,30,29,-1,0,70,0,1,-1,1,1,31,72,83,118,32,39,29,24,25,21,63,,,,,,IN,,,70.0
2020-12-31,County,IN Indiana,IN Fountain County 18045,9,Housing Choice Vouchers,3,,Fountain County,18045,40,88,35,99,6,6,1.4,49,282,502,11626,8305,6,44,21,24,6,6,-1,91,24,100,71,3,11,83,14,78,41,51,3,20,29,49,6,3,-1,-1,-1,97,-1,3,-1,3,0,17,70,94,153,60,29,11,20,12,4,81,,,,,,IN,,,97.0
2020-12-31,County,IN Indiana,IN Franklin County 18047,9,Housing Choice Vouchers,3,,Franklin County,18047,20,89,18,99,6,11,1.2,22,348,506,12211,9991,6,44,17,22,11,6,-1,94,24,100,61,-1,11,56,6,71,73,68,-1,33,11,56,-1,0,-1,-1,-1,100,-1,-1,-1,0,0,7,102,100,186,67,28,6,17,11,3,75,,,,,,IN,,,100.0
2020-12-31,County,IN Indiana,IN Fulton County 18049,9,Housing Choice Vouchers,3,,Fulton County,18049,119,89,105,99,5,1,1.4,150,291,506,11582,8107,12,23,40,19,6,10,-1,89,24,100,70,1,15,71,16,61,72,49,2,27,34,37,2,6,4,-1,-1,94,-1,2,-1,2,0,-1,73,90,143,54,32,13,28,18,7,68,,,,,,IN,,,94.0
2020-12-31,County,IN Indiana,IN Gibson County 18051,9,Housing Choice Vouchers,3,,Gibson County,18051,84,89,74,99,6,7,1.6,118,313,506,12698,7963,4,27,37,23,9,11,-1,84,25,99,70,7,15,82,15,69,41,36,-1,23,34,43,1,7,7,-1,-1,93,-1,-1,-1,0,1,21,74,100,151,26,55,19,46,13,9,72,,,,,,IN,,,93.0
2020-12-31,County,IN Indiana,IN Grant County 18053,9,Housing Choice Vouchers,3,,Grant County,18053,499,83,385,93,10,18,2.3,890,281,428,11464,4959,16,30,29,12,13,34,1,58,21,97,78,5,47,74,46,31,78,19,5,54,22,19,-1,50,45,0,-1,50,1,4,1,5,3,11,70,89,137,29,34,37,21,27,22,75,,,,,,IN,,,50.0
2020-12-31,County,IN Indiana,IN Greene County 18055,9,Housing Choice Vouchers,3,,Greene County,18055,301,80,237,99,6,24,1.6,389,278,315,11526,7022,9,37,35,13,6,19,-1,80,23,99,78,3,26,76,26,46,32,26,5,36,22,38,3,0,-1,-1,-1,100,-1,0,-1,0,0,6,56,96,97,46,38,16,22,18,3,70,,,,,,IN,,,100.0
2020-12-31,County,IN Indiana,IN Hamilton County 18057,9,Housing Choice Vouchers,3,,Hamilton County,18057,319,93,334,100,5,9,1.8,605,384,699,14994,8278,3,26,31,19,21,13,0,84,24,98,75,2,26,81,27,56,65,38,1,31,23,45,4,40,37,0,-1,60,0,2,-1,2,1,16,114,98,163,32,46,22,36,7,11,74,,,,,,IN,,,60.0
2020-12-31,County,IN Indiana,IN Hancock County 18059,9,Housing Choice Vouchers,3,,Hancock County,18059,149,89,131,99,6,12,1.8,238,358,507,13581,7475,8,24,29,22,17,11,-1,80,21,98,82,3,23,74,24,63,84,47,-1,40,23,37,2,9,7,2,-1,91,-1,1,-1,1,2,10,80,95,184,27,50,23,34,12,5,71,,,,,,IN,,,91.0
