gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
County,KS Kansas,KS Allen County 20001,9,Housing Choice Vouchers,3,A,Allen County,20001,30.0,92,28,100,6.01071428571429,18,1.96428571428571,54.2763157894737,203.285714285714,360.535714285715,8596.85714285714,4376.58181818182,14,54,32,0,0,21,11,68,21,100,96,7,36,89,43,64,33,31,4,61,25,11,0,11,4,4,4,0,13.1933333333333,32.8642857142857,96,82.3703703703704,7,54,39,50,18,7,65,A,A,A,-1,-1,KS,-1,A,89.0
County,KS Kansas,KS Anderson County 20003,9,Housing Choice Vouchers,3,A,Anderson County,20003,11.0,57,6,93,5.48333333333333,-4,-4.0,-4.0,-4.0,-4.0,-4.0,8133.0,-4,-4,-4,-4,-4,-4,-4,-4,25,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,28.9666666666667,61.3888888888889,-4,-4.0,-4,-4,-4,-4,11,3,72,A,A,A,-1,-1,KS,-1,A,100.0
County,KS Kansas,KS Atchison County 20005,9,Housing Choice Vouchers,3,A,Atchison County,20005,34.0,76,29,100,5.78398128977839,14,2.53209109730849,66.1081081081081,269.876063766031,401.831595349395,10970.0271451576,4332.398291996,20,29,20,27,3,27,27,46,24,100,66,7,41,86,41,33,28,14,20,45,20,14,0,41,41,0,0,0,55.8666666666667,32.2706464228203,86,142.370087189805,7,58,35,31,14,12,64,A,A,A,-1,-1,KS,-1,A,59.0
County,KS Kansas,KS Barber County 20007,9,Housing Choice Vouchers,3,A,Barber County,20007,4.0,93,4,98,5.81666666666667,-4,-4.0,-4.0,-4.0,-4.0,-4.0,4136.42857142857,-4,-4,-4,-4,-4,-4,-4,-4,18,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,25,-4,-4,-4,-4,-1.0,37.5083333333333,-4,-4.0,-4,-4,-4,-4,8,2,64,A,A,A,-1,-1,KS,-1,A,75.0
County,KS Kansas,KS Barton County 20009,9,Housing Choice Vouchers,3,A,Barton County,20009,92.0,98,83,92,5.54967115911477,8,1.61079134986617,145.311965811966,260.241905303299,243.064838771501,11677.2929486724,7249.41374290503,4,45,32,12,7,13,7,78,29,95,65,0,29,80,25,68,97,53,4,40,24,33,7,5,2,1,0,2,3.39214446318156,42.6431176326614,99,98.2642697006389,60,30,10,5,16,15,61,A,A,A,-1,-1,KS,-1,A,95.0
County,KS Kansas,KS Bourbon County 20011,9,Housing Choice Vouchers,3,A,Bourbon County,20011,64.0,92,60,100,5.03888888888889,27,2.63333333333334,155.921052631579,237.133333333333,384.491525423729,10293.4166666667,3908.89240506329,20,37,23,15,5,32,9,59,22,98,73,5,60,80,53,34,86,20,8,65,15,12,0,18,17,0,0,2,8.55833333333334,25.23,100,75.3,7,53,41,25,14,9,66,A,A,A,-1,-1,KS,-1,A,82.0
County,KS Kansas,KS Brown County 20013,9,Housing Choice Vouchers,3,A,Brown County,20013,72.0,88,60,95,4.93944444444444,15,1.91666666666666,121.216216216216,245.316666666666,322.016666666666,10906.7333333333,5690.46956521739,8,40,28,23,0,20,13,65,26,98,67,3,33,75,35,56,80,37,8,48,18,25,2,8,5,2,0,2,14.337037037037,52.2872222222222,95,111.631578947368,37,32,32,30,12,11,65,A,A,A,-1,-1,KS,-1,A,92.0
County,KS Kansas,KS Butler County 20015,9,Housing Choice Vouchers,3,A,Butler County,20015,82.0,86,63,90,5.70969696969697,8,1.22222222222222,85.4583333333333,267.52380952381,336.984126984127,11045.4761904762,9037.2077922078,0,59,27,11,3,5,0,95,24,100,78,2,8,76,10,82,33,52,3,27,32,38,10,2,2,0,0,0,7.66,73.5677248677249,100,123.380952380952,67,24,10,24,8,6,63,A,A,A,-1,-1,KS,-1,A,98.0
County,KS Kansas,KS Chase County 20017,9,Housing Choice Vouchers,3,A,Chase County,20017,3.0,83,2,95,6.6,-4,-4.0,-4.0,-4.0,-4.0,-4.0,3714.0,-4,-4,-4,-4,-4,-4,-4,-4,23,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-1.0,30.9666666666667,-4,-4.0,-4,-4,-4,-4,9,4,65,A,A,A,-1,-1,KS,-1,A,100.0
County,KS Kansas,KS Chautauqua County 20019,9,Housing Choice Vouchers,3,A,Chautauqua County,20019,18.0,71,12,93,6.58611111111111,0,1.41666666666667,18.2142857142857,296.083333333333,272.0,10656.75,7522.41176470588,0,50,42,8,0,8,0,92,27,100,75,0,25,100,25,60,29,29,0,17,25,58,8,0,0,0,0,0,-1.0,62.125,100,173.166666666667,33,58,8,33,12,7,70,A,A,A,-1,-1,KS,-1,A,100.0
County,KS Kansas,KS Cherokee County 20021,9,Housing Choice Vouchers,3,A,Cherokee County,20021,44.0,92,41,100,6.76341463414634,10,1.65853658536585,67.1052631578947,208.878048780488,333.804878048781,9039.43902439024,5450.25,10,56,29,5,0,8,3,90,23,100,83,0,27,88,27,81,100,54,0,44,32,24,0,5,0,2,0,2,4.96666666666667,56.9918699186992,100,84.3414634146342,20,61,20,51,15,9,64,A,A,A,-1,-1,KS,-1,A,95.0
