sumlevel,program,program_label,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,tpct_ownsfd,fedhse,msa,placefips,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
9,3,VO,-1,Adair County,21001,-1,-1,80,-1,3,29,2.2,172,215,262,8.5,4.1,24,54,19,3,1,14,15,58,22,96,78,8,36,75,39,55,100,31,10,60,10,20,0,6,6,0,0,0,11,45,78,92,16,43,41,40,6,23,58,-1,-1,-1,-1,-1,KY,-1,-1,94.0
9,3,VO,-1,Allen County,21003,-1,-1,15,-1,3,53,1.8,27,247,202,9.2,5.1,0,67,27,7,0,13,0,87,28,100,67,7,13,67,20,78,0,37,0,40,20,40,0,0,0,0,0,0,1,20,100,91,33,53,13,33,3,16,54,-1,-1,-1,-1,-1,KY,-1,-1,100.0
9,3,VO,-1,Anderson County,21005,-1,-1,109,-1,3,15,2.3,256,242,354,9.4,4.1,20,47,21,8,4,29,12,55,17,90,78,16,43,86,54,35,64,21,6,53,17,23,3,9,8,0,0,1,11,61,99,101,13,63,24,23,4,7,71,-1,-1,-1,-1,-1,KY,-1,-1,91.0
9,3,VO,-1,Ballard County,21007,-1,-1,3,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,KY,-1,-1,
9,3,VO,-1,Barren County,21009,-1,-1,331,-1,5,32,1.9,628,214,271,8.7,4.6,18,50,27,4,2,15,17,67,22,84,61,8,34,75,35,48,76,32,7,50,18,25,2,13,12,0,0,1,7,38,94,81,20,55,25,35,10,18,53,-1,-1,-1,-1,-1,KY,-1,-1,87.0
9,3,VO,-1,Bath County,21011,-1,-1,7,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,KY,-1,-1,
9,3,VO,-1,Bell County,21013,-1,-1,366,-1,5,25,2.3,828,205,303,8.0,3.6,23,51,20,4,2,25,19,55,21,84,66,17,38,81,48,37,89,25,10,57,17,16,0,8,7,0,0,1,14,57,100,131,10,52,38,32,3,17,25,-1,-1,-1,-1,-1,KY,-1,-1,92.0
9,3,VO,-1,Boone County,21015,-1,-1,914,-1,4,35,2.3,2073,275,443,12.1,5.4,16,32,24,14,14,33,14,52,22,98,75,10,48,86,54,31,42,15,16,52,13,19,2,8,7,0,0,1,5,41,95,75,32,37,31,10,8,9,51,-1,-1,-1,-1,-1,KY,-1,-1,92.0
9,3,VO,-1,Bourbon County,21017,-1,-1,452,-1,6,18,2.2,1011,261,319,10.3,4.6,17,40,27,7,9,33,4,63,21,98,81,15,33,84,43,32,40,18,9,52,15,24,3,18,17,0,0,1,6,59,93,90,23,50,28,23,13,16,53,-1,-1,-1,-1,-1,KY,-1,-1,82.0
9,3,VO,-1,Boyd County,21019,-1,-1,546,-1,3,23,2.5,1341,223,380,8.9,3.7,23,45,21,8,3,23,19,54,22,98,77,19,39,80,50,43,83,24,8,65,14,13,1,7,4,0,0,3,15,51,92,142,13,48,39,25,6,19,57,-1,-1,-1,-1,-1,KY,-1,-1,93.0
