gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
County,KY Kentucky,KY Adair County 21001,9,Housing Choice Vouchers,3,A,Adair County,21001,84.0,85,70,97,6.16142857142858,6,2.11428571428572,152.516431924883,207.657142857143,335.714285714286,7596.18571428572,3592.79054054054,23,60,13,4,0,4,27,67,23,99,89,3,39,83,39,51,100,30,10,53,16,21,0,6,6,0,0,0,28.2666666666667,69.5785714285715,76,155.77358490566,9,50,41,50,24,6,60,A,A,A,-1,-1,KY,-1,A,94.0
County,KY Kentucky,KY Allen County 21003,9,Housing Choice Vouchers,3,A,Allen County,21003,16.0,85,14,100,5.48809523809524,21,1.78571428571428,24.5091465511313,202.142857142857,385.214285714286,7638.28571428571,4277.44,14,79,7,0,0,0,14,86,22,100,93,7,21,86,29,64,100,40,0,36,43,21,0,0,0,0,0,0,11.9333333333333,45.047619047619,93,154.846153846154,21,64,14,43,18,3,58,A,A,A,-1,-1,KY,-1,A,100.0
County,KY Kentucky,KY Anderson County 21005,9,Housing Choice Vouchers,3,A,Anderson County,21005,144.0,85,124,100,5.98252688172044,10,2.50806451612904,304.893783096073,229.186991869919,565.926229508198,9170.61290322582,3656.4501607717,27,35,21,8,8,15,24,59,17,100,87,7,50,85,55,33,79,18,3,56,19,23,3,10,9,0,0,2,26.4777777777778,67.3647849462367,98,191.181818181819,8,58,34,26,7,5,71,A,A,A,-1,-1,KY,-1,A,90.0
County,KY Kentucky,KY Ballard County 21007,9,Housing Choice Vouchers,3,A,Ballard County,21007,4.0,84,3,100,3.34061549012066,-4,-4.0,-4.0,-4.0,-4.0,-4.0,2972.82274794526,-4,-4,-4,-4,-4,-4,-4,-4,21,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,13.8666666666667,41.9662467454028,-4,-4.0,-4,-4,-4,-4,11,7,65,A,A,A,-1,-1,KY,-1,A,100.0
County,KY Kentucky,KY Barren County 21009,9,Housing Choice Vouchers,3,A,Barren County,21009,349.0,99,357,100,4.67958555427389,18,2.07864283920477,720.978510229103,258.077169586365,295.320482084861,10665.5820858184,5131.03159650974,13,40,26,16,4,19,13,64,27,97,64,6,40,77,39,42,78,27,7,51,17,25,1,14,13,1,0,1,4.04452855311689,46.9694677401097,91,95.4693844816678,19,56,25,30,19,10,55,A,A,A,-1,-1,KY,-1,A,86.0
County,KY Kentucky,KY Bath County 21011,9,Housing Choice Vouchers,3,A,Bath County,21011,13.0,85,11,100,5.02424242424242,27,2.81818181818182,30.3913417234028,283.0,414.6,10298.7272727273,3654.38709677419,9,55,27,0,9,0,9,91,28,91,73,27,27,91,55,67,100,32,0,64,18,18,0,0,0,0,0,0,21.2666666666667,17.930303030303,82,234.555555555556,0,30,70,40,20,2,50,A,A,A,-1,-1,KY,-1,A,100.0
County,KY Kentucky,KY Bell County 21013,9,Housing Choice Vouchers,3,A,Bell County,21013,405.0,98,387,97,4.85312593144237,9,2.15901748609886,856.143041674543,239.164987742381,346.387666470718,9576.18640677519,4435.43716919053,14,50,25,10,2,17,13,66,27,96,67,11,36,77,39,45,84,29,5,56,20,19,1,6,5,0,0,1,8.47429945267826,65.885029308129,98,147.044087995135,8,51,42,41,31,6,44,A,A,A,-1,-1,KY,-1,A,94.0
County,KY Kentucky,KY Boone County 21015,9,Housing Choice Vouchers,3,A,Boone County,21015,1020.0,94,987,100,4.86652291044175,19,2.51653029228928,2411.51029639051,278.747302624443,503.845330427893,12083.8569881744,4801.79278000334,17,28,24,17,14,30,19,46,20,99,80,6,56,86,57,26,59,13,10,62,13,14,1,13,9,0,0,3,22.755416454126,47.2800944444556,91,92.6556400569808,29,32,38,10,9,8,49,A,A,A,-1,-1,KY,-1,A,87.0
County,KY Kentucky,KY Bourbon County 21017,9,Housing Choice Vouchers,3,A,Bourbon County,21017,471.0,96,449,99,4.8335560504826,10,2.31625835189311,1049.24444444444,250.06741573034,430.817767653763,10191.1002227173,4399.81153846156,23,34,24,12,8,24,20,51,19,100,84,7,48,86,51,29,61,19,8,56,18,18,2,17,16,0,0,1,16.0403100775194,65.233630289533,92,106.446859903383,16,49,36,26,16,13,55,A,A,A,-1,-1,KY,-1,A,83.0
County,KY Kentucky,KY Boyd County 21019,9,Housing Choice Vouchers,3,A,Boyd County,21019,616.0,81,495,100,5.51992087334125,11,2.28295443877226,1132.54462481962,224.776212409947,470.460114536233,9064.77272892869,3970.63234157385,23,41,20,13,3,14,18,66,23,98,76,8,43,78,44,50,90,29,5,59,23,13,1,9,8,0,0,1,8.03140678358337,66.9137491786673,84,160.111267963314,17,47,36,28,18,5,61,A,A,A,-1,-1,KY,-1,A,91.0
County,KY Kentucky,KY Boyle County 21021,9,Housing Choice Vouchers,3,A,Boyle County,21021,297.0,100,295,99,4.57740112994353,10,2.2542372881356,669.508474576268,242.850847457629,390.090277777781,10003.5322033899,4437.65714285717,17,43,23,11,5,25,3,72,23,97,76,5,47,86,50,40,74,24,6,60,18,16,1,32,31,0,0,1,8.23222222222222,65.2848587570626,97,102.517482517483,15,57,29,26,12,15,60,A,A,A,-1,-1,KY,-1,A,68.0
County,KY Kentucky,KY Bracken County 21023,9,Housing Choice Vouchers,3,A,Bracken County,21023,11.0,85,9,99,6.26788214893353,-4,-4.0,-4.0,-4.0,-4.0,-4.0,4047.71652339146,-4,-4,-4,-4,-4,-4,-4,-4,15,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,43.6666666666667,74.0008154558752,-4,-4.0,-4,-4,-4,-4,11,2,55,A,A,A,-1,-1,KY,-1,A,100.0
County,KY Kentucky,KY Breathitt County 21025,9,Housing Choice Vouchers,3,A,Breathitt County,21025,38.0,85,33,100,5.88181818181818,15,1.42424242424242,46.0771955161268,227.0625,295.65625,9130.72727272727,6410.93617021276,9,61,24,6,0,6,9,85,29,100,67,0,18,61,15,82,82,62,0,52,15,33,0,0,0,0,0,0,14.9266666666667,66.9979797979798,36,170.583333333333,36,52,12,39,40,1,53,A,A,A,-1,-1,KY,-1,A,100.0
County,KY Kentucky,KY Breckinridge County 21027,9,Housing Choice Vouchers,3,A,Breckinridge County,21027,78.0,85,67,100,5.60597014925373,4,1.67164179104477,109.800976549068,258.626865671642,318.787878787879,10131.447761194,6060.77678571429,6,61,18,12,3,7,3,87,28,97,73,4,19,85,19,59,79,46,0,34,16,49,0,16,15,0,0,1,14.8666666666667,49.7875621890547,93,180.451612903226,24,57,19,45,16,6,59,A,A,A,-1,-1,KY,-1,A,84.0
County,KY Kentucky,KY Bullitt County 21029,9,Housing Choice Vouchers,3,A,Bullitt County,21029,474.0,85,409,100,4.95020334742684,11,2.60494524642515,1045.42270481928,266.431207210204,575.417003978073,10635.8375611368,4082.94092773454,21,37,20,11,11,13,18,65,20,99,80,6,53,87,54,38,71,19,5,59,14,22,1,5,3,1,0,1,20.2265151515151,41.3280706562248,90,177.80567796043,10,39,51,32,9,2,70,A,A,A,-1,-1,KY,-1,A,95.0
County,KY Kentucky,KY Butler County 21031,9,Housing Choice Vouchers,3,A,Butler County,21031,29.0,85,25,100,5.22133333333333,4,1.64,40.1950003438553,262.92,316.44,10788.4,6578.29268292683,0,60,28,8,4,12,4,84,31,96,64,8,20,80,28,78,86,56,0,44,28,28,0,0,0,0,0,0,57.6333333333333,42.14,96,147.458333333333,16,44,40,56,20,4,51,A,A,A,-1,-1,KY,-1,A,100.0
County,KY Kentucky,KY Caldwell County 21033,9,Housing Choice Vouchers,3,A,Caldwell County,21033,16.0,85,14,100,4.56190476190476,0,1.14285714285714,15.685853792724,235.071428571429,264.0,10944.4285714286,9576.375,0,43,50,7,0,0,0,100,32,100,43,0,0,50,0,100,29,63,0,29,21,50,0,7,7,0,0,0,-1.0,50.2404761904762,64,74.8888888888889,79,21,0,7,20,10,61,A,A,A,-1,-1,KY,-1,A,93.0
County,KY Kentucky,KY Calloway County 21035,9,Housing Choice Vouchers,3,A,Calloway County,21035,57.0,85,49,100,5.13265306122449,12,1.97959183673469,95.0954886183894,221.625,432.208333333333,9062.38775510204,4577.90721649484,18,49,20,12,0,14,10,71,22,98,82,2,45,86,45,49,75,29,8,57,18,16,0,27,24,0,0,2,30.5777777777778,47.4163265306122,96,167.191489361702,20,59,20,24,21,14,44,A,A,A,-1,-1,KY,-1,A,73.0
County,KY Kentucky,KY Campbell County 21037,9,Housing Choice Vouchers,3,A,Campbell County,21037,1187.0,94,1131,97,5.00115488839656,12,2.12070484756586,2375.79905085073,244.109737091735,498.804668266936,10455.858986031,4930.36972968312,17,39,25,12,7,16,12,70,19,99,88,4,41,77,41,47,63,27,6,51,21,22,2,22,20,0,0,1,8.50287911363765,58.3667838208142,74,105.937249333764,40,34,26,12,18,7,43,A,A,A,-1,-1,KY,-1,A,78.0
County,KY Kentucky,KY Carlisle County 21039,9,Housing Choice Vouchers,3,A,Carlisle County,21039,1.0,85,1,100,2.0,-4,-4.0,-4.0,-4.0,-4.0,-4.0,4474.33333333333,-4,-4,-4,-4,-4,-4,-4,-4,53,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-1.0,49.8666666666667,-4,-4.0,-4,-4,-4,-4,-1,-1,-1,A,A,A,-1,-1,KY,-1,A,100.0
County,KY Kentucky,KY Carroll County 21041,9,Housing Choice Vouchers,3,A,Carroll County,21041,7.0,85,6,100,4.71666666666667,-4,-4.0,-4.0,-4.0,-4.0,-4.0,3862.15789473684,-4,-4,-4,-4,-4,-4,-4,-4,25,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,21.0,26.9666666666667,-4,-4.0,-4,-4,-4,-4,16,8,53,A,A,A,-1,-1,KY,-1,A,100.0
County,KY Kentucky,KY Carter County 21043,9,Housing Choice Vouchers,3,A,Carter County,21043,328.0,98,320,98,5.58587198269649,7,2.43884314978305,792.016645037057,208.332622320801,409.862254322667,7976.18418121975,3270.47853894552,30,39,18,10,2,9,31,57,22,98,76,8,47,81,50,37,87,23,5,60,20,15,1,1,0,1,0,1,22.1325238439282,59.7598904306796,82,144.988560114398,10,41,49,33,21,1,54,A,A,A,-1,-1,KY,-1,A,99.0
County,KY Kentucky,KY Casey County 21045,9,Housing Choice Vouchers,3,A,Casey County,21045,42.0,85,35,97,6.1991855307847,6,2.31054618449174,83.2210781365173,191.664256090541,352.17121931901,7138.72053943142,3089.62469019062,31,57,9,3,0,9,31,60,21,100,94,14,34,83,43,40,100,22,3,51,31,14,0,0,0,0,0,0,16.0833333333333,80.0400569563756,86,144.677079983665,9,54,37,46,26,3,56,A,A,A,-1,-1,KY,-1,A,100.0
County,KY Kentucky,KY Christian County 21047,9,Housing Choice Vouchers,3,A,Christian County,21047,659.0,93,616,100,4.51989529882653,9,2.24594656061493,1379.09034698328,254.980946883371,392.816839811836,10805.8496060546,4811.26746092126,11,45,22,13,8,21,13,61,24,97,72,2,48,87,47,40,77,23,5,61,19,15,1,68,66,0,0,2,14.5020543749327,61.917936163905,88,146.330971371711,23,46,31,25,23,47,45,A,A,A,-1,-1,KY,-1,A,32.0
County,KY Kentucky,KY Clark County 21049,9,Housing Choice Vouchers,3,A,Clark County,21049,420.0,85,362,100,4.62744014732966,13,2.50828729281769,890.172202737088,267.823863636364,594.413105413107,10261.8701657459,4091.18612334802,21,38,20,13,9,16,21,59,18,99,86,8,51,86,52,38,73,20,4,67,18,11,1,20,19,1,0,1,22.9397163120567,56.5165745856355,75,247.022058823529,8,35,56,35,15,12,53,A,A,A,-1,-1,KY,-1,A,80.0
County,KY Kentucky,KY Clay County 21051,9,Housing Choice Vouchers,3,A,Clay County,21051,68.0,85,59,100,5.70564971751412,7,2.10169491525424,121.565366893611,234.241379310345,379.701754385965,9056.84745762711,4309.3064516129,19,47,22,8,3,12,15,73,27,95,69,2,53,90,53,51,100,32,2,66,19,14,0,0,0,0,0,0,21.8916666666667,70.0949152542373,90,197.188679245283,8,44,47,44,34,17,44,A,A,A,-1,-1,KY,-1,A,100.0
County,KY Kentucky,KY Clinton County 21053,9,Housing Choice Vouchers,3,A,Clinton County,21053,35.0,85,29,97,7.25977011494252,0,2.0,59.7699530516432,200.862068965517,323.655172413793,7668.41379310345,3834.20689655173,17,66,14,3,0,0,21,76,23,97,90,14,45,79,45,72,100,40,0,59,28,14,0,3,3,0,0,0,-1.0,72.2586206896551,90,168.307692307692,0,41,59,59,29,3,52,A,A,A,-1,-1,KY,-1,A,97.0
