gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
County,KY Kentucky,KY Adair County 21001,9,Housing Choice Vouchers,3,,Adair County,21001,80,77,64,100,5,13,2.2,142,238,404,8512,3836,20,62,11,2,5,9,6,80,23,100,86,5,34,77,34,62,100,32,3,48,30,19,-1,6,6,-1,-1,94,-1,-1,-1,0,2,55,72,66,158,17,50,33,38,19,8,69,,,,,,KY,,,94.0
County,KY Kentucky,KY Allen County 21003,9,Housing Choice Vouchers,3,,Allen County,21003,17,77,13,100,7,15,1.7,22,239,622,8965,5297,8,77,15,-1,-1,-1,-1,100,26,100,85,8,15,77,23,90,100,55,-1,38,38,23,-1,8,8,-1,-1,92,-1,-1,-1,0,0,-1,65,92,171,31,54,15,38,21,4,71,,,,,,KY,,,92.0
County,KY Kentucky,KY Anderson County 21005,9,Housing Choice Vouchers,3,,Anderson County,21005,118,77,92,100,8,8,2.3,210,273,622,9826,4305,18,43,22,10,7,15,1,80,18,99,88,7,36,82,40,41,89,26,1,43,25,30,3,14,12,-1,-1,86,-1,2,-1,2,0,75,84,99,201,7,63,30,38,12,6,78,,,,,,KY,,,86.0
County,KY Kentucky,KY Barren County 21009,9,Housing Choice Vouchers,3,,Barren County,21009,351,97,350,100,4,30,2.0,687,265,425,11042,5626,7,47,29,13,5,23,2,75,27,98,68,4,39,82,38,43,85,30,7,45,22,26,2,16,15,-1,-1,84,-1,0,-1,0,0,3,53,95,97,23,55,22,28,25,14,63,,,,,,KY,,,84.0
County,KY Kentucky,KY Bath County 21011,9,Housing Choice Vouchers,3,,Bath County,21011,10,-4,8,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,KY,,,
County,KY Kentucky,KY Bell County 21013,9,Housing Choice Vouchers,3,,Bell County,21013,404,95,387,100,6,12,2.2,835,253,407,10165,4711,14,46,25,11,4,22,2,75,28,94,65,10,34,76,37,42,91,30,5,51,23,21,1,4,4,-1,-1,96,-1,1,-1,1,0,2,79,99,146,7,52,41,41,36,6,61,,,,,,KY,,,96.0
County,KY Kentucky,KY Boone County 21015,9,Housing Choice Vouchers,3,,Boone County,21015,1044,95,995,100,5,24,2.5,2500,312,579,13052,5195,12,28,23,16,20,37,1,59,22,98,75,8,51,84,54,28,63,15,9,61,15,15,1,17,13,0,0,83,0,3,0,3,1,28,57,92,94,30,32,38,11,16,14,54,,,,,,KY,,,83.0
County,KY Kentucky,KY Bourbon County 21017,9,Housing Choice Vouchers,3,,Bourbon County,21017,464,92,423,100,5,19,2.2,943,261,489,10327,4632,19,36,28,11,7,27,2,70,19,99,86,6,43,84,45,32,66,21,6,49,24,21,1,18,17,-1,-1,82,0,1,-1,2,1,15,80,94,101,14,49,37,34,21,19,68,,,,,,KY,,,82.0
County,KY Kentucky,KY Boyd County 21019,9,Housing Choice Vouchers,3,,Boyd County,21019,616,76,459,98,5,16,2.3,1060,248,553,9339,4044,16,43,23,13,4,20,3,67,22,98,75,5,42,80,43,47,85,27,4,59,25,12,0,9,7,1,0,91,-1,2,-1,2,0,12,77,83,175,17,46,38,29,22,7,74,,,,,,KY,,,91.0
County,KY Kentucky,KY Boyle County 21021,9,Housing Choice Vouchers,3,,Boyle County,21021,290,107,302,97,5,27,2.1,647,263,426,10324,4819,13,47,23,13,4,25,2,72,25,98,71,4,45,82,46,43,80,27,8,51,22,19,1,34,32,0,0,66,-1,1,-1,1,0,8,66,98,98,21,58,21,21,19,16,70,,,,,,KY,,,66.0
