gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
County,LA Louisiana,LA Acadia Parish 22001,9,Housing Choice Vouchers,3,A,Acadia Parish,22001,590.0,93,546,98,5.78345328033407,13,2.72414710874577,1501.29100371353,264.192086359133,333.062307066175,10218.2645103081,3750.99585389598,14,45,25,14,4,39,1,60,25,98,71,3,61,90,62,25,68,14,9,60,15,15,1,72,72,0,0,0,11.0980509782798,49.8395142606885,100,142.796378588097,24,34,43,5,29,35,55,A,A,A,-1,-1,LA,-1,A,28.0
County,LA Louisiana,LA Allen Parish 22003,9,Housing Choice Vouchers,3,A,Allen Parish,22003,292.0,73,218,99,4.36539383588298,29,2.31765790245831,491.343475321163,267.483115822776,295.15136282251,10129.3470282062,4370.50999522497,4,57,27,9,3,40,5,55,27,98,67,3,59,88,59,27,67,15,12,58,17,12,0,51,50,0,1,0,4.78466579577619,34.325566207832,100,122.511101968438,17,51,32,19,20,40,59,A,A,A,-1,-1,LA,-1,A,49.0
County,LA Louisiana,LA Ascension Parish 22005,9,Housing Choice Vouchers,3,A,Ascension Parish,22005,183.0,83,164,98,4.9832974362071,9,2.74194126290787,414.033130699089,252.47809537229,533.700816706716,10894.9794520823,3973.45471964198,16,45,15,13,11,34,1,65,21,97,81,1,58,90,54,32,56,17,1,68,18,13,1,89,88,0,1,0,10.9252254972553,95.9926634996677,99,119.527775978626,7,38,55,33,22,48,56,A,A,A,-1,-1,LA,-1,A,11.0
County,LA Louisiana,LA Assumption Parish 22007,9,Housing Choice Vouchers,3,A,Assumption Parish,22007,108.0,78,80,95,4.22694063926942,1,2.6625,223.65,283.4375,410.448717948719,8762.72500000001,3291.16431924883,26,48,11,9,6,36,3,61,21,96,78,0,74,96,74,19,92,12,5,60,20,15,0,96,96,0,0,0,20.3666666666667,77.3995833333334,100,157.55,4,55,41,23,26,46,56,A,A,A,-1,-1,LA,-1,A,4.0
County,LA Louisiana,LA Avoyelles Parish 22009,9,Housing Choice Vouchers,3,A,Avoyelles Parish,22009,126.0,75,99,100,3.7983164983165,6,3.24242424242424,308.030303030303,335.744897959184,377.989130434783,13174.0101010101,4063.01246105919,7,30,24,25,13,34,14,46,33,88,47,4,68,91,68,32,82,15,0,69,20,11,0,78,78,0,0,1,18.7111111111111,67.4690235690236,99,180.5,3,22,75,26,29,41,62,A,A,A,-1,-1,LA,-1,A,22.0
County,LA Louisiana,LA Beauregard Parish 22011,9,Housing Choice Vouchers,3,A,Beauregard Parish,22011,38.0,87,36,100,6.48798691218266,8,2.11155692484058,69.3435294117647,298.774987461489,385.509856663842,11470.8703876191,5432.42299209392,11,39,19,22,8,44,8,47,28,92,61,0,53,92,53,32,40,21,3,61,22,14,3,75,72,3,0,0,1.51111111111111,77.3685056483008,100,150.768682381601,31,29,40,14,17,34,59,A,A,A,-1,-1,LA,-1,A,25.0
County,LA Louisiana,LA Bienville Parish 22013,9,Housing Choice Vouchers,3,A,Bienville Parish,22013,82.0,88,77,100,5.00985490913175,25,2.94489898515576,212.545853269538,207.533569412142,336.027209398565,10376.3736913923,3523.50751034114,25,35,23,12,5,39,9,52,28,94,68,4,75,97,78,23,100,9,9,75,12,4,1,94,94,0,0,0,15.4631578947368,34.3971169658164,100,74.4588731196101,17,52,31,8,29,56,57,A,A,A,-1,-1,LA,-1,A,6.0
County,LA Louisiana,LA Bossier Parish 22015,9,Housing Choice Vouchers,3,A,Bossier Parish,22015,656.0,94,700,100,3.61995752828146,21,2.37315273111054,1467.26114689125,243.122782224825,472.225101552691,9811.64294334112,4134.4338334051,19,43,22,12,6,20,17,58,23,98,76,2,53,86,52,39,58,23,11,57,17,15,1,80,79,0,0,1,7.50896551724138,44.5697443733637,95,107.874865851867,23,42,35,24,23,38,49,A,A,A,-1,-1,LA,-1,A,20.0
County,LA Louisiana,LA Caddo Parish 22017,9,Housing Choice Vouchers,3,A,Caddo Parish,22017,3524.0,74,2269,87,6.65071812645562,10,2.79242512854059,7302.54554114012,251.875434322611,430.991835417975,10402.6473410874,3725.30931438945,17,41,21,13,8,26,16,54,23,98,74,1,64,88,63,26,62,16,5,66,17,12,1,91,91,0,0,0,15.1767281891226,71.6843226749615,96,121.572879584995,17,35,48,17,32,74,53,A,A,A,-1,-1,LA,-1,A,9.0
County,LA Louisiana,LA Calcasieu Parish 22019,9,Housing Choice Vouchers,3,A,Calcasieu Parish,22019,2367.0,67,1669,100,5.79355065133364,17,2.63363194524321,4158.97195812728,295.406861997162,468.864234096787,12493.2172919614,4743.72180764526,3,40,28,19,10,46,5,48,27,97,66,2,64,91,64,24,56,15,9,63,14,14,0,80,79,0,0,1,13.5462453069383,49.4351913782385,99,124.83365797921,16,40,44,13,23,52,50,A,A,A,-1,-1,LA,-1,A,20.0
County,LA Louisiana,LA Caldwell Parish 22021,9,Housing Choice Vouchers,3,A,Caldwell Parish,22021,114.0,89,103,100,4.93911564625851,16,2.24271844660194,226.514563106796,247.135922330098,341.611650485437,10042.5339805825,4477.83982683983,19,38,26,11,6,40,1,58,28,94,62,1,62,83,60,23,46,14,6,58,13,23,1,26,26,0,0,0,8.54375,45.7271844660195,100,135.009708737864,9,50,41,28,21,21,56,A,A,A,-1,-1,LA,-1,A,74.0
County,LA Louisiana,LA Cameron Parish 22023,9,Housing Choice Vouchers,3,A,Cameron Parish,22023,3.0,66,8,100,2.525,-4,-4.0,-4.0,-4.0,-4.0,-4.0,9299.125,-4,-4,-4,-4,-4,-4,-4,-4,24,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,1.525,0.0,-4,-4.0,-4,-4,-4,-4,12,5,61,A,A,A,-1,-1,LA,-1,A,100.0
County,LA Louisiana,LA Catahoula Parish 22025,9,Housing Choice Vouchers,3,A,Catahoula Parish,22025,66.0,71,50,100,4.70733333333334,12,2.56,120.32,253.46,328.44,9479.62,3702.9765625,20,36,30,12,2,48,0,52,26,96,64,2,64,98,66,18,83,13,20,62,6,12,0,76,76,0,0,0,12.5333333333333,35.7293333333334,100,108.74,30,48,22,0,32,53,55,A,A,A,-1,-1,LA,-1,A,24.0
County,LA Louisiana,LA Claiborne Parish 22027,9,Housing Choice Vouchers,3,A,Claiborne Parish,22027,84.0,86,78,100,5.82179487179488,15,2.8974358974359,208.615384615385,210.025641025641,341.179487179488,9194.01282051283,3173.15486725664,17,45,26,13,0,45,3,53,24,100,72,3,69,95,72,17,100,9,10,65,13,12,1,97,97,0,0,0,9.09166666666667,48.4910256410258,100,120.397435897436,9,32,59,19,31,58,57,A,A,A,-1,-1,LA,-1,A,3.0
County,LA Louisiana,LA Concordia Parish 22029,9,Housing Choice Vouchers,3,A,Concordia Parish,22029,52.0,81,41,98,6.32682926829269,17,2.17073170731708,91.1707317073171,260.365853658537,267.675,10915.512195122,5028.49438202247,7,49,29,10,5,20,5,66,31,93,59,2,32,68,32,41,100,27,2,44,32,22,0,78,78,0,0,0,4.75238095238095,42.2365853658537,95,116.333333333333,27,32,41,34,37,55,55,A,A,A,-1,-1,LA,-1,A,22.0
County,LA Louisiana,LA De Soto Parish 22031,9,Housing Choice Vouchers,3,A,De Soto Parish,22031,214.0,86,179,98,5.22867783985103,2,2.87150837988827,525.550561797752,253.59217877095,442.621468926554,10313.061452514,3591.51361867705,12,48,23,9,7,29,15,55,23,98,79,1,61,93,63,29,93,15,0,65,20,15,2,85,85,0,0,0,35.0333333333333,67.2858472998139,100,142.374301675978,17,18,65,26,30,60,54,A,A,A,-1,-1,LA,-1,A,15.0
County,LA Louisiana,LA East Baton Rouge Parish 22033,9,Housing Choice Vouchers,3,A,East Baton Rouge Parish,22033,3294.0,84,3186,99,6.61521712816642,14,3.08543203689374,8524.80249892205,309.146089856619,655.43082347712,12708.0555658317,4118.7280788805,12,35,20,16,17,41,5,53,24,96,71,3,67,92,67,24,70,12,3,70,18,9,1,97,97,0,0,1,15.5112186029121,66.6684546287968,97,184.945148455299,6,29,65,24,26,69,52,A,A,A,-1,-1,LA,-1,A,3.0
County,LA Louisiana,LA East Carroll Parish 22035,9,Housing Choice Vouchers,3,A,East Carroll Parish,22035,142.0,99,138,98,4.48435897435898,4,3.78985507246378,534.369565217392,214.601449275363,381.233576642336,10084.8985507246,2661.02485659655,29,24,28,15,4,42,30,25,24,96,64,1,86,99,87,2,25,1,3,83,8,6,0,97,97,0,0,1,21.8666666666667,82.1521739130436,100,149.63768115942,2,17,80,11,49,82,48,A,A,A,-1,-1,LA,-1,A,3.0
County,LA Louisiana,LA East Feliciana Parish 22037,9,Housing Choice Vouchers,3,A,East Feliciana Parish,22037,1.0,87,1,100,10.1666666666667,-4,-4.0,-4.0,-4.0,-4.0,-4.0,5328.0,-4,-4,-4,-4,-4,-4,-4,-4,38,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,100,-4,-4,-4,-4,0.0,0.0,-4,-4.0,-4,-4,-4,-4,15,44,59,A,A,A,-1,-1,LA,-1,A,0.0
County,LA Louisiana,LA Evangeline Parish 22039,9,Housing Choice Vouchers,3,A,Evangeline Parish,22039,264.0,96,268,97,5.0549203961496,10,2.66677714057848,674.457203037827,218.775855132515,368.418771396157,9707.51371764644,3640.16684031598,12,50,22,13,3,29,2,69,27,96,68,3,60,88,59,33,72,18,3,64,17,16,0,77,76,0,0,1,41.7874907074734,75.6015482364252,99,126.984364049742,7,27,65,32,41,45,54,A,A,A,-1,-1,LA,-1,A,23.0
County,LA Louisiana,LA Franklin Parish 22041,9,Housing Choice Vouchers,3,A,Franklin Parish,22041,16.0,82,8,63,4.29958326821899,-4,-4.0,-4.0,-4.0,-4.0,-4.0,4255.49963765729,-4,-4,-4,-4,-4,-4,-4,-4,27,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,30,-4,-4,-4,-4,0.342001787310098,18.1910402667083,-4,-4.0,-4,-4,-4,-4,32,42,56,A,A,A,-1,-1,LA,-1,A,70.0
