gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
County,LA Louisiana,LA Acadia Parish 22001,9,Housing Choice Vouchers,3,,Acadia Parish,22001,572,86,498,100,6,17,2.6,1287,306,379,10930,4229,9,47,25,14,4,37,0,62,27,97,68,3,55,88,55,29,71,16,8,55,19,18,-1,73,72,-1,-1,27,0,0,-1,1,0,24,73,100,146,16,40,43,28,28,37,80,,,,,,LA,,,27.0
County,LA Louisiana,LA Allen Parish 22003,9,Housing Choice Vouchers,3,,Allen Parish,22003,292,63,178,97,5,33,2.3,402,270,439,11170,4946,4,46,31,12,7,43,1,56,28,97,67,3,47,87,48,36,75,19,10,47,27,16,1,55,54,1,-1,45,-1,1,-1,1,0,13,47,98,154,19,46,35,29,18,37,75,,,,,,LA,,,45.0
County,LA Louisiana,LA Ascension Parish 22005,9,Housing Choice Vouchers,3,,Ascension Parish,22005,212,66,165,100,6,5,2.7,440,290,727,12455,4671,13,40,17,18,12,29,-1,69,21,98,82,1,55,88,50,39,56,22,-1,62,22,15,2,94,93,-1,1,6,-1,1,-1,1,0,53,112,98,116,8,38,55,36,17,52,66,,,,,,LA,,,6.0
County,LA Louisiana,LA Assumption Parish 22007,9,Housing Choice Vouchers,3,,Assumption Parish,22007,110,56,54,87,8,11,2.6,141,319,432,12645,4843,9,40,17,17,17,28,-1,70,27,96,69,-1,54,91,54,33,92,22,-1,57,20,22,-1,94,94,-1,-1,6,-1,-1,-1,0,0,76,115,98,161,13,46,41,28,22,43,67,,,,,,LA,,,6.0
County,LA Louisiana,LA Avoyelles Parish 22009,9,Housing Choice Vouchers,3,,Avoyelles Parish,22009,140,89,125,100,7,14,2.9,360,366,394,13637,4735,7,40,14,23,16,36,-1,63,32,90,53,2,67,94,69,40,83,23,2,65,18,14,-1,82,80,-1,-1,18,2,-1,-1,2,0,31,75,100,163,9,26,65,28,23,43,75,,,,,,LA,,,18.0
County,LA Louisiana,LA Beauregard Parish 22011,9,Housing Choice Vouchers,3,,Beauregard Parish,22011,38,89,38,100,6,16,2.5,95,258,614,10459,4184,18,47,5,24,5,42,-1,58,23,95,74,3,47,95,50,23,88,24,3,63,13,21,-1,76,74,-1,3,24,-1,-1,-1,0,0,18,74,100,165,29,18,53,16,18,35,72,,,,,,LA,,,24.0
County,LA Louisiana,LA Bienville Parish 22013,9,Housing Choice Vouchers,3,,Bienville Parish,22013,81,59,46,96,5,-1,3.2,145,239,466,10498,3330,26,26,24,15,9,35,-1,65,25,98,65,2,72,98,74,16,100,10,-1,80,13,7,-1,96,93,-1,-1,4,2,-1,-1,2,0,-1,80,100,126,13,41,46,9,37,62,64,,,,,,LA,,,4.0
County,LA Louisiana,LA Bossier Parish 22015,9,Housing Choice Vouchers,3,,Bossier Parish,22015,752,93,684,98,5,12,2.4,1668,299,469,11273,4623,14,39,22,14,10,31,0,67,23,97,74,1,55,86,55,30,80,21,7,58,17,18,0,87,86,-1,0,13,0,0,0,1,0,35,67,97,99,27,44,29,19,23,51,62,,,,,,LA,,,13.0
County,LA Louisiana,LA Caddo Parish 22017,9,Housing Choice Vouchers,3,,Caddo Parish,22017,3658,52,1952,100,5,5,2.5,4908,294,479,11837,4708,8,45,21,16,10,31,0,68,24,97,75,1,54,85,53,37,82,24,1,62,24,13,1,93,92,0,-1,7,0,1,-1,1,0,27,104,94,112,20,33,47,26,32,82,70,,,,,,LA,,,7.0
County,LA Louisiana,LA Calcasieu Parish 22019,9,Housing Choice Vouchers,3,,Calcasieu Parish,22019,2781,77,2130,100,6,15,2.5,5392,310,539,13640,5388,2,39,26,18,16,45,0,54,28,94,63,3,57,88,57,29,70,18,7,61,18,14,1,85,83,0,0,15,0,1,-1,1,0,18,63,99,122,18,39,43,17,26,59,68,,,,,,LA,,,15.0
