Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
2020-12-31,County,LA Louisiana,LA Acadia Parish 22001,9,Housing Choice Vouchers,3,,Acadia Parish,22001,567,93,521,99,5,17,2.4,1250,283,379,11560,4818,7,47,24,14,7,31,0,69,26,97,69,2,49,87,49,24,61,16,8,50,19,24,1,70,67,-1,-1,30,1,2,0,3,0,11,70,99,122,21,41,38,33,34,35,76,,,,,,LA,,,30.0
2020-12-31,County,LA Louisiana,LA Allen Parish 22003,9,Housing Choice Vouchers,3,,Allen Parish,22003,284,58,161,97,5,15,2.2,357,276,327,12195,5500,6,40,30,14,11,35,-1,65,26,98,71,3,49,89,51,30,75,19,7,49,22,22,1,51,50,1,-1,49,-1,-1,-1,0,0,6,59,99,120,19,50,32,26,25,39,74,,,,,,LA,,,49.0
2020-12-31,County,LA Louisiana,LA Ascension Parish 22005,9,Housing Choice Vouchers,3,,Ascension Parish,22005,202,76,170,100,5,12,2.7,463,302,723,13148,4828,5,45,20,10,19,21,-1,76,19,98,88,-1,61,94,58,34,81,20,4,62,19,15,-1,94,94,-1,-1,6,-1,-1,-1,0,0,45,103,98,107,13,43,44,24,23,49,65,,,,,,LA,,,6.0
2020-12-31,County,LA Louisiana,LA Assumption Parish 22007,9,Housing Choice Vouchers,3,,Assumption Parish,22007,109,66,60,83,5,25,2.3,139,260,435,11159,4817,10,47,24,12,7,18,-1,78,21,97,85,-1,47,92,47,37,88,24,2,52,18,28,3,97,97,-1,-1,3,-1,-1,-1,0,0,9,111,95,138,12,45,43,40,18,43,67,,,,,,LA,,,3.0
2020-12-31,County,LA Louisiana,LA Avoyelles Parish 22009,9,Housing Choice Vouchers,3,,Avoyelles Parish,22009,139,86,128,100,5,17,2.8,363,312,503,12793,4511,6,42,15,21,17,31,-1,63,28,94,61,3,63,94,66,25,71,15,4,60,17,19,-1,80,77,-1,-1,20,2,2,-1,3,2,29,77,100,140,6,20,73,36,27,40,74,,,,,,LA,,,20.0
2020-12-31,County,LA Louisiana,LA Beauregard Parish 22011,9,Housing Choice Vouchers,3,,Beauregard Parish,22011,40,79,34,100,5,32,2.6,87,361,483,14294,5586,9,27,21,12,30,32,-1,65,26,94,59,9,38,85,47,34,100,21,6,47,32,15,-1,74,74,-1,-1,26,-1,-1,-1,0,0,10,53,100,132,24,26,50,24,20,32,70,,,,,,LA,,,26.0
2020-12-31,County,LA Louisiana,LA Bienville Parish 22013,9,Housing Choice Vouchers,3,,Bienville Parish,22013,82,73,55,92,6,18,2.8,152,201,408,8747,3165,29,45,13,7,5,16,-1,84,20,100,84,4,75,96,76,12,100,12,5,80,7,7,-1,96,93,-1,-1,4,4,-1,-1,4,0,6,60,98,62,13,51,36,15,41,65,66,,,,,,LA,,,4.0
2020-12-31,County,LA Louisiana,LA Bossier Parish 22015,9,Housing Choice Vouchers,3,,Bossier Parish,22015,781,96,709,95,5,7,2.3,1650,310,493,12707,5460,11,38,22,13,17,24,-1,71,27,92,67,1,49,84,49,34,78,25,3,58,17,22,1,89,88,0,0,11,0,0,-1,1,0,6,82,92,113,27,39,33,25,30,53,64,,,,,,LA,,,11.0
2020-12-31,County,LA Louisiana,LA Caddo Parish 22017,9,Housing Choice Vouchers,3,,Caddo Parish,22017,4044,60,2505,100,5,11,2.5,6283,294,523,11916,4751,12,41,22,13,13,25,1,73,25,95,73,1,55,87,54,33,84,24,4,60,18,17,1,95,94,0,0,5,0,0,0,1,0,39,96,94,105,15,33,52,34,37,81,69,,,,,,LA,,,5.0
2020-12-31,County,LA Louisiana,LA Calcasieu Parish 22019,9,Housing Choice Vouchers,3,,Calcasieu Parish,22019,2144,-5,1046,-5,-5,-5,-5.0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,,,,,,LA,,,
