sumlevel,program,program_label,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,tpct_ownsfd,fedhse,msa,placefips,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
9,3,VO,-1,Barnstable County,25001,-1,-1,1921,-1,5,22,2.1,4086,411,736,13.9,6.5,7,38,22,15,18,31,6,60,21,89,70,13,33,77,43,53,70,30,3,62,23,12,0,17,10,2,1,4,29,72,73,140,35,37,28,13,10,10,58,-1,-1,-1,-1,-1,MA,-1,-1,83.0
9,3,VO,-1,Berkshire County,25003,-1,-1,1455,-1,6,23,2.1,3097,282,432,11.6,5.5,7,47,25,13,9,25,9,65,19,93,82,11,38,78,45,51,50,26,10,58,18,14,1,13,7,0,0,5,11,65,83,101,39,34,28,11,9,16,34,-1,-1,-1,-1,-1,MA,-1,-1,87.0
9,3,VO,-1,Bristol County,25005,-1,-1,5360,-1,5,12,2.1,11129,335,641,13.2,6.4,4,42,25,14,15,22,12,65,21,98,82,9,33,81,40,56,54,32,2,56,18,23,3,25,12,1,1,11,27,70,82,129,28,38,34,26,17,18,23,-1,-1,-1,-1,-1,MA,-1,-1,75.0
9,3,VO,-1,Dukes County,25007,-1,-1,20,-1,5,30,1.9,37,408,777,15.1,8.1,5,45,20,5,25,35,5,60,18,65,45,0,45,75,40,40,40,27,0,50,25,25,10,10,10,0,0,0,11,46,80,132,40,40,20,20,8,7,53,-1,-1,-1,-1,-1,MA,-1,-1,90.0
9,3,VO,-1,Essex County,25009,-1,-1,8527,-1,5,13,2.4,20573,371,827,15.2,6.3,6,33,21,15,24,36,8,54,21,96,78,16,38,85,51,40,56,23,3,62,19,16,2,52,6,0,1,45,38,69,87,129,25,33,42,16,36,16,26,-1,-1,-1,-1,-1,MA,-1,-1,48.0
9,3,VO,-1,Franklin County,25011,-1,-1,890,-1,4,26,1.8,1594,340,487,12.2,6.8,5,48,23,13,11,20,6,72,19,89,75,9,26,72,32,60,58,37,4,59,20,17,2,10,3,0,1,7,23,59,77,117,51,29,20,11,7,15,40,-1,-1,-1,-1,-1,MA,-1,-1,90.0
9,3,VO,-1,Hampden County,25013,-1,-1,7507,-1,5,14,2.6,19588,329,528,13.0,5.0,6,40,25,15,15,26,17,55,21,97,83,15,45,88,57,45,83,23,4,66,17,12,1,82,17,0,0,64,52,80,85,131,21,37,42,14,54,29,24,-1,-1,-1,-1,-1,MA,-1,-1,18.0
9,3,VO,-1,Hampshire County,25015,-1,-1,1167,-1,5,14,2.1,2490,343,589,13.5,6.3,7,40,22,14,17,30,9,59,23,95,75,13,35,78,43,49,65,29,4,60,21,15,1,33,8,1,4,20,21,70,86,77,34,46,20,11,15,13,44,-1,-1,-1,-1,-1,MA,-1,-1,67.0
9,3,VO,-1,Middlesex County,25017,-1,-1,10671,-1,5,12,2.3,24311,392,958,15.6,6.9,6,34,22,13,25,32,6,60,22,94,77,14,33,80,44,47,49,25,3,62,19,16,2,34,11,0,3,19,37,70,85,118,33,35,32,11,25,11,30,-1,-1,-1,-1,-1,MA,-1,-1,66.0
9,3,VO,-1,Nantucket County,25019,-1,-1,2,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,MA,-1,-1,
