gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
County,MA Massachusetts,MA Barnstable County 25001,9,Housing Choice Vouchers,3,A,Barnstable County,25001,1907.0,98,1843,94,5.35757167653884,6,2.04122428492168,3796.54343635552,423.289156072485,861.712649626626,14250.3969828659,6981.29896265303,8,36,23,14,20,24,8,66,22,96,81,3,34,75,36,55,71,32,1,53,29,17,1,18,12,2,1,4,24.8298430919538,101.152727499019,74,165.738994984802,36,36,28,17,11,10,60,A,A,A,-1,-1,MA,-1,A,82.0
County,MA Massachusetts,MA Berkshire County 25003,9,Housing Choice Vouchers,3,A,Berkshire County,25003,1690.0,96,1527,94,5.08606294978137,5,2.17480900050909,3519.07594865938,332.85499685483,696.432351508949,12415.1251200495,5708.60480949973,7,41,27,13,12,20,7,72,19,100,91,4,43,76,42,54,69,29,4,60,23,13,1,16,11,1,0,5,21.2788453690298,83.8762194112312,85,133.466843176678,36,33,30,12,17,10,34,A,A,A,-1,-1,MA,-1,A,84.0
County,MA Massachusetts,MA Bristol County 25005,9,Housing Choice Vouchers,3,A,Bristol County,25005,6130.0,93,5450,94,5.67371216756302,7,2.02460916713943,11595.2985154085,355.935660218576,699.486863644417,13850.4290872447,6841.03841474449,4,39,25,15,17,17,10,71,23,97,79,3,35,80,36,60,56,35,1,52,24,23,3,30,14,1,1,15,15.593863044647,89.8336868383976,84,158.370186665963,27,39,34,30,18,18,23,A,A,A,-1,-1,MA,-1,A,70.0
County,MA Massachusetts,MA Dukes County 25007,9,Housing Choice Vouchers,3,A,Dukes County,25007,22.0,100,21,95,5.06666666666667,0,2.0,44.2786752827141,629.714285714286,905.0,18212.9523809524,9106.47619047619,0,38,19,10,33,48,0,48,27,95,68,10,29,71,29,38,60,24,0,67,10,24,5,19,14,0,0,5,-1.0,107.04126984127,81,283.411764705882,33,33,33,10,7,9,67,A,A,A,-1,-1,MA,-1,A,81.0
County,MA Massachusetts,MA Essex County 25009,9,Housing Choice Vouchers,3,A,Essex County,25009,9497.0,97,9284,96,5.17485517098371,5,2.2957753938257,21111.868806944,393.527059369377,887.410228515071,15607.8445969814,6798.50678727431,6,32,21,15,26,29,7,63,20,98,83,3,42,83,43,44,65,27,2,55,24,19,2,53,10,0,2,45,30.8640536190448,96.5393382730088,85,143.708169605233,29,34,37,18,16,34,27,A,A,A,-1,-1,MA,-1,A,47.0
County,MA Massachusetts,MA Franklin County 25011,9,Housing Choice Vouchers,3,A,Franklin County,25011,974.0,99,933,96,5.46408837338267,7,1.7692783879698,1711.11467455971,335.407780905171,609.332253082789,13266.0453070364,7497.99771321394,6,39,26,16,14,13,6,79,21,99,86,3,27,70,26,67,64,42,3,52,25,21,1,12,4,0,1,8,22.7782942124461,78.9300929363403,77,146.422535431091,49,30,21,16,15,7,41,A,A,A,-1,-1,MA,-1,A,88.0
County,MA Massachusetts,MA Hampden County 25013,9,Housing Choice Vouchers,3,A,Hampden County,25013,8224.0,98,8208,98,5.15767316423667,3,2.52002868336034,20341.6648998362,420.741443301202,737.59789347035,14278.0987506648,5665.84771234653,6,36,22,16,20,24,12,62,20,99,85,3,50,87,51,48,91,31,2,63,20,15,1,84,17,0,1,68,37.2029260380894,110.366396700872,85,147.973228796745,24,35,41,14,29,54,26,A,A,A,-1,-1,MA,-1,A,16.0
County,MA Massachusetts,MA Hampshire County 25015,9,Housing Choice Vouchers,3,A,Hampshire County,25015,1453.0,93,1353,98,5.49691741192482,5,2.01519856951876,2733.63060758378,382.494866855191,733.395303476295,14248.9691464341,7070.75191594485,5,37,23,16,19,22,7,69,22,98,81,4,35,74,35,52,69,32,2,55,27,17,1,40,16,1,3,21,22.5435125825777,93.0975788695521,84,106.573882343746,41,40,19,10,12,13,45,A,A,A,-1,-1,MA,-1,A,60.0
County,MA Massachusetts,MA Middlesex County 25017,9,Housing Choice Vouchers,3,A,Middlesex County,25017,15135.0,97,13451,91,5.39305849207086,5,2.15297165696724,31513.321408195,432.696405884982,1022.34969276946,16640.1982596546,7728.94441308839,6,29,22,15,28,30,6,64,21,97,80,4,35,78,36,49,57,29,1,53,25,21,2,41,19,0,4,19,34.7510294761584,98.0488687375468,83,135.308231773952,37,33,30,13,11,27,27,A,A,A,-1,-1,MA,-1,A,59.0
County,MA Massachusetts,MA Nantucket County 25019,9,Housing Choice Vouchers,3,A,Nantucket County,25019,3.0,99,3,98,3.37044374421646,-4,-4.0,-4.0,-4.0,-4.0,-4.0,5483.81685676183,-4,-4,-4,-4,-4,-4,-4,-4,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,35,-4,-4,-4,-4,-1.0,69.3024812394957,-4,-4.0,-4,-4,-4,-4,8,20,58,A,A,A,-1,-1,MA,-1,A,65.0
County,MA Massachusetts,MA No county code 25999,9,Housing Choice Vouchers,3,A,Missing County,25999,4.0,97,4,97,6.79273622262051,-4,-4.0,-4.0,-4.0,-4.0,-4.0,6582.55820651814,-4,-4,-4,-4,-4,-4,-4,-4,-1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,20,-4,-4,-4,-4,138.933333333333,73.8071339929202,-4,-4.0,-4,-4,-4,-4,-1,-1,-1,A,A,A,-1,-1,MA,-1,A,80.0
County,MA Massachusetts,MA Norfolk County 25021,9,Housing Choice Vouchers,3,A,Norfolk County,25021,6065.0,97,5931,97,5.72832945972765,3,2.08241686549861,12263.5648314983,423.265513202546,1013.59986619542,15927.6391966419,7648.63148226004,7,31,23,13,26,26,7,65,21,97,81,3,38,78,38,48,59,29,1,55,25,19,2,41,28,1,4,11,26.9380158432787,93.2651716188168,81,128.714252087622,36,36,28,14,6,16,46,A,A,A,-1,-1,MA,-1,A,59.0
County,MA Massachusetts,MA Plymouth County 25023,9,Housing Choice Vouchers,3,A,Plymouth County,25023,3290.0,95,3577,98,6.08554884876181,6,2.44629812773125,7680.11914329501,443.071576749161,959.369659049067,15555.4531391353,6358.77245001276,6,32,21,15,25,27,12,60,21,97,82,3,48,84,48,46,68,25,1,64,23,12,1,37,26,1,1,12,40.0137081813442,92.5390245739523,86,188.184709341076,25,34,41,17,12,25,49,A,A,A,-1,-1,MA,-1,A,63.0
County,MA Massachusetts,MA Suffolk County 25025,9,Housing Choice Vouchers,3,A,Suffolk County,25025,17436.0,96,16298,97,5.93589164048036,6,2.37677228241604,39687.8098321347,442.063223901572,1093.92978716927,16205.1160968795,6818.46715570265,9,32,19,13,27,30,10,58,20,95,81,3,44,80,44,40,73,25,1,57,23,20,2,78,49,1,5,27,15.4732544165112,108.961562419498,85,153.293861845555,25,29,46,24,21,67,13,A,A,A,-1,-1,MA,-1,A,22.0
County,MA Massachusetts,MA Worcester County 25027,9,Housing Choice Vouchers,3,A,Worcester County,25027,5756.0,97,5550,97,5.47588303724711,4,2.35581113406208,13165.5599114756,387.000471465275,760.2091241269,14218.8619372366,6035.65444260351,7,36,22,14,20,22,13,63,20,98,85,6,42,81,45,50,76,28,2,60,23,15,1,51,9,0,1,42,22.8576434398733,95.9510391594638,81,117.210920323294,28,33,39,17,17,27,30,A,A,A,-1,-1,MA,-1,A,49.0
