Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
2022-12-31,County,MA Massachusetts,MA Barnstable County 25001,9,Housing Choice Vouchers,3,,Barnstable County,25001,2399,77,2202,100,7,8,1.7,3793,436,1107,19430,11280,3,9,35,18,35,24,6,69,24,95,77,2,25,71,25,57,69,39,1,36,27,36,2,19,10,2,1,81,1,4,0,5,1,14,143,62,141,46,37,17,18,9,13,72,,,,,,MA,,,81.0
2022-12-31,County,MA Massachusetts,MA Berkshire County 25003,9,Housing Choice Vouchers,3,,Berkshire County,25003,1936,88,1710,100,5,7,2.0,3469,314,762,16104,7938,5,11,42,16,26,20,9,67,21,97,81,2,36,74,34,51,72,33,2,48,24,27,1,20,12,0,0,79,1,6,1,8,1,25,378,65,156,41,31,28,15,19,15,39,,,,,,MA,,,80.0
2022-12-31,County,MA Massachusetts,MA Bristol County 25005,9,Housing Choice Vouchers,3,,Bristol County,25005,6806,88,5957,99,6,8,1.9,11332,458,1182,18169,9551,3,7,42,17,30,21,6,71,23,96,78,2,30,78,30,56,75,38,1,41,27,31,2,34,15,0,1,66,2,16,0,18,1,43,140,84,166,31,37,32,31,20,24,25,,,,,,MA,,,66.0
2022-12-31,County,MA Massachusetts,MA Dukes County 25007,9,Housing Choice Vouchers,3,,Dukes County,25007,18,93,17,100,10,-1,1.9,32,400,747,22668,12042,-1,29,18,24,29,29,12,59,24,94,71,-1,35,94,35,33,40,19,-1,41,29,29,6,12,12,-1,-1,88,-1,-1,-1,0,0,-1,170,47,107,29,41,29,24,6,13,91,,,,,,MA,,,88.0
2022-12-31,County,MA Massachusetts,MA Essex County 25009,9,Housing Choice Vouchers,3,,Essex County,25009,11298,92,10759,100,6,7,2.0,21323,471,1273,21282,10738,3,7,36,14,40,31,5,61,20,96,80,2,30,81,30,41,60,30,1,38,26,35,2,56,8,0,1,44,6,40,1,47,1,61,273,71,154,37,33,29,20,16,40,26,,,,,,MA,,,44.0
2022-12-31,County,MA Massachusetts,MA Franklin County 25011,9,Housing Choice Vouchers,3,,Franklin County,25011,1055,89,934,99,5,8,1.5,1415,401,706,16578,10943,3,7,48,16,26,15,4,79,24,97,77,1,17,67,16,68,73,52,2,33,29,36,1,14,4,1,0,86,1,8,0,8,1,36,142,77,112,60,27,13,15,8,7,39,,,,,,MA,,,86.0
2022-12-31,County,MA Massachusetts,MA Hampden County 25013,9,Housing Choice Vouchers,3,,Hampden County,25013,10563,87,9217,100,6,6,2.2,20178,347,744,17147,7832,4,10,42,15,29,23,10,64,23,96,79,2,37,83,37,46,86,35,2,46,25,27,1,84,15,0,0,15,1,66,2,69,0,56,462,60,143,30,36,34,21,31,59,28,,,,,,MA,,,16.0
2022-12-31,County,MA Massachusetts,MA Hampshire County 25015,9,Housing Choice Vouchers,3,,Hampshire County,25015,1433,84,1228,100,6,6,1.8,2151,354,749,17580,10036,3,8,43,17,29,18,6,75,25,94,76,1,25,69,25,59,75,43,1,38,25,36,2,36,12,1,1,63,0,21,1,21,1,52,403,62,117,46,38,16,16,16,16,44,,,,,,MA,,,64.0
2022-12-31,County,MA Massachusetts,MA Middlesex County 25017,9,Housing Choice Vouchers,3,,Middlesex County,25017,19172,91,18205,100,7,8,2.0,36423,527,1388,22884,11438,4,9,30,15,42,33,4,59,20,91,76,4,27,74,27,41,58,29,1,38,24,36,3,52,25,0,5,48,2,19,0,22,0,50,207,67,148,43,33,24,13,9,25,22,,,,,,MA,,,48.0
2022-12-31,County,MA Massachusetts,MA Norfolk County 25021,9,Housing Choice Vouchers,3,,Norfolk County,25021,9901,89,9368,100,7,6,1.9,18131,476,1503,20949,10824,4,10,32,15,40,29,5,61,18,89,76,2,31,78,31,42,54,29,1,43,24,32,3,52,33,0,4,47,3,12,0,15,1,65,248,69,148,43,34,23,13,6,21,34,,,,,,MA,,,48.0
