sumlevel,program,program_label,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,tpct_ownsfd,fedhse,msa,placefips,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
9,3,VO,-1,Allegany County,24001,-1,-1,698,-1,5,35,2.0,1379,250,327,10.0,5.1,18,43,22,13,4,25,6,66,19,100,86,12,29,78,38,40,54,25,11,53,18,17,1,7,6,0,0,1,7,48,91,120,42,34,24,15,7,18,51,-1,-1,-1,-1,-1,MD,-1,-1,93.0
9,3,VO,-1,Anne Arundel County,24003,-1,-1,1700,-1,6,15,2.5,4288,425,809,15.7,6.3,12,27,20,12,28,38,3,53,23,95,71,14,42,88,54,30,54,17,4,61,15,20,2,70,66,0,2,2,31,58,93,122,26,31,43,15,32,9,39,-1,-1,-1,-1,-1,MD,-1,-1,30.0
9,3,VO,-1,Baltimore County,24005,-1,-1,5276,-1,5,12,2.0,10611,332,616,13.8,6.9,7,36,23,14,20,25,2,72,23,97,76,8,32,82,38,43,53,28,3,46,15,37,5,58,55,0,0,2,23,67,94,89,41,38,22,15,42,11,29,-1,-1,-1,-1,-1,MD,-1,-1,42.0
9,3,VO,-1,Calvert County,24009,-1,-1,347,-1,4,12,2.1,723,454,745,17.7,8.5,2,21,24,18,34,34,1,65,23,98,72,13,22,82,33,33,47,21,1,44,14,41,3,46,45,0,0,1,24,54,97,185,39,28,33,22,20,6,65,-1,-1,-1,-1,-1,MD,-1,-1,54.0
9,3,VO,-1,Caroline County,24011,-1,-1,135,-1,7,24,2.5,337,280,448,11.5,4.6,16,40,21,13,11,34,5,53,20,99,81,17,49,78,56,29,14,13,7,65,18,10,1,54,52,0,0,2,21,47,97,144,19,41,40,16,20,13,62,-1,-1,-1,-1,-1,MD,-1,-1,46.0
9,3,VO,-1,Carroll County,24013,-1,-1,836,-1,4,19,2.1,1725,310,625,13.8,6.8,8,31,27,17,17,27,6,64,22,98,78,11,31,80,39,45,57,26,4,50,15,31,4,13,10,0,0,3,27,59,88,110,38,30,33,18,6,6,61,-1,-1,-1,-1,-1,MD,-1,-1,87.0
9,3,VO,-1,Cecil County,24015,-1,-1,567,-1,4,27,2.2,1229,324,504,13.2,6.1,9,35,23,16,17,26,5,68,22,98,77,13,30,82,40,45,69,29,6,49,17,28,2,22,18,1,0,4,23,54,95,145,39,37,24,16,10,11,46,-1,-1,-1,-1,-1,MD,-1,-1,78.0
9,3,VO,-1,Charles County,24017,-1,-1,698,-1,5,16,2.8,1924,480,895,18.7,6.8,10,21,16,14,37,48,3,46,22,96,71,20,43,89,61,26,54,15,3,68,12,17,1,79,78,0,0,1,31,64,97,132,18,29,53,19,37,7,48,-1,-1,-1,-1,-1,MD,-1,-1,21.0
9,3,VO,-1,Dorchester County,24019,-1,-1,237,-1,3,35,2.3,555,317,434,11.6,5.0,17,36,22,13,12,24,5,65,20,99,79,10,46,89,55,31,51,20,10,55,11,24,2,79,76,0,0,3,34,50,99,189,27,45,28,10,46,19,44,-1,-1,-1,-1,-1,MD,-1,-1,21.0
9,3,VO,-1,Frederick County,24021,-1,-1,991,-1,4,21,2.5,2513,389,940,16.4,6.5,14,27,16,13,30,44,3,47,19,98,78,14,48,89,59,30,70,17,7,63,15,15,1,60,56,0,0,3,23,55,98,149,21,29,50,20,22,6,37,-1,-1,-1,-1,-1,MD,-1,-1,40.0
9,3,VO,-1,Garrett County,24023,-1,-1,170,-1,4,24,2.1,349,256,291,10.6,5.2,14,46,27,6,7,25,3,66,19,99,86,16,24,68,28,50,68,31,4,52,22,22,1,1,0,0,1,0,22,48,93,122,54,31,15,1,1,13,64,-1,-1,-1,-1,-1,MD,-1,-1,99.0
9,3,VO,-1,Harford County,24025,-1,-1,1039,-1,4,16,1.9,1985,320,600,13.6,7.2,5,34,28,17,17,22,6,71,23,99,78,7,27,79,33,59,67,37,3,46,17,33,3,41,35,0,1,4,19,59,89,128,45,32,23,17,24,9,37,-1,-1,-1,-1,-1,MD,-1,-1,59.0
9,3,VO,-1,Howard County,24027,-1,-1,1036,-1,5,8,2.5,2554,460,951,17.5,7.1,9,26,21,11,33,41,4,53,5,19,14,15,39,85,53,35,58,21,4,65,16,16,1,74,70,0,1,3,14,79,95,147,29,36,34,9,38,6,34,-1,-1,-1,-1,-1,MD,-1,-1,26.0
9,3,VO,-1,Kent County,24029,-1,-1,29,-1,9,10,2.1,62,289,426,11.7,5.5,10,45,24,3,17,24,0,72,22,97,83,17,28,83,41,35,11,15,3,55,10,31,10,59,55,0,0,3,36,62,100,129,45,21,34,3,25,16,49,-1,-1,-1,-1,-1,MD,-1,-1,41.0
9,3,VO,-1,Montgomery County,24031,-1,-1,5637,-1,5,10,2.6,14456,417,1030,17.5,6.9,13,28,16,11,33,45,2,48,21,95,75,18,35,83,49,25,49,14,3,60,18,19,2,81,63,0,5,11,12,72,78,120,29,35,36,11,55,8,26,-1,-1,-1,-1,-1,MD,-1,-1,19.0
9,3,VO,-1,Prince Georges County,24033,-1,-1,4129,-1,5,8,3.1,12600,483,1034,18.6,6.0,15,23,14,11,37,47,10,38,21,95,74,23,45,94,66,18,52,12,2,72,14,11,1,97,95,0,0,1,15,98,82,210,13,32,54,14,87,10,33,-1,-1,-1,-1,-1,MD,-1,-1,3.0
9,3,VO,-1,Queen Annes County,24035,-1,-1,134,-1,4,19,2.2,300,316,596,14.0,6.3,10,38,16,12,24,39,3,54,21,99,77,14,34,78,45,28,42,17,2,55,16,27,4,67,66,0,0,1,44,57,83,131,40,22,39,13,15,7,70,-1,-1,-1,-1,-1,MD,-1,-1,33.0
9,3,VO,-1,St. Marys County,24037,-1,-1,1055,-1,4,14,2.6,2758,413,741,15.6,6.0,5,28,23,18,26,51,5,43,23,96,73,15,44,83,55,29,92,17,9,60,16,14,1,59,58,1,0,1,18,58,89,173,15,38,47,23,30,10,42,-1,-1,-1,-1,-1,MD,-1,-1,41.0
9,3,VO,-1,Somerset County,24039,-1,-1,128,-1,3,19,2.7,351,331,427,12.9,4.7,18,28,22,16,16,35,5,55,22,95,77,13,52,88,61,26,50,15,6,68,12,14,2,76,76,0,0,0,45,55,70,115,20,38,41,11,59,30,37,-1,-1,-1,-1,-1,MD,-1,-1,24.0
9,3,VO,-1,Talbot County,24041,-1,-1,176,-1,4,24,2.4,425,317,497,13.3,5.5,14,32,22,14,19,44,1,49,22,97,72,13,47,81,50,29,43,16,8,59,20,13,1,70,68,0,0,2,12,63,97,130,24,37,39,9,35,13,51,-1,-1,-1,-1,-1,MD,-1,-1,30.0
