sumlevel,program,program_label,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,pct_ownsfd,fedhse,cbsa,placefips,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
9,3,VO,-1,Allegany County,24001,-1,-1,589.0,-1.0,4.0,5.0,2.0,1180.0,262.0,337.0,11.0,5.5,15.0,39.0,27.0,13.0,6.0,24.0,5.0,68.0,20.0,99.0,85.0,14.0,26.0,78.0,38.0,42.0,53.0,26.0,6.0,55.0,19.0,20.0,2.0,6.0,5.0,0.0,0.0,1.0,11.0,66.0,91.0,122.0,42.0,33.0,25.0,15.0,7,19,52,-1,-1,-1,-1,-1,MD,-1,-1,94.0
9,3,VO,-1,Anne Arundel County,24003,-1,-1,1822.0,-1.0,6.0,13.0,2.5,4576.0,430.0,856.0,16.0,6.4,12.0,28.0,19.0,13.0,28.0,38.0,4.0,53.0,23.0,94.0,72.0,14.0,39.0,86.0,52.0,29.0,54.0,17.0,5.0,61.0,14.0,20.0,2.0,68.0,64.0,0.0,1.0,2.0,46.0,68.0,92.0,151.0,27.0,31.0,42.0,15.0,31,9,40,-1,-1,-1,-1,-1,MD,-1,-1,32.0
9,3,VO,-1,Baltimore County,24005,-1,-1,5442.0,-1.0,6.0,11.0,2.0,11099.0,358.0,679.0,14.6,7.2,7.0,33.0,22.0,15.0,23.0,26.0,2.0,71.0,23.0,97.0,74.0,9.0,29.0,80.0,37.0,41.0,55.0,28.0,4.0,44.0,14.0,37.0,5.0,57.0,54.0,0.0,1.0,2.0,27.0,78.0,94.0,119.0,40.0,36.0,23.0,15.0,42,11,28,-1,-1,-1,-1,-1,MD,-1,-1,43.0
9,3,VO,-1,Calvert County,24009,-1,-1,351.0,-1.0,6.0,9.0,2.0,703.0,457.0,776.0,17.7,8.8,3.0,22.0,24.0,17.0,34.0,30.0,1.0,68.0,23.0,98.0,74.0,13.0,19.0,81.0,29.0,35.0,46.0,22.0,0.0,40.0,15.0,44.0,5.0,45.0,44.0,0.0,0.0,1.0,18.0,65.0,96.0,204.0,41.0,28.0,31.0,24.0,20,6,66,-1,-1,-1,-1,-1,MD,-1,-1,55.0
9,3,VO,-1,Caroline County,24011,-1,-1,134.0,-1.0,3.0,9.0,2.6,348.0,351.0,483.0,13.6,5.2,8.0,30.0,26.0,19.0,17.0,43.0,3.0,51.0,23.0,98.0,77.0,19.0,49.0,82.0,61.0,35.0,42.0,16.0,7.0,59.0,20.0,14.0,1.0,53.0,51.0,0.0,0.0,2.0,39.0,60.0,99.0,195.0,19.0,37.0,44.0,15.0,21,13,62,-1,-1,-1,-1,-1,MD,-1,-1,47.0
9,3,VO,-1,Carroll County,24013,-1,-1,775.0,-1.0,4.0,12.0,2.0,1546.0,319.0,669.0,14.2,7.2,9.0,30.0,25.0,19.0,17.0,24.0,7.0,66.0,22.0,98.0,77.0,11.0,29.0,80.0,37.0,48.0,55.0,29.0,4.0,47.0,16.0,33.0,5.0,12.0,9.0,0.0,0.0,2.0,32.0,70.0,88.0,138.0,40.0,28.0,32.0,20.0,6,6,61,-1,-1,-1,-1,-1,MD,-1,-1,88.0
9,3,VO,-1,Cecil County,24015,-1,-1,590.0,-1.0,4.0,19.0,2.1,1261.0,325.0,553.0,13.2,6.2,7.0,36.0,24.0,17.0,17.0,23.0,5.0,72.0,22.0,99.0,78.0,11.0,30.0,81.0,39.0,47.0,70.0,30.0,5.0,47.0,18.0,29.0,3.0,24.0,20.0,1.0,0.0,3.0,17.0,63.0,95.0,150.0,39.0,38.0,23.0,17.0,10,11,47,-1,-1,-1,-1,-1,MD,-1,-1,76.0
9,3,VO,-1,Charles County,24017,-1,-1,747.0,-1.0,5.0,16.0,2.7,2047.0,460.0,1022.0,18.0,6.6,9.0,26.0,17.0,14.0,35.0,46.0,3.0,49.0,21.0,97.0,76.0,19.0,44.0,88.0,60.0,26.0,53.0,15.0,4.0,66.0,14.0,16.0,1.0,79.0,77.0,1.0,0.0,1.0,45.0,69.0,97.0,154.0,18.0,27.0,55.0,21.0,37,7,49,-1,-1,-1,-1,-1,MD,-1,-1,21.0
9,3,VO,-1,Dorchester County,24019,-1,-1,248.0,-1.0,3.0,17.0,2.4,593.0,307.0,512.0,11.7,5.0,15.0,37.0,25.0,13.0,11.0,23.0,7.0,64.0,20.0,95.0,77.0,8.0,48.0,87.0,54.0,36.0,47.0,21.0,12.0,55.0,11.0,21.0,2.0,77.0,75.0,0.0,0.0,2.0,31.0,58.0,99.0,200.0,27.0,44.0,29.0,9.0,48,19,45,-1,-1,-1,-1,-1,MD,-1,-1,23.0
9,3,VO,-1,Frederick County,24021,-1,-1,932.0,-1.0,5.0,5.0,2.6,2384.0,387.0,960.0,16.2,6.4,14.0,27.0,17.0,13.0,29.0,41.0,3.0,50.0,18.0,98.0,82.0,15.0,44.0,88.0,57.0,30.0,73.0,17.0,5.0,63.0,15.0,16.0,1.0,60.0,57.0,1.0,0.0,3.0,23.0,69.0,98.0,145.0,22.0,28.0,50.0,20.0,22,6,37,-1,-1,-1,-1,-1,MD,-1,-1,40.0
