gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
County,MD Maryland,MD Allegany County 24001,9,Housing Choice Vouchers,3,A,Allegany County,24001,617.0,91,544,97,5.4677165354331,6,2.05147058823531,1148.49067713445,258.1875,400.211786372008,10532.830882353,5134.28315412184,16,39,23,15,6,21,5,74,19,100,86,7,35,76,36,42,56,26,5,54,20,21,2,7,6,0,1,1,28.0961904761905,69.9452205882353,92,147.526946107785,41,32,27,17,19,7,53,A,A,A,-1,-1,MD,-1,A,93.0
County,MD Maryland,MD Anne Arundel County 24003,9,Housing Choice Vouchers,3,A,Anne Arundel County,24003,2194.0,91,1825,92,7.01518018055484,4,2.60834208059976,5192.42731693911,439.443840517595,849.418211984141,15626.5871643343,5991.00374163389,12,25,19,15,28,37,5,58,23,94,73,2,55,89,55,29,54,16,1,65,15,19,2,71,69,0,1,1,36.4685916592349,65.6231216909433,92,174.941550534794,25,30,45,14,9,31,41,A,A,A,-1,-1,MD,-1,A,29.0
County,MD Maryland,MD Baltimore County 24005,9,Housing Choice Vouchers,3,A,Baltimore County,24005,6447.0,96,5863,95,6.26287082950657,6,2.15160620990776,13269.9896898964,377.382902224105,710.181270805964,14612.2384053855,6791.31633758014,7,32,22,16,23,26,4,70,22,98,76,1,42,83,42,40,58,26,1,50,16,33,5,64,62,0,1,2,19.3939297124601,71.904778707782,94,157.209339867569,37,35,28,15,10,42,28,A,A,A,-1,-1,MD,-1,A,36.0
County,MD Maryland,MD Baltimore city 24510,9,Housing Choice Vouchers,3,A,Baltimore city,24510,15807.0,100,11528,73,8.9636774561061,19,2.45096063299533,38727.9030433871,337.632033716072,607.990953054488,12484.5457128273,5093.76856426781,13,38,19,13,17,24,13,63,19,98,86,1,51,84,50,39,76,23,2,63,20,15,1,94,93,0,0,1,36.6017718620274,78.4500916781969,92,173.259927016451,27,29,44,20,26,81,9,A,A,A,-1,-1,MD,-1,A,6.0
County,MD Maryland,MD Calvert County 24009,9,Housing Choice Vouchers,3,A,Calvert County,24009,314.0,99,340,100,5.44735294117648,4,1.90294117647059,593.717647058823,527.230088495576,801.898203592815,17670.5647058824,9285.92272024731,4,22,20,18,35,26,2,72,22,98,75,3,26,77,26,38,40,23,0,39,15,46,4,45,43,0,0,1,18.1509803921569,67.252843137255,96,271.935779816514,41,29,29,27,6,20,66,A,A,A,-1,-1,MD,-1,A,55.0
County,MD Maryland,MD Caroline County 24011,9,Housing Choice Vouchers,3,A,Caroline County,24011,141.0,91,124,97,5.76215277777777,6,2.48387096774193,316.966961072947,363.467741935483,541.569105691055,13737.6532258064,5530.74350649351,8,28,25,20,19,38,1,62,24,97,73,5,59,82,56,34,55,18,3,59,20,18,1,54,52,1,0,2,38.4047619047619,64.7779569892471,97,209.183333333333,21,36,43,15,13,21,64,A,A,A,-1,-1,MD,-1,A,46.0
County,MD Maryland,MD Carroll County 24013,9,Housing Choice Vouchers,3,A,Carroll County,24013,839.0,95,784,98,5.01426548659061,9,2.00048070081254,1599.89292326123,327.652227277106,703.845634384158,14140.1200456161,7068.36113933655,7,28,26,19,19,19,8,71,22,99,79,4,34,78,35,51,55,29,2,48,18,32,5,14,11,0,0,3,28.1482260524109,69.1193087907203,88,165.601199164595,41,27,32,19,6,6,62,A,A,A,-1,-1,MD,-1,A,86.0
County,MD Maryland,MD Cecil County 24015,9,Housing Choice Vouchers,3,A,Cecil County,24015,650.0,92,581,97,5.24831657593283,11,2.03596877097034,1213.26700891348,321.440855060364,592.790757391314,13170.3769699428,6468.8501895173,8,33,27,17,16,19,4,76,21,98,81,5,33,74,35,50,71,32,3,45,23,29,2,27,23,1,0,3,11.7362682557548,60.4028125626152,96,172.281307113201,39,40,20,20,9,11,52,A,A,A,-1,-1,MD,-1,A,73.0
County,MD Maryland,MD Charles County 24017,9,Housing Choice Vouchers,3,A,Charles County,24017,907.0,76,696,100,5.96005747126431,3,2.69109195402299,1851.50215208036,491.965267727926,1070.56168359941,18028.8864942527,6699.46876668442,7,24,18,15,35,44,3,53,20,97,79,4,55,88,57,28,54,16,1,68,14,17,2,80,77,1,1,1,49.0893333333333,72.7545019157082,97,201.985228951253,19,26,55,22,7,37,49,A,A,A,-1,-1,MD,-1,A,20.0
County,MD Maryland,MD Dorchester County 24019,9,Housing Choice Vouchers,3,A,Dorchester County,24019,281.0,91,248,97,5.32873015873017,8,2.41935483870968,617.468105986261,303.79435483871,595.983805668018,11390.7741935484,4708.18666666667,18,32,24,14,12,24,6,69,20,99,82,2,54,88,54,33,49,20,6,62,11,21,2,78,77,0,0,1,42.8190476190476,61.889112903226,99,226.138775510205,27,40,33,10,19,49,45,A,A,A,-1,-1,MD,-1,A,22.0
County,MD Maryland,MD Frederick County 24021,9,Housing Choice Vouchers,3,A,Frederick County,24021,1094.0,88,931,97,5.07332793114771,7,2.60630284245319,2508.94653173801,396.799061531022,980.560980548091,15936.7048732494,6114.67885222768,13,24,20,13,30,40,4,56,18,99,83,4,55,88,57,30,73,17,3,64,16,17,1,60,57,1,1,3,39.01563503791,68.2144554959741,97,167.231136672375,20,28,52,22,6,22,39,A,A,A,-1,-1,MD,-1,A,40.0
County,MD Maryland,MD Garrett County 24023,9,Housing Choice Vouchers,3,A,Garrett County,24023,170.0,91,150,97,4.85919540229884,9,1.92,296.384690873405,266.306666666666,386.493150684931,11168.02,5816.67708333334,9,41,28,17,5,19,1,79,21,99,85,8,24,64,19,55,70,36,0,48,25,27,0,1,1,0,1,0,34.6512820512821,65.8144444444444,95,155.359154929577,55,29,15,3,14,1,65,A,A,A,-1,-1,MD,-1,A,99.0
County,MD Maryland,MD Harford County 24025,9,Housing Choice Vouchers,3,A,Harford County,24025,1218.0,95,1119,97,6.77061755961389,17,2.0232541571997,2345.29508504196,337.728314075239,642.381714675029,13836.6562731585,6833.42736614538,6,34,25,18,18,14,8,75,22,99,79,3,35,79,35,57,67,36,1,49,18,31,3,47,42,0,1,3,27.8512380952381,59.6475781807465,83,166.493428602894,41,32,27,18,9,24,38,A,A,A,-1,-1,MD,-1,A,53.0
