Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
12/31/2023,County,,24XXX,9,Housing Choice Vouchers,3,,Missing County,24XXX,242,84,218,100,6,2,2.4,516,161,1257,21131,8928,7,12,28,9,45,29,7,53,-1,-1,-1,3,44,80,44,39,76,27,2,58,19,21,0,78,73,-1,0,22,2,2,-1,4,1,3,418,27,202,95,1,0,-1,-1,-1,-1,,,,,,MD,,,22.0
12/31/2023,County,MD Maryland,MD Allegany County 24001,9,Housing Choice Vouchers,3,,Allegany County,24001,557,86,498,100,6,7,2.2,1072,335,896,13517,6279,8,11,48,16,17,17,12,65,20,98,85,7,34,75,36,35,59,24,1,48,21,30,3,16,15,-1,1,84,0,0,-1,0,1,15,112,95,169,27,40,33,29,21,14,60,,,,,,MD,,,84.0
12/31/2023,County,MD Maryland,MD Anne Arundel County 24003,9,Housing Choice Vouchers,3,,Anne Arundel County,24003,3662,81,2957,99,7,8,2.5,7288,570,1062,22833,9264,6,9,28,14,44,35,6,55,22,93,73,2,47,83,46,26,63,20,1,53,18,28,2,82,78,0,2,18,1,1,0,2,0,22,103,90,178,33,26,41,15,9,54,43,,,,,,MD,,,18.0
12/31/2023,County,MD Maryland,MD Baltimore city 24510,9,Housing Choice Vouchers,3,,Baltimore city,24510,16484,88,14208,98,10,10,2.1,30257,431,1103,16930,7950,8,17,32,11,32,28,6,57,18,97,83,1,37,77,36,39,80,30,2,49,23,27,1,96,94,0,0,4,1,0,0,1,0,13,122,91,194,41,28,31,13,23,84,12,,,,,,MD,,,4.0
12/31/2023,County,MD Maryland,MD Baltimore County 24005,9,Housing Choice Vouchers,3,,Baltimore County,24005,9108,85,8361,100,6,7,2.5,21229,534,1286,20945,8249,5,8,31,13,44,35,3,53,20,95,77,1,51,86,51,30,80,24,1,57,17,25,3,86,84,0,0,14,1,1,0,2,0,44,119,96,172,21,31,48,20,12,62,32,,,,,,MD,,,14.0
12/31/2023,County,MD Maryland,MD Calvert County 24009,9,Housing Choice Vouchers,3,,Calvert County,24009,479,89,436,100,5,7,2.0,874,646,1003,26251,13096,1,3,26,11,58,33,1,66,22,98,78,3,27,80,29,38,50,27,0,33,18,49,7,58,55,-1,0,42,1,0,1,3,0,69,104,96,254,36,31,33,25,6,29,79,,,,,,MD,,,42.0
12/31/2023,County,MD Maryland,MD Caroline County 24011,9,Housing Choice Vouchers,3,,Caroline County,24011,75,86,67,100,6,13,2.7,180,452,896,17638,6565,2,9,29,22,38,34,3,49,25,91,69,1,51,90,52,20,82,19,3,57,15,25,-1,66,61,-1,-1,34,1,3,-1,4,1,31,122,97,232,25,25,49,18,15,29,73,,,,,,MD,,,34.0
12/31/2023,County,MD Maryland,MD Carroll County 24013,9,Housing Choice Vouchers,3,,Carroll County,24013,1083,83,974,100,5,17,1.8,1722,443,992,18407,10411,5,6,34,18,36,17,5,75,20,98,84,3,24,71,22,60,61,38,1,35,23,41,3,17,11,1,1,83,0,4,-1,4,1,19,88,91,150,45,35,20,23,6,17,68,,,,,,MD,,,83.0
12/31/2023,County,MD Maryland,MD Cecil County 24015,9,Housing Choice Vouchers,3,,Cecil County,24015,846,87,814,100,6,14,1.9,1508,465,883,18478,9974,7,6,31,18,38,19,1,78,21,98,78,2,29,71,29,48,70,36,1,35,21,43,4,40,35,1,1,60,0,3,-1,3,1,25,82,89,170,43,37,20,22,17,27,53,,,,,,MD,,,60.0
12/31/2023,County,MD Maryland,MD Charles County 24017,9,Housing Choice Vouchers,3,,Charles County,24017,933,78,739,100,4,7,1.9,1440,624,1233,24844,12750,3,5,29,13,50,35,2,61,21,97,79,2,30,81,31,42,77,33,2,42,22,35,1,88,84,1,1,12,0,1,0,2,1,19,115,98,174,27,40,32,37,8,77,48,,,,,,MD,,,12.0
