sumlevel,program,program_label,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,tpct_ownsfd,fedhse,msa,placefips,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
9,3,VO,-1,Androscoggin County,23001,-1,-1,1746,-1,5,29,2.1,3630,278,377,10.6,5.1,9,50,24,10,6,18,14,66,23,96,75,14,28,74,36,53,36,27,10,53,19,19,2,7,6,0,1,0,13,49,84,44,37,40,24,16,6,22,23,-1,-1,-1,-1,-1,ME,-1,-1,93.0
9,3,VO,-1,Aroostook County,23003,-1,-1,907,-1,4,30,1.9,1682,250,337,9.9,5.3,13,52,23,8,4,16,13,67,21,84,65,12,25,72,31,51,65,33,9,53,19,20,2,3,1,1,0,1,12,59,61,66,38,42,20,21,4,14,54,-1,-1,-1,-1,-1,ME,-1,-1,97.0
9,3,VO,-1,Cumberland County,23005,-1,-1,3329,-1,4,23,2.1,6880,302,639,12.4,6.0,7,41,25,13,13,26,13,60,22,96,77,13,29,74,37,50,26,25,5,57,17,20,3,12,7,1,2,2,25,62,71,69,44,32,25,10,8,14,35,-1,-1,-1,-1,-1,ME,-1,-1,88.0
9,3,VO,-1,Franklin County,23007,-1,-1,151,-1,4,45,2.3,350,278,441,10.3,4.4,11,50,23,13,3,13,19,66,17,70,50,13,39,83,48,53,39,28,7,66,15,12,1,1,1,0,0,1,10,58,82,90,22,37,41,23,2,12,41,-1,-1,-1,-1,-1,ME,-1,-1,99.0
9,3,VO,-1,Hancock County,23009,-1,-1,407,-1,5,43,2.0,809,262,436,10.9,5.5,15,41,25,13,6,22,9,62,18,72,54,12,35,80,43,37,38,21,8,55,14,23,4,1,0,0,0,1,9,43,70,90,37,45,18,15,2,8,49,-1,-1,-1,-1,-1,ME,-1,-1,99.0
9,3,VO,-1,Kennebec County,23011,-1,-1,1382,-1,5,26,1.8,2458,266,346,10.2,5.8,7,57,23,9,5,14,10,74,21,86,69,10,22,68,27,68,59,42,6,57,20,17,2,2,1,0,0,1,25,49,61,41,46,37,17,16,4,17,40,-1,-1,-1,-1,-1,ME,-1,-1,98.0
9,3,VO,-1,Knox County,23013,-1,-1,232,-1,5,28,2.1,477,258,503,10.0,4.8,12,53,22,9,4,19,16,60,18,81,67,15,31,77,40,50,77,29,10,61,16,13,3,1,0,0,0,0,21,41,66,87,39,39,22,12,2,12,50,-1,-1,-1,-1,-1,ME,-1,-1,99.0
9,3,VO,-1,Lincoln County,23015,-1,-1,92,-1,4,29,2.1,191,282,449,10.8,5.2,5,51,24,15,4,26,10,63,20,85,64,4,41,76,43,44,62,24,4,63,18,14,2,1,0,1,0,0,21,52,74,82,36,36,28,16,2,10,60,-1,-1,-1,-1,-1,ME,-1,-1,99.0
9,3,VO,-1,Oxford County,23017,-1,-1,404,-1,4,30,2.3,948,250,450,9.5,4.0,17,53,18,8,4,17,24,55,19,85,70,17,40,83,51,42,84,23,7,68,16,9,1,0,0,0,0,0,12,55,75,65,22,39,39,24,2,13,50,-1,-1,-1,-1,-1,ME,-1,-1,100.0
9,3,VO,-1,Penobscot County,23019,-1,-1,1060,-1,4,29,1.7,1781,250,405,9.9,5.9,7,58,23,7,4,13,8,77,23,95,77,8,22,71,26,69,45,41,5,52,21,22,3,4,1,1,0,1,17,48,45,46,57,26,17,11,4,17,39,-1,-1,-1,-1,-1,ME,-1,-1,96.0
9,3,VO,-1,Piscataquis County,23021,-1,-1,79,-1,5,35,2.4,187,243,426,10.4,4.2,14,52,22,5,8,9,22,61,18,73,59,20,35,81,52,51,50,29,4,75,9,13,4,0,0,0,0,0,23,37,59,105,29,38,33,14,3,14,60,-1,-1,-1,-1,-1,ME,-1,-1,100.0
