gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
County,ME Maine,ME Androscoggin County 23001,9,Housing Choice Vouchers,3,A,Androscoggin County,23001,1911.0,91,1670,96,5.73198791325931,6,2.18926157662391,3815.72917158419,303.43232563437,451.248518294262,11454.676053123,5232.20988091675,7,45,27,13,9,16,15,68,25,97,74,9,32,75,36,53,51,27,4,56,20,20,2,11,10,0,0,1,11.1895612259253,62.9425614755799,85,66.221354584258,35,39,26,18,22,6,24,A,A,A,-1,-1,ME,-1,A,89.0
County,ME Maine,ME Aroostook County 23003,9,Housing Choice Vouchers,3,A,Aroostook County,23003,899.0,96,816,90,6.17779642199561,11,1.81548345341833,1571.43590404763,271.648714245814,400.151323638792,10324.7555543862,5687.05571782874,11,49,23,11,5,15,8,76,25,98,72,5,32,73,31,55,67,36,5,53,21,20,2,3,1,1,0,1,7.60300230334424,65.8061591090263,63,123.317970156242,38,42,20,24,15,4,58,A,A,A,-1,-1,ME,-1,A,97.0
County,ME Maine,ME Cumberland County 23005,9,Housing Choice Vouchers,3,A,Cumberland County,23005,3396.0,98,3305,98,5.06473100843131,7,2.10177823139846,7007.55862837619,322.632727677543,711.081208292161,13152.0331412359,6257.57415542596,7,38,24,15,16,20,12,65,23,97,77,6,34,74,36,54,37,27,3,57,20,20,3,14,10,1,2,2,21.4251308475828,75.9655763044252,69,112.20900321129,43,30,26,12,14,8,36,A,A,A,-1,-1,ME,-1,A,86.0
County,ME Maine,ME Franklin County 23007,9,Housing Choice Vouchers,3,A,Franklin County,23007,196.0,96,157,83,5.56411889596602,4,2.40127388535032,453.555121658156,294.769230769231,507.051612903226,11238.4394904459,4680.19893899204,9,45,23,14,9,9,6,83,26,93,72,5,46,82,46,57,80,32,8,60,20,13,1,1,1,0,0,1,20.3190476190476,63.3112526539277,77,121.347107438017,17,39,43,26,17,2,55,A,A,A,-1,-1,ME,-1,A,99.0
County,ME Maine,ME Hancock County 23009,9,Housing Choice Vouchers,3,A,Hancock County,23009,458.0,97,409,92,5.16729908781523,6,2.00288514677495,888.409494952137,285.955395410388,526.825031777242,11263.4891636028,5623.63207982208,13,38,23,15,10,16,14,68,25,96,72,4,41,78,41,46,46,27,5,57,17,21,3,2,0,0,0,1,12.6080721578496,55.6636246063136,70,163.449798014035,34,45,21,15,10,3,61,A,A,A,-1,-1,ME,-1,A,98.0
County,ME Maine,ME Kennebec County 23011,9,Housing Choice Vouchers,3,A,Kennebec County,23011,1101.0,97,1305,95,5.72404924159326,8,1.74521983527627,1862.04425456061,279.62782436864,407.79022151889,10729.9161886679,6148.17455760199,7,52,24,12,5,9,7,83,24,99,79,3,27,67,27,69,75,45,3,56,23,18,1,2,1,0,0,1,29.5579294978314,64.3700562471496,62,76.7827720811257,46,36,18,19,17,4,42,A,A,A,-1,-1,ME,-1,A,98.0
County,ME Maine,ME Knox County 23013,9,Housing Choice Vouchers,3,A,Knox County,23013,280.0,96,224,83,5.58749999999998,10,1.95089285714286,525.738960648845,265.103139013452,566.103139013452,10490.0625,5377.05720823797,10,51,20,14,5,12,5,80,23,98,77,1,43,75,40,55,91,36,4,58,24,15,3,1,0,1,0,0,22.7560606060606,56.7194940476189,68,156.013157894737,44,32,25,13,13,2,53,A,A,A,-1,-1,ME,-1,A,99.0
County,ME Maine,ME Lincoln County 23015,9,Housing Choice Vouchers,3,A,Lincoln County,23015,114.0,96,92,83,5.36386008482677,4,2.03930092373421,223.667039899219,300.371869425221,537.275899786052,11838.6459669319,5805.24719483472,9,48,15,14,13,21,6,71,25,96,70,1,43,77,40,54,77,35,1,62,23,14,1,1,1,0,0,0,13.1666666666667,63.475448108213,77,136.005574080153,28,42,30,20,11,2,65,A,A,A,-1,-1,ME,-1,A,99.0
County,ME Maine,ME No county code 23999,9,Housing Choice Vouchers,3,A,Missing County,23999,5.0,96,4,83,3.525,-4,-4.0,-4.0,-4.0,-4.0,-4.0,2653.625,-4,-4,-4,-4,-4,-4,-4,-4,-1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-1.0,84.425,-4,-4.0,-4,-4,-4,-4,-1,-1,-1,A,A,A,-1,-1,ME,-1,A,100.0
County,ME Maine,ME Oxford County 23017,9,Housing Choice Vouchers,3,A,Oxford County,23017,617.0,96,493,83,5.50854654361215,7,2.38059319874009,1410.85003541354,259.917329347855,548.240127514942,9561.460269912,4016.41921642569,21,43,19,10,7,11,11,77,22,97,77,3,50,80,48,40,95,25,10,66,15,9,1,1,0,0,0,1,6.63428571428571,58.5247239292389,63,118.56270096463,24,36,40,24,14,2,54,A,A,A,-1,-1,ME,-1,A,99.0
County,ME Maine,ME Penobscot County 23019,9,Housing Choice Vouchers,3,A,Penobscot County,23019,1051.0,97,1037,95,4.77809912283517,7,1.63076462195889,1667.8066095975,270.49697491456,485.279311073176,10739.4001702884,6585.49984815596,7,50,27,12,4,9,5,85,24,98,79,3,23,71,23,72,58,46,3,52,22,23,3,5,1,2,1,1,12.1008367481406,60.407870102232,46,113.646186865509,56,27,17,13,18,5,41,A,A,A,-1,-1,ME,-1,A,95.0
County,ME Maine,ME Piscataquis County 23021,9,Housing Choice Vouchers,3,A,Piscataquis County,23021,99.0,96,79,83,6.15611814345992,10,2.25316455696203,214.145389005707,303.26582278481,459.253164556963,12092.7721518987,5367.01685393258,4,44,28,16,8,10,9,81,29,93,70,8,43,84,48,56,62,32,4,68,11,16,4,1,1,0,0,0,8.75,48.5215189873418,80,210.777777777778,33,39,28,14,15,3,66,A,A,A,-1,-1,ME,-1,A,99.0
County,ME Maine,ME Sagadahoc County 23023,9,Housing Choice Vouchers,3,A,Sagadahoc County,23023,309.0,97,303,97,5.04060024039965,6,2.1490990166594,644.110570026835,287.822684387007,573.929437257657,11230.3670335272,5225.616384574,7,48,25,12,8,20,17,61,21,98,82,5,45,78,43,53,56,29,7,63,17,13,1,4,3,0,0,1,12.3100526308726,54.1486944491078,85,117.732623193518,30,48,22,17,11,5,53,A,A,A,-1,-1,ME,-1,A,96.0
County,ME Maine,ME Somerset County 23025,9,Housing Choice Vouchers,3,A,Somerset County,23025,414.0,96,331,83,5.26062437059413,3,2.00302114803625,797.631420847104,279.599999999999,465.807926829267,10207.2658610271,5095.93514328806,7,55,25,8,5,9,4,84,25,97,75,4,34,76,33,66,94,40,3,61,20,16,0,1,0,0,0,1,39.9121212121212,69.1956696878144,58,135.668393782383,38,32,30,22,14,2,55,A,A,A,-1,-1,ME,-1,A,99.0
County,ME Maine,ME Waldo County 23027,9,Housing Choice Vouchers,3,A,Waldo County,23027,170.0,96,136,83,5.80457758960207,6,1.83773765000556,299.762400219225,278.823129942199,510.598528837378,10779.8426765644,5865.82240208867,7,54,18,15,7,9,4,86,27,96,66,2,31,73,31,65,84,47,1,56,24,18,1,0,0,0,0,0,21.2708333333333,77.0899315676044,69,138.455386819413,31,43,26,32,14,3,56,A,A,A,-1,-1,ME,-1,A,100.0
County,ME Maine,ME Washington County 23029,9,Housing Choice Vouchers,3,A,Washington County,23029,133.0,96,106,83,4.78301886792454,8,2.22641509433963,283.923100030039,284.903846153847,493.792079207922,10446.4056603774,4692.02966101695,20,40,22,8,10,19,6,73,24,96,77,7,46,75,48,47,71,30,4,65,25,7,0,2,1,0,1,0,26.562962962963,54.7213836477988,80,211.035294117647,20,50,30,27,19,5,60,A,A,A,-1,-1,ME,-1,A,98.0
County,ME Maine,ME York County 23031,9,Housing Choice Vouchers,3,A,York County,23031,1496.0,97,1506,91,5.60257034784561,6,1.88263926843691,2738.70933246192,294.077978131722,624.872416517845,11450.7192672044,6082.26942844528,12,38,25,15,10,14,7,78,22,98,79,3,33,74,32,57,55,35,2,55,21,22,3,3,1,0,1,1,11.4620751110742,59.2012065478525,63,98.3869040139047,36,41,23,22,12,4,45,A,A,A,-1,-1,ME,-1,A,97.0
