Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
2015-12-31,County,ME MAINE,ME WASHINGTON COUNTY 23029,9,Housing Choice Vouchers,3,,Washington County,23029,86,84,62,86,5,2,1.9,115,316,613,11602,6255,13,38,26,13,10,18,2,79,27,94,68,5,29,63,31,63,77,45,3,39,37,21,2,0,-1,-1,-1,100,-1,-1,-1,0,0,45,111,82,227,29,32,39,44,18,6,75,,,,,,ME,,,100.0
2015-12-31,County,ME MAINE,ME KNOX COUNTY 23013,9,Housing Choice Vouchers,3,,Knox County,23013,305,84,220,86,6,15,1.9,422,250,613,10406,5425,15,45,18,13,9,19,5,72,21,99,78,3,34,78,35,55,88,37,1,50,34,15,3,1,-1,1,-1,99,-1,-1,-1,0,0,67,86,63,157,43,36,21,17,13,4,69,,,,,,ME,,,99.0
2015-12-31,County,ME MAINE,ME PISCATAQUIS COUNTY 23021,9,Housing Choice Vouchers,3,,Piscataquis County,23021,87,84,63,86,5,10,2.0,129,293,613,10610,5182,10,47,27,8,8,8,2,86,24,98,83,10,35,78,40,74,90,44,3,62,19,16,2,2,2,-1,-1,98,-1,-1,-1,0,0,39,76,65,187,24,49,27,35,18,4,76,,,,,,ME,,,98.0
2015-12-31,County,ME MAINE,ME WALDO COUNTY 23027,9,Housing Choice Vouchers,3,,Waldo County,23027,161,84,116,86,5,9,1.9,222,275,613,10788,5637,11,44,24,14,8,15,1,79,25,98,69,6,31,72,32,59,95,43,1,50,30,19,-1,2,1,-1,1,98,-1,-1,-1,0,1,79,109,72,132,29,41,30,32,21,4,64,,,,,,ME,,,98.0
2015-12-31,County,ME MAINE,ME AROOSTOOK COUNTY 23003,9,Housing Choice Vouchers,3,,Aroostook County,23003,822,91,757,100,5,14,1.7,1311,277,544,10857,6269,8,45,27,13,6,16,4,75,26,96,71,5,24,67,25,58,65,39,6,42,27,25,3,3,1,1,-1,97,0,0,-1,1,1,21,81,63,82,44,38,18,21,18,6,64,,,,,,ME,,,97.0
2015-12-31,County,ME MAINE,ME HANCOCK COUNTY 23009,9,Housing Choice Vouchers,3,,Hancock County,23009,443,95,427,100,5,19,1.9,807,337,598,13292,7033,8,33,21,18,19,23,2,69,26,94,65,7,32,77,34,50,48,30,4,50,19,27,3,3,1,0,1,97,-1,1,-1,1,0,8,72,69,167,40,39,21,20,15,4,72,,,,,,ME,,,97.0
2015-12-31,County,ME MAINE,ME OXFORD COUNTY 23017,9,Housing Choice Vouchers,3,,Oxford County,23017,648,84,467,86,5,13,2.3,1085,279,613,10316,4440,15,38,25,12,10,14,5,71,23,96,72,11,40,80,46,52,89,31,4,61,23,12,0,4,1,1,-1,96,-1,1,0,2,1,37,97,45,122,20,36,44,29,19,4,62,,,,,,ME,,,96.0
2015-12-31,County,ME MAINE,ME YORK COUNTY 23031,9,Housing Choice Vouchers,3,,York County,23031,1465,91,1642,100,6,13,1.9,3042,332,781,12847,6935,6,34,27,17,16,16,3,76,24,96,72,4,28,73,28,60,64,38,2,46,27,25,3,4,2,0,1,96,0,1,-1,1,1,19,92,65,99,46,35,19,15,14,6,52,,,,,,ME,,,96.0
2015-12-31,County,ME MAINE,ME FRANKLIN COUNTY 23007,9,Housing Choice Vouchers,3,,Franklin County,23007,165,84,119,86,5,8,2.2,259,302,613,11279,5182,7,51,17,17,8,16,3,79,26,98,71,13,28,77,33,61,90,37,5,47,32,16,1,5,1,3,-1,95,1,1,-1,2,1,57,103,82,125,27,35,38,30,21,4,65,,,,,,ME,,,95.0
2015-12-31,County,ME MAINE,ME KENNEBEC COUNTY 23011,9,Housing Choice Vouchers,3,,Kennebec County,23011,1192,86,1251,100,5,10,1.7,2121,291,644,11023,6501,6,48,28,11,7,10,2,84,23,99,80,4,23,62,23,73,78,49,2,49,31,19,1,5,2,1,0,95,0,1,0,1,1,37,91,71,70,50,34,16,18,21,7,48,,,,,,ME,,,95.0
