sumlevel,program,program_label,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,tpct_ownsfd,fedhse,msa,placefips,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
9,3,VO,-1,Aitkin County,27001,-1,-1,17,-1,3,35,2.1,35,243,321,11.0,5.3,0,53,35,6,6,18,12,71,24,94,71,24,24,53,35,53,50,26,12,59,18,12,6,0,0,0,0,0,5,36,88,57,53,29,18,12,2,10,53,-1,-1,-1,-1,-1,MN,-1,-1,100.0
9,3,VO,-1,Anoka County,27003,-1,-1,1381,-1,5,14,2.5,3477,363,632,14.3,5.7,5,35,24,15,21,29,6,64,21,98,79,17,34,85,48,46,64,23,3,62,15,20,3,34,28,2,2,2,55,74,90,72,33,32,34,12,10,6,58,-1,-1,-1,-1,-1,MN,-1,-1,66.0
9,3,VO,-1,Becker County,27005,-1,-1,212,-1,3,27,1.7,365,239,272,10.0,5.8,15,45,26,11,3,29,8,60,22,94,71,7,28,75,32,38,42,24,17,43,19,21,3,8,1,6,0,0,8,40,82,47,41,41,18,23,9,15,55,-1,-1,-1,-1,-1,MN,-1,-1,92.0
9,3,VO,-1,Beltrami County,27007,-1,-1,145,-1,4,19,2.3,335,274,332,11.1,4.7,11,46,24,12,7,29,9,60,22,94,70,12,46,81,53,42,55,22,13,58,15,14,1,30,2,28,0,1,21,39,85,48,32,43,25,10,14,16,53,-1,-1,-1,-1,-1,MN,-1,-1,70.0
9,3,VO,-1,Benton County,27009,-1,-1,120,-1,4,23,1.6,195,299,293,11.5,7.1,5,43,33,13,6,23,3,74,24,99,73,7,23,79,28,60,82,42,5,49,18,28,5,10,8,1,0,2,34,51,75,50,53,35,12,16,7,9,43,-1,-1,-1,-1,-1,MN,-1,-1,90.0
9,3,VO,-1,Big Stone County,27011,-1,-1,34,-1,6,32,1.8,60,243,251,9.9,5.6,18,38,26,18,0,53,3,44,20,85,62,9,26,74,32,31,60,22,12,59,15,15,0,0,0,0,0,0,8,30,82,111,29,56,15,35,2,9,73,-1,-1,-1,-1,-1,MN,-1,-1,100.0
9,3,VO,-1,Blue Earth County,27013,-1,-1,491,-1,4,28,2.3,1116,292,396,11.8,5.1,13,35,28,13,11,36,7,54,22,93,72,14,26,69,36,47,69,25,10,62,16,11,1,31,26,0,2,2,7,42,94,66,44,31,24,12,9,21,35,-1,-1,-1,-1,-1,MN,-1,-1,69.0
9,3,VO,-1,Brown County,27015,-1,-1,121,-1,4,31,1.7,209,287,230,11.3,6.6,8,43,24,21,4,36,7,57,23,88,61,4,34,80,36,53,14,28,17,46,19,18,4,2,0,1,1,0,4,43,71,56,43,43,14,17,4,7,67,-1,-1,-1,-1,-1,MN,-1,-1,98.0
9,3,VO,-1,Carlton County,27017,-1,-1,109,-1,5,39,2.2,244,289,288,10.6,4.7,8,52,23,8,8,30,11,58,19,82,60,13,45,83,55,41,33,20,13,66,16,6,0,11,1,10,0,0,7,32,69,45,39,41,19,4,6,8,65,-1,-1,-1,-1,-1,MN,-1,-1,89.0
9,3,VO,-1,Carver County,27019,-1,-1,123,-1,5,15,2.1,257,327,575,14.0,6.7,4,33,26,16,20,30,2,68,22,100,76,13,31,79,42,52,93,32,2,63,12,23,8,25,21,1,2,1,41,71,82,61,42,34,24,12,8,5,62,-1,-1,-1,-1,-1,MN,-1,-1,75.0
9,3,VO,-1,Cass County,27021,-1,-1,40,-1,4,45,2.0,79,283,300,10.8,5.5,5,50,25,15,5,33,5,63,22,93,65,15,23,73,33,40,40,23,5,55,15,25,3,5,0,5,0,0,3,20,85,70,39,42,18,18,11,12,60,-1,-1,-1,-1,-1,MN,-1,-1,95.0
9,3,VO,-1,Chippewa County,27023,-1,-1,88,-1,4,44,1.9,171,234,265,9.9,5.1,15,45,27,10,2,28,6,61,20,90,73,10,26,70,31,39,5,16,7,49,19,25,10,8,0,2,0,6,2,30,91,70,31,44,25,32,4,9,69,-1,-1,-1,-1,-1,MN,-1,-1,92.0
9,3,VO,-1,Chisago County,27025,-1,-1,48,-1,4,10,2.1,101,345,484,14.7,6.9,8,23,33,13,23,33,2,63,23,100,75,10,35,85,44,50,38,24,0,73,10,17,2,2,0,0,0,2,30,46,90,77,31,35,33,23,4,5,76,-1,-1,-1,-1,-1,MN,-1,-1,98.0
9,3,VO,-1,Clay County,27027,-1,-1,522,-1,4,20,2.1,1085,280,341,11.3,5.4,13,41,25,13,9,28,11,59,21,99,81,13,27,72,34,57,45,30,11,59,19,11,1,17,5,4,2,6,17,51,93,67,34,43,23,22,10,16,52,-1,-1,-1,-1,-1,MN,-1,-1,83.0
9,3,VO,-1,Clearwater County,27029,-1,-1,67,-1,5,39,2.4,158,268,288,9.7,4.2,21,39,27,10,3,39,7,49,18,87,69,16,42,78,51,21,20,9,15,57,13,15,3,16,0,16,0,0,18,23,90,72,15,51,34,33,6,11,51,-1,-1,-1,-1,-1,MN,-1,-1,84.0
9,3,VO,-1,Cook County,27031,-1,-1,1,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,MN,-1,-1,
9,3,VO,-1,Cottonwood County,27033,-1,-1,8,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,MN,-1,-1,
9,3,VO,-1,Crow Wing County,27035,-1,-1,338,-1,4,31,2.0,681,276,328,10.5,5.3,12,46,25,10,7,31,9,59,22,94,72,9,40,85,47,41,19,22,14,55,14,16,3,7,3,4,0,0,8,41,88,50,36,43,21,14,3,13,57,-1,-1,-1,-1,-1,MN,-1,-1,93.0
9,3,VO,-1,Dakota County,27037,-1,-1,2535,-1,5,20,2.3,5822,348,594,14.3,6.3,7,31,26,15,21,35,10,55,22,98,78,14,35,84,46,40,31,19,7,59,11,23,3,36,29,1,2,4,19,61,98,51,37,39,24,9,13,5,45,-1,-1,-1,-1,-1,MN,-1,-1,64.0
9,3,VO,-1,Dodge County,27039,-1,-1,24,-1,3,33,1.9,46,273,315,11.8,6.1,8,25,42,17,8,33,8,58,18,92,79,13,29,79,42,33,0,13,8,54,13,25,17,17,13,0,0,4,9,27,88,53,46,29,25,13,4,5,73,-1,-1,-1,-1,-1,MN,-1,-1,83.0
9,3,VO,-1,Douglas County,27041,-1,-1,253,-1,5,28,1.8,454,282,270,11.5,6.5,9,38,34,14,6,28,2,69,24,90,57,9,23,75,27,50,25,26,8,45,18,30,7,5,2,0,0,2,11,33,87,47,35,47,18,28,2,10,50,-1,-1,-1,-1,-1,MN,-1,-1,95.0
9,3,VO,-1,Faribault County,27043,-1,-1,78,-1,5,29,1.8,142,244,304,10.6,5.8,12,42,29,13,4,27,4,67,20,83,64,10,23,76,29,40,86,33,6,35,23,36,4,3,0,0,0,3,7,45,97,125,28,51,21,36,6,9,75,-1,-1,-1,-1,-1,MN,-1,-1,97.0
9,3,VO,-1,Fillmore County,27045,-1,-1,34,-1,4,21,1.9,65,257,255,9.9,5.2,9,47,38,3,3,35,6,59,19,88,76,9,32,85,41,32,25,15,12,47,6,35,9,3,3,0,0,0,8,38,100,106,26,59,15,26,1,8,69,-1,-1,-1,-1,-1,MN,-1,-1,97.0
9,3,VO,-1,Freeborn County,27047,-1,-1,148,-1,4,53,2.1,305,294,254,11.1,5.4,9,41,29,11,9,43,9,48,22,88,65,7,45,76,50,27,45,16,21,54,10,15,1,16,2,0,0,14,5,24,94,90,34,49,18,15,13,11,64,-1,-1,-1,-1,-1,MN,-1,-1,84.0
9,3,VO,-1,Goodhue County,27049,-1,-1,283,-1,3,32,2.1,583,305,345,11.4,5.6,12,42,25,10,12,33,10,55,19,92,75,9,41,82,46,32,35,17,10,51,16,23,4,15,11,1,1,2,16,37,91,69,36,42,23,12,5,6,63,-1,-1,-1,-1,-1,MN,-1,-1,85.0
9,3,VO,-1,Grant County,27051,-1,-1,34,-1,5,32,1.4,46,228,189,10.1,7.5,9,53,26,9,3,24,3,74,22,91,71,0,21,76,21,48,8,26,12,29,21,38,6,0,0,0,0,0,0,50,97,50,62,38,0,6,1,5,41,-1,-1,-1,-1,-1,MN,-1,-1,100.0
9,3,VO,-1,Hennepin County,27053,-1,-1,8268,-1,5,21,2.8,23321,358,718,13.5,4.8,14,33,21,12,19,35,13,48,19,98,83,20,39,82,55,33,59,16,5,67,15,13,2,68,60,2,2,3,30,53,85,87,30,30,40,8,35,14,43,-1,-1,-1,-1,-1,MN,-1,-1,32.0
9,3,VO,-1,Houston County,27055,-1,-1,72,-1,5,28,2.4,173,278,340,10.4,4.2,11,44,26,15,3,28,17,50,20,100,85,13,46,90,58,26,50,13,15,63,8,14,1,18,15,0,0,3,10,35,93,132,15,50,35,28,2,6,65,-1,-1,-1,-1,-1,MN,-1,-1,82.0
9,3,VO,-1,Hubbard County,27057,-1,-1,62,-1,4,37,2.3,141,264,327,10.3,4.5,11,45,31,13,0,29,8,61,20,92,74,13,34,84,44,46,50,23,5,60,16,19,3,5,0,3,0,2,5,24,77,73,42,35,23,15,3,11,56,-1,-1,-1,-1,-1,MN,-1,-1,95.0
9,3,VO,-1,Isanti County,27059,-1,-1,33,-1,3,12,1.7,55,304,443,13.0,8.2,6,45,18,18,12,21,0,76,21,100,79,6,24,73,27,75,0,49,3,76,18,3,0,3,0,3,0,0,6,56,88,72,45,36,18,24,2,6,61,-1,-1,-1,-1,-1,MN,-1,-1,97.0
9,3,VO,-1,Itasca County,27061,-1,-1,195,-1,3,24,2.1,404,232,351,9.6,4.7,18,44,26,11,2,26,8,63,20,96,77,11,38,77,46,43,35,21,12,62,14,12,1,5,1,4,0,0,15,34,83,67,32,43,25,17,4,9,59,-1,-1,-1,-1,-1,MN,-1,-1,95.0
9,3,VO,-1,Jackson County,27063,-1,-1,11,-1,5,36,1.5,16,206,191,10.2,7.0,9,27,55,9,0,27,0,73,23,91,64,9,18,91,18,40,0,13,9,36,0,55,0,0,0,0,0,0,9,16,100,51,36,45,18,45,3,9,79,-1,-1,-1,-1,-1,MN,-1,-1,100.0
9,3,VO,-1,Kanabec County,27065,-1,-1,50,-1,4,14,1.6,79,268,302,10.7,6.8,10,38,38,14,0,18,6,76,22,86,58,8,18,78,24,61,14,30,2,40,14,44,18,0,0,0,0,0,13,35,92,75,44,42,14,30,2,9,56,-1,-1,-1,-1,-1,MN,-1,-1,100.0
9,3,VO,-1,Kandiyohi County,27067,-1,-1,367,-1,5,27,1.9,702,268,293,11.2,5.9,9,40,30,16,5,28,9,62,21,86,63,10,31,76,36,43,52,26,12,50,14,24,7,21,7,1,0,13,12,40,95,53,35,45,20,22,16,13,53,-1,-1,-1,-1,-1,MN,-1,-1,79.0
9,3,VO,-1,Kittson County,27069,-1,-1,11,-1,4,18,1.5,16,231,237,11.6,8.0,0,45,36,0,18,18,0,82,28,91,73,9,18,82,27,50,0,13,0,36,0,64,27,0,0,0,0,0,1,64,91,95,82,18,0,0,3,9,74,-1,-1,-1,-1,-1,MN,-1,-1,100.0
9,3,VO,-1,Koochiching County,27071,-1,-1,117,-1,4,30,2.0,236,199,320,9.0,4.5,19,50,26,4,2,26,13,59,19,91,78,13,30,74,38,39,64,23,8,61,20,12,0,7,1,5,1,0,7,46,82,88,47,34,19,8,5,12,60,-1,-1,-1,-1,-1,MN,-1,-1,93.0
9,3,VO,-1,Lac qui Parle County,27073,-1,-1,0,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,MN,-1,-1,
9,3,VO,-1,Lake County,27075,-1,-1,5,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,MN,-1,-1,
