gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
County,MN Minnesota,MN Aitkin County 27001,9,Housing Choice Vouchers,3,A,Aitkin County,27001,14.0,90,12,96,4.55833333333333,0,1.5,18.6666666666667,243.75,353.25,10912.9166666667,7275.27777777778,0,50,33,17,0,0,0,100,25,100,75,0,17,33,17,82,100,56,0,58,33,8,0,0,0,0,0,0,-1.0,51.3333333333334,67,75.75,58,33,8,17,11,3,63,A,A,A,-1,-1,MN,-1,A,100.0
County,MN Minnesota,MN Anoka County 27003,9,Housing Choice Vouchers,3,A,Anoka County,27003,1479.0,98,1390,95,5.42410337552755,4,2.67122302158282,3888.3397594624,377.853640951699,674.809833694874,14590.7553956837,5462.20037705351,7,29,26,18,21,26,7,66,20,99,83,11,41,85,49,48,68,23,1,62,19,18,3,41,35,3,2,2,49.7180327868852,82.7147847478488,90,92.2830940988839,30,33,37,13,6,10,58,A,A,A,-1,-1,MN,-1,A,59.0
County,MN Minnesota,MN Becker County 27005,9,Housing Choice Vouchers,3,A,Becker County,27005,242.0,92,215,97,4.84732520101458,14,1.82199655565707,404.576671076671,270.875027378838,320.926786149997,10937.647267365,6003.11083651888,13,37,28,16,7,29,6,65,24,99,74,4,37,73,36,39,56,26,17,43,19,21,2,7,2,4,0,0,7.77164655741641,42.3226644621737,76,77.8643541225601,35,45,20,22,16,10,58,A,A,A,-1,-1,MN,-1,A,93.0
County,MN Minnesota,MN Beltrami County 27007,9,Housing Choice Vouchers,3,A,Beltrami County,27007,186.0,76,165,100,5.23805417174899,26,2.36709826094107,334.056457431457,263.928895798336,408.449415875757,10839.6917789748,4579.31635447417,8,52,24,7,8,24,16,60,22,99,83,1,57,79,53,35,58,18,12,62,12,15,0,42,4,36,1,2,10.2705426356589,38.010583652758,77,56.988281277936,30,42,27,11,16,14,52,A,A,A,-1,-1,MN,-1,A,58.0
County,MN Minnesota,MN Benton County 27009,9,Housing Choice Vouchers,3,A,Benton County,27009,139.0,95,137,100,5.38963462529683,8,1.61427859204412,214.380706064916,262.576249995131,378.160609330026,11222.5922680834,6952.07898029082,10,39,28,18,5,17,10,72,22,100,77,0,26,74,26,56,71,40,1,47,19,33,4,15,13,1,0,1,19.6939393939394,61.7619149908534,69,47.1796885408075,58,31,11,16,10,9,42,A,A,A,-1,-1,MN,-1,A,85.0
County,MN Minnesota,MN Big Stone County 27011,9,Housing Choice Vouchers,3,A,Big Stone County,27011,34.0,97,31,94,5.90645161290323,3,1.90322580645161,62.8064516129032,270.774193548387,295.1,10581.4516129032,5559.74576271187,19,35,23,19,3,32,6,58,23,97,65,6,26,74,29,24,50,17,10,55,16,19,0,0,0,0,0,0,4.4,48.0580645161291,87,150.111111111111,23,55,23,45,10,2,78,A,A,A,-1,-1,MN,-1,A,100.0
County,MN Minnesota,MN Blue Earth County 27013,9,Housing Choice Vouchers,3,A,Blue Earth County,27013,497.0,99,451,92,4.41579441058401,2,2.25266328380833,1106.05767234989,271.102706799229,454.070053450681,11832.8962077212,5252.8472820477,14,34,25,17,11,19,6,71,22,98,78,9,28,69,32,61,88,31,4,61,24,11,0,27,24,1,0,2,5.715901674342,47.1272136661036,86,64.3141586212559,38,37,25,20,18,8,38,A,A,A,-1,-1,MN,-1,A,73.0
County,MN Minnesota,MN Brown County 27015,9,Housing Choice Vouchers,3,A,Brown County,27015,124.0,85,114,100,4.77748538011696,18,1.78947368421053,189.684210526316,251.666666666667,314.642857142858,10574.4736842105,5909.26470588236,12,41,26,18,3,28,9,62,22,98,81,3,32,73,32,55,29,29,11,53,18,18,2,2,0,0,0,2,9.62833333333333,45.2730994152048,73,89.0361445783133,49,38,13,11,7,4,68,A,A,A,-1,-1,MN,-1,A,98.0
County,MN Minnesota,MN Carlton County 27017,9,Housing Choice Vouchers,3,A,Carlton County,27017,102.0,78,78,98,4.9578125,15,2.14102564102564,171.175,295.705128205128,298.923076923077,11841.8717948718,5530.93413173652,8,32,38,18,4,24,9,67,24,99,74,4,46,72,44,44,17,20,3,65,24,8,3,6,0,6,0,0,22.6,46.2987179487179,62,62.0625,46,33,21,4,8,7,71,A,A,A,-1,-1,MN,-1,A,94.0
County,MN Minnesota,MN Carver County 27019,9,Housing Choice Vouchers,3,A,Carver County,27019,164.0,98,154,95,5.47506172839506,14,2.47402597402597,398.992041032897,383.422077922078,633.103896103896,15617.6038961039,6312.62729658793,6,23,27,16,27,28,3,68,22,99,76,8,41,85,45,51,38,24,5,62,17,17,4,31,25,3,2,1,34.9952380952381,57.0888157894737,95,83.2671232876712,33,32,35,12,5,10,61,A,A,A,-1,-1,MN,-1,A,69.0
County,MN Minnesota,MN Cass County 27021,9,Housing Choice Vouchers,3,A,Cass County,27021,57.0,69,42,100,4.02214853567215,12,2.33528235113094,91.9818181818182,275.647084166795,389.484859746639,9237.68764425296,3955.70481649865,21,40,24,7,7,27,11,62,20,98,81,0,45,83,45,32,38,16,9,62,9,19,2,14,0,12,0,2,27.6720406302904,27.2247699646099,83,106.246859377594,21,40,38,26,14,10,73,A,A,A,-1,-1,MN,-1,A,86.0
