gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
County,MN Minnesota,MN Aitkin County 27001,9,Housing Choice Vouchers,3,,Aitkin County,27001,13,100,13,100,4,38,1.5,20,309,396,13221,8594,-1,38,46,8,8,8,-1,92,28,92,77,-1,23,46,23,83,100,55,-1,38,54,8,-1,0,-1,-1,-1,100,-1,-1,-1,0,0,4,51,69,74,69,23,8,8,17,5,71,,,,,,MN,,,100.0
County,MN Minnesota,MN Anoka County 27003,9,Housing Choice Vouchers,3,,Anoka County,27003,1388,99,1375,100,6,4,2.9,4000,437,697,15290,5256,5,28,24,18,26,29,5,63,21,99,80,13,38,85,47,47,72,22,1,57,23,19,2,49,44,2,1,51,0,1,-1,1,1,38,116,92,121,29,32,39,13,12,22,58,,,,,,MN,,,51.0
County,MN Minnesota,MN Becker County 27005,9,Housing Choice Vouchers,3,,Becker County,27005,241,77,182,98,5,26,1.7,312,326,408,12345,7201,7,33,31,18,12,23,8,68,26,98,68,1,32,73,32,47,57,33,10,37,23,29,3,16,6,10,1,84,-1,-1,-1,0,1,24,72,78,82,41,37,22,25,13,11,65,,,,,,MN,,,84.0
County,MN Minnesota,MN Beltrami County 27007,9,Housing Choice Vouchers,3,,Beltrami County,27007,183,70,134,100,4,24,2.2,297,296,588,11885,5362,8,34,31,20,8,28,14,57,24,98,79,5,47,78,47,42,57,23,12,51,20,17,1,43,7,31,1,57,-1,2,1,3,3,10,51,81,65,38,40,22,9,22,18,60,,,,,,MN,,,57.0
County,MN Minnesota,MN Benton County 27009,9,Housing Choice Vouchers,3,,Benton County,27009,153,99,160,100,5,11,1.9,309,300,580,12128,6280,8,34,36,14,8,20,6,74,22,99,86,6,24,66,27,56,67,31,1,43,29,27,1,32,29,1,-1,68,-1,1,1,2,0,47,78,74,56,51,31,18,19,27,15,43,,,,,,MN,,,68.0
County,MN Minnesota,MN Big Stone County 27011,9,Housing Choice Vouchers,3,,Big Stone County,27011,34,91,32,100,5,19,1.5,49,299,311,12631,8249,6,34,34,13,13,31,3,66,27,97,63,9,16,84,22,40,33,24,3,25,34,38,-1,0,-1,-1,-1,100,-1,-1,-1,0,0,12,68,69,117,22,59,19,56,14,3,82,,,,,,MN,,,100.0
County,MN Minnesota,MN Blue Earth County 27013,9,Housing Choice Vouchers,3,,Blue Earth County,27013,489,91,438,98,4,13,2.6,1120,366,486,14424,5641,9,29,26,17,20,35,5,58,25,95,72,13,30,71,37,48,90,24,3,57,26,14,-1,39,35,0,1,61,-1,2,-1,2,0,23,79,92,74,34,37,29,19,25,12,50,,,,,,MN,,,61.0
County,MN Minnesota,MN Brown County 27015,9,Housing Choice Vouchers,3,,Brown County,27015,123,77,90,96,4,18,1.6,144,293,343,10942,6839,10,34,38,14,5,27,7,64,22,100,80,6,21,68,21,60,35,35,6,46,27,22,3,7,7,-1,-1,93,-1,-1,-1,0,0,11,58,61,106,49,42,9,26,12,5,74,,,,,,MN,,,93.0
County,MN Minnesota,MN Carlton County 27017,9,Housing Choice Vouchers,3,,Carlton County,27017,152,68,106,100,4,31,2.2,228,375,483,14684,6827,8,21,30,17,24,41,8,51,28,96,62,3,43,75,41,38,44,19,8,64,19,8,-1,10,1,9,-1,90,-1,-1,-1,0,0,27,49,67,83,38,38,25,10,11,10,76,,,,,,MN,,,90.0
County,MN Minnesota,MN Carver County 27019,9,Housing Choice Vouchers,3,,Carver County,27019,177,99,175,100,5,10,2.8,489,429,697,16534,5917,5,21,24,22,29,38,3,58,23,98,73,14,36,85,47,37,61,18,3,59,22,16,5,45,41,1,2,55,-1,1,-1,1,2,49,85,97,103,33,29,38,7,8,15,56,,,,,,MN,,,55.0
County,MN Minnesota,MN Cass County 27021,9,Housing Choice Vouchers,3,,Cass County,27021,54,54,32,100,5,28,2.3,72,278,510,10919,4853,13,44,22,16,6,22,9,69,22,100,72,-1,34,78,34,44,14,18,3,47,28,22,-1,22,3,16,-1,78,-1,3,-1,3,6,45,55,81,88,19,47,34,31,18,11,81,,,,,,MN,,,78.0
County,MN Minnesota,MN Chippewa County 27023,9,Housing Choice Vouchers,3,,Chippewa County,27023,98,82,83,100,5,34,2.0,167,270,363,11712,5821,5,38,33,14,10,25,7,61,24,99,76,5,37,76,41,32,42,18,8,47,16,29,4,6,-1,2,-1,94,-1,4,-1,4,1,11,46,92,89,24,41,35,34,10,10,77,,,,,,MN,,,94.0
County,MN Minnesota,MN Chisago County 27025,9,Housing Choice Vouchers,3,,Chisago County,27025,25,88,46,100,5,9,1.5,67,370,1261,14179,9735,2,38,27,13,20,15,-1,83,23,96,78,-1,26,83,26,84,78,63,-1,43,37,20,-1,0,-1,-1,-1,100,-1,-1,-1,0,0,34,105,93,90,39,46,15,35,7,5,79,,,,,,MN,,,100.0
County,MN Minnesota,MN Clay County 27027,9,Housing Choice Vouchers,3,,Clay County,27027,588,92,571,100,4,18,2.4,1396,344,489,13003,5318,9,28,33,14,17,28,5,62,21,98,82,18,30,65,34,63,76,31,3,59,25,13,0,23,11,5,1,77,-1,5,0,5,1,23,73,91,105,25,47,28,25,16,11,54,,,,,,MN,,,77.0
County,MN Minnesota,MN Clearwater County 27029,9,Housing Choice Vouchers,3,,Clearwater County,27029,67,77,54,100,5,33,2.2,121,313,433,11408,5091,2,39,35,12,12,35,9,50,23,96,78,6,48,87,48,26,42,15,7,59,11,22,4,26,2,24,-1,74,-1,-1,-1,0,0,27,43,87,78,19,52,30,31,15,13,77,,,,,,MN,,,74.0
County,MN Minnesota,MN Cook County 27031,9,Housing Choice Vouchers,3,,Cook County,27031,2,-4,2,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,MN,,,
County,MN Minnesota,MN Cottonwood County 27033,9,Housing Choice Vouchers,3,,Cottonwood County,27033,11,-4,8,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,MN,,,
County,MN Minnesota,MN Crow Wing County 27035,9,Housing Choice Vouchers,3,,Crow Wing County,27035,317,102,322,100,4,21,1.9,624,304,412,11945,6164,10,37,26,14,12,28,6,64,25,97,72,8,34,84,39,43,58,26,9,46,24,20,1,6,2,3,-1,94,-1,1,-1,1,1,19,63,89,62,40,41,19,15,22,6,64,,,,,,MN,,,94.0
County,MN Minnesota,MN Dakota County 27037,9,Housing Choice Vouchers,3,,Dakota County,27037,2657,100,2727,100,6,12,2.5,6848,457,672,16586,6605,5,24,23,19,29,34,5,60,24,97,74,10,40,82,46,41,44,19,2,58,18,21,2,47,38,1,2,53,1,5,0,5,1,51,92,99,67,37,37,26,9,10,26,45,,,,,,MN,,,53.0
County,MN Minnesota,MN Dodge County 27039,9,Housing Choice Vouchers,3,,Dodge County,27039,46,96,44,100,5,34,1.8,79,295,482,12268,6833,12,21,40,21,7,27,11,59,19,100,95,2,48,77,48,38,40,28,9,52,16,23,7,14,11,-1,-1,86,-1,-1,2,2,2,9,38,84,57,34,41,25,25,8,7,80,,,,,,MN,,,86.0
County,MN Minnesota,MN Douglas County 27041,9,Housing Choice Vouchers,3,,Douglas County,27041,217,83,174,97,5,21,1.7,291,336,373,12706,7598,6,29,37,19,10,21,2,76,25,98,74,4,21,73,23,57,65,39,1,51,23,25,1,10,7,2,-1,90,-1,1,1,1,1,43,64,83,66,63,25,11,11,14,4,62,,,,,,MN,,,90.0
County,MN Minnesota,MN Faribault County 27043,9,Housing Choice Vouchers,3,,Faribault County,27043,93,74,69,100,6,26,1.9,128,290,445,11786,6353,8,39,29,12,12,20,4,70,24,99,74,3,32,72,29,37,83,32,3,45,19,33,1,13,3,3,-1,87,-1,7,-1,7,0,16,64,97,185,28,49,23,32,15,8,84,,,,,,MN,,,87.0
County,MN Minnesota,MN Fillmore County 27045,9,Housing Choice Vouchers,3,,Fillmore County,27045,26,96,25,100,5,32,1.6,41,303,482,12130,7396,4,54,21,8,13,12,4,80,24,96,80,4,20,72,16,63,33,34,4,48,24,24,-1,8,8,-1,-1,92,-1,-1,-1,0,0,29,70,84,99,36,44,20,40,13,2,83,,,,,,MN,,,92.0
County,MN Minnesota,MN Freeborn County 27047,9,Housing Choice Vouchers,3,,Freeborn County,27047,155,81,116,93,6,16,2.1,245,317,376,11596,5490,11,39,24,17,9,33,8,55,24,97,72,3,45,76,44,32,60,20,13,52,18,17,3,24,11,-1,-1,76,-1,10,3,13,0,8,59,92,99,32,52,16,17,16,18,73,,,,,,MN,,,76.0
