Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
12/31/2023,County,,27XXX,9,Housing Choice Vouchers,3,,Missing County,27XXX,457,86,443,100,6,1,2.8,1230,15,1015,19512,7028,10,11,29,11,39,35,11,48,-1,-1,-1,5,48,82,50,36,77,20,5,61,17,17,0,70,62,4,2,30,0,1,-1,2,3,-1,63,0,257,99,0,0,-1,-1,-1,-1,,,,,,MN,,,30.0
12/31/2023,County,MN Minnesota,MN Aitkin County 27001,9,Housing Choice Vouchers,3,,Aitkin County,27001,18,103,19,100,4,26,1.7,32,375,483,14532,8629,5,11,53,16,16,-1,5,95,21,95,79,-1,16,68,16,93,100,63,-1,32,42,26,-1,0,-1,-1,-1,100,-1,-1,-1,0,0,5,57,89,109,42,32,26,37,14,8,74,,,,,,MN,,,100.0
12/31/2023,County,MN Minnesota,MN Anoka County 27003,9,Housing Choice Vouchers,3,,Anoka County,27003,1700,93,1824,100,5,8,3.1,5728,599,1201,21843,6956,6,6,29,15,44,39,4,53,20,98,81,12,43,82,50,36,79,19,1,54,23,22,1,61,56,3,1,39,0,1,0,2,3,33,127,88,153,29,27,44,9,8,32,57,,,,,,MN,,,39.0
12/31/2023,County,MN Minnesota,MN Becker County 27005,9,Housing Choice Vouchers,3,,Becker County,27005,248,73,178,98,6,20,1.8,316,382,434,15263,8597,6,7,39,24,24,22,7,65,23,98,79,1,37,78,34,40,45,25,1,47,22,30,2,20,7,12,-1,80,-1,1,1,1,2,19,71,78,89,36,43,21,29,13,16,71,,,,,,MN,,,80.0
12/31/2023,County,MN Minnesota,MN Beltrami County 27007,9,Housing Choice Vouchers,3,,Beltrami County,27007,253,65,170,100,5,20,1.9,327,392,542,16725,8695,10,9,36,16,29,25,14,60,24,96,74,2,38,72,38,43,53,25,6,50,21,22,2,49,5,41,-1,51,-1,1,2,2,5,6,50,66,66,44,33,23,16,24,26,52,,,,,,MN,,,51.0
12/31/2023,County,MN Minnesota,MN Benton County 27009,9,Housing Choice Vouchers,3,,Benton County,27009,144,94,154,100,4,19,1.9,287,405,860,16238,8713,7,10,42,16,26,23,6,69,22,99,76,2,29,79,30,50,69,33,4,36,27,33,2,42,36,4,-1,58,-1,3,-1,3,2,15,94,80,88,42,42,16,22,16,33,36,,,,,,MN,,,58.0
12/31/2023,County,MN Minnesota,MN Big Stone County 27011,9,Housing Choice Vouchers,3,,Big Stone County,27011,37,86,32,100,6,13,1.6,50,333,339,14070,9005,3,13,50,19,16,19,13,69,22,100,91,3,16,78,16,50,43,30,-1,34,22,44,3,0,-1,-1,-1,100,-1,-1,-1,0,0,3,69,75,95,75,19,6,6,13,7,72,,,,,,MN,,,100.0
12/31/2023,County,MN Minnesota,MN Blue Earth County 27013,9,Housing Choice Vouchers,3,,Blue Earth County,27013,628,72,529,100,5,16,2.2,1162,463,719,18770,8545,10,7,34,16,34,30,8,60,24,94,73,8,32,74,36,52,86,30,4,52,24,20,-1,44,36,1,2,56,1,4,-1,5,4,40,79,96,92,31,43,27,25,24,23,41,,,,,,MN,,,56.0
12/31/2023,County,MN Minnesota,MN Brown County 27015,9,Housing Choice Vouchers,3,,Brown County,27015,127,82,103,99,5,25,1.6,161,369,389,14439,9237,9,8,39,21,22,20,9,66,22,97,83,1,20,76,19,37,58,30,5,36,24,35,1,1,-1,-1,-1,99,-1,1,-1,1,0,17,57,73,97,43,47,11,34,7,7,80,,,,,,MN,,,99.0
12/31/2023,County,MN Minnesota,MN Carlton County 27017,9,Housing Choice Vouchers,3,,Carlton County,27017,159,67,105,98,6,30,1.8,189,374,552,15207,8448,8,7,43,19,24,22,11,64,22,98,82,3,33,71,34,42,59,28,3,50,23,25,-1,16,1,10,1,84,-1,2,2,4,0,26,61,70,92,43,43,14,21,11,13,71,,,,,,MN,,,84.0
12/31/2023,County,MN Minnesota,MN Carver County 27019,9,Housing Choice Vouchers,3,,Carver County,27019,365,93,392,100,4,15,2.8,1095,521,1201,21184,7584,6,11,24,13,45,35,8,51,20,97,80,7,49,83,54,34,62,19,2,60,20,18,1,54,44,3,1,46,1,4,1,5,4,16,85,99,122,28,33,39,9,5,21,58,,,,,,MN,,,46.0
12/31/2023,County,MN Minnesota,MN Cass County 27021,9,Housing Choice Vouchers,3,,Cass County,27021,55,-5,28,-5,-5,-5,-5.0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,,,,,,MN,,,
12/31/2023,County,MN Minnesota,MN Chippewa County 27023,9,Housing Choice Vouchers,3,,Chippewa County,27023,96,71,69,100,5,32,2.2,155,390,518,16396,7299,6,8,30,27,30,28,7,55,23,99,77,7,32,67,33,24,57,15,4,42,20,33,3,13,3,-1,1,87,-1,9,-1,9,0,7,56,90,140,19,46,35,43,11,18,76,,,,,,MN,,,87.0
