sumlevel,program,program_label,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,tpct_ownsfd,fedhse,msa,placefips,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
9,3,VO,-1,Adair County,29001,-1,-1,217,-1,4,25,2.0,426,220,259,9.1,4.6,20,46,28,5,2,27,3,63,20,85,66,10,34,72,40,36,28,20,12,56,14,18,4,3,2,0,0,0,4,37,92,116,31,43,25,25,5,25,43,-1,-1,-1,-1,-1,MO,-1,-1,97.0
9,3,VO,-1,Andrew County,29003,-1,-1,32,-1,7,41,1.8,56,212,265,9.6,5.4,13,38,44,6,0,25,0,72,23,100,75,3,38,84,41,38,64,30,9,44,13,34,3,3,0,3,0,0,5,38,69,47,53,41,6,3,2,9,67,-1,-1,-1,-1,-1,MO,-1,-1,97.0
9,3,VO,-1,Atchison County,29005,-1,-1,62,-1,7,29,1.6,97,165,215,7.8,5.1,23,56,16,5,0,15,3,74,15,74,63,8,18,87,26,38,64,31,2,35,23,40,8,0,0,0,0,0,12,38,98,61,71,21,8,3,3,9,49,-1,-1,-1,-1,-1,MO,-1,-1,100.0
9,3,VO,-1,Audrain County,29007,-1,-1,133,-1,4,41,2.0,260,236,267,10.5,5.4,15,38,29,14,4,30,5,64,25,94,65,5,45,84,50,29,19,15,14,52,14,20,3,17,16,0,0,1,6,27,97,108,23,54,23,25,11,13,62,-1,-1,-1,-1,-1,MO,-1,-1,83.0
9,3,VO,-1,Barry County,29009,-1,-1,39,-1,7,21,1.9,75,202,265,8.6,4.6,21,56,21,0,3,18,3,74,17,72,56,10,31,87,41,55,50,29,3,54,23,21,3,0,0,0,0,0,30,70,95,77,41,26,33,18,8,12,48,-1,-1,-1,-1,-1,MO,-1,-1,100.0
9,3,VO,-1,Barton County,29011,-1,-1,12,-1,4,33,1.9,23,185,252,7.7,4.0,25,58,8,8,0,0,25,75,21,92,75,0,58,100,58,60,100,39,8,33,42,17,0,0,0,0,0,0,19,37,75,81,33,50,17,8,4,13,64,-1,-1,-1,-1,-1,MO,-1,-1,100.0
9,3,VO,-1,Bates County,29013,-1,-1,83,-1,4,54,2.6,218,219,301,9.3,3.5,24,39,23,12,2,39,24,36,22,88,64,22,46,89,63,27,50,12,16,61,13,10,0,7,2,2,0,2,5,23,100,107,16,45,40,19,3,15,56,-1,-1,-1,-1,-1,MO,-1,-1,93.0
9,3,VO,-1,Benton County,29015,-1,-1,79,-1,4,32,1.9,149,193,258,8.0,4.3,24,47,28,1,0,20,18,61,20,90,71,8,37,76,41,46,90,30,6,59,22,13,0,0,0,0,0,0,6,44,97,90,25,48,27,30,2,11,53,-1,-1,-1,-1,-1,MO,-1,-1,100.0
9,3,VO,-1,Bollinger County,29017,-1,-1,35,-1,5,9,2.6,91,197,275,9.3,3.7,17,54,14,11,3,29,9,57,19,80,63,20,43,89,60,32,71,20,9,63,9,20,0,3,0,0,0,3,-2,50,97,55,11,54,34,20,3,12,56,-1,-1,-1,-1,-1,MO,-1,-1,97.0
9,3,VO,-1,Boone County,29019,-1,-1,999,-1,5,26,2.5,2536,254,400,10.8,4.3,21,34,24,13,8,36,8,50,19,99,82,11,54,88,61,34,66,16,12,67,11,9,1,59,57,1,0,1,19,54,93,141,18,39,43,19,24,18,40,-1,-1,-1,-1,-1,MO,-1,-1,41.0
9,3,VO,-1,Buchanan County,29021,-1,-1,726,-1,4,48,2.2,1562,237,301,8.2,3.8,27,46,21,4,2,23,15,60,19,100,85,10,40,83,45,34,30,16,19,49,12,21,3,10,8,0,0,2,5,28,99,83,45,42,12,9,10,14,53,-1,-1,-1,-1,-1,MO,-1,-1,90.0
9,3,VO,-1,Butler County,29023,-1,-1,215,-1,2,31,2.3,502,226,309,9.4,4.1,22,47,19,7,5,33,15,47,24,96,76,11,49,88,57,31,63,18,14,55,18,13,1,36,34,0,0,1,13,46,95,153,11,50,40,29,12,21,52,-1,-1,-1,-1,-1,MO,-1,-1,64.0
9,3,VO,-1,Caldwell County,29025,-1,-1,145,-1,5,40,2.3,340,165,326,8.6,3.6,37,33,22,6,1,21,6,56,11,90,89,16,32,74,43,25,42,13,13,54,16,17,3,1,1,0,0,1,3,33,72,71,45,32,23,6,2,12,64,-1,-1,-1,-1,-1,MO,-1,-1,99.0
9,3,VO,-1,Callaway County,29027,-1,-1,100,-1,7,32,2.4,244,209,309,9.7,4.0,21,36,28,13,2,24,10,63,11,69,65,11,44,84,47,41,50,19,4,60,16,20,1,23,22,0,1,0,11,36,99,92,24,43,33,9,12,10,48,-1,-1,-1,-1,-1,MO,-1,-1,77.0
9,3,VO,-1,Camden County,29029,-1,-1,65,-1,5,29,2.5,163,197,343,9.0,3.6,23,46,20,11,0,20,11,62,17,85,69,17,34,77,48,46,44,21,6,63,17,14,0,5,3,2,0,0,30,32,95,83,18,45,37,25,3,11,54,-1,-1,-1,-1,-1,MO,-1,-1,95.0
9,3,VO,-1,Cape Girardeau County,29031,-1,-1,769,-1,4,23,2.5,1919,190,372,8.8,3.6,26,41,22,8,3,35,15,46,17,91,79,10,55,87,62,29,74,16,16,59,14,11,1,49,48,0,0,0,18,45,99,62,19,42,39,15,21,23,41,-1,-1,-1,-1,-1,MO,-1,-1,51.0
9,3,VO,-1,Carroll County,29033,-1,-1,76,-1,6,54,2.4,185,180,239,8.2,3.4,32,38,21,7,3,28,13,54,16,76,61,18,38,79,51,27,71,16,20,49,13,18,0,13,12,0,0,1,3,23,83,55,38,26,36,7,5,15,62,-1,-1,-1,-1,-1,MO,-1,-1,87.0
9,3,VO,-1,Carter County,29035,-1,-1,12,-1,3,8,1.8,22,233,258,8.8,4.6,8,58,33,0,0,25,8,58,23,100,92,8,33,58,42,56,67,32,0,50,25,25,0,0,0,0,0,0,2,91,100,191,8,67,25,50,5,17,40,-1,-1,-1,-1,-1,MO,-1,-1,100.0
9,3,VO,-1,Cass County,29037,-1,-1,503,-1,5,20,2.3,1138,283,456,12.0,5.3,15,35,22,14,13,30,16,53,21,98,79,15,38,83,49,36,31,17,7,53,18,21,3,13,10,1,0,1,16,49,97,93,20,41,39,29,6,7,64,-1,-1,-1,-1,-1,MO,-1,-1,87.0
9,3,VO,-1,Cedar County,29039,-1,-1,72,-1,4,31,2.2,159,212,236,9.3,4.2,22,40,25,7,6,18,25,57,23,81,53,13,38,78,42,36,64,21,6,54,10,31,3,3,0,1,0,1,5,26,99,92,35,38,28,15,4,15,53,-1,-1,-1,-1,-1,MO,-1,-1,97.0
9,3,VO,-1,Chariton County,29041,-1,-1,28,-1,5,11,2.4,67,196,194,9.1,3.8,18,54,18,4,7,36,4,61,19,86,64,14,39,71,50,38,50,18,7,57,21,14,0,29,29,0,0,0,3,52,100,59,25,46,29,29,5,11,66,-1,-1,-1,-1,-1,MO,-1,-1,71.0
9,3,VO,-1,Christian County,29043,-1,-1,76,-1,6,14,2.3,174,236,351,9.5,4.1,16,42,32,8,3,21,8,70,22,99,83,16,37,80,47,48,58,25,4,64,16,16,0,1,0,1,0,0,37,54,99,83,22,49,29,25,4,9,63,-1,-1,-1,-1,-1,MO,-1,-1,99.0
9,3,VO,-1,Clark County,29045,-1,-1,102,-1,6,44,1.9,191,163,213,8.3,4.5,29,46,18,7,0,24,7,59,15,76,61,12,29,85,40,29,48,21,20,43,9,28,10,0,0,0,0,0,1,31,69,96,33,48,19,28,2,12,55,-1,-1,-1,-1,-1,MO,-1,-1,100.0
9,3,VO,-1,Clay County,29047,-1,-1,858,-1,4,29,2.5,2127,265,484,12.0,4.8,24,31,19,12,14,32,11,49,19,98,80,14,45,87,55,30,34,14,10,62,14,14,1,44,33,1,1,9,19,42,98,99,23,40,36,17,10,7,61,-1,-1,-1,-1,-1,MO,-1,-1,56.0
9,3,VO,-1,Clinton County,29049,-1,-1,121,-1,7,37,2.3,279,220,416,11.0,4.8,21,32,23,16,8,31,11,54,19,98,84,9,46,88,50,29,12,11,10,58,11,21,2,7,3,1,1,2,7,35,96,70,34,38,28,11,4,10,67,-1,-1,-1,-1,-1,MO,-1,-1,93.0
9,3,VO,-1,Cole County,29051,-1,-1,317,-1,5,38,2.8,890,212,376,10.0,3.6,26,39,17,9,9,31,19,44,15,85,75,16,54,91,67,31,63,15,12,70,11,8,1,55,54,0,0,1,21,33,98,86,25,34,40,7,22,16,47,-1,-1,-1,-1,-1,MO,-1,-1,45.0
9,3,VO,-1,Cooper County,29053,-1,-1,75,-1,7,37,2.2,164,196,282,8.8,4.1,27,40,24,7,3,16,15,67,15,73,60,15,33,79,39,36,88,24,8,49,21,21,0,13,13,0,0,0,20,26,99,66,19,55,26,28,14,11,59,-1,-1,-1,-1,-1,MO,-1,-1,87.0
9,3,VO,-1,Crawford County,29055,-1,-1,198,-1,4,39,2.2,427,206,301,8.4,3.9,26,43,22,7,3,23,13,62,19,92,75,11,44,86,52,39,65,22,12,55,16,17,1,1,0,1,0,0,5,24,97,106,28,47,24,18,2,14,55,-1,-1,-1,-1,-1,MO,-1,-1,99.0
9,3,VO,-1,Dade County,29057,-1,-1,22,-1,6,18,1.8,40,188,241,7.9,4.3,18,64,18,0,0,23,0,77,14,68,59,5,36,77,36,44,50,30,0,64,18,18,0,5,0,0,0,5,6,43,77,56,45,41,14,5,3,12,65,-1,-1,-1,-1,-1,MO,-1,-1,95.0
9,3,VO,-1,Dallas County,29059,-1,-1,48,-1,7,17,1.8,85,215,236,8.6,4.9,13,65,17,4,2,17,4,79,20,75,69,13,17,85,29,53,71,39,4,46,21,29,2,0,0,0,0,0,10,59,100,86,38,40,23,29,3,20,59,-1,-1,-1,-1,-1,MO,-1,-1,100.0
9,3,VO,-1,Daviess County,29061,-1,-1,87,-1,5,43,2.3,197,176,244,7.8,3.4,33,39,16,10,1,30,10,59,18,87,66,9,45,80,46,22,29,12,11,59,14,16,5,0,0,0,0,0,2,28,86,75,46,36,18,5,1,15,62,-1,-1,-1,-1,-1,MO,-1,-1,100.0
