sumlevel,program,program_label,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,pct_ownsfd,fedhse,cbsa,placefips,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
9,3,VO,-1,Adair County,29001,-1,-1,223.0,-1.0,5.0,20.0,1.9,431.0,223.0,287.0,10.0,5.1,24.0,35.0,24.0,13.0,3.0,29.0,6.0,55.0,24.0,98.0,67.0,9.0,33.0,75.0,39.0,34.0,33.0,20.0,11.0,51.0,19.0,19.0,2.0,3.0,2.0,0.0,0.0,0.0,5.0,44.0,88.0,110.0,30.0,43.0,27.0,28.0,5,25,44,-1,-1,-1,-1,-1,MO,-1,-1,97.0
9,3,VO,-1,Andrew County,29003,-1,-1,30.0,-1.0,5.0,20.0,1.9,57.0,195.0,310.0,9.6,5.2,23.0,33.0,33.0,10.0,0.0,27.0,3.0,63.0,22.0,97.0,73.0,0.0,37.0,83.0,40.0,33.0,44.0,23.0,13.0,43.0,13.0,30.0,3.0,3.0,0.0,0.0,0.0,3.0,10.0,57.0,63.0,45.0,47.0,37.0,17.0,7.0,2,9,64,-1,-1,-1,-1,-1,MO,-1,-1,97.0
9,3,VO,-1,Atchison County,29005,-1,-1,51.0,-1.0,0.0,6.0,1.5,76.0,217.0,232.0,9.8,6.6,20.0,55.0,14.0,10.0,2.0,8.0,6.0,78.0,26.0,96.0,73.0,6.0,18.0,76.0,20.0,47.0,76.0,39.0,2.0,35.0,22.0,41.0,6.0,2.0,2.0,0.0,0.0,0.0,-2.0,54.0,100.0,81.0,75.0,14.0,12.0,2.0,3,10,54,-1,-1,-1,-1,-1,MO,-1,-1,98.0
9,3,VO,-1,Audrain County,29007,-1,-1,138.0,-1.0,4.0,41.0,2.1,290.0,236.0,296.0,10.6,5.0,18.0,36.0,29.0,10.0,7.0,28.0,10.0,59.0,26.0,96.0,64.0,8.0,47.0,84.0,52.0,33.0,21.0,16.0,15.0,56.0,15.0,14.0,3.0,18.0,16.0,1.0,0.0,1.0,2.0,29.0,96.0,113.0,24.0,50.0,26.0,20.0,11,13,61,-1,-1,-1,-1,-1,MO,-1,-1,82.0
9,3,VO,-1,Barry County,29009,-1,-1,30.0,-1.0,7.0,10.0,1.7,51.0,199.0,229.0,8.7,5.3,13.0,60.0,23.0,3.0,0.0,10.0,3.0,83.0,25.0,100.0,80.0,13.0,13.0,80.0,27.0,70.0,29.0,35.0,0.0,47.0,30.0,23.0,3.0,0.0,0.0,0.0,0.0,0.0,17.0,90.0,97.0,72.0,43.0,37.0,20.0,27.0,6,12,49,-1,-1,-1,-1,-1,MO,-1,-1,100.0
9,3,VO,-1,Barton County,29011,-1,-1,21.0,-1.0,5.0,33.0,1.4,30.0,202.0,198.0,9.1,6.3,0.0,81.0,14.0,5.0,0.0,10.0,0.0,90.0,27.0,100.0,76.0,0.0,14.0,95.0,14.0,83.0,100.0,67.0,0.0,29.0,29.0,43.0,0.0,5.0,0.0,5.0,0.0,0.0,10.0,25.0,62.0,62.0,71.0,24.0,5.0,10.0,3,13,65,-1,-1,-1,-1,-1,MO,-1,-1,95.0
9,3,VO,-1,Bates County,29013,-1,-1,45.0,-1.0,5.0,22.0,2.4,107.0,204.0,316.0,9.2,3.8,27.0,40.0,20.0,13.0,0.0,13.0,27.0,58.0,24.0,100.0,71.0,13.0,49.0,87.0,60.0,49.0,63.0,25.0,9.0,56.0,18.0,18.0,0.0,7.0,0.0,4.0,0.0,2.0,11.0,52.0,100.0,114.0,13.0,49.0,38.0,33.0,3,14,52,-1,-1,-1,-1,-1,MO,-1,-1,93.0
9,3,VO,-1,Benton County,29015,-1,-1,70.0,-1.0,5.0,14.0,1.7,119.0,224.0,243.0,9.2,5.4,14.0,49.0,27.0,9.0,1.0,21.0,17.0,61.0,27.0,99.0,63.0,6.0,31.0,77.0,36.0,50.0,90.0,34.0,11.0,49.0,26.0,14.0,1.0,1.0,0.0,0.0,0.0,1.0,13.0,66.0,97.0,96.0,27.0,50.0,23.0,41.0,3,13,58,-1,-1,-1,-1,-1,MO,-1,-1,99.0
9,3,VO,-1,Bollinger County,29017,-1,-1,31.0,-1.0,5.0,13.0,2.3,70.0,193.0,315.0,8.9,4.1,16.0,61.0,16.0,3.0,3.0,16.0,10.0,71.0,24.0,97.0,84.0,16.0,39.0,84.0,48.0,39.0,88.0,27.0,6.0,61.0,6.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,63.0,87.0,75.0,19.0,52.0,29.0,26.0,3,11,51,-1,-1,-1,-1,-1,MO,-1,-1,100.0
9,3,VO,-1,Boone County,29019,-1,-1,995.0,-1.0,4.0,19.0,2.6,2629.0,253.0,457.0,11.4,4.3,28.0,30.0,19.0,13.0,11.0,33.0,9.0,47.0,19.0,98.0,79.0,10.0,54.0,88.0,61.0,30.0,68.0,15.0,10.0,67.0,14.0,9.0,1.0,63.0,61.0,0.0,1.0,0.0,14.0,61.0,93.0,159.0,14.0,40.0,47.0,22.0,22,17,40,-1,-1,-1,-1,-1,MO,-1,-1,37.0
9,3,VO,-1,Buchanan County,29021,-1,-1,903.0,-1.0,4.0,47.0,2.2,1991.0,249.0,346.0,9.1,4.1,27.0,38.0,25.0,8.0,3.0,27.0,12.0,56.0,21.0,98.0,80.0,9.0,46.0,84.0,50.0,29.0,26.0,13.0,21.0,50.0,12.0,17.0,2.0,16.0,13.0,0.0,0.0,2.0,4.0,29.0,99.0,95.0,37.0,40.0,23.0,6.0,9,14,54,-1,-1,-1,-1,-1,MO,-1,-1,84.0
9,3,VO,-1,Butler County,29023,-1,-1,242.0,-1.0,3.0,32.0,2.5,605.0,257.0,326.0,10.0,4.0,19.0,45.0,19.0,11.0,6.0,31.0,16.0,51.0,26.0,95.0,71.0,12.0,48.0,90.0,58.0,32.0,86.0,19.0,11.0,56.0,18.0,15.0,0.0,32.0,31.0,0.0,0.0,1.0,17.0,49.0,96.0,161.0,10.0,48.0,42.0,29.0,11,21,52,-1,-1,-1,-1,-1,MO,-1,-1,68.0
9,3,VO,-1,Caldwell County,29025,-1,-1,140.0,-1.0,5.0,26.0,2.5,347.0,180.0,369.0,9.4,3.7,34.0,32.0,23.0,9.0,2.0,19.0,6.0,59.0,14.0,100.0,96.0,18.0,36.0,79.0,48.0,27.0,41.0,14.0,11.0,55.0,14.0,19.0,2.0,1.0,0.0,0.0,1.0,0.0,6.0,41.0,76.0,75.0,36.0,36.0,28.0,8.0,2,12,65,-1,-1,-1,-1,-1,MO,-1,-1,99.0
9,3,VO,-1,Callaway County,29027,-1,-1,117.0,-1.0,6.0,33.0,2.5,291.0,231.0,355.0,11.4,4.6,24.0,28.0,24.0,15.0,9.0,35.0,11.0,47.0,19.0,99.0,83.0,16.0,45.0,90.0,56.0,28.0,65.0,14.0,15.0,62.0,9.0,15.0,2.0,29.0,27.0,0.0,1.0,1.0,6.0,41.0,100.0,101.0,19.0,44.0,37.0,15.0,12,10,50,-1,-1,-1,-1,-1,MO,-1,-1,71.0
9,3,VO,-1,Camden County,29029,-1,-1,65.0,-1.0,5.0,5.0,2.5,165.0,205.0,396.0,9.1,3.6,18.0,51.0,17.0,9.0,5.0,18.0,9.0,72.0,21.0,100.0,78.0,15.0,40.0,83.0,49.0,44.0,50.0,21.0,3.0,71.0,14.0,12.0,0.0,5.0,2.0,2.0,0.0,2.0,12.0,39.0,98.0,94.0,14.0,52.0,34.0,29.0,3,10,55,-1,-1,-1,-1,-1,MO,-1,-1,95.0
9,3,VO,-1,Cape Girardeau County,29031,-1,-1,827.0,-1.0,4.0,20.0,2.5,2101.0,200.0,406.0,9.6,3.8,25.0,39.0,20.0,11.0,5.0,35.0,18.0,42.0,19.0,99.0,81.0,11.0,52.0,87.0,61.0,27.0,80.0,16.0,15.0,59.0,14.0,12.0,1.0,48.0,47.0,0.0,0.0,0.0,19.0,53.0,99.0,80.0,19.0,42.0,39.0,17.0,21,23,42,-1,-1,-1,-1,-1,MO,-1,-1,52.0
9,3,VO,-1,Carroll County,29033,-1,-1,54.0,-1.0,5.0,20.0,2.1,115.0,175.0,274.0,8.2,3.9,30.0,48.0,13.0,6.0,4.0,22.0,19.0,52.0,21.0,98.0,85.0,9.0,39.0,76.0,43.0,29.0,42.0,16.0,17.0,44.0,17.0,22.0,0.0,17.0,15.0,0.0,0.0,2.0,12.0,41.0,76.0,50.0,50.0,20.0,30.0,6.0,5,15,63,-1,-1,-1,-1,-1,MO,-1,-1,83.0
9,3,VO,-1,Carter County,29035,-1,-1,17.0,-1.0,3.0,24.0,1.9,33.0,260.0,246.0,9.7,4.9,12.0,47.0,35.0,6.0,0.0,29.0,18.0,47.0,26.0,100.0,71.0,6.0,35.0,65.0,35.0,50.0,67.0,27.0,0.0,35.0,47.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,86.0,88.0,180.0,12.0,53.0,35.0,53.0,3,12,28,-1,-1,-1,-1,-1,MO,-1,-1,100.0
9,3,VO,-1,Cass County,29037,-1,-1,677.0,-1.0,5.0,23.0,2.4,1640.0,288.0,515.0,12.6,5.2,16.0,28.0,27.0,13.0,16.0,31.0,18.0,48.0,22.0,97.0,77.0,15.0,42.0,85.0,53.0,32.0,32.0,15.0,8.0,56.0,18.0,18.0,2.0,14.0,13.0,1.0,0.0,1.0,12.0,48.0,98.0,106.0,14.0,43.0,43.0,29.0,6,7,64,-1,-1,-1,-1,-1,MO,-1,-1,86.0
9,3,VO,-1,Cedar County,29039,-1,-1,71.0,-1.0,5.0,17.0,2.1,149.0,195.0,278.0,8.6,4.1,17.0,56.0,23.0,4.0,0.0,10.0,21.0,69.0,25.0,100.0,73.0,14.0,21.0,73.0,30.0,52.0,61.0,28.0,3.0,55.0,10.0,32.0,0.0,1.0,0.0,0.0,0.0,1.0,12.0,37.0,99.0,98.0,38.0,37.0,25.0,23.0,4,16,54,-1,-1,-1,-1,-1,MO,-1,-1,99.0
9,3,VO,-1,Chariton County,29041,-1,-1,16.0,-1.0,4.0,0.0,1.8,28.0,233.0,154.0,10.0,5.7,6.0,63.0,19.0,6.0,6.0,38.0,0.0,63.0,27.0,94.0,75.0,0.0,31.0,56.0,31.0,36.0,80.0,32.0,0.0,44.0,25.0,31.0,0.0,25.0,25.0,0.0,0.0,0.0,-2.0,99.0,88.0,91.0,31.0,31.0,38.0,44.0,6,12,69,-1,-1,-1,-1,-1,MO,-1,-1,75.0
9,3,VO,-1,Christian County,29043,-1,-1,109.0,-1.0,6.0,24.0,2.5,272.0,267.0,376.0,11.0,4.4,17.0,36.0,29.0,6.0,12.0,22.0,5.0,70.0,24.0,96.0,72.0,18.0,38.0,83.0,50.0,49.0,61.0,23.0,3.0,61.0,20.0,17.0,2.0,2.0,1.0,0.0,1.0,0.0,23.0,51.0,99.0,85.0,28.0,38.0,35.0,17.0,4,9,64,-1,-1,-1,-1,-1,MO,-1,-1,98.0
9,3,VO,-1,Clark County,29045,-1,-1,112.0,-1.0,5.0,46.0,1.8,196.0,194.0,202.0,9.4,5.3,19.0,47.0,23.0,6.0,4.0,23.0,2.0,71.0,26.0,98.0,66.0,13.0,21.0,84.0,34.0,31.0,27.0,18.0,14.0,40.0,9.0,37.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,33.0,51.0,74.0,44.0,42.0,14.0,21.0,2,12,54,-1,-1,-1,-1,-1,MO,-1,-1,100.0
9,3,VO,-1,Clay County,29047,-1,-1,920.0,-1.0,4.0,16.0,2.6,2352.0,269.0,524.0,12.6,4.9,22.0,29.0,19.0,15.0,15.0,32.0,8.0,51.0,20.0,98.0,79.0,17.0,42.0,84.0,54.0,33.0,46.0,15.0,10.0,61.0,15.0,15.0,1.0,42.0,35.0,1.0,1.0,5.0,22.0,51.0,97.0,106.0,23.0,38.0,39.0,17.0,10,6,62,-1,-1,-1,-1,-1,MO,-1,-1,58.0
9,3,VO,-1,Clinton County,29049,-1,-1,125.0,-1.0,5.0,18.0,2.4,304.0,251.0,434.0,12.3,5.1,14.0,29.0,29.0,17.0,11.0,30.0,2.0,61.0,20.0,99.0,82.0,18.0,37.0,85.0,47.0,35.0,31.0,14.0,10.0,54.0,16.0,21.0,2.0,6.0,2.0,1.0,0.0,3.0,11.0,53.0,95.0,72.0,31.0,30.0,38.0,13.0,4,9,64,-1,-1,-1,-1,-1,MO,-1,-1,94.0
9,3,VO,-1,Cole County,29051,-1,-1,344.0,-1.0,4.0,33.0,2.8,946.0,229.0,403.0,10.6,3.8,28.0,33.0,18.0,12.0,10.0,27.0,19.0,47.0,18.0,99.0,86.0,15.0,51.0,89.0,63.0,32.0,63.0,15.0,8.0,68.0,15.0,9.0,1.0,56.0,53.0,0.0,0.0,2.0,21.0,38.0,99.0,104.0,27.0,34.0,39.0,7.0,22,17,47,-1,-1,-1,-1,-1,MO,-1,-1,44.0
9,3,VO,-1,Cooper County,29053,-1,-1,67.0,-1.0,7.0,16.0,2.0,137.0,232.0,274.0,11.0,5.4,10.0,42.0,25.0,18.0,4.0,27.0,4.0,67.0,27.0,97.0,66.0,13.0,25.0,76.0,34.0,43.0,78.0,29.0,9.0,39.0,18.0,34.0,3.0,13.0,13.0,0.0,0.0,0.0,12.0,35.0,100.0,71.0,31.0,46.0,22.0,24.0,16,11,59,-1,-1,-1,-1,-1,MO,-1,-1,87.0
9,3,VO,-1,Crawford County,29055,-1,-1,218.0,-1.0,5.0,42.0,2.1,453.0,212.0,317.0,8.7,4.2,25.0,40.0,28.0,5.0,2.0,20.0,8.0,67.0,22.0,99.0,79.0,11.0,36.0,81.0,43.0,45.0,64.0,24.0,11.0,54.0,19.0,17.0,2.0,1.0,1.0,0.0,0.0,0.0,9.0,29.0,95.0,113.0,33.0,42.0,25.0,21.0,3,16,60,-1,-1,-1,-1,-1,MO,-1,-1,99.0
9,3,VO,-1,Dade County,29057,-1,-1,14.0,-1.0,9.0,0.0,1.7,24.0,233.0,221.0,9.8,5.6,21.0,43.0,14.0,21.0,0.0,21.0,0.0,71.0,26.0,100.0,64.0,7.0,14.0,86.0,21.0,38.0,17.0,21.0,0.0,43.0,14.0,43.0,0.0,14.0,0.0,0.0,0.0,14.0,9.0,69.0,93.0,67.0,43.0,43.0,14.0,21.0,3,13,68,-1,-1,-1,-1,-1,MO,-1,-1,86.0
9,3,VO,-1,Dallas County,29059,-1,-1,47.0,-1.0,6.0,21.0,1.9,90.0,219.0,276.0,9.0,4.6,21.0,53.0,19.0,4.0,2.0,11.0,13.0,74.0,25.0,96.0,72.0,9.0,32.0,87.0,40.0,33.0,65.0,28.0,11.0,43.0,11.0,36.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,62.0,100.0,93.0,40.0,34.0,26.0,19.0,3,21,59,-1,-1,-1,-1,-1,MO,-1,-1,100.0
9,3,VO,-1,Daviess County,29061,-1,-1,75.0,-1.0,6.0,28.0,2.2,167.0,156.0,294.0,7.0,3.1,39.0,43.0,12.0,5.0,1.0,17.0,17.0,63.0,19.0,99.0,87.0,12.0,39.0,83.0,45.0,22.0,50.0,15.0,13.0,53.0,12.0,21.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,36.0,91.0,81.0,39.0,40.0,21.0,8.0,1,15,64,-1,-1,-1,-1,-1,MO,-1,-1,100.0
9,3,VO,-1,DeKalb County,29063,-1,-1,21.0,-1.0,6.0,33.0,1.7,35.0,225.0,170.0,9.9,6.0,0.0,67.0,24.0,5.0,5.0,19.0,0.0,81.0,24.0,100.0,90.0,5.0,19.0,76.0,24.0,71.0,29.0,34.0,5.0,33.0,29.0,33.0,5.0,5.0,0.0,5.0,0.0,0.0,12.0,43.0,76.0,47.0,67.0,24.0,10.0,0.0,11,11,62,-1,-1,-1,-1,-1,MO,-1,-1,95.0
9,3,VO,-1,Dent County,29065,-1,-1,116.0,-1.0,5.0,37.0,2.3,268.0,191.0,290.0,8.2,3.5,24.0,49.0,20.0,7.0,0.0,27.0,14.0,57.0,22.0,100.0,82.0,11.0,44.0,74.0,46.0,35.0,92.0,21.0,10.0,65.0,15.0,10.0,0.0,2.0,1.0,1.0,0.0,0.0,6.0,30.0,99.0,113.0,25.0,43.0,32.0,16.0,3,16,51,-1,-1,-1,-1,-1,MO,-1,-1,98.0
9,3,VO,-1,Douglas County,29067,-1,-1,4.0,-1.0,-4.0,-4.0,-4.0,0.0,-4.0,0.0,-4.0,0.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,0,0,0,-1,-1,-1,-1,-1,MO,-1,-1,
9,3,VO,-1,Dunklin County,29069,-1,-1,107.0,-1.0,5.0,11.0,2.8,297.0,217.0,355.0,9.2,3.3,19.0,54.0,18.0,7.0,3.0,22.0,3.0,68.0,22.0,99.0,79.0,16.0,44.0,93.0,60.0,40.0,73.0,19.0,0.0,64.0,21.0,14.0,0.0,56.0,56.0,0.0,0.0,0.0,16.0,50.0,99.0,105.0,22.0,32.0,46.0,10.0,20,26,55,-1,-1,-1,-1,-1,MO,-1,-1,44.0
9,3,VO,-1,Franklin County,29071,-1,-1,354.0,-1.0,3.0,15.0,2.3,812.0,248.0,402.0,11.1,4.8,12.0,44.0,24.0,12.0,8.0,23.0,5.0,70.0,19.0,94.0,83.0,15.0,36.0,81.0,46.0,51.0,65.0,25.0,6.0,56.0,19.0,19.0,1.0,3.0,3.0,0.0,0.0,0.0,4.0,77.0,98.0,104.0,14.0,51.0,35.0,34.0,3,8,61,-1,-1,-1,-1,-1,MO,-1,-1,97.0
9,3,VO,-1,Gasconade County,29073,-1,-1,33.0,-1.0,5.0,52.0,2.8,93.0,193.0,333.0,7.9,2.8,30.0,52.0,12.0,6.0,0.0,24.0,15.0,55.0,17.0,100.0,94.0,15.0,55.0,97.0,70.0,23.0,100.0,13.0,9.0,73.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,24.0,94.0,136.0,15.0,45.0,39.0,12.0,1,11,62,-1,-1,-1,-1,-1,MO,-1,-1,100.0
9,3,VO,-1,Gentry County,29075,-1,-1,30.0,-1.0,2.0,37.0,2.1,63.0,209.0,230.0,9.8,4.8,27.0,27.0,40.0,0.0,7.0,20.0,7.0,63.0,25.0,97.0,53.0,10.0,27.0,77.0,37.0,28.0,67.0,24.0,7.0,47.0,7.0,40.0,7.0,3.0,3.0,0.0,0.0,0.0,14.0,38.0,63.0,70.0,63.0,13.0,23.0,0.0,1,11,63,-1,-1,-1,-1,-1,MO,-1,-1,97.0
9,3,VO,-1,Greene County,29077,-1,-1,873.0,-1.0,5.0,16.0,1.9,1698.0,254.0,336.0,10.2,5.3,9.0,52.0,25.0,9.0,4.0,18.0,4.0,77.0,25.0,99.0,76.0,9.0,28.0,79.0,36.0,59.0,66.0,34.0,5.0,50.0,22.0,22.0,1.0,18.0,14.0,1.0,1.0,2.0,17.0,50.0,93.0,88.0,37.0,39.0,24.0,23.0,10,18,46,-1,-1,-1,-1,-1,MO,-1,-1,82.0
