gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
County,MO Missouri,MO Adair County 29001,9,Housing Choice Vouchers,3,A,Adair County,29001,247.0,89,270,100,4.40393005994858,34,2.00959817841157,443.001391215084,218.806445936359,313.644685219915,9074.819316707,4515.73822776848,21,41,25,11,3,29,17,50,24,97,69,8,36,73,39,32,32,18,12,55,17,15,2,3,3,0,0,0,9.23582856432305,32.5693936246977,84,128.067684487639,30,43,27,26,27,5,46,A,A,A,-1,-1,MO,-1,A,97.0
County,MO Missouri,MO Andrew County 29003,9,Housing Choice Vouchers,3,A,Andrew County,29003,31.0,74,25,100,7.35066666666667,8,1.6,36.7391304347826,212.44,314.0,9395.04,5871.9,20,36,32,12,0,13,4,83,23,100,72,0,32,76,32,40,40,28,4,40,16,40,4,8,0,4,0,4,8.2,63.7266666666666,68,70.4705882352941,44,52,4,8,10,2,68,A,A,A,-1,-1,MO,-1,A,92.0
County,MO Missouri,MO Atchison County 29005,9,Housing Choice Vouchers,3,A,Atchison County,29005,64.0,71,47,100,5.24883720930233,13,1.27659574468085,57.8260869565217,233.765957446808,227.68085106383,8635.82978723405,6764.73333333334,17,60,17,6,0,4,4,91,25,100,77,2,13,66,6,58,65,48,0,30,21,49,6,2,2,0,0,0,14.0611111111111,55.6290780141844,100,71.2553191489361,89,9,2,0,12,4,66,A,A,A,-1,-1,MO,-1,A,98.0
County,MO Missouri,MO Audrain County 29007,9,Housing Choice Vouchers,3,A,Audrain County,29007,155.0,93,139,96,4.68267942350698,18,2.13792875200672,308.842115410669,249.628611849633,336.438127876736,10604.3592146298,4960.1087990777,12,39,33,12,4,24,10,64,26,95,68,9,47,77,50,33,44,19,11,57,16,16,4,25,23,1,0,1,5.29977585953144,25.3205593550213,98,131.019809273757,28,47,25,15,14,12,64,A,A,A,-1,-1,MO,-1,A,75.0
County,MO Missouri,MO Barry County 29009,9,Housing Choice Vouchers,3,A,Barry County,29009,26.0,94,25,100,7.65066666666667,4,1.56,38.6395563770795,207.08,268.76,8773.64,5624.12820512821,16,56,20,8,0,0,13,88,26,96,76,4,24,80,24,72,43,41,0,36,36,28,0,0,0,0,0,0,19.6,82.6653333333334,96,74.125,40,40,20,32,15,8,62,A,A,A,-1,-1,MO,-1,A,100.0
County,MO Missouri,MO Barton County 29011,9,Housing Choice Vouchers,3,A,Barton County,29011,18.0,98,17,94,6.69761904761905,12,1.52941176470588,27.5389408099689,233.941176470588,196.882352941176,10315.1176470588,6744.5,0,65,24,12,0,12,0,88,29,100,65,0,18,82,18,82,100,58,0,41,24,35,0,0,0,0,0,0,6.15,28.6137254901961,59,100.7,71,24,6,12,13,3,65,A,A,A,-1,-1,MO,-1,A,100.0
County,MO Missouri,MO Bates County 29013,9,Housing Choice Vouchers,3,A,Bates County,29013,42.0,92,40,100,5.20666666666667,20,2.3,88.1319043693322,264.641025641026,286.205128205128,11460.325,4982.75,5,38,38,18,3,15,5,73,30,95,63,13,43,80,53,62,50,28,5,48,33,15,0,8,5,3,0,5,18.9833333333333,55.9091666666667,95,114.5,18,40,43,30,17,4,62,A,A,A,-1,-1,MO,-1,A,92.0
County,MO Missouri,MO Benton County 29015,9,Housing Choice Vouchers,3,A,Benton County,29015,60.0,92,57,100,4.7766081871345,7,1.63157894736842,89.0898598516076,221.090909090909,266.236363636364,9426.84210526315,5777.74193548387,16,49,26,7,2,12,14,68,27,98,67,0,33,74,32,53,83,38,4,54,21,21,2,2,0,0,0,2,18.2,73.9888888888889,93,95.7547169811321,30,51,19,39,14,3,64,A,A,A,-1,-1,MO,-1,A,98.0
County,MO Missouri,MO Bollinger County 29017,9,Housing Choice Vouchers,3,A,Bollinger County,29017,32.0,91,29,99,5.59770114942529,14,2.37931034482759,69.4310051107325,214.655172413793,314.586206896552,9257.89655172414,3891.0,17,45,21,17,0,17,21,62,25,100,76,10,48,79,48,26,100,17,3,66,10,21,0,0,0,0,0,0,18.9,62.3919540229885,93,86.7037037037037,7,59,34,34,13,4,62,A,A,A,-1,-1,MO,-1,A,100.0
County,MO Missouri,MO Boone County 29019,9,Housing Choice Vouchers,3,A,Boone County,29019,1114.0,90,1005,100,3.33061311508376,4,2.61716837453795,2612.22522673948,265.850300049822,498.44795690308,10481.2227405368,4004.79496944373,26,29,19,14,12,33,11,56,20,97,79,1,60,87,59,31,72,16,5,70,16,9,0,62,60,1,1,1,7.84469696969697,65.9222197783866,90,187.623251173176,14,39,46,23,17,23,40,A,A,A,-1,-1,MO,-1,A,38.0
