Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
12/31/2023,County,,29XXX,9,Housing Choice Vouchers,3,,Missing County,29XXX,746,-5,647,-5,-5,-5,-5.0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,,,,,,MO,,,
12/31/2023,County,MO Missouri,MO Adair County 29001,9,Housing Choice Vouchers,3,,Adair County,29001,241,74,191,100,8,18,1.9,357,294,400,12184,6519,7,11,51,15,16,15,1,70,22,95,79,3,29,75,30,44,58,31,4,46,20,30,4,5,4,2,-1,95,-1,-1,-1,0,1,12,67,88,169,40,37,24,29,28,17,61,,,,,,MO,,,95.0
12/31/2023,County,MO Missouri,MO Andrew County 29003,9,Housing Choice Vouchers,3,,Andrew County,29003,76,-5,29,-5,-5,-5,-5.0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,,,,,,MO,,,
12/31/2023,County,MO Missouri,MO Atchison County 29005,9,Housing Choice Vouchers,3,,Atchison County,29005,68,-5,34,-5,-5,-5,-5.0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,,,,,,MO,,,
12/31/2023,County,MO Missouri,MO Audrain County 29007,9,Housing Choice Vouchers,3,,Audrain County,29007,182,76,143,100,6,13,1.9,276,372,459,15367,7962,4,7,40,30,19,18,-1,78,29,94,55,3,36,80,33,50,71,33,1,38,27,34,1,34,29,2,-1,66,1,2,-1,3,2,12,75,99,181,18,55,27,45,14,17,80,,,,,,MO,,,66.0
12/31/2023,County,MO Missouri,MO Barry County 29009,9,Housing Choice Vouchers,3,,Barry County,29009,26,95,27,100,4,15,1.4,39,352,443,13608,9421,7,4,56,22,11,4,-1,96,27,100,67,-1,19,78,15,88,80,72,4,19,41,37,-1,15,-1,4,-1,85,-1,11,-1,11,0,19,89,96,94,11,78,11,74,21,19,73,,,,,,MO,,,85.0
12/31/2023,County,MO Missouri,MO Barton County 29011,9,Housing Choice Vouchers,3,,Barton County,29011,20,79,20,100,6,30,2.0,39,327,521,14117,7240,5,30,30,20,15,20,-1,80,28,95,60,5,25,90,30,53,80,33,-1,55,20,25,5,0,-1,-1,-1,100,-1,-1,-1,0,0,8,50,90,139,20,45,35,50,28,11,75,,,,,,MO,,,100.0
12/31/2023,County,MO Missouri,MO Bates County 29013,9,Housing Choice Vouchers,3,,Bates County,29013,57,74,43,100,6,12,1.5,63,346,608,13259,9050,5,12,49,30,5,12,-1,88,24,98,81,-1,23,86,23,55,87,54,-1,26,21,53,-1,7,2,2,-1,93,-1,2,-1,2,0,13,78,84,197,33,47,21,47,20,10,74,,,,,,MO,,,93.0
12/31/2023,County,MO Missouri,MO Benton County 29015,9,Housing Choice Vouchers,3,,Benton County,29015,42,74,32,100,7,3,1.3,41,322,608,12412,9687,-1,6,77,13,3,3,-1,94,26,97,69,-1,9,63,9,76,87,63,-1,13,41,47,-1,6,3,3,-1,94,-1,-1,-1,0,0,7,102,94,127,41,44,16,47,21,8,71,,,,,,MO,,,94.0
12/31/2023,County,MO Missouri,MO Bollinger County 29017,9,Housing Choice Vouchers,3,,Bollinger County,29017,22,68,15,100,6,27,2.7,41,268,495,10650,3896,-1,9,55,9,27,13,-1,60,18,100,87,13,40,80,47,30,100,22,7,47,13,33,-1,7,-1,7,-1,93,-1,-1,-1,0,7,9,81,100,100,7,20,73,40,18,6,80,,,,,,MO,,,93.0
12/31/2023,County,MO Missouri,MO Boone County 29019,9,Housing Choice Vouchers,3,,Boone County,29019,1870,88,1743,100,5,16,2.0,3437,369,602,15683,7953,6,5,44,17,28,20,1,69,22,96,79,2,32,69,31,49,55,29,2,41,24,33,1,60,57,1,1,40,0,1,0,1,2,8,67,75,198,33,37,30,31,33,35,43,,,,,,MO,,,40.0
12/31/2023,County,MO Missouri,MO Buchanan County 29021,9,Housing Choice Vouchers,3,,Buchanan County,29021,1027,82,880,100,6,18,1.9,1645,381,558,15272,8170,7,6,39,21,27,19,0,75,26,97,64,3,31,80,31,44,38,24,3,36,21,40,4,23,19,0,0,77,0,4,0,4,1,6,63,97,206,52,30,19,13,20,22,64,,,,,,MO,,,77.0
12/31/2023,County,MO Missouri,MO Butler County 29023,9,Housing Choice Vouchers,3,,Butler County,29023,370,86,337,100,5,20,1.7,582,352,334,14311,8286,6,3,53,24,14,16,-1,82,28,96,63,1,25,74,25,59,64,37,1,30,28,40,1,27,25,1,0,73,-1,1,0,1,1,6,62,91,183,26,52,23,46,26,20,70,,,,,,MO,,,73.0
12/31/2023,County,MO Missouri,MO Caldwell County 29025,9,Housing Choice Vouchers,3,,Caldwell County,29025,97,-5,37,-5,-5,-5,-5.0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,,,,,,MO,,,
