sumlevel,program,program_label,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,pct_ownsfd,fedhse,cbsa,placefips,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
9,3,VO,-1,Adams County,28001,-1,-1,313.0,-1.0,4.0,26.0,2.7,831.0,216.0,313.0,9.5,3.6,14.0,50.0,23.0,12.0,2.0,41.0,20.0,39.0,28.0,96.0,64.0,8.0,59.0,95.0,66.0,23.0,79.0,13.0,10.0,70.0,12.0,8.0,0.0,95.0,94.0,0.0,0.0,0.0,11.0,53.0,98.0,81.0,12.0,43.0,45.0,21.0,59,28,55,-1,-1,-1,-1,-1,MS,-1,-1,5.0
9,3,VO,-1,Alcorn County,28003,-1,-1,196.0,-1.0,5.0,27.0,1.9,375.0,224.0,306.0,9.6,5.0,6.0,64.0,21.0,6.0,3.0,23.0,14.0,63.0,28.0,98.0,70.0,7.0,32.0,77.0,35.0,54.0,67.0,31.0,8.0,54.0,22.0,17.0,2.0,25.0,23.0,1.0,0.0,1.0,5.0,38.0,98.0,112.0,12.0,56.0,32.0,49.0,16,17,59,-1,-1,-1,-1,-1,MS,-1,-1,75.0
9,3,VO,-1,Amite County,28005,-1,-1,35.0,-1.0,4.0,29.0,3.0,104.0,197.0,416.0,8.8,3.0,11.0,57.0,29.0,3.0,0.0,23.0,43.0,34.0,25.0,100.0,69.0,23.0,54.0,100.0,77.0,18.0,100.0,9.0,9.0,74.0,11.0,6.0,0.0,97.0,97.0,0.0,0.0,0.0,10.0,31.0,100.0,79.0,0.0,26.0,74.0,29.0,45,25,61,-1,-1,-1,-1,-1,MS,-1,-1,3.0
9,3,VO,-1,Attala County,28007,-1,-1,102.0,-1.0,5.0,28.0,2.9,295.0,170.0,383.0,8.1,2.8,40.0,40.0,10.0,6.0,4.0,25.0,7.0,57.0,20.0,93.0,79.0,18.0,56.0,94.0,72.0,25.0,40.0,11.0,6.0,75.0,15.0,5.0,0.0,96.0,95.0,1.0,0.0,0.0,16.0,32.0,100.0,91.0,5.0,27.0,68.0,23.0,44,22,59,-1,-1,-1,-1,-1,MS,-1,-1,4.0
9,3,VO,-1,Benton County,28009,-1,-1,1.0,-1.0,-4.0,-4.0,-4.0,0.0,-4.0,0.0,-4.0,0.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,0,0,0,-1,-1,-1,-1,-1,MS,-1,-1,
9,3,VO,-1,Bolivar County,28011,-1,-1,253.0,-1.0,5.0,17.0,3.3,847.0,271.0,379.0,9.8,2.9,21.0,40.0,21.0,12.0,6.0,28.0,2.0,70.0,26.0,92.0,68.0,30.0,44.0,96.0,74.0,30.0,60.0,11.0,2.0,75.0,14.0,8.0,0.0,100.0,100.0,0.0,0.0,0.0,31.0,88.0,100.0,159.0,3.0,14.0,83.0,23.0,61,27,35,-1,-1,-1,-1,-1,MS,-1,-1,0.0
9,3,VO,-1,Calhoun County,28013,-1,-1,16.0,-1.0,5.0,0.0,3.1,49.0,203.0,391.0,8.2,2.7,31.0,31.0,25.0,13.0,0.0,19.0,0.0,81.0,22.0,100.0,69.0,31.0,38.0,100.0,69.0,20.0,100.0,8.0,0.0,69.0,25.0,6.0,0.0,94.0,94.0,0.0,0.0,0.0,-2.0,110.0,100.0,83.0,0.0,6.0,94.0,19.0,20,11,30,-1,-1,-1,-1,-1,MS,-1,-1,6.0
9,3,VO,-1,Carroll County,28015,-1,-1,25.0,-1.0,5.0,0.0,2.9,73.0,174.0,375.0,7.2,2.5,44.0,44.0,4.0,4.0,4.0,20.0,36.0,40.0,18.0,96.0,92.0,28.0,40.0,96.0,64.0,10.0,75.0,7.0,0.0,64.0,20.0,16.0,0.0,92.0,92.0,0.0,0.0,0.0,-2.0,101.0,100.0,76.0,8.0,20.0,72.0,20.0,19,9,33,-1,-1,-1,-1,-1,MS,-1,-1,8.0
9,3,VO,-1,Chickasaw County,28017,-1,-1,83.0,-1.0,5.0,18.0,2.9,241.0,212.0,417.0,9.3,3.2,6.0,64.0,20.0,8.0,1.0,34.0,24.0,42.0,26.0,99.0,76.0,8.0,65.0,99.0,73.0,30.0,80.0,14.0,6.0,71.0,11.0,12.0,1.0,92.0,89.0,0.0,0.0,2.0,29.0,55.0,100.0,120.0,4.0,34.0,63.0,28.0,48,22,56,-1,-1,-1,-1,-1,MS,-1,-1,8.0
9,3,VO,-1,Choctaw County,28019,-1,-1,40.0,-1.0,5.0,23.0,3.0,120.0,177.0,338.0,7.8,2.6,30.0,50.0,13.0,5.0,3.0,25.0,38.0,35.0,21.0,100.0,75.0,28.0,60.0,100.0,88.0,33.0,0.0,13.0,5.0,80.0,15.0,0.0,0.0,95.0,95.0,0.0,0.0,0.0,17.0,52.0,100.0,81.0,5.0,38.0,58.0,8.0,35,22,54,-1,-1,-1,-1,-1,MS,-1,-1,5.0
9,3,VO,-1,Claiborne County,28021,-1,-1,40.0,-1.0,4.0,43.0,3.2,126.0,194.0,350.0,8.5,2.7,38.0,28.0,23.0,8.0,5.0,28.0,50.0,23.0,23.0,90.0,70.0,10.0,78.0,100.0,88.0,18.0,0.0,8.0,15.0,75.0,5.0,5.0,0.0,100.0,98.0,3.0,0.0,0.0,20.0,40.0,98.0,118.0,0.0,20.0,80.0,23.0,64,25,44,-1,-1,-1,-1,-1,MS,-1,-1,0.0
9,3,VO,-1,Clarke County,28023,-1,-1,127.0,-1.0,5.0,18.0,2.8,360.0,176.0,370.0,8.6,3.1,34.0,39.0,14.0,8.0,5.0,25.0,13.0,57.0,23.0,95.0,76.0,11.0,54.0,94.0,65.0,20.0,50.0,10.0,9.0,66.0,17.0,8.0,1.0,85.0,85.0,0.0,0.0,0.0,22.0,46.0,100.0,83.0,4.0,24.0,72.0,34.0,34,22,60,-1,-1,-1,-1,-1,MS,-1,-1,15.0
9,3,VO,-1,Clay County,28025,-1,-1,193.0,-1.0,5.0,9.0,3.1,596.0,195.0,354.0,8.5,2.8,28.0,45.0,17.0,7.0,3.0,23.0,30.0,44.0,22.0,97.0,79.0,15.0,60.0,97.0,74.0,26.0,100.0,12.0,0.0,80.0,13.0,7.0,1.0,93.0,92.0,0.0,0.0,1.0,51.0,74.0,99.0,80.0,7.0,34.0,59.0,13.0,60,27,56,-1,-1,-1,-1,-1,MS,-1,-1,7.0
9,3,VO,-1,Coahoma County,28027,-1,-1,232.0,-1.0,8.0,11.0,3.2,751.0,248.0,388.0,10.4,3.2,16.0,43.0,19.0,17.0,6.0,39.0,21.0,40.0,29.0,91.0,61.0,21.0,57.0,94.0,76.0,23.0,77.0,15.0,5.0,76.0,9.0,9.0,0.0,96.0,96.0,0.0,0.0,0.0,26.0,82.0,100.0,145.0,2.0,20.0,78.0,28.0,66,34,45,-1,-1,-1,-1,-1,MS,-1,-1,4.0
9,3,VO,-1,Copiah County,28029,-1,-1,40.0,-1.0,5.0,65.0,2.8,113.0,262.0,403.0,11.5,4.0,15.0,38.0,13.0,25.0,10.0,33.0,10.0,55.0,24.0,98.0,70.0,10.0,53.0,95.0,63.0,33.0,25.0,21.0,5.0,65.0,20.0,10.0,0.0,100.0,100.0,0.0,0.0,0.0,14.0,35.0,98.0,123.0,13.0,23.0,65.0,28.0,61,27,58,-1,-1,-1,-1,-1,MS,-1,-1,0.0
9,3,VO,-1,Covington County,28031,-1,-1,8.0,-1.0,-4.0,-4.0,-4.0,0.0,-4.0,0.0,-4.0,0.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,0,0,0,-1,-1,-1,-1,-1,MS,-1,-1,
