gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
County,MS Mississippi,MS Adams County 28001,9,Housing Choice Vouchers,3,A,Adams County,28001,323.0,97,309,99,4.98487084870847,9,2.66666666666666,833.382451440053,232.771241830065,368.970297029702,10205.9223300971,3827.22087378641,15,46,20,14,6,27,18,50,28,94,64,2,63,95,64,23,64,14,6,71,15,9,0,93,92,0,1,1,14.9114942528736,61.1486515641855,98,110.741721854304,9,41,50,25,29,63,57,A,A,A,-1,-1,MS,-1,A,7.0
County,MS Mississippi,MS Alcorn County 28003,9,Housing Choice Vouchers,3,A,Alcorn County,28003,171.0,98,165,98,5.14049217002237,5,1.96363636363636,330.884167237834,267.641509433962,317.777070063694,10952.8666666667,5577.84876543211,1,54,30,11,4,16,5,73,30,97,61,4,37,81,37,52,76,31,3,47,25,25,1,28,28,0,0,0,10.5407407407407,53.2963636363637,95,125.382165605096,8,60,32,45,18,17,61,A,A,A,-1,-1,MS,-1,A,72.0
County,MS Mississippi,MS Amite County 28005,9,Housing Choice Vouchers,3,A,Amite County,28005,41.0,97,39,99,5.06396396396397,3,2.71794871794872,107.206965840589,244.282051282051,415.378378378379,10469.9743589744,3852.16037735849,26,36,18,13,8,26,13,54,29,90,64,3,62,97,64,27,50,12,3,82,10,5,0,92,92,0,0,0,26.4333333333333,50.1333333333334,97,99.8157894736843,3,28,69,38,24,47,61,A,A,A,-1,-1,MS,-1,A,8.0
County,MS Mississippi,MS Attala County 28007,9,Housing Choice Vouchers,3,A,Attala County,28007,119.0,96,106,93,5.14835164835166,5,2.77358490566038,315.847533632287,210.273584905661,397.961904761906,8436.52830188681,3041.74149659864,31,37,18,12,2,17,25,53,24,96,74,1,64,94,65,30,100,14,3,78,12,7,0,96,94,2,0,0,38.86,37.6345911949686,100,98.047169811321,8,30,62,27,23,48,63,A,A,A,-1,-1,MS,-1,A,4.0
County,MS Mississippi,MS Benton County 28009,9,Housing Choice Vouchers,3,A,Benton County,28009,1.0,88,1,100,7.1,-4,-4.0,-4.0,-4.0,-4.0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,100,-4,-4,-4,-4,-1.0,154.2,-4,-4.0,-4,-4,-4,-4,26,48,66,A,A,A,-1,-1,MS,-1,A,0.0
County,MS Mississippi,MS Bolivar County 28011,9,Housing Choice Vouchers,3,A,Bolivar County,28011,278.0,98,261,96,6.1564705882353,1,3.29885057471264,898.244274809159,258.32183908046,454.674418604651,10058.9463601533,3049.22764227643,19,43,19,14,5,23,2,75,26,95,69,4,67,97,69,32,70,13,0,72,15,13,1,100,100,0,0,0,40.1666666666667,85.8144316730524,100,165.392307692308,5,15,80,25,39,86,49,A,A,A,-1,-1,MS,-1,A,0.0
County,MS Mississippi,MS Calhoun County 28013,9,Housing Choice Vouchers,3,A,Calhoun County,28013,10.0,88,12,100,5.71111111111111,0,2.83333333333333,24.9035087719298,211.75,508.916666666667,8595.5,3033.70588235294,25,50,8,17,0,18,0,82,23,100,83,0,67,100,67,27,100,12,0,50,42,8,0,92,92,0,0,0,-1.0,147.063888888889,100,86.6666666666667,0,0,100,58,21,38,62,A,A,A,-1,-1,MS,-1,A,8.0
County,MS Mississippi,MS Carroll County 28015,9,Housing Choice Vouchers,3,A,Carroll County,28015,32.0,92,28,96,4.80694444444445,0,2.85714285714286,83.7013284470912,197.25,440.821428571429,7886.10714285715,2760.1375,29,54,7,7,4,11,30,59,21,93,86,4,57,100,61,22,80,14,0,64,18,18,0,96,96,0,0,0,-1.0,114.485714285714,100,108.321428571429,18,14,68,25,15,35,58,A,A,A,-1,-1,MS,-1,A,4.0
County,MS Mississippi,MS Chickasaw County 28017,9,Housing Choice Vouchers,3,A,Chickasaw County,28017,103.0,98,99,98,4.8641710567611,5,2.74753722217553,277.854358418548,253.963024671654,388.066591736645,10761.4670088252,3916.7684142616,4,55,22,13,6,14,20,54,28,97,68,0,67,98,67,38,90,18,2,73,15,10,0,96,96,0,0,2,34.5942956906334,56.1938383222453,100,128.811052205329,2,38,60,30,22,48,56,A,A,A,-1,-1,MS,-1,A,4.0
County,MS Mississippi,MS Choctaw County 28019,9,Housing Choice Vouchers,3,A,Choctaw County,28019,37.0,92,33,96,4.90322580645162,0,2.72727272727273,94.1639945029776,172.454545454546,407.787878787879,7220.15151515152,2647.38888888889,36,42,15,6,0,9,36,55,20,100,85,3,76,97,79,38,100,16,0,73,24,3,0,94,94,0,0,0,-1.0,65.6111111111112,100,110.575757575758,9,33,58,24,26,38,60,A,A,A,-1,-1,MS,-1,A,6.0
County,MS Mississippi,MS Claiborne County 28021,9,Housing Choice Vouchers,3,A,Claiborne County,28021,37.0,95,35,99,4.98823529411765,6,3.34285714285714,117.682142085943,183.441176470588,471.794117647059,7995.97142857143,2391.95726495726,34,37,20,6,3,20,43,37,21,97,80,3,86,94,83,18,0,9,3,86,9,3,0,100,100,0,0,3,3.76666666666667,51.0438095238095,97,154.294117647059,0,17,83,14,32,84,55,A,A,A,-1,-1,MS,-1,A,0.0
County,MS Mississippi,MS Clarke County 28023,9,Housing Choice Vouchers,3,A,Clarke County,28023,171.0,96,153,93,5.4038918076266,1,3.06502821886614,503.619074868718,216.318697350812,399.052810046791,9292.92030567877,3031.91998314343,29,37,19,10,5,20,31,43,25,92,70,5,69,93,71,22,87,11,5,73,12,10,1,89,88,1,0,0,16.7111111111111,44.364136197273,100,88.8051583797932,2,23,75,29,24,36,62,A,A,A,-1,-1,MS,-1,A,11.0
County,MS Mississippi,MS Clay County 28025,9,Housing Choice Vouchers,3,A,Clay County,28025,293.0,92,258,96,5.73188405797101,9,3.08527131782945,832.828218048556,223.719844357976,420.814229249011,9203.43023255812,2983.02135678392,24,38,22,11,4,20,29,47,24,96,73,2,74,97,74,22,90,12,0,83,9,8,1,94,94,0,0,0,45.6075757575758,67.475968992248,100,109.684824902724,6,35,59,11,27,61,57,A,A,A,-1,-1,MS,-1,A,6.0
County,MS Mississippi,MS Coahoma County 28027,9,Housing Choice Vouchers,3,A,Coahoma County,28027,326.0,71,218,94,5.54626269138088,2,3.49847504007032,814.065488681406,250.963695820094,464.636201418535,10572.0520073941,3021.90293951092,11,48,21,13,6,20,17,56,27,95,68,3,74,94,75,21,88,14,0,78,10,11,1,98,98,0,0,0,74.22,97.6518776674526,100,162.072404816892,2,15,83,24,37,70,50,A,A,A,-1,-1,MS,-1,A,2.0
County,MS Mississippi,MS Copiah County 28029,9,Housing Choice Vouchers,3,A,Copiah County,28029,77.0,95,72,99,5.64301075268817,4,3.1111793032815,225.328206213319,254.006520876294,546.849052326589,10775.7741431183,3463.56577126642,24,36,15,14,11,15,21,63,21,99,79,3,65,93,68,33,67,21,0,78,18,4,0,100,97,1,0,3,8.12222222222222,40.0369880198022,97,146.812406578773,6,17,78,22,28,64,60,A,A,A,-1,-1,MS,-1,A,0.0
County,MS Mississippi,MS Covington County 28031,9,Housing Choice Vouchers,3,A,Covington County,28031,13.0,91,12,98,5.06363636363636,8,2.91230929461155,35.6791165458515,303.959210410341,375.919824406759,11081.6216202362,3805.0977760981,8,41,25,17,8,50,8,41,30,100,41,8,50,83,59,27,100,17,0,75,17,8,0,92,92,0,0,0,3.36666666666667,70.401593557715,100,152.430576326226,8,33,59,25,28,45,57,A,A,A,-1,-1,MS,-1,A,8.0
County,MS Mississippi,MS DeSoto County 28033,9,Housing Choice Vouchers,3,A,DeSoto County,28033,145.0,88,175,100,7.30172413793106,1,3.29142857142858,421.894736842106,260.028571428571,645.022857142857,9224.60571428572,2802.61458333333,36,29,15,13,8,30,4,65,18,97,84,2,79,98,79,9,13,3,1,82,12,5,0,96,96,0,0,0,52.8666666666667,69.3241904761905,99,90.8381502890174,3,21,76,19,7,13,67,A,A,A,-1,-1,MS,-1,A,4.0
County,MS Mississippi,MS Forrest County 28035,9,Housing Choice Vouchers,3,A,Forrest County,28035,853.0,90,759,98,5.09666227492318,3,2.72463768115945,2101.24428239974,290.510610079579,489.793842034812,11263.3847167327,4133.90183752417,16,37,20,15,11,29,14,52,26,93,65,1,66,91,65,29,83,15,0,74,16,9,0,89,88,0,0,0,18.6653846153846,63.588186209926,99,173.75265957447,9,24,66,33,31,60,49,A,A,A,-1,-1,MS,-1,A,11.0
County,MS Mississippi,MS Franklin County 28037,9,Housing Choice Vouchers,3,A,Franklin County,28037,29.0,97,28,99,6.776,7,2.71428571428571,76.8653717347622,227.714285714286,441.666666666667,8955.67857142858,3299.46052631579,21,54,14,7,4,14,25,50,25,96,79,0,64,96,64,8,100,11,4,68,18,11,0,89,89,0,0,0,13.5166666666667,50.9309523809524,100,111.321428571429,0,25,75,36,25,41,60,A,A,A,-1,-1,MS,-1,A,11.0
County,MS Mississippi,MS George County 28039,9,Housing Choice Vouchers,3,A,George County,28039,55.0,90,49,98,5.15646258503401,0,2.06122448979592,102.623632747763,249.020408163265,520.625,9795.30612244898,4752.17821782178,20,35,33,10,2,14,10,73,22,100,78,8,35,78,37,31,38,17,0,59,14,27,2,31,31,0,0,0,-1.0,61.7013605442177,100,165.081632653061,8,53,39,49,18,15,62,A,A,A,-1,-1,MS,-1,A,69.0
County,MS Mississippi,MS Greene County 28041,9,Housing Choice Vouchers,3,A,Greene County,28041,8.0,90,7,98,6.35238095238095,-4,-4.0,-4.0,-4.0,-4.0,-4.0,3085.58823529412,-4,-4,-4,-4,-4,-4,-4,-4,21,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,57,-4,-4,-4,-4,-1.0,95.8761904761905,-4,-4.0,-4,-4,-4,-4,20,25,59,A,A,A,-1,-1,MS,-1,A,43.0
County,MS Mississippi,MS Grenada County 28043,9,Housing Choice Vouchers,3,A,Grenada County,28043,293.0,92,258,96,5.40301659125188,3,2.74031007751937,739.710490151166,238.601562499999,372.996062992126,9726.59302325579,3549.44978783593,18,43,23,12,5,24,19,51,26,96,71,0,69,97,69,37,91,18,1,74,17,9,0,94,94,0,0,0,35.3761904761905,71.7688630490955,99,109.6484375,7,34,58,23,24,53,55,A,A,A,-1,-1,MS,-1,A,6.0
