gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
County,MS Mississippi,MS Adams County 28001,9,Housing Choice Vouchers,3,,Adams County,28001,306,90,270,98,5,13,2.7,730,271,492,11345,4196,5,49,26,13,6,31,-1,69,31,91,61,1,62,96,64,27,64,15,1,71,18,9,-1,95,95,-1,-1,5,-1,-1,0,0,0,36,79,98,121,10,35,55,26,31,69,73,,,,,,MS,,,5.0
County,MS Mississippi,MS Alcorn County 28003,9,Housing Choice Vouchers,3,,Alcorn County,28003,203,101,209,100,6,29,2.0,408,293,463,11063,5667,0,49,33,15,2,22,-1,78,31,98,58,4,41,79,44,48,60,26,11,45,23,21,1,32,31,0,-1,68,-1,0,-1,0,0,8,50,99,144,8,66,27,46,23,22,77,,,,,,MS,,,68.0
County,MS Mississippi,MS Amite County 28005,9,Housing Choice Vouchers,3,,Amite County,28005,49,90,43,98,5,5,2.7,118,278,492,11107,4047,5,58,16,9,12,28,-1,72,30,84,60,2,53,93,53,31,75,16,2,72,16,9,-1,91,91,-1,-1,9,-1,-1,-1,0,0,37,70,98,113,-1,28,72,40,30,44,73,,,,,,MS,,,9.0
County,MS Mississippi,MS Attala County 28007,9,Housing Choice Vouchers,3,,Attala County,28007,163,95,154,99,6,10,2.7,416,224,535,9504,3518,27,39,18,12,5,27,3,70,26,92,68,3,64,91,66,29,100,19,4,77,12,7,-1,95,94,1,-1,5,-1,-1,-1,0,0,19,52,99,160,8,31,62,29,30,54,77,,,,,,MS,,,5.0
County,MS Mississippi,MS Bolivar County 28011,9,Housing Choice Vouchers,3,,Bolivar County,28011,290,85,242,98,6,3,3.1,750,289,504,10079,3252,20,41,20,13,7,21,1,77,26,94,69,2,64,98,64,33,81,17,0,66,18,15,0,100,100,-1,-1,-1,-1,-1,-1,0,0,97,117,100,184,2,10,88,35,41,83,68,,,,,,MS,,,0.0
County,MS Mississippi,MS Calhoun County 28013,9,Housing Choice Vouchers,3,,Calhoun County,28013,6,-4,9,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,MS,,,
County,MS Mississippi,MS Carroll County 28015,9,Housing Choice Vouchers,3,,Carroll County,28015,29,86,25,99,6,8,2.5,63,212,457,9092,3608,28,40,12,20,-1,16,-1,84,23,100,76,4,48,92,52,32,67,19,4,60,12,24,-1,96,96,-1,-1,4,-1,-1,-1,0,0,62,138,100,110,16,12,72,32,23,29,68,,,,,,MS,,,4.0
County,MS Mississippi,MS Chickasaw County 28017,9,Housing Choice Vouchers,3,,Chickasaw County,28017,94,100,97,100,5,12,2.8,271,283,463,11066,3961,4,52,29,9,6,32,-1,68,30,95,60,2,67,98,69,30,90,15,4,69,16,10,-1,96,94,-1,-1,4,2,-1,-1,2,2,28,76,100,143,-1,40,60,31,29,53,64,,,,,,MS,,,4.0
County,MS Mississippi,MS Choctaw County 28019,9,Housing Choice Vouchers,3,,Choctaw County,28019,51,86,44,99,5,11,3.0,130,215,457,7959,2694,40,28,19,12,2,11,-1,86,21,100,75,5,66,93,70,37,67,16,-1,77,16,7,-1,93,93,-1,-1,7,-1,-1,-1,0,0,61,76,100,111,7,25,68,25,23,38,72,,,,,,MS,,,7.0
County,MS Mississippi,MS Claiborne County 28021,9,Housing Choice Vouchers,3,,Claiborne County,28021,30,91,28,100,5,11,3.3,93,249,605,10012,3014,25,43,11,11,11,18,4,79,26,89,71,11,79,93,82,22,100,12,-1,79,18,4,-1,100,93,-1,-1,-1,7,-1,-1,7,0,131,70,100,176,-1,11,89,18,38,87,67,,,,,,MS,,,0.0
