Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
2016-12-31,County,MS Mississippi,"MS Adams County, Mississippi 28001",9,Housing Choice Vouchers,3,,Adams County,28001,274,96,263,100,5,13,2.8,726,276,506,11787,4270,4,47,28,12,9,29,-1,71,32,89,59,1,63,96,63,28,65,16,4,67,21,9,-1,96,95,-1,-1,4,-1,-1,0,0,0,12,83,99,115,11,38,51,27,34,70,77,,,,,,MS,,,4.0
2016-12-31,County,MS Mississippi,"MS Alcorn County, Mississippi 28003",9,Housing Choice Vouchers,3,,Alcorn County,28003,196,103,203,100,5,22,2.0,416,286,460,11126,5429,3,47,33,15,3,22,-1,78,30,96,58,4,38,83,41,46,69,26,7,45,25,24,1,35,33,0,-1,65,0,0,-1,1,0,7,60,99,139,7,65,28,45,25,22,78,,,,,,MS,,,65.0
2016-12-31,County,MS Mississippi,"MS Amite County, Mississippi 28005",9,Housing Choice Vouchers,3,,Amite County,28005,41,96,39,100,5,21,2.9,115,294,506,12838,4354,3,38,28,21,10,38,-1,62,34,92,54,5,67,95,69,22,67,10,3,74,15,8,-1,95,95,-1,-1,5,-1,-1,-1,0,0,11,70,97,108,3,31,67,31,26,46,65,,,,,,MS,,,5.0
2016-12-31,County,MS Mississippi,"MS Attala County, Mississippi 28007",9,Housing Choice Vouchers,3,,Attala County,28007,166,100,163,98,7,17,2.7,435,231,531,10169,3810,24,35,20,10,11,26,1,71,28,90,61,2,63,87,63,32,88,20,6,72,12,10,-1,96,96,-1,-1,4,-1,-1,-1,0,0,25,61,99,148,9,30,61,32,30,54,75,,,,,,MS,,,4.0
2016-12-31,County,MS Mississippi,"MS Bolivar County, Mississippi 28011",9,Housing Choice Vouchers,3,,Bolivar County,28011,262,94,232,94,6,7,2.9,667,294,487,10893,3789,19,40,19,14,9,24,1,75,29,88,62,2,62,95,62,31,87,18,1,66,19,13,-1,100,100,-1,-1,-1,-1,-1,-1,0,0,23,116,99,168,3,15,82,38,42,84,68,,,,,,MS,,,0.0
2016-12-31,County,MS Mississippi,"MS Calhoun County, Mississippi 28013",9,Housing Choice Vouchers,3,,Calhoun County,28013,6,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,MS,,,
2016-12-31,County,MS Mississippi,"MS Carroll County, Mississippi 28015",9,Housing Choice Vouchers,3,,Carroll County,28015,28,93,26,100,6,27,2.4,63,216,459,9086,3750,19,54,15,8,4,19,-1,81,25,96,73,-1,54,96,54,33,80,17,4,65,12,19,-1,100,100,-1,-1,-1,-1,-1,-1,0,0,73,126,100,98,15,23,62,27,20,32,71,,,,,,MS,,,0.0
2016-12-31,County,MS Mississippi,"MS Chickasaw County, Mississippi 28017",9,Housing Choice Vouchers,3,,Chickasaw County,28017,93,103,96,100,5,17,2.7,257,292,460,11242,4199,8,47,23,13,9,29,-1,71,30,93,53,3,67,97,70,32,83,16,2,72,14,13,1,97,95,-1,-1,3,2,-1,-1,2,1,29,81,100,152,1,36,63,33,28,53,61,,,,,,MS,,,3.0
2016-12-31,County,MS Mississippi,"MS Choctaw County, Mississippi 28019",9,Housing Choice Vouchers,3,,Choctaw County,28019,45,93,42,100,5,7,2.7,115,226,459,9660,3528,24,34,27,5,10,19,2,76,26,93,67,2,69,90,71,35,50,18,-1,74,21,5,-1,93,93,-1,-1,7,-1,-1,-1,0,0,58,84,100,103,7,33,60,24,29,40,72,,,,,,MS,,,7.0
2016-12-31,County,MS Mississippi,"MS Claiborne County, Mississippi 28021",9,Housing Choice Vouchers,3,,Claiborne County,28021,25,98,24,100,5,17,3.3,78,330,614,12152,3739,21,21,25,17,17,33,-1,67,31,88,50,8,75,92,75,30,100,18,-1,71,25,4,-1,100,92,-1,-1,-1,8,-1,-1,8,0,68,56,100,177,-1,17,83,29,47,88,59,,,,,,MS,,,0.0
