Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
2019-12-31,County,MT Montana,MT Beaverhead County 30001,9,Housing Choice Vouchers,3,,Beaverhead County,30001,21,81,17,100,5,12,1.5,26,356,537,12489,8166,-1,35,41,24,-1,18,-1,82,24,100,82,-1,29,71,24,70,100,65,-1,18,41,41,-1,6,-1,-1,-1,94,-1,6,-1,6,0,1,103,94,134,12,59,29,65,21,8,64,,,,,,MT,,,94.0
2019-12-31,County,MT Montana,MT Big Horn County 30003,9,Housing Choice Vouchers,3,,Big Horn County,30003,31,81,25,100,5,8,3.2,81,191,537,7203,2223,15,60,15,5,5,12,16,52,12,100,96,12,52,84,56,29,50,12,-1,52,32,16,-1,76,-1,76,-1,24,-1,-1,-1,0,0,11,82,92,150,16,32,52,20,17,47,69,,,,,,MT,,,24.0
2019-12-31,County,MT Montana,MT Blaine County 30005,9,Housing Choice Vouchers,3,,Blaine County,30005,23,81,19,100,5,21,3.0,57,151,537,6047,2016,29,43,21,7,-1,5,26,42,10,100,95,11,53,74,47,25,67,11,-1,68,16,16,5,95,-1,95,-1,5,-1,-1,-1,0,0,30,89,95,211,11,37,53,21,32,66,79,,,,,,MT,,,5.0
2019-12-31,County,MT Montana,MT Broadwater County 30007,9,Housing Choice Vouchers,3,,Broadwater County,30007,17,81,14,100,6,14,1.5,21,318,535,10876,7250,-1,8,75,8,8,21,-1,64,22,100,86,-1,14,71,14,50,100,48,7,43,7,43,7,0,-1,-1,-1,100,-1,-1,-1,0,0,26,82,93,147,21,64,14,43,12,6,66,,,,,,MT,,,100.0
2019-12-31,County,MT Montana,MT Carbon County 30009,9,Housing Choice Vouchers,3,,Carbon County,30009,33,81,27,100,6,7,1.8,49,292,537,12333,6796,-1,42,23,23,12,19,-1,78,21,100,81,7,22,70,26,28,78,31,-1,48,19,33,-1,0,-1,-1,-1,100,-1,-1,-1,0,0,19,84,78,149,15,63,22,41,12,4,80,,,,,,MT,,,100.0
2019-12-31,County,MT Montana,MT Carter County 30011,9,Housing Choice Vouchers,3,,Carter County,30011,1,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,MT,,,
2019-12-31,County,MT Montana,MT Cascade County 30013,9,Housing Choice Vouchers,3,,Cascade County,30013,908,78,711,100,5,17,1.9,1330,282,520,11290,6035,6,38,28,14,15,17,2,67,21,99,78,5,26,67,25,47,65,32,2,39,26,33,2,30,2,25,1,70,0,1,1,2,5,33,82,75,93,45,35,20,23,23,18,54,,,,,,MT,,,70.0
2019-12-31,County,MT Montana,MT Chouteau County 30015,9,Housing Choice Vouchers,3,,Chouteau County,30015,18,81,15,100,5,7,2.7,40,289,537,11271,4227,8,31,31,15,15,20,7,60,20,100,73,20,33,73,53,36,100,23,-1,60,13,27,-1,53,-1,47,7,47,-1,-1,-1,0,0,14,91,87,183,7,40,53,40,19,26,81,,,,,,MT,,,47.0
2019-12-31,County,MT Montana,MT Custer County 30017,9,Housing Choice Vouchers,3,,Custer County,30017,58,81,47,100,5,13,1.3,60,310,537,11803,9246,6,45,28,9,13,6,-1,94,23,100,79,2,11,57,11,78,87,65,-1,40,28,32,-1,9,2,4,2,91,-1,-1,-1,0,0,17,117,72,96,57,21,21,30,13,7,61,,,,,,MT,,,91.0
2019-12-31,County,MT Montana,MT Dawson County 30021,9,Housing Choice Vouchers,3,,Dawson County,30021,42,81,34,100,5,15,1.5,52,294,537,12300,8043,-1,32,50,9,9,6,-1,94,24,100,82,3,12,68,12,71,75,52,-1,24,18,59,15,6,-1,3,-1,94,-1,3,-1,3,3,32,91,59,94,41,32,26,41,9,6,71,,,,,,MT,,,94.0
2019-12-31,County,MT Montana,MT Deer Lodge County 30023,9,Housing Choice Vouchers,3,,Deer Lodge County,30023,36,81,29,100,6,24,1.4,41,276,537,10838,7666,4,48,30,11,7,10,-1,83,21,100,86,3,10,66,14,64,87,56,3,17,28,52,-1,0,-1,-1,-1,100,-1,-1,-1,0,0,33,94,66,103,48,34,17,38,19,8,74,,,,,,MT,,,100.0
2019-12-31,County,MT Montana,MT Fergus County 30027,9,Housing Choice Vouchers,3,,Fergus County,30027,91,81,74,100,5,22,1.6,120,329,537,12587,7762,6,30,28,23,13,26,-1,68,24,100,70,-1,24,73,22,51,61,37,1,38,30,31,3,7,3,3,-1,93,-1,1,-1,1,3,9,76,89,135,31,47,22,42,13,5,81,,,,,,MT,,,93.0
2019-12-31,County,MT Montana,MT Flathead County 30029,9,Housing Choice Vouchers,3,,Flathead County,30029,324,81,265,100,5,12,1.8,487,337,536,12846,6990,8,30,27,22,14,23,1,69,24,98,72,5,24,63,24,56,76,41,0,38,26,35,3,8,1,3,0,92,-1,3,-1,3,1,32,89,78,115,39,36,25,28,14,7,62,,,,,,MT,,,92.0
2019-12-31,County,MT Montana,MT Gallatin County 30031,9,Housing Choice Vouchers,3,,Gallatin County,30031,393,81,320,100,6,12,1.9,620,372,537,14104,7279,8,26,25,19,22,24,2,66,21,99,79,6,28,75,30,52,70,32,2,48,28,22,2,13,2,6,1,87,-1,3,1,4,1,24,98,82,112,28,40,31,39,17,8,42,,,,,,MT,,,87.0
