sumlevel,program,program_label,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,tpct_ownsfd,fedhse,msa,placefips,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
9,3,VO,-1,Alamance County,37001,-1,-1,1173,-1,3,37,2.4,2845,245,443,10.9,4.5,17,38,23,12,10,35,14,49,23,98,76,11,50,89,60,29,56,16,9,60,16,15,1,70,68,0,0,1,7,51,98,108,26,41,33,8,38,14,49,-1,-1,-1,-1,-1,NC,-1,-1,30.0
9,3,VO,-1,Alexander County,37003,-1,-1,110,-1,6,45,2.2,247,211,360,8.6,3.8,27,49,15,5,4,19,16,62,20,99,86,12,39,80,49,39,65,22,8,56,17,18,2,17,15,1,0,2,7,41,97,93,12,48,40,35,12,9,46,-1,-1,-1,-1,-1,NC,-1,-1,83.0
9,3,VO,-1,Alleghany County,37005,-1,-1,182,-1,6,34,2.1,376,181,352,8.3,4.0,29,43,19,8,1,30,4,59,18,85,68,12,34,82,43,30,60,19,7,58,18,16,0,3,2,0,0,1,8,39,99,104,13,57,30,36,7,14,55,-1,-1,-1,-1,-1,NC,-1,-1,97.0
9,3,VO,-1,Anson County,37007,-1,-1,119,-1,5,34,2.0,235,206,310,9.5,4.8,13,51,24,9,3,25,1,73,22,82,57,3,36,87,39,34,50,21,5,42,18,35,3,79,79,0,0,0,25,45,100,139,34,34,32,28,42,17,51,-1,-1,-1,-1,-1,NC,-1,-1,21.0
9,3,VO,-1,Ashe County,37009,-1,-1,291,-1,5,34,2.1,623,210,342,9.0,4.2,19,45,23,10,3,35,3,61,20,84,64,14,38,83,47,32,46,17,12,60,12,16,1,1,1,0,0,1,6,39,99,103,10,55,35,39,4,10,50,-1,-1,-1,-1,-1,NC,-1,-1,99.0
9,3,VO,-1,Avery County,37011,-1,-1,187,-1,6,27,2.0,380,201,369,9.4,4.6,22,44,21,7,4,26,1,66,20,80,60,16,25,77,36,48,57,27,7,49,22,22,1,2,1,1,0,1,9,43,97,101,34,41,26,20,5,12,47,-1,-1,-1,-1,-1,NC,-1,-1,98.0
9,3,VO,-1,Beaufort County,37013,-1,-1,235,-1,3,15,2.4,568,235,342,10.4,4.2,17,47,21,9,7,34,11,48,24,92,71,14,48,87,59,30,19,15,8,63,16,13,2,84,82,0,0,2,3,67,98,186,9,44,47,33,37,21,44,-1,-1,-1,-1,-1,NC,-1,-1,16.0
9,3,VO,-1,Bertie County,37015,-1,-1,207,-1,7,26,2.1,442,237,309,8.3,4.0,16,59,20,5,0,21,1,75,16,75,64,9,36,88,44,41,32,20,2,57,14,28,5,91,90,1,0,0,18,73,100,187,3,42,55,53,53,20,41,-1,-1,-1,-1,-1,NC,-1,-1,9.0
9,3,VO,-1,Bladen County,37017,-1,-1,196,-1,5,34,2.4,463,234,320,9.4,4.0,17,51,20,6,6,23,3,73,23,94,76,12,46,88,57,39,45,19,10,62,12,17,0,73,73,1,0,0,32,50,100,176,9,41,50,35,42,20,48,-1,-1,-1,-1,-1,NC,-1,-1,27.0
9,3,VO,-1,Brunswick County,37019,-1,-1,436,-1,4,30,2.1,906,245,441,10.5,5.1,14,46,19,13,7,26,1,71,24,99,73,8,36,84,42,48,88,32,6,54,18,23,3,43,41,0,0,1,25,47,98,144,9,47,44,46,22,13,45,-1,-1,-1,-1,-1,NC,-1,-1,57.0
9,3,VO,-1,Buncombe County,37021,-1,-1,1349,-1,5,28,2.2,2923,245,413,10.5,4.9,15,48,21,10,6,23,1,69,24,97,74,10,35,79,41,48,51,25,5,55,19,21,1,32,30,1,0,1,7,47,91,100,38,31,30,13,19,15,46,-1,-1,-1,-1,-1,NC,-1,-1,68.0
9,3,VO,-1,Burke County,37023,-1,-1,212,-1,6,20,1.8,384,231,331,9.4,5.2,9,60,20,9,1,15,8,76,24,98,79,8,27,92,33,59,47,32,3,42,22,33,3,23,21,0,0,1,28,53,97,92,28,50,22,39,20,11,48,-1,-1,-1,-1,-1,NC,-1,-1,77.0
9,3,VO,-1,Cabarrus County,37025,-1,-1,510,-1,4,17,2.8,1438,353,524,12.9,4.6,13,35,21,15,16,46,1,47,21,98,76,16,54,93,68,23,97,16,3,71,13,13,1,83,82,0,0,1,40,68,99,222,10,37,53,19,30,11,54,-1,-1,-1,-1,-1,NC,-1,-1,17.0
9,3,VO,-1,Caldwell County,37027,-1,-1,343,-1,5,33,2.3,781,210,385,8.3,3.7,21,50,22,6,1,22,22,54,20,99,86,11,40,87,48,39,75,20,8,58,18,15,0,29,28,0,0,0,10,39,93,101,22,40,38,27,16,13,55,-1,-1,-1,-1,-1,NC,-1,-1,71.0
9,3,VO,-1,Camden County,37029,-1,-1,28,-1,7,29,2.2,62,258,393,9.5,4.3,11,50,21,18,0,36,4,61,16,71,54,14,46,89,61,13,40,10,11,57,14,18,0,32,32,0,0,0,6,35,96,136,11,46,43,32,14,8,52,-1,-1,-1,-1,-1,NC,-1,-1,68.0
9,3,VO,-1,Carteret County,37031,-1,-1,437,-1,3,31,1.9,831,281,316,11.1,5.9,9,45,28,13,5,25,0,70,25,95,69,11,27,80,33,52,63,33,6,43,22,30,2,22,20,1,0,1,7,45,97,146,28,45,27,31,13,11,52,-1,-1,-1,-1,-1,NC,-1,-1,78.0
