gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
County,NC North Carolina,NC Alamance County 37001,9,Housing Choice Vouchers,3,A,Alamance County,37001,1005.0,98,920,93,5.2721971095716,4,2.38183817428633,2355.18090894832,294.371031954142,473.969552608219,11548.904884925,4848.73616083739,15,34,26,14,11,24,15,58,26,94,66,3,51,88,52,40,67,23,1,60,22,17,1,70,68,1,0,2,29.0774774774775,77.3492688192839,99,152.575604098219,16,48,36,25,23,50,65,A,A,A,-1,-1,NC,-1,A,30.0
County,NC North Carolina,NC Alexander County 37003,9,Housing Choice Vouchers,3,A,Alexander County,37003,88.0,92,76,94,6.11666666666667,3,2.53947368421053,205.424892703862,279.105263157895,407.506666666667,10408.1052631579,4098.52849740933,9,42,36,8,5,16,4,74,25,97,74,9,41,83,47,40,79,20,3,62,17,18,3,30,28,1,0,1,22.9166666666667,65.1385964912281,99,130.586666666667,8,50,42,34,18,16,63,A,A,A,-1,-1,NC,-1,A,70.0
County,NC North Carolina,NC Alleghany County 37005,9,Housing Choice Vouchers,3,A,Alleghany County,37005,184.0,99,173,95,6.12793834296723,14,2.33526011560693,425.891625615763,233.226744186047,439.395348837209,9357.49710982659,4007.04702970298,25,34,25,10,5,27,7,65,24,97,68,8,42,83,46,38,77,22,5,51,26,18,0,3,1,0,0,2,9.43846153846153,63.3944123314065,98,133.476470588235,9,50,41,40,29,14,75,A,A,A,-1,-1,NC,-1,A,97.0
County,NC North Carolina,NC Anson County 37007,9,Housing Choice Vouchers,3,A,Anson County,37007,131.0,81,102,96,5.72091503267972,5,2.09803921568627,222.392156862745,263.607843137254,412.313725490195,10956.7549019608,5222.3785046729,11,42,31,10,6,20,0,80,29,95,60,0,36,93,36,40,67,25,1,41,20,38,1,85,85,0,0,0,28.4466666666667,82.9996732026142,100,174.117647058823,38,25,36,26,20,54,70,A,A,A,-1,-1,NC,-1,A,15.0
County,NC North Carolina,NC Ashe County 37009,9,Housing Choice Vouchers,3,A,Ashe County,37009,307.0,99,288,95,5.09606481481481,6,2.38194444444444,723.172413793103,257.714788732395,430.900355871886,9153.42708333334,3842.83819241983,24,41,22,9,5,27,7,66,23,98,76,14,37,76,43,36,67,20,6,56,24,15,2,1,1,0,0,0,8.08125,63.4479166666667,97,130.310714285714,5,52,44,39,19,8,70,A,A,A,-1,-1,NC,-1,A,99.0
County,NC North Carolina,NC Avery County 37011,9,Housing Choice Vouchers,3,A,Avery County,37011,219.0,99,206,95,6.00776699029124,17,1.85922330097087,403.75369458128,237.873786407767,444.133004926107,10010.2524271844,5384.10443864231,19,38,27,11,5,20,3,77,25,97,66,8,26,75,28,44,48,27,1,45,23,31,1,4,0,0,0,3,5.83603603603603,48.5283171521035,99,120.847290640394,33,43,24,26,21,7,72,A,A,A,-1,-1,NC,-1,A,96.0
County,NC North Carolina,NC Beaufort County 37013,9,Housing Choice Vouchers,3,A,Beaufort County,37013,353.0,74,231,88,4.96496975526741,5,2.68866042874724,706.826003003646,284.269586258227,458.454525679136,10864.8082487217,4040.97450632102,20,35,23,12,11,30,7,60,24,94,69,6,58,91,61,34,73,18,2,65,23,10,1,91,90,0,0,1,62.0079129937035,80.7341552022501,97,205.489936095632,15,33,52,24,21,44,60,A,A,A,-1,-1,NC,-1,A,9.0
County,NC North Carolina,NC Bertie County 37015,9,Housing Choice Vouchers,3,A,Bertie County,37015,213.0,78,157,95,5.41535476459332,1,2.3822748862997,393.992520719629,307.808263386664,369.266902065454,10804.2173254013,4535.25216067029,13,43,23,11,9,18,11,67,27,97,70,4,47,89,49,38,67,20,3,55,25,17,2,97,96,1,0,0,22.3,91.10400512742,98,240.947881704634,1,32,68,52,25,68,64,A,A,A,-1,-1,NC,-1,A,3.0
County,NC North Carolina,NC Bladen County 37017,9,Housing Choice Vouchers,3,A,Bladen County,37017,229.0,82,160,85,5.86145833333333,13,2.53749999999999,478.679012345678,251.325,396.0,9990.83749999999,3937.27586206897,18,48,18,10,8,22,5,72,24,96,77,6,56,89,59,37,62,17,4,68,19,8,2,76,75,1,0,0,62.7466666666666,53.2091666666667,100,171.0125,11,24,65,33,24,49,63,A,A,A,-1,-1,NC,-1,A,24.0
County,NC North Carolina,NC Brunswick County 37019,9,Housing Choice Vouchers,3,A,Brunswick County,37019,472.0,83,374,96,5.2006903353057,6,2.21122994652405,862.379679144383,276.537433155079,514.364611260051,11650.5133689839,5268.79322853689,9,42,23,17,9,26,0,73,23,99,75,4,43,86,45,42,85,28,3,55,17,24,2,49,45,1,1,3,51.5253968253968,75.3742424242422,99,134.269541778976,11,45,44,40,16,23,56,A,A,A,-1,-1,NC,-1,A,51.0
