sumlevel,program,program_label,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,tpct_ownsfd,fedhse,msa,placefips,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
9,3,VO,-1,Adams County,38001,-1,-1,3,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,ND,-1,-1,
9,3,VO,-1,Barnes County,38003,-1,-1,148,-1,4,36,2.0,290,220,272,10.2,5.2,22,37,27,9,5,41,5,45,20,90,72,7,34,77,36,26,27,18,16,51,13,20,3,4,1,3,0,0,2,42,82,64,23,60,17,24,3,14,51,-1,-1,-1,-1,-1,ND,-1,-1,96.0
9,3,VO,-1,Benson County,38005,-1,-1,13,-1,4,38,1.6,21,200,256,9.3,5.8,23,31,38,8,0,15,23,62,24,100,62,0,31,100,31,14,0,5,15,31,8,46,8,31,0,31,0,0,2,38,92,105,54,38,8,8,6,8,32,-1,-1,-1,-1,-1,ND,-1,-1,69.0
9,3,VO,-1,Billings County,38007,-1,-1,0,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,ND,-1,-1,
9,3,VO,-1,Bottineau County,38009,-1,-1,43,-1,8,37,2.2,96,197,246,8.9,3.9,26,47,16,7,5,40,19,40,11,60,56,14,42,84,53,15,11,7,14,51,14,21,2,37,0,37,0,0,9,50,91,111,40,35,26,5,2,7,45,-1,-1,-1,-1,-1,ND,-1,-1,63.0
9,3,VO,-1,Bowman County,38011,-1,-1,6,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,ND,-1,-1,
9,3,VO,-1,Burke County,38013,-1,-1,0,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,ND,-1,-1,
9,3,VO,-1,Burleigh County,38015,-1,-1,975,-1,4,23,1.8,1776,253,341,10.7,6.0,15,40,25,12,7,25,10,60,20,99,82,9,28,76,34,46,38,27,15,51,13,21,3,23,1,20,0,2,14,65,93,45,28,55,18,33,5,8,46,-1,-1,-1,-1,-1,ND,-1,-1,77.0
9,3,VO,-1,Cass County,38017,-1,-1,1639,-1,5,29,1.9,3118,269,334,11.7,6.2,14,37,26,14,10,33,5,58,22,98,77,9,28,74,33,48,34,25,12,52,15,20,3,12,7,4,0,2,9,46,92,43,39,45,15,18,6,12,32,-1,-1,-1,-1,-1,ND,-1,-1,88.0
9,3,VO,-1,Cavalier County,38019,-1,-1,44,-1,5,25,1.8,77,248,224,10.9,6.3,9,43,25,16,7,34,0,64,23,86,55,11,16,50,20,43,24,22,0,41,11,48,2,5,0,0,0,5,1,49,66,96,34,36,30,36,1,9,69,-1,-1,-1,-1,-1,ND,-1,-1,95.0
