gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
County,ND North Dakota,ND Adams County 38001,9,Housing Choice Vouchers,3,A,Adams County,38001,7.0,58,3,74,6.42222222222222,-4,-4.0,-4.0,-4.0,-4.0,-4.0,8971.33333333333,-4,-4,-4,-4,-4,-4,-4,-4,22,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-1.0,23.6333333333333,-4,-4.0,-4,-4,-4,-4,10,3,61,A,A,A,-1,-1,ND,-1,A,100.0
County,ND North Dakota,ND Barnes County 38003,9,Housing Choice Vouchers,3,A,Barnes County,38003,156.0,100,157,100,4.0443736730361,21,2.10828025477707,328.891719745223,238.394904458599,343.980891719746,10846.9617834395,5144.93353474321,17,33,30,11,8,39,1,61,21,98,78,3,46,76,43,34,16,17,11,48,16,24,7,10,4,3,1,1,4.04646464646465,48.6815286624204,89,93.8214285714285,21,59,20,24,14,3,51,A,A,A,-1,-1,ND,-1,A,90.0
County,ND North Dakota,ND Benson County 38005,9,Housing Choice Vouchers,3,A,Benson County,38005,18.0,69,9,74,4.68541666666667,-4,-4.0,-4.0,-4.0,-4.0,-4.0,4564.79304347826,-4,-4,-4,-4,-4,-4,-4,-4,21,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,23,-4,-4,-4,-4,48.0666666666667,31.576171875,-4,-4.0,-4,-4,-4,-4,21,27,64,A,A,A,-1,-1,ND,-1,A,77.0
County,ND North Dakota,ND Billings County 38007,9,Housing Choice Vouchers,3,A,Billings County,38007,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,ND,-1,A,
County,ND North Dakota,ND Bottineau County 38009,9,Housing Choice Vouchers,3,A,Bottineau County,38009,33.0,72,21,88,7.41269841269841,19,1.76190476190476,42.1034482758621,243.761904761905,309.619047619048,9230.28571428572,5238.81081081081,24,43,14,14,5,44,0,56,20,100,76,0,29,67,29,31,20,16,10,38,29,24,0,10,0,5,5,0,2.43333333333333,56.9380952380952,81,102.941176470588,48,33,19,10,11,4,66,A,A,A,-1,-1,ND,-1,A,90.0
County,ND North Dakota,ND Bowman County 38011,9,Housing Choice Vouchers,3,A,Bowman County,38011,5.0,58,2,74,5.06666666666667,-4,-4.0,-4.0,-4.0,-4.0,-4.0,3593.66666666667,-4,-4,-4,-4,-4,-4,-4,-4,13,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,4.33333333333333,17.7333333333333,-4,-4.0,-4,-4,-4,-4,10,1,72,A,A,A,-1,-1,ND,-1,A,100.0
County,ND North Dakota,ND Burke County 38013,9,Housing Choice Vouchers,3,A,Burke County,38013,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,ND,-1,A,
County,ND North Dakota,ND Burleigh County 38015,9,Housing Choice Vouchers,3,A,Burleigh County,38015,1051.0,87,963,100,3.55797853928702,15,1.75908618899274,1613.66597938143,274.769470404989,414.623554153528,11315.741433022,6432.73848878398,14,35,28,13,10,20,10,66,20,99,82,2,32,74,31,48,40,29,8,53,18,22,3,23,2,19,1,2,20.6747619047619,73.8060920733828,89,57.4056271981246,29,54,17,34,8,5,47,A,A,A,-1,-1,ND,-1,A,77.0
County,ND North Dakota,ND Cass County 38017,9,Housing Choice Vouchers,3,A,Cass County,38017,1567.0,99,1738,100,4.38759340055565,11,1.99356819638929,3089.02383995769,292.068648247865,378.206757009105,12238.705551113,6139.09550387065,13,30,26,17,13,25,2,71,22,99,76,9,25,67,27,53,45,28,4,51,22,22,3,22,14,4,1,3,17.6139931395463,57.1776553492533,92,46.5905234273904,43,40,17,19,12,6,33,A,A,A,-1,-1,ND,-1,A,78.0
County,ND North Dakota,ND Cavalier County 38019,9,Housing Choice Vouchers,3,A,Cavalier County,38019,50.0,60,23,77,5.93623188405797,17,1.56521739130435,46.9565217391304,286.826086956522,227.95652173913,11884.5217391304,7592.88888888889,0,43,30,22,4,43,0,57,27,100,61,4,17,65,17,36,22,19,9,39,13,39,0,4,0,0,0,4,2.10833333333333,65.0724637681159,74,147.823529411765,22,52,26,57,9,1,70,A,A,A,-1,-1,ND,-1,A,96.0
County,ND North Dakota,ND Dickey County 38021,9,Housing Choice Vouchers,3,A,Dickey County,38021,29.0,81,23,98,7.22028985507246,13,1.69565217391304,39.9285714285714,266.173913043478,317.090909090909,11054.2173913043,6519.15384615384,4,39,43,9,4,45,0,55,26,96,78,4,13,70,9,38,20,18,9,39,9,43,9,9,4,0,0,4,2.03333333333333,39.5130434782608,78,192.944444444444,26,57,17,57,13,3,61,A,A,A,-1,-1,ND,-1,A,91.0
County,ND North Dakota,ND Divide County 38023,9,Housing Choice Vouchers,3,A,Divide County,38023,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,ND,-1,A,
County,ND North Dakota,ND Dunn County 38025,9,Housing Choice Vouchers,3,A,Dunn County,38025,21.0,43,11,97,3.39384129538859,83,1.51115663179457,13.706702057067,282.760699392787,449.468541956251,12686.6256858585,8395.3082155306,17,32,26,9,17,35,0,65,27,91,57,0,26,66,26,15,0,6,15,34,9,43,26,0,0,0,0,0,1.57921663727219,1.21257712097935,68,87.125,60,40,0,15,15,4,71,A,A,A,-1,-1,ND,-1,A,100.0
County,ND North Dakota,ND Eddy County 38027,9,Housing Choice Vouchers,3,A,Eddy County,38027,55.0,84,46,100,6.08768115942029,26,1.41304347826087,65.0,227.717391304348,235.837209302326,10513.6739130435,7440.44615384615,17,22,43,13,4,19,7,74,24,100,65,2,22,76,17,39,22,25,0,37,24,39,9,7,0,7,0,0,0.969444444444445,47.1434782608695,63,100.620689655172,33,57,11,39,10,3,67,A,A,A,-1,-1,ND,-1,A,93.0
County,ND North Dakota,ND Emmons County 38029,9,Housing Choice Vouchers,3,A,Emmons County,38029,4.0,50,2,100,4.05,-4,-4.0,-4.0,-4.0,-4.0,-4.0,8513.0,-4,-4,-4,-4,-4,-4,-4,-4,28,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,50,-4,-4,-4,-4,-1.0,42.6,-4,-4.0,-4,-4,-4,-4,17,1,71,A,A,A,-1,-1,ND,-1,A,50.0
County,ND North Dakota,ND Foster County 38031,9,Housing Choice Vouchers,3,A,Foster County,38031,60.0,72,37,86,4.91428571428572,16,1.40540540540541,60.4324324324324,195.243243243243,327.972972972973,8818.51351351352,6274.71153846154,19,49,27,5,0,29,3,69,20,100,84,0,19,68,14,68,42,42,3,51,14,32,11,0,0,0,0,0,1.05,46.7828828828829,49,126.833333333333,24,70,5,54,9,2,63,A,A,A,-1,-1,ND,-1,A,100.0
County,ND North Dakota,ND Golden Valley County 38033,9,Housing Choice Vouchers,3,A,Golden Valley County,38033,4.0,51,2,86,3.12000418169463,-4,-4.0,-4.0,-4.0,-4.0,-4.0,10469.3341696723,-4,-4,-4,-4,-4,-4,-4,-4,25,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,1.76666666666667,8.88698970257697,-4,-4.0,-4,-4,-4,-4,15,2,73,A,A,A,-1,-1,ND,-1,A,100.0
County,ND North Dakota,ND Grand Forks County 38035,9,Housing Choice Vouchers,3,A,Grand Forks County,38035,1265.0,96,1104,91,4.96422101449272,11,2.1195652173913,2571.03260869569,295.758432087506,482.905380333943,12225.8206521737,5768.07948717941,17,29,23,17,14,36,3,60,24,95,69,9,39,75,42,32,40,17,9,56,16,19,2,24,7,11,2,4,13.3587431693989,56.6441123188395,80,107.318693693692,31,46,23,16,16,8,30,A,A,A,-1,-1,ND,-1,A,76.0
County,ND North Dakota,ND Grant County 38037,9,Housing Choice Vouchers,3,A,Grant County,38037,11.0,89,10,99,3.83333333333333,-4,-4.0,-4.0,-4.0,-4.0,-4.0,9193.28571428571,-4,-4,-4,-4,-4,-4,-4,-4,29,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,10,-4,-4,-4,-4,5.2,44.28,-4,-4.0,-4,-4,-4,-4,20,4,68,A,A,A,-1,-1,ND,-1,A,90.0
County,ND North Dakota,ND Griggs County 38039,9,Housing Choice Vouchers,3,A,Griggs County,38039,18.0,73,16,100,3.60208333333334,31,1.8125,23.4468085106383,171.5,322.5,9530.4375,5258.17241379311,25,25,38,13,0,19,13,69,21,100,75,0,38,81,38,22,14,10,6,38,13,44,19,6,0,0,6,0,0.333333333333333,50.6416666666667,75,122.0,44,38,19,19,9,0,70,A,A,A,-1,-1,ND,-1,A,94.0
County,ND North Dakota,ND Hettinger County 38041,9,Housing Choice Vouchers,3,A,Hettinger County,38041,5.0,58,2,74,2.0,-4,-4.0,-4.0,-4.0,-4.0,-4.0,11064.0,-4,-4,-4,-4,-4,-4,-4,-4,27,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,2.46666666666667,12.1666666666667,-4,-4.0,-4,-4,-4,-4,15,1,77,A,A,A,-1,-1,ND,-1,A,100.0
County,ND North Dakota,ND Kidder County 38043,9,Housing Choice Vouchers,3,A,Kidder County,38043,8.0,87,7,100,3.22380952380952,-4,-4.0,-4.0,-4.0,-4.0,-4.0,6970.09090909091,-4,-4,-4,-4,-4,-4,-4,-4,25,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,29,-4,-4,-4,-4,-1.0,52.2428571428571,-4,-4.0,-4,-4,-4,-4,20,1,68,A,A,A,-1,-1,ND,-1,A,71.0
County,ND North Dakota,ND LaMoure County 38045,9,Housing Choice Vouchers,3,A,LaMoure County,38045,31.0,81,13,52,1.8962962962963,15,1.46153846153846,36.5384615384615,249.307692307692,295.769230769231,11311.0,7739.10526315789,15,31,23,31,0,38,0,62,26,100,54,8,15,77,23,14,0,5,15,31,8,46,8,0,0,0,0,0,1.66666666666667,39.0179487179487,38,183.4,23,69,8,46,11,1,74,A,A,A,-1,-1,ND,-1,A,100.0
County,ND North Dakota,ND Logan County 38047,9,Housing Choice Vouchers,3,A,Logan County,38047,5.0,86,4,90,6.20336391437309,-4,-4.0,-4.0,-4.0,-4.0,-4.0,13183.7058823529,-4,-4,-4,-4,-4,-4,-4,-4,33,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,2.1,71.1619895664688,-4,-4.0,-4,-4,-4,-4,15,1,78,A,A,A,-1,-1,ND,-1,A,100.0
County,ND North Dakota,ND McHenry County 38049,9,Housing Choice Vouchers,3,A,McHenry County,38049,21.0,87,19,100,6.68333333333333,5,1.21052631578947,22.4390243902439,267.421052631579,332.78947368421,10655.2105263158,8802.1304347826,11,47,26,16,0,33,6,61,24,100,79,0,16,74,16,53,50,43,5,26,47,21,0,0,0,0,0,0,3.26666666666667,63.8771929824561,42,268.375,68,21,11,21,13,1,70,A,A,A,-1,-1,ND,-1,A,100.0
County,ND North Dakota,ND McIntosh County 38051,9,Housing Choice Vouchers,3,A,McIntosh County,38051,36.0,93,23,68,5.12549019607843,9,1.43478260869565,48.2307692307692,258.956521739131,241.526315789474,13350.6956521739,9305.0303030303,4,26,35,17,17,17,0,83,31,91,52,4,9,52,9,29,13,12,0,17,13,70,30,0,0,0,0,0,0.633333333333333,66.0710144927536,43,159.8,48,39,13,30,15,1,79,A,A,A,-1,-1,ND,-1,A,100.0
County,ND North Dakota,ND McKenzie County 38053,9,Housing Choice Vouchers,3,A,McKenzie County,38053,27.0,50,9,65,6.5911877394636,-4,-4.0,-4.0,-4.0,-4.0,-4.0,7618.86734693877,-4,-4,-4,-4,-4,-4,-4,-4,21,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,13,-4,-4,-4,-4,1.16666666666667,24.1371647509579,-4,-4.0,-4,-4,-4,-4,11,5,63,A,A,A,-1,-1,ND,-1,A,87.0
County,ND North Dakota,ND McLean County 38055,9,Housing Choice Vouchers,3,A,McLean County,38055,31.0,88,27,99,3.64760265363241,26,1.75691403054001,48.0981410746117,310.859133522616,293.185145847983,13841.4412295777,7878.26893574486,11,37,22,15,15,30,0,70,29,85,63,4,26,78,26,47,100,42,0,30,33,37,4,0,0,0,0,0,4.3,35.3503623003721,63,108.026186271754,26,55,19,41,11,3,74,A,A,A,-1,-1,ND,-1,A,100.0
